  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          C-bone-S       C-bone-V       T-bone-S       T-bone-V       UB-cont        Other          
AI         3.29631790E-20 1.67763900E-17 1.67763900E-17 3.95497266E-18 7.99518111E-20 5.12696476E-20 1.03136907E-19 2.77272663E-21 1.51283913E-20 5.07777794E-20 5.07777794E-20 1.10708793E-19 2.07241529E-15 2.07241529E-15 2.52711297E-14 2.52711297E-14 2.76022965E-14 2.40198299E-16 3.30224596E-15 1.00491714E-17 1.00491714E-17 7.66545318E-18 7.66545318E-18 1.15595431E-21 2.29279628E-16
LN-Th      9.30063451E-20 3.12760872E-15 3.12760872E-15 1.59067286E-19 2.90650837E-20 1.37851265E-20 3.62572539E-20 0.00000000E+00 2.49090378E-20 2.75462203E-17 2.75462203E-17 7.64222163E-17 1.44700569E-14 1.44700569E-14 2.65416557E-16 2.65416557E-16 2.65416557E-16 1.78162025E-12 6.25874223E-16 6.35150825E-18 6.35150825E-18 4.38211291E-19 4.38211291E-19 0.00000000E+00 3.50525258E-17
R-marrow   1.14477112E-17 4.27044121E-18 4.27044121E-18 2.10237599E-19 2.66890559E-19 1.81110030E-19 2.17767828E-19 3.41247570E-19 3.58615163E-18 6.65079482E-18 6.65079482E-18 1.37668617E-17 4.99895086E-19 4.99895086E-19 1.40574965E-17 1.40574965E-17 1.40574965E-17 1.53267407E-18 8.72721554E-16 5.48280816E-16 3.30545031E-16 4.16293517E-15 3.78786565E-15 3.88704038E-19 4.49707857E-16
Endost-BS  1.89329195E-17 1.92405374E-18 1.92405374E-18 7.37545924E-20 1.03093648E-19 7.07633289E-20 8.05590359E-20 1.71769341E-19 7.20098222E-18 1.11698938E-17 1.11698938E-17 6.56684077E-18 1.75214021E-19 1.75214021E-19 4.76070721E-18 4.76070721E-18 4.76070721E-18 4.93790793E-19 3.35287473E-16 1.76015109E-15 3.41936506E-16 9.29406558E-15 8.90457648E-15 2.13121516E-19 3.50301875E-16
Brain      3.93318306E-19 1.60377866E-20 1.60377866E-20 1.18479349E-21 5.58070114E-23 4.41143274E-22 3.73178947E-22 1.30595008E-23 4.01184992E-19 5.42080393E-17 5.42080393E-17 1.31887964E-19 7.49962792E-21 7.49962792E-21 6.50467632E-21 6.50467632E-21 6.50467632E-21 1.32927777E-20 2.48353377E-16 3.54129069E-17 3.54129069E-17 9.77519918E-18 9.77519918E-18 0.00000000E+00 4.91024240E-16
Eye-lens   4.59584325E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.13480558E-17 2.96386628E-18 2.96386628E-18 8.00912004E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.33276897E-16 3.66914437E-20 3.66914437E-20 1.97356100E-20 1.97356100E-20 0.00000000E+00 4.54970079E-16
P-gland    1.43921912E-18 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.31790231E-18 4.99718846E-15 4.99718846E-15 2.82159301E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.02675480E-20 2.20299267E-20 2.34318311E-16 1.03212209E-17 1.03212209E-17 2.43194369E-18 2.43194369E-18 0.00000000E+00 4.83522883E-16
Tongue     3.55731245E-13 2.20155071E-19 2.20155071E-19 4.87910806E-21 2.14066800E-21 5.92725191E-21 2.22558336E-22 0.00000000E+00 1.27167952E-18 9.87629652E-16 9.87629652E-16 4.63333418E-16 7.83047736E-20 7.83047736E-20 5.00023260E-20 5.00023260E-20 5.00023260E-20 1.48645128E-19 2.51878166E-16 1.91428047E-17 1.91428047E-17 9.75725481E-18 9.75725481E-18 0.00000000E+00 2.16256264E-16
Tonsils    5.42256632E-18 3.16445878E-20 3.16445878E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.21596721E-19 7.47191026E-17 7.47191026E-17 1.22920582E-18 1.08581103E-20 1.08581103E-20 7.29871499E-21 7.29871499E-21 7.29871499E-21 7.81749973E-20 2.42168976E-16 3.08194669E-17 3.08194669E-17 1.74268736E-17 1.74268736E-17 0.00000000E+00 4.85089883E-16
S-glands   0.00000000E+00 2.30024478E-19 2.30024478E-19 4.43866974E-21 6.50419567E-22 1.77665351E-22 3.96426528E-21 0.00000000E+00 1.83609425E-19 1.48875841E-18 1.48875841E-18 3.26395394E-18 7.35799552E-20 7.35799552E-20 3.23879977E-20 3.23879977E-20 3.23879977E-20 1.78210091E-19 2.46302591E-16 1.26253109E-17 1.26253109E-17 7.37577968E-19 7.37577968E-19 0.00000000E+00 4.91576148E-16
Thyroid    2.54297452E-19 8.97411094E-16 8.97411094E-16 1.83593404E-20 3.98060748E-21 4.24224290E-23 3.75822539E-21 5.45605181E-23 3.46710992E-20 1.47092619E-18 1.47092619E-18 3.87374231E-18 1.13480558E-16 1.13480558E-16 6.14546835E-19 6.14546835E-19 6.14546835E-19 2.42617585E-15 7.85066479E-16 3.05406882E-19 3.05406882E-19 1.00289839E-19 1.00289839E-19 0.00000000E+00 4.41455197E-16
Breast     1.69974904E-20 7.87934375E-20 7.87934375E-20 2.49506944E-19 3.44131488E-20 2.91932578E-20 8.90217321E-20 0.00000000E+00 8.28341266E-19 6.17302579E-21 6.17302579E-21 3.01737898E-20 3.41888441E-19 3.41888441E-19 3.75822539E-19 3.75822539E-19 3.75822539E-19 8.71103356E-20 2.50932881E-16 4.16405669E-20 4.16405669E-20 5.83560742E-20 5.83560742E-20 0.00000000E+00 4.94920165E-16
Thymus     1.12897366E-19 2.54345517E-18 2.54345517E-18 9.47879653E-20 1.04724664E-20 1.92517527E-20 1.51726113E-20 0.00000000E+00 2.12048058E-20 2.48801987E-19 2.48801987E-19 6.74964910E-19 3.10501803E-18 3.10501803E-18 1.19995008E-16 1.19995008E-16 1.19995008E-16 2.39557428E-17 2.52567101E-16 3.09732758E-17 3.09732758E-17 2.43498782E-18 2.43498782E-18 0.00000000E+00 4.87054225E-16
Ht-wall    2.35455857E-20 3.81125743E-16 3.81125743E-16 9.47382979E-17 1.48396791E-19 5.92821322E-20 1.80949812E-19 3.97451921E-21 1.35564959E-20 3.51405369E-20 3.51405369E-20 8.01312548E-20 4.97619995E-17 4.97619995E-17 1.08384035E-16 1.08384035E-16 1.08384035E-16 5.25081300E-16 1.52528804E-15 1.61082824E-19 1.61082824E-19 1.69141772E-19 1.69141772E-19 1.81110030E-21 4.29789951E-16
Adrenals   5.31538071E-21 3.94279612E-19 3.94279612E-19 1.01967318E-18 8.22669561E-19 3.02538986E-19 4.81101556E-19 3.24024173E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 6.32859712E-22 1.40091108E-19 1.40091108E-19 2.55723389E-19 2.55723389E-19 2.55723389E-19 1.18706858E-19 1.02390293E-15 2.25266014E-19 2.25266014E-19 1.25160425E-19 1.25160425E-19 9.28557405E-21 4.17071010E-16
