  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-wall        St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        Thyroid        S-glands       UB-cont        Other          
Bchiol-sec 1.21619615E-18 2.23503620E-16 2.23503620E-16 7.34902333E-17 7.54448886E-17 6.05638734E-18 1.82391771E-18 1.05093164E-17 1.74893585E-20 1.30546942E-18 3.87149926E-18 3.87149926E-18 1.04064567E-17 8.45051966E-16 8.45051966E-16 6.54441030E-13 3.82888137E-13 2.41399931E-15 4.23759659E-16 4.65384204E-16 9.76462482E-17 8.59247250E-18 8.77287757E-17 3.18833121E-18 3.64975804E-21 1.59428756E-16
AI         1.21619615E-18 2.23503620E-16 2.23503620E-16 7.34902333E-17 7.54448886E-17 6.05638734E-18 1.82391771E-18 1.05093164E-17 1.74893585E-20 1.30546942E-18 3.87149926E-18 3.87149926E-18 1.04064567E-17 8.45051966E-16 8.45051966E-16 8.52085521E-15 8.52085521E-15 1.04181526E-14 4.23759659E-16 1.31969675E-15 9.76462482E-17 8.59247250E-18 8.77287757E-17 3.18833121E-18 3.64975804E-21 1.01382989E-16
LN-Th      1.23335546E-17 2.35840379E-15 2.35840379E-15 9.21363632E-18 1.03000722E-17 1.13270673E-18 2.92877862E-19 1.20563781E-18 1.13131284E-20 3.68388440E-19 1.70071034E-16 1.70071034E-16 5.26154758E-16 2.83521151E-15 2.83521151E-15 3.95673505E-16 3.95673505E-16 3.95673505E-16 6.75365455E-13 2.11391166E-16 1.75326173E-17 1.55334215E-18 3.05246664E-15 2.14275083E-17 0.00000000E+00 3.20397128E-17
R-marrow   2.32155373E-17 7.11558621E-17 7.11558621E-17 1.59575176E-17 1.39121791E-17 1.69782642E-17 9.80932554E-18 1.64767830E-17 3.38027195E-17 7.49802574E-18 2.70415347E-17 2.70415347E-17 3.05294730E-17 4.56780516E-17 4.56780516E-17 4.89288677E-17 4.89288677E-17 4.89288677E-17 5.89985470E-17 3.92565283E-16 2.39140862E-17 2.64471273E-17 3.92421087E-17 1.30920249E-17 2.89929857E-17 1.86802038E-16
Endost-BS  3.09236084E-17 3.33525079E-17 3.33525079E-17 7.02586433E-18 6.13745747E-18 7.91971859E-18 4.68973080E-18 7.66385101E-18 1.82391771E-17 1.51011543E-17 3.28013592E-17 3.28013592E-17 2.05046547E-17 2.05286873E-17 2.05286873E-17 2.20267223E-17 2.20267223E-17 2.20267223E-17 2.67210995E-17 1.60794432E-16 1.06845946E-17 1.19783521E-17 2.11166861E-17 1.37356192E-17 1.69109728E-17 1.85941105E-16
Brain      3.26042915E-17 3.11943762E-19 3.11943762E-19 2.28133910E-21 2.47103680E-21 3.37065889E-22 3.92517218E-22 7.58630567E-22 0.00000000E+00 4.09980941E-17 1.90578893E-16 1.90578893E-16 6.21115759E-18 9.51035941E-20 9.51035941E-20 5.70967635E-20 5.70967635E-20 5.70967635E-20 1.95609727E-19 1.03835456E-16 5.84265700E-21 5.39276584E-22 4.44043213E-19 1.97724600E-17 3.76976106E-23 1.96892436E-16
Eye-lens   1.03832252E-16 1.08666018E-19 1.08666018E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.17183188E-15 4.85795933E-16 4.85795933E-16 5.16509656E-18 2.01505737E-19 2.01505737E-19 1.80292920E-19 1.80292920E-19 1.80292920E-19 1.70231252E-19 7.91555293E-17 2.36897815E-21 0.00000000E+00 1.42422274E-19 8.05285946E-18 0.00000000E+00 1.75819791E-16
P-gland    3.00520244E-16 9.99485758E-19 9.99485758E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.75926835E-16 3.63245453E-15 3.63245453E-15 4.28133601E-17 7.17839153E-19 7.17839153E-19 7.39244231E-20 7.39244231E-20 7.40638125E-20 9.17326148E-19 9.38554986E-17 0.00000000E+00 5.18848834E-22 1.74236693E-18 3.72634207E-17 0.00000000E+00 1.92364919E-16
Tongue     1.17654228E-13 3.59480338E-17 3.59480338E-17 1.27119887E-19 1.19969373E-19 1.41909578E-20 1.08483370E-20 3.31362141E-20 1.70247274E-23 1.60746367E-16 1.62941349E-15 1.62941349E-15 1.50050237E-15 7.06575853E-18 7.06575853E-18 1.64239112E-18 1.64239112E-18 1.64239112E-18 1.61611542E-17 1.07876145E-16 1.79043222E-19 5.75758142E-21 3.61130580E-17 3.72457968E-16 0.00000000E+00 8.58295652E-17
Tonsils    1.28204560E-15 6.03619991E-18 6.03619991E-18 1.04652566E-23 4.24704943E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.02742772E-16 2.41672301E-15 2.41672301E-15 2.12929255E-16 1.28023514E-18 1.28023514E-18 1.91684395E-19 1.91684395E-19 1.91684395E-19 3.53199807E-18 9.23478505E-17 5.66305301E-20 1.92918071E-20 7.56483650E-18 1.75678652E-16 0.00000000E+00 1.88859395E-16
S-glands   2.36705554E-16 3.93510567E-17 3.93510567E-17 1.61787782E-19 9.78737572E-20 1.30040655E-20 1.88015411E-20 4.74805002E-20 0.00000000E+00 9.69765384E-18 2.82127258E-16 2.82127258E-16 7.14138126E-16 8.01921375E-18 8.01921375E-18 3.01097027E-18 3.01097027E-18 3.01097027E-18 1.96811360E-17 9.25497248E-17 2.26643886E-19 2.25201927E-20 5.71320113E-17 1.24378563E-13 0.00000000E+00 2.09088012E-17
Thyroid    2.85892372E-17 1.76992437E-15 1.76992437E-15 6.86228211E-19 8.19641447E-19 7.28349431E-20 4.79243031E-20 1.40334638E-19 0.00000000E+00 9.03963996E-19 3.18576773E-16 3.18576773E-16 8.48833103E-16 8.11838848E-16 8.11838848E-16 9.21716111E-17 9.21716111E-17 9.21716111E-17 3.08258756E-15 3.22053496E-16 1.60698302E-18 8.74644166E-20 4.71728823E-13 6.40518116E-17 0.00000000E+00 3.16704633E-17
Breast     1.87855193E-18 5.41006934E-18 5.41006934E-18 3.36104583E-17 3.40013894E-17 2.35391769E-18 1.66145702E-18 6.63941936E-18 1.95705858E-21 7.73306503E-18 1.43591863E-18 1.43591863E-18 3.42096724E-18 6.29382989E-17 6.29382989E-17 6.12640245E-17 6.12640245E-17 6.12640245E-17 6.87590061E-18 1.00262602E-16 2.98966132E-17 1.22327777E-18 1.15781284E-18 2.21484878E-18 1.50077474E-22 1.76405366E-16
Thymus     7.15403845E-18 5.66433475E-16 5.66433475E-16 3.17775684E-18 3.24953435E-18 2.37122120E-19 1.88560151E-19 3.86909600E-19 2.58703437E-21 1.05125208E-18 4.72273563E-17 4.72273563E-17 1.16793859E-16 7.04925611E-16 7.04925611E-16 2.57678044E-16 2.57678044E-16 2.57678044E-16 1.65232461E-15 1.09995825E-16 6.16950100E-18 5.63549558E-19 1.64094916E-15 1.08337572E-17 0.00000000E+00 1.88931888E-16
Ht-wall    8.78761760E-19 7.89536551E-16 7.89536551E-16 2.89000595E-16 3.46422600E-16 1.35504076E-17 2.51477621E-18 1.47933762E-17 3.56324051E-20 1.27485183E-18 2.20331310E-18 2.20331310E-18 5.69237284E-18 6.14210378E-16 6.14210378E-16 3.46678948E-16 3.46678948E-16 3.46678948E-16 7.53263275E-16 5.51421082E-16 9.05357889E-17 9.66689205E-18 3.65985175E-17 1.35473635E-18 4.86452825E-21 1.68746510E-16
Adrenals   4.33997567E-20 4.93678641E-17 4.93678641E-17 1.77184698E-16 1.79203440E-16 1.48786119E-16 2.75446182E-17 6.65367873E-17 1.66337963E-19 1.00371550E-20 8.61538362E-20 8.61538362E-20 4.97860322E-20 1.20116773E-17 1.20116773E-17 2.93630885E-17 2.93630885E-17 2.93630885E-17 5.77760863E-18 4.62292004E-16 2.83857608E-16 1.61627564E-15 4.95985775E-19 1.29737843E-20 5.89713100E-20 1.64917316E-16
Liver      1.46241863E-19 9.84681647E-17 9.84681647E-17 1.83689534E-16 1.32104258E-16 4.59472173E-17 1.68981554E-16 3.14779614E-17 1.44407371E-19 4.79851858E-19 1.63934698E-19 1.63934698E-19 4.45196780E-19 5.71175918E-17 5.71175918E-17 1.00711212E-16 1.00711212E-16 1.00711212E-16 1.76848241E-17 5.68948892E-16 5.39420780E-15 1.46001537E-16 1.57083791E-18 2.53207972E-19 7.94471255E-20 1.48842427E-17
Pancreas   3.34502407E-20 3.89360930E-17 3.89360930E-17 6.46045625E-16 3.75389951E-16 6.95264487E-16 3.11623327E-16 2.63926533E-16 1.12665051E-18 1.15983158E-19 3.17935902E-20 3.17935902E-20 5.81622108E-20 6.77832806E-18 6.77832806E-18 1.01247941E-17 1.01247941E-17 1.01247941E-17 2.16277804E-18 4.73170782E-16 2.73763896E-16 2.00191952E-16 1.60938628E-19 2.18104285E-20 3.54497570E-19 1.68181599E-16
Kidneys    8.69292897E-21 1.43441259E-17 1.43441259E-17 7.51773251E-17 7.78978208E-17 2.68893280E-16 1.38516168E-16 1.28996035E-16 1.49923665E-18 2.50452228E-20 1.10248968E-20 1.10248968E-20 2.90218249E-20 4.30873323E-18 4.30873323E-18 8.45436489E-18 8.45436489E-18 8.45436489E-18 1.75935000E-18 5.97980330E-16 1.45756404E-16 2.79868189E-14 1.54717377E-19 2.01281432E-20 3.17118792E-19 2.98986777E-17
Spleen     4.51637530E-20 6.45084319E-17 6.45084319E-17 4.05927435E-16 3.72041402E-16 1.07653443E-16 1.40898605E-18 2.38275687E-16 2.34590681E-19 8.54681047E-20 1.18327142E-19 1.18327142E-19 3.05935600E-19 6.24993026E-17 6.24993026E-17 1.64447395E-16 1.64447395E-16 1.64447395E-16 2.04870307E-17 7.61850941E-16 1.13302717E-17 2.65448600E-16 1.81847031E-18 1.60473997E-19 2.55354888E-20 1.47624398E-16
GB-wall    4.16277495E-20 2.77448902E-17 2.77448902E-17 1.02074664E-16 5.11110321E-17 1.52693828E-16 7.35030507E-16 3.92324956E-17 3.26251198E-19 1.55486422E-19 4.51893878E-20 4.51893878E-20 7.93477905E-20 1.09111423E-17 1.09111423E-17 1.45178018E-17 1.45178018E-17 1.45178018E-17 3.04846120E-18 1.16564748E-16 8.76983344E-16 1.64062872E-16 3.97435899E-19 5.38587648E-20 1.61563477E-19 1.72532415E-16
Ureters    3.09892976E-21 2.74068310E-18 2.74068310E-18 2.33100657E-17 2.08058639E-17 3.93638741E-16 1.21496247E-16 5.44756027E-17 1.32254862E-16 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.95994250E-22 6.96658380E-19 6.96658380E-19 9.22116655E-19 9.22116655E-19 9.22997852E-19 1.62765109E-19 1.05939114E-16 1.27775177E-17 2.97251804E-16 2.42377259E-20 2.83473086E-22 2.84802892E-16 2.04228943E-16
UB-wall    0.00000000E+00 3.85483663E-21 3.85483663E-21 1.19951749E-19 7.84153238E-20 5.16253308E-17 1.77457068E-18 6.08971261E-19 4.07241219E-16 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 8.01312548E-22 8.01312548E-22 4.00608209E-21 4.00608209E-21 4.00608209E-21 1.19817166E-21 6.60256930E-17 7.42592780E-20 2.97732457E-19 0.00000000E+00 0.00000000E+00 4.16453734E-15 2.02941280E-16
Ovaries    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Testes     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.22013596E-21 6.28694053E-20 2.02258760E-20 1.04029319E-20 1.57756706E-18 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.34004439E-16 1.57404227E-22 5.62588252E-21 0.00000000E+00 0.00000000E+00 7.12423797E-18 2.01633158E-16
Prostate   0.00000000E+00 0.00000000E+00 0.00000000E+00 4.26547446E-21 8.66136609E-21 6.06263583E-18 2.70223086E-19 8.52694348E-20 1.00509338E-16 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 5.98124526E-22 5.98124526E-22 5.98124526E-22 0.00000000E+00 9.39612423E-17 5.77184079E-21 2.48097029E-20 0.00000000E+00 0.00000000E+00 1.27863297E-15 2.05364689E-16
Uterus     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
LN-Sys     6.86484559E-18 2.86565286E-16 2.86565286E-16 3.01689833E-16 2.17078892E-16 2.20139049E-16 1.04490746E-16 1.48226960E-16 2.11503318E-16 6.49842783E-19 1.77617285E-17 1.77617285E-17 4.84225800E-17 1.30769645E-16 1.30769645E-16 9.35639025E-17 9.35639025E-17 9.35639025E-17 1.77425024E-16 1.76463718E-16 5.05550769E-17 5.65039582E-17 3.30801379E-16 7.82679236E-17 1.82055314E-16 1.94074767E-16
Skin       4.85299258E-18 3.90274170E-18 3.90274170E-18 5.99438311E-18 5.02779003E-18 4.75734264E-18 6.95649009E-18 9.81365142E-18 7.89921073E-18 3.18801077E-17 8.04981532E-18 8.04981532E-18 1.41718919E-17 7.93541992E-18 7.93541992E-18 6.55546531E-18 6.55546531E-18 6.55546531E-18 6.83152032E-18 1.05227747E-16 5.84121504E-18 6.46830691E-18 1.50534094E-17 2.91948599E-17 3.87470362E-18 1.79012069E-16
Adipose    7.03419565E-18 1.94760574E-17 1.94760574E-17 3.16686204E-17 2.50900838E-17 3.96490615E-17 3.24232456E-17 3.80548959E-17 3.36360932E-17 1.54420974E-17 1.73515714E-17 1.73515714E-17 1.70711905E-17 1.70888144E-17 1.70888144E-17 1.49020037E-17 1.49020037E-17 1.49020037E-17 2.46046243E-17 4.10253311E-17 1.14397003E-17 3.14026591E-17 2.27765409E-17 1.13196973E-17 3.20082819E-17 1.85377709E-16
Muscle     2.11519340E-17 1.13469343E-17 1.13469343E-17 1.09294071E-17 8.73170164E-18 1.37843254E-17 1.80997878E-17 1.58652322E-17 2.89176834E-17 3.18400533E-18 2.44748480E-17 2.44748480E-17 4.06263892E-17 1.66514202E-17 1.66514202E-17 1.85772364E-17 1.85772364E-17 1.85772364E-17 1.39288417E-17 6.83168054E-17 1.02220462E-17 2.08987901E-17 2.82623932E-17 2.64503316E-17 1.78834939E-17 2.00005639E-16
