  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          C-bone-S       C-bone-V       C-marrow       T-bone-S       T-bone-V       T-marrow       Kidneys        Ovaries        Testes         Ureters        UB-cont        Other          
O-mucosa   1.46985273E-15 2.31738807E-19 2.31738807E-19 4.32731847E-21 1.36388478E-21 1.49539142E-21 1.88480042E-21 1.04923334E-22 2.57117283E-18 7.12792297E-17 7.12792297E-17 4.76439222E-17 3.80068306E-20 3.80068306E-20 1.92293222E-20 1.92293222E-20 1.92293222E-20 7.58822828E-20 1.34110183E-13 5.16349438E-21 4.54873926E-19 4.54873926E-19 1.00418013E-21 5.52206148E-19 5.52206148E-19 3.12392371E-19 1.56370823E-21 0.00000000E+00 2.09724902E-23 5.32515399E-22 7.54320712E-23 2.86569229E-13
Oesophagus 2.24128469E-19 1.59831524E-15 1.44572395E-15 1.73291409E-18 8.14786852E-20 2.81021756E-20 4.91115159E-20 2.27877562E-21 1.49545551E-20 2.19578288E-17 2.19578288E-17 2.38099448E-17 3.02907487E-17 3.02907487E-17 2.41752410E-18 2.41752410E-18 2.41752410E-18 1.07603775E-16 6.82046531E-13 1.22034579E-18 4.71152040E-19 4.71152040E-19 7.70294411E-21 1.59310817E-19 1.59310817E-19 3.46694970E-19 7.81637821E-20 0.00000000E+00 1.21872759E-22 2.19722483E-20 1.16234700E-21 2.21344308E-13
St-stem    4.86901434E-21 5.63934080E-18 5.63934080E-18 9.71655952E-17 3.00776592E-18 5.73611226E-19 8.42808919E-18 1.44399360E-20 4.34542307E-21 4.62900831E-21 4.62900831E-21 8.56507528E-21 3.06944971E-19 3.06944971E-19 1.08345583E-18 1.08345583E-18 1.08345583E-18 6.77191936E-20 6.82046531E-13 2.95377257E-18 3.87165948E-20 3.87165948E-20 8.65111216E-21 6.66473375E-20 6.66473375E-20 6.97667751E-20 3.53712503E-19 0.00000000E+00 5.23463102E-22 1.17332191E-19 6.51188611E-21 2.21433248E-13
SI-stem    8.96209462E-22 5.02138133E-20 5.02138133E-20 1.21653261E-18 3.86861535E-17 2.93182275E-18 3.21765104E-18 3.46727014E-18 8.41158677E-22 8.33724579E-22 8.33724579E-22 1.47177534E-21 1.82792315E-20 1.82792315E-20 2.46414744E-20 2.46414744E-20 2.46414744E-20 9.61161696E-21 7.38923796E-13 1.95241227E-19 6.13393268E-20 6.13393268E-20 4.22397809E-21 5.69990307E-20 5.69990307E-20 1.06645674E-19 1.51698876E-18 0.00000000E+00 9.20706740E-21 1.39773877E-17 2.13714322E-18 2.15700708E-13
RC-stem    1.25211695E-21 2.25922906E-20 2.25922906E-20 1.27169554E-19 4.45613346E-18 1.29954137E-16 1.97724600E-18 3.71624836E-20 1.23961997E-21 1.06152203E-21 1.06152203E-21 1.83465230E-21 1.65280526E-20 1.65280526E-20 2.09548663E-20 2.09548663E-20 2.09548663E-20 9.50298940E-21 7.48488789E-13 1.55478411E-18 4.35872113E-20 4.35872113E-20 4.78217638E-21 7.11350338E-20 7.11350338E-20 7.17951306E-20 2.08603379E-18 0.00000000E+00 2.84626653E-21 1.20397154E-18 4.54649622E-20 2.14968578E-13
LC-stem    1.88271759E-21 4.26579490E-20 4.26579490E-20 3.25001500E-18 6.62948587E-18 1.94247877E-18 1.78386330E-16 2.54041104E-18 1.79571941E-21 1.69558338E-21 1.69558338E-21 2.93630885E-21 4.73523261E-20 4.73523261E-20 7.68035343E-20 7.68035343E-20 7.68035343E-20 1.61707673E-20 7.48488789E-13 9.73626629E-20 3.57493640E-20 3.57493640E-20 7.71800457E-21 2.33052592E-19 2.33052592E-19 1.69125750E-19 7.89408377E-19 0.00000000E+00 1.56465351E-21 2.45309242E-19 2.13666256E-20 2.14968654E-13
RS-stem    9.25112725E-23 1.50266531E-21 1.50266531E-21 7.57797435E-21 8.38547130E-19 2.36609424E-20 1.17687874E-19 2.09901142E-16 9.16412907E-23 7.68900518E-23 7.68900518E-23 1.46152141E-22 1.13924361E-21 1.13924361E-21 1.49032855E-21 1.49032855E-21 1.49032855E-21 6.66921984E-22 7.48488789E-13 5.48793512E-21 1.39746640E-19 1.39746640E-19 4.19145391E-21 7.76831291E-20 7.76831291E-20 1.46648816E-19 1.61419281E-20 0.00000000E+00 5.21828882E-20 7.90722162E-19 5.94391455E-18 2.15034386E-13
ET1-bas    2.45341285E-18 1.35138780E-20 1.35138780E-20 3.46118186E-21 1.06857161E-21 1.40403532E-21 2.03941045E-21 1.00805740E-22 1.03341986E-10 7.10373011E-17 7.10373011E-17 1.09153080E-19 2.03636631E-20 2.03636631E-20 9.62395372E-21 9.62395372E-21 9.62395372E-21 1.30405951E-20 1.34108581E-13 4.11951618E-21 9.37721854E-19 9.37721854E-19 6.00832204E-22 1.38379983E-19 1.38379983E-19 1.02486423E-19 1.01691744E-21 0.00000000E+00 1.89553500E-23 3.97019333E-22 6.85218840E-23 2.55970489E-13
ET2-bas    6.56876338E-17 2.16229739E-17 2.16229739E-17 4.23022658E-21 1.20453230E-21 1.17022971E-21 1.72538386E-21 9.41663208E-23 7.10629359E-17 2.60097331E-13 5.12696476E-09 4.97571930E-16 3.35976409E-18 3.35976409E-18 2.86885722E-20 2.86885722E-20 2.86885722E-20 5.15179849E-18 1.34110183E-13 5.09540188E-21 7.52205839E-19 7.52205839E-19 9.79586726E-22 4.10894182E-19 4.10894182E-19 2.77480946E-19 1.68869402E-21 0.00000000E+00 1.77841590E-23 5.26443150E-22 5.17679245E-23 2.55970859E-13
LN-ET      4.79291096E-17 2.53784756E-17 2.53784756E-17 8.56860007E-21 2.28774781E-21 2.33693462E-21 2.79948298E-21 8.45628750E-23 1.20677535E-19 5.38187104E-16 5.38187104E-16 1.05184489E-09 1.18815806E-17 1.18815806E-17 6.46734561E-20 6.46734561E-20 6.46862735E-20 2.11214926E-17 1.77008458E-13 1.04466713E-20 1.24598061E-19 1.24598061E-19 1.67571639E-21 1.02670674E-18 1.02670674E-18 3.93782937E-19 2.99398720E-21 0.00000000E+00 1.13760939E-23 8.49682256E-22 9.63260548E-23 1.37352783E-18
