  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        C-bone-S       C-bone-V       T-bone-S       T-bone-V       UB-cont        Other          
O-mucosa   1.58077141E-15 1.61114868E-17 1.61114868E-17 7.03307412E-19 1.55890170E-19 8.30696465E-20 6.62772347E-20 9.69060426E-21 1.19357342E-16 2.78922905E-16 2.78922905E-16 4.34350046E-16 1.55183610E-17 1.55183610E-17 3.97900531E-18 3.97900531E-18 3.97900531E-18 1.80741529E-17 1.13403654E-13 9.41438904E-19 2.83601260E-19 1.38846217E-17 1.38846217E-17 1.26669675E-17 1.26669675E-17 8.53751785E-21 3.16994415E-13
Oesophagus 1.63614263E-17 4.06552284E-14 1.84538688E-15 2.08955857E-17 2.67130886E-18 9.19344890E-19 8.15924398E-19 1.35167619E-19 3.59528404E-18 5.08018120E-17 5.08018120E-17 5.45028397E-17 2.42970064E-16 2.42970064E-16 4.30376648E-17 4.30376648E-17 4.30376648E-17 2.40326473E-16 7.21123615E-13 1.91860634E-17 6.59391755E-18 9.93125117E-18 9.93125117E-18 8.12623914E-18 8.12623914E-18 1.03816230E-19 2.56867180E-13
St-stem    6.53351550E-19 1.92229135E-17 1.92229135E-17 7.46678330E-16 4.27604883E-17 6.43626338E-18 1.13954803E-17 1.17502021E-18 5.40974891E-19 5.15916851E-19 5.15916851E-19 7.59335524E-19 5.47559836E-18 5.47559836E-18 1.25737209E-17 1.25737209E-17 1.25737209E-17 4.38691944E-18 7.21123615E-13 3.60665949E-17 3.85131184E-17 3.08787474E-18 3.08787474E-18 3.93286262E-18 3.93286262E-18 1.00703201E-18 2.56843877E-13
SI-stem    1.35994342E-19 2.09628772E-18 2.09628772E-18 2.27348844E-17 1.58881434E-16 4.09356092E-17 5.47111227E-17 4.34958873E-17 1.29548786E-19 1.02399906E-19 1.02399906E-19 1.51215019E-19 9.44867561E-19 9.44867561E-19 1.85435907E-18 1.85435907E-18 1.85435907E-18 7.98284435E-19 7.83095802E-13 1.16598394E-17 3.13113351E-17 4.29319211E-18 4.29319211E-18 7.03339456E-18 7.03339456E-18 3.77937412E-17 2.51656928E-13
RC-stem    9.35238481E-20 9.77455831E-19 9.77455831E-19 4.48481242E-18 3.18496664E-17 2.82383606E-16 2.01665954E-17 9.20081891E-18 9.07280501E-20 6.84001186E-20 6.84001186E-20 9.78737572E-20 5.52718844E-19 5.52718844E-19 1.05484096E-18 1.05484096E-18 1.05484096E-18 4.69277493E-19 7.61145984E-13 9.77600027E-18 2.73860027E-17 3.87854884E-18 3.87854884E-18 5.92324647E-18 5.92324647E-18 1.42055376E-17 2.53515191E-13
LC-stem    6.59952517E-20 7.87790179E-19 7.87790179E-19 8.40934373E-18 4.12736685E-17 1.99855495E-17 3.40494547E-16 2.22430162E-17 7.74556201E-20 4.79867880E-20 4.79867880E-20 6.78890243E-20 4.06376044E-19 4.06376044E-19 7.90273552E-19 7.90273552E-19 7.90273552E-19 3.34358211E-19 7.61145984E-13 3.42481246E-18 1.19847608E-17 3.99390555E-18 3.99390555E-18 5.85066788E-18 5.85066788E-18 1.89313174E-17 2.53515572E-13
RS-stem    1.08497790E-20 1.16665685E-19 1.16665685E-19 7.76767204E-19 3.97660204E-17 8.48416537E-18 1.44267982E-17 3.36136627E-16 1.30502081E-20 8.98116052E-21 8.98116052E-21 1.27600540E-20 7.46758439E-20 7.46758439E-20 1.39443828E-19 1.39443828E-19 1.39456646E-19 6.07481237E-20 7.61145984E-13 6.47647801E-19 1.96346728E-18 4.89721265E-18 4.89721265E-18 6.06215517E-18 6.06215517E-18 8.51572825E-17 2.53422959E-13
ET1-bas    1.18346368E-16 3.25706458E-18 3.25706458E-18 4.51925922E-19 1.41871126E-19 1.10977959E-19 5.06656270E-20 6.39989398E-21 2.04774177E-12 8.18327663E-17 8.18327663E-17 2.63686206E-17 3.61402950E-18 3.61402950E-18 1.74493041E-18 1.74493041E-18 1.74493041E-18 3.78386021E-18 1.13398847E-13 5.99326158E-19 2.10285664E-19 1.05666744E-17 1.05666744E-17 7.62684073E-18 7.62684073E-18 2.19097635E-20 2.92037459E-13
ET2-bas    2.77480946E-16 5.03980636E-17 5.03980636E-17 5.46742726E-19 1.19349331E-19 6.15363945E-20 4.55226405E-20 1.01869585E-20 8.21676211E-17 6.48689216E-14 5.57076765E-09 5.70567091E-16 4.78778400E-17 4.78778400E-17 4.28726406E-18 4.28726406E-18 4.28726406E-18 6.49458261E-17 1.13400450E-13 7.54272647E-19 2.69950716E-19 1.34890443E-17 1.34890443E-17 1.33839415E-17 1.33839415E-17 9.55473970E-21 2.92039570E-13
LN-ET      4.35952222E-16 5.49658687E-17 5.49658687E-17 9.53246944E-19 1.57924934E-19 1.00757675E-19 3.99198294E-20 2.42136932E-20 2.69021454E-17 5.80196171E-16 5.80196171E-16 1.22665836E-09 6.07256932E-17 6.07256932E-17 6.76759348E-18 6.76759348E-18 6.76759348E-18 7.83400215E-17 2.06360332E-13 1.08653201E-18 3.42353072E-19 9.55217622E-18 9.55217622E-18 9.29150210E-18 9.29150210E-18 1.46523846E-20 6.55932777E-18
Bronch-bas 4.10878160E-18 1.47446700E-16 1.47446700E-16 1.02289356E-17 1.66193767E-18 7.92628752E-19 5.83480633E-19 1.07483612E-19 1.75518434E-18 4.83825256E-18 4.83825256E-18 7.15451910E-18 7.15019323E-13 4.86228520E-09 7.30672587E-16 1.05577022E-16 8.14162004E-17 7.07601245E-16 6.20506932E-13 1.25825328E-17 4.51685595E-18 7.26522950E-18 7.26522950E-18 5.72521746E-18 5.72521746E-18 1.04035728E-19 3.20511160E-13
Bronch-sec 4.10878160E-18 1.47446700E-16 1.47446700E-16 1.02289356E-17 1.66193767E-18 7.92628752E-19 5.83480633E-19 1.07483612E-19 1.75518434E-18 4.83825256E-18 4.83825256E-18 7.15451910E-18 2.61427137E-09 6.09275674E-10 7.30672587E-16 1.05577022E-16 8.14162004E-17 7.07601245E-16 6.20506932E-13 1.25825328E-17 4.51685595E-18 7.26522950E-18 7.26522950E-18 5.72521746E-18 5.72521746E-18 1.04035728E-19 3.04157150E-13
Bchiol-sec 4.10109115E-18 4.42633298E-17 4.42633298E-17 1.55737963E-17 2.36160814E-18 1.03176961E-18 8.05045619E-19 1.59695339E-19 1.89104891E-18 4.32427434E-18 4.32427434E-18 6.66104874E-18 7.68371800E-17 7.68371800E-17 1.97163838E-09 9.32066171E-10 2.86853678E-13 6.12656267E-17 6.20506932E-13 1.92389353E-17 6.05013885E-18 7.03371500E-18 7.03371500E-18 5.53295628E-18 5.53295628E-18 1.21166199E-19 1.11726160E-13
AI         4.10109115E-18 4.42633298E-17 4.42633298E-17 1.55737963E-17 2.36160814E-18 1.03176961E-18 8.05045619E-19 1.59695339E-19 1.89104891E-18 4.32427434E-18 4.32427434E-18 6.66104874E-18 7.68371800E-17 7.68371800E-17 7.30672587E-16 7.30672587E-16 1.73035061E-11 6.12656267E-17 2.13057429E-12 1.92389353E-17 6.05013885E-18 7.03371500E-18 7.03371500E-18 5.53295628E-18 5.53295628E-18 1.21166199E-19 1.39411554E-13
LN-Th      1.83369099E-17 2.44315893E-16 2.44315893E-16 5.47031118E-18 9.86892651E-19 5.41824044E-19 3.23879977E-19 7.84041086E-20 4.06824654E-18 6.63092783E-17 6.63092783E-17 7.83015693E-17 1.16124150E-15 1.16124150E-15 6.02947077E-17 6.02947077E-17 6.02947077E-17 1.22665836E-09 2.06376353E-13 7.72313154E-18 2.47135723E-18 8.15892354E-18 8.15892354E-18 6.64230328E-18 6.64230328E-18 5.38619691E-20 7.18432946E-18
R-marrow   9.47366957E-18 2.27733366E-17 2.27733366E-17 9.25737574E-18 1.29358127E-17 1.10944313E-17 1.07746369E-17 1.52892498E-17 4.28470058E-18 1.26354046E-17 1.26354046E-17 1.12294948E-17 1.77312872E-17 1.77312872E-17 1.58264596E-17 1.58264596E-17 1.58264596E-17 1.73916258E-17 5.85483354E-13 1.18956798E-17 1.31753381E-17 2.01073149E-17 1.38868647E-17 2.37330403E-12 2.05639352E-13 1.16335637E-17 2.20401468E-13
Endost-BS  9.86556194E-18 9.89343981E-18 9.89343981E-18 4.15011775E-18 6.79226700E-18 5.95384804E-18 6.01489097E-18 9.50939810E-18 6.61666846E-18 1.25596217E-17 1.25596217E-17 8.47471253E-18 7.87165330E-18 7.87165330E-18 6.70494838E-18 6.70494838E-18 6.70494838E-18 7.87325547E-18 2.22109726E-13 5.10277189E-18 5.89232447E-18 2.67723691E-12 1.62957370E-17 1.78834939E-11 1.47252837E-12 8.23214301E-18 2.15376129E-13
Brain      1.98749993E-17 2.11759666E-18 2.11759666E-18 1.37604530E-19 2.82896302E-20 1.64527503E-20 1.15896641E-20 2.26387538E-21 2.13650235E-17 3.41215526E-17 3.41215526E-17 1.33136060E-17 2.05431069E-18 2.05431069E-18 8.40982438E-19 8.40982438E-19 8.40982438E-19 2.31866981E-18 1.38524179E-13 1.82295641E-19 6.26434985E-20 1.01635668E-17 1.01635668E-17 1.53260998E-17 1.53260998E-17 1.75069825E-21 3.05427514E-13
Eye-lens   4.39220662E-17 2.22542314E-18 2.22542314E-18 3.65376348E-19 3.50732455E-20 1.50758399E-22 1.30744010E-20 0.00000000E+00 1.84282340E-16 4.41399622E-17 4.41399622E-17 1.56218616E-17 2.16454043E-18 2.16454043E-18 1.48936724E-18 1.48936724E-18 1.48936724E-18 2.11935906E-18 4.61506937E-18 5.59576160E-19 1.87358518E-19 7.86123915E-18 7.86123915E-18 6.84722165E-18 6.84722165E-18 0.00000000E+00 3.17012860E-13
