  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        C-bone-S       C-bone-V       T-bone-S       T-bone-V       UB-cont        Other          
P-gland    6.44363340E-17 4.66473684E-18 4.66473684E-18 1.67667769E-19 3.86332816E-20 5.20739402E-21 1.32745128E-20 0.00000000E+00 3.73931970E-17 1.51714898E-16 1.51714898E-16 3.96426528E-17 4.56155668E-18 4.56155668E-18 1.62108217E-18 1.62108217E-18 1.62124239E-18 5.84874527E-18 1.13400450E-13 3.73659600E-19 1.16011997E-19 2.06536571E-17 2.06536571E-17 2.10814382E-17 2.10814382E-17 0.00000000E+00 3.07754788E-13
Tongue     9.13288663E-15 1.82968555E-17 1.82968555E-17 7.03483652E-19 1.46953230E-19 7.66881776E-20 6.33084017E-20 9.81637512E-21 8.98468530E-17 2.95489409E-16 2.95489409E-16 3.85387532E-16 1.72778712E-17 1.72778712E-17 4.24544726E-18 4.24544726E-18 4.24544726E-18 1.99903560E-17 1.13403654E-13 9.57636908E-19 2.97331912E-19 1.17817650E-17 1.17817650E-17 1.24384972E-17 1.24384972E-17 8.32651120E-21 8.95937239E-18
Tonsils    5.51228820E-16 1.24839990E-17 1.24839990E-17 5.23943755E-19 1.12394283E-19 4.32171086E-20 5.13177129E-20 1.74893585E-20 6.28373618E-17 3.47303797E-16 3.47303797E-16 1.47706253E-16 1.15758853E-17 1.15758853E-17 3.18304403E-18 3.18304403E-18 3.18304403E-18 1.35654681E-17 1.13400450E-13 6.94046832E-19 1.97500296E-19 1.29137027E-17 1.29137027E-17 1.30031042E-17 1.30031042E-17 7.37017206E-21 3.07480173E-13
S-glands   1.32437511E-16 1.52086603E-17 1.52086603E-17 5.67779303E-19 1.09380589E-19 6.37329785E-20 4.43963105E-20 5.99278093E-21 2.39477320E-17 1.27812027E-16 1.27812027E-16 1.99583125E-16 1.39286815E-17 1.39286815E-17 3.82022962E-18 3.82022962E-18 3.82022962E-18 1.67844009E-17 1.13400450E-13 7.69156866E-19 2.46142374E-19 1.04799966E-17 1.04799966E-17 1.09667378E-17 1.09667378E-17 6.25025069E-21 3.07566754E-13
Thyroid    3.37194063E-17 1.74316802E-16 1.74316802E-16 1.85275689E-18 3.42256941E-19 1.92533548E-19 1.31557916E-19 2.05158699E-20 7.37017206E-18 5.80548650E-17 5.80548650E-17 1.01145402E-16 2.47664441E-16 2.47664441E-16 2.07497877E-17 2.07497877E-17 2.07497877E-17 4.16245451E-16 4.80172293E-13 2.72514199E-18 8.66040478E-19 7.51036250E-18 7.51036250E-18 6.97283229E-18 6.97283229E-18 2.20587659E-20 2.76959731E-13
Breast     4.92813466E-18 1.15592227E-17 1.15592227E-17 8.28661701E-18 1.47983429E-18 6.67354572E-19 5.29134807E-19 9.15948276E-20 3.84906879E-18 3.55362745E-18 3.55362745E-18 5.88591576E-18 1.33595884E-17 1.33595884E-17 2.12048058E-17 2.12048058E-17 2.12048058E-17 1.28302293E-17 1.13403654E-13 1.01033249E-17 2.76423509E-18 1.98157188E-18 1.98157188E-18 2.28053801E-18 2.28053801E-18 7.89440420E-20 3.07513020E-13
Thymus     1.21260727E-17 7.99470045E-17 7.99470045E-17 3.99903251E-18 7.48584920E-19 3.92180760E-19 2.56732760E-19 5.19297443E-20 4.56764495E-18 1.39882825E-17 1.39882825E-17 2.26019037E-17 1.31777414E-16 1.31777414E-16 4.63701919E-17 4.63701919E-17 4.63701919E-17 1.48436845E-16 1.13402052E-13 5.93141757E-18 1.77425024E-18 7.14122104E-18 7.14122104E-18 8.13200698E-18 8.13200698E-18 4.43049864E-20 3.07571370E-13
Ht-wall    3.51341282E-18 8.84497551E-17 8.84497551E-17 3.61963712E-17 3.68228222E-18 1.19105800E-18 1.22215625E-18 1.90835241E-19 1.95850054E-18 3.23447389E-18 3.23447389E-18 4.98949802E-18 8.38338847E-17 8.38338847E-17 5.55186196E-17 5.55186196E-17 5.55186196E-17 8.03667748E-17 5.35191034E-13 2.28582519E-17 7.74556201E-18 4.67787469E-18 4.67787469E-18 4.71039887E-18 4.71039887E-18 1.52128260E-19 2.72319122E-13
Adrenals   6.02065880E-19 1.80533247E-17 1.80533247E-17 5.24969148E-17 2.28967042E-17 8.84657769E-18 5.26731542E-18 1.07772004E-18 4.01345210E-19 5.37690429E-19 5.37690429E-19 7.48392659E-19 6.26050462E-18 6.26050462E-18 1.20116773E-17 1.20116773E-17 1.20116773E-17 5.32323138E-18 6.04469145E-13 7.20819202E-17 1.19669766E-16 8.19993926E-18 8.19993926E-18 9.63484852E-18 9.63484852E-18 8.25809827E-19 2.66564208E-13
Liver      1.02270130E-18 1.95689836E-17 1.95689836E-17 3.38107304E-17 1.37606132E-17 9.43313450E-18 3.51004825E-18 7.53199188E-19 7.41246952E-19 8.35214603E-19 8.35214603E-19 1.25504893E-18 8.80684371E-18 8.80684371E-18 1.94311964E-17 1.94311964E-17 1.94311964E-17 7.73915330E-18 8.60512969E-13 8.60512969E-12 3.47880581E-17 3.94167459E-18 3.94167459E-18 4.57741822E-18 4.57741822E-18 6.53784137E-19 4.67681960E-18
Pancreas   4.16806213E-19 7.21123615E-18 7.21123615E-18 7.71415935E-17 7.98060130E-17 2.48129073E-17 1.41472184E-17 2.05415047E-18 3.48777799E-19 3.06736688E-19 3.06736688E-19 4.57357300E-19 2.98469458E-18 2.98469458E-18 5.80019932E-18 5.80019932E-18 5.80019932E-18 2.53047754E-18 6.46366060E-13 4.41431666E-17 8.06343382E-17 4.27733057E-18 4.27733057E-18 6.87846409E-18 6.87846409E-18 1.83112751E-18 2.63102400E-13
Kidneys    3.41584027E-19 6.73907474E-18 6.73907474E-18 3.92244848E-17 3.84778705E-17 2.42601564E-17 1.24500328E-17 2.34943160E-18 2.47456158E-19 2.81886931E-19 2.81886931E-19 4.21084024E-19 3.08979736E-18 3.08979736E-18 5.96938916E-18 5.96938916E-18 5.96938916E-18 2.58206763E-18 8.72513271E-13 3.47415949E-17 4.36240614E-11 4.79355183E-18 4.79355183E-18 6.76230630E-18 6.76230630E-18 1.77441046E-18 6.50010270E-18
Spleen     7.92628752E-19 1.81398422E-17 1.81398422E-17 1.06181042E-16 1.53523755E-17 2.33148722E-18 4.72065280E-18 7.08210073E-19 5.09828580E-19 7.45188306E-19 7.45188306E-19 1.07937028E-18 8.82158374E-18 8.82158374E-18 2.16870609E-17 2.16870609E-17 2.16870609E-17 6.84129360E-18 1.16359670E-12 1.57455496E-17 4.85715824E-17 4.04789889E-18 4.04789889E-18 4.44139344E-18 4.44139344E-18 4.90442244E-19 2.19912449E-13
GB-wall    6.45020232E-19 1.27895340E-17 1.27895340E-17 3.91507846E-17 3.27084330E-17 1.35061876E-17 6.73827365E-18 1.19392590E-18 5.35671687E-19 5.36665036E-19 5.36665036E-19 7.66737580E-19 5.11030212E-18 5.11030212E-18 9.87998152E-18 9.87998152E-18 9.87998152E-18 4.49458570E-18 1.13403654E-13 1.15774875E-16 6.75798042E-17 5.75485772E-18 5.75485772E-18 7.71736370E-18 7.71736370E-18 1.07485214E-18 3.07388257E-13
Ureters    1.19990201E-19 1.94007551E-18 1.94007551E-18 1.23899512E-17 5.44852158E-17 4.02707060E-17 4.03283844E-17 4.23935898E-17 9.69252688E-20 8.20602753E-20 8.20602753E-20 1.23804984E-19 8.92492412E-19 8.92492412E-19 1.77120611E-18 1.77120611E-18 1.77136632E-18 7.62203420E-19 1.13402052E-13 1.14653352E-17 4.20202827E-17 7.57028390E-18 7.57028390E-18 1.30441199E-17 1.30441199E-17 3.61563168E-17 3.07576219E-13
UB-wall    7.05358198E-21 9.39404140E-20 9.39404140E-20 6.88599432E-19 3.22229735E-17 1.16760214E-17 1.44702172E-17 7.79282622E-17 2.11855797E-20 5.48312859E-21 5.48312859E-21 9.69284731E-21 5.81750282E-20 5.81750282E-20 1.12658642E-19 1.12658642E-19 1.12660244E-19 4.91483659E-20 7.63196770E-14 5.85643571E-19 1.62668979E-18 6.02017815E-18 6.02017815E-18 6.50948285E-18 6.50948285E-18 1.51905557E-13 3.10677710E-13
Ovaries    8.17286248E-21 9.99325540E-20 9.99325540E-20 6.66921984E-19 3.70487291E-17 9.36744527E-18 9.61578262E-18 1.27763962E-16 1.00462874E-20 6.70799252E-21 6.70799252E-21 7.87854266E-21 6.38867874E-20 6.38867874E-20 1.11090111E-19 1.11090111E-19 1.11102928E-19 5.56259655E-20 4.92957662E-13 5.97563764E-19 1.74733368E-18 6.37634198E-18 6.37634198E-18 7.29198585E-18 7.29198585E-18 8.26658980E-17 2.94782437E-13
Testes     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Prostate   0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Uterus     9.55506013E-21 1.00188902E-19 1.00188902E-19 6.75493629E-19 4.12368184E-17 8.85458857E-18 1.13881103E-17 1.55215654E-16 1.19697003E-20 5.53007236E-21 5.53007236E-21 9.44915627E-21 5.98765397E-20 5.98765397E-20 1.19110607E-19 1.19110607E-19 1.19110607E-19 5.19665944E-20 1.13400450E-13 5.81766304E-19 1.70888144E-18 5.80949194E-18 5.80949194E-18 6.63493327E-18 6.63493327E-18 1.52540019E-16 3.07652193E-13
LN-Sys     4.47151436E-18 3.40302286E-17 3.40302286E-17 1.98365471E-17 3.04493641E-17 2.03828893E-17 2.43130282E-17 2.24977622E-17 1.51397667E-18 6.44475492E-18 6.44475492E-18 8.50531410E-18 2.83681369E-17 2.83681369E-17 1.44400962E-17 1.44400962E-17 1.44400962E-17 2.64279012E-17 2.06376353E-13 1.19471096E-17 2.13794430E-17 5.76158686E-18 5.76158686E-18 6.62499977E-18 6.62499977E-18 1.72746669E-17 2.99951055E-13
Skin       2.79740015E-18 2.61603377E-18 2.61603377E-18 2.72466133E-18 2.38756340E-18 2.50067706E-18 2.47344006E-18 2.42265107E-18 3.64799564E-18 2.56220064E-18 2.56220064E-18 3.00472178E-18 2.81021756E-18 2.81021756E-18 3.10165346E-18 3.10165346E-18 3.10165346E-18 2.81037778E-18 1.92821940E-13 2.81197995E-18 2.62436509E-18 3.15324354E-18 3.15324354E-18 2.91948599E-18 2.91948599E-18 2.64567403E-18 3.00914763E-13
Adipose    3.42369094E-18 3.75181668E-18 3.75181668E-18 4.13986382E-18 6.01376944E-18 5.48232750E-18 5.93301975E-18 7.54304690E-18 5.05310442E-18 4.47071327E-18 4.47071327E-18 3.92308935E-18 4.35775983E-18 4.35775983E-18 4.02498777E-18 4.02498777E-18 4.02498777E-18 4.88952220E-18 6.08522652E-14 3.65921088E-18 5.20739402E-18 3.78081607E-18 3.78081607E-18 3.56772660E-18 3.56772660E-18 5.71800766E-18 3.11950044E-13
Muscle     4.01281123E-18 5.55042000E-18 5.55042000E-18 3.76239104E-18 5.81590065E-18 6.58110014E-18 6.61778998E-18 7.70150216E-18 1.53043102E-18 4.60401435E-18 4.60401435E-18 6.56956447E-18 5.46870900E-18 5.46870900E-18 5.35078881E-18 5.35078881E-18 5.35078881E-18 5.61723076E-18 9.12087031E-14 3.88271450E-18 6.09419870E-18 6.65431960E-18 6.65431960E-18 5.08162316E-18 5.08162316E-18 6.89897195E-18 3.09403213E-13
