  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-wall        St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        Thyroid        S-glands       UB-cont        Other          
Bchiol-sec 4.96482450E-18 3.25145696E-16 3.25145696E-16 6.76134499E-17 7.93638123E-17 2.41143583E-18 2.54073147E-19 1.69798664E-19 6.56812251E-21 2.55066497E-18 5.54913826E-18 5.54913826E-18 1.31194222E-17 7.43810434E-16 7.43810434E-16 6.80780811E-13 3.98397205E-13 2.67755735E-15 5.98493027E-16 5.92324647E-16 1.11527505E-16 9.08273850E-18 1.04615716E-16 5.89440730E-18 2.62116073E-21 1.94185820E-16
AI         4.96482450E-18 3.25145696E-16 3.25145696E-16 6.76134499E-17 7.93638123E-17 2.41143583E-18 2.54073147E-19 1.69798664E-19 6.56812251E-21 2.55066497E-18 5.54913826E-18 5.54913826E-18 1.31194222E-17 7.43810434E-16 7.43810434E-16 1.07323394E-14 1.07323394E-14 1.26914808E-14 5.98493027E-16 1.62829196E-15 1.11527505E-16 9.08273850E-18 1.04615716E-16 5.89440730E-18 2.62116073E-21 1.28230261E-16
LN-Th      8.20730927E-17 2.94079494E-15 2.94079494E-15 7.26154449E-18 7.43970652E-18 2.28197997E-19 7.29326759E-20 1.63950720E-20 0.00000000E+00 2.66041406E-18 5.66433475E-16 5.66433475E-16 8.83392050E-16 1.04202354E-14 1.04202354E-14 5.62652339E-16 5.62652339E-16 5.62652339E-16 8.28293200E-13 2.47376050E-16 1.87710997E-17 1.18210183E-18 5.13401433E-15 8.94527176E-17 0.00000000E+00 4.30769392E-17
R-marrow   3.24857305E-17 1.03979652E-16 1.03979652E-16 2.40422604E-17 2.38067404E-17 3.67090677E-17 2.25538384E-17 2.24464926E-17 5.74844902E-17 1.01911242E-17 5.10805908E-17 5.10805908E-17 3.99390555E-17 7.84649913E-17 7.84649913E-17 8.63861518E-17 8.63861518E-17 8.63861518E-17 7.61194049E-17 5.68115761E-16 4.06392066E-17 3.55282636E-17 4.78890552E-17 2.77496968E-17 2.96434694E-17 2.12807482E-16
Endost-BS  3.67779613E-17 4.94159294E-17 4.94159294E-17 1.11256737E-17 1.10088751E-17 1.85019341E-17 1.22423908E-17 1.26772215E-17 3.12776894E-17 1.99743343E-17 5.07601555E-17 5.07601555E-17 2.95825867E-17 3.68292309E-17 3.68292309E-17 3.96490615E-17 3.96490615E-17 3.96490615E-17 3.60714014E-17 2.29495760E-16 1.85628168E-17 1.65104287E-17 2.69181672E-17 2.96546846E-17 1.98717950E-17 2.05048887E-16
Brain      2.54297452E-17 6.51637221E-19 6.51637221E-19 3.75550169E-21 5.00087347E-21 5.52654757E-22 2.79515710E-22 2.23872121E-22 0.00000000E+00 4.35551678E-17 9.01865145E-17 9.01865145E-17 1.27999482E-17 6.51028394E-19 6.51028394E-19 1.24886453E-19 1.24886453E-19 1.24886453E-19 7.34517810E-19 1.16928442E-16 8.25265087E-21 6.08154151E-22 1.27810425E-18 3.61434994E-17 4.59343999E-23 2.38118171E-16
Eye-lens   1.05990383E-16 1.15156435E-18 1.15156435E-18 2.88584029E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.42013719E-15 1.92052895E-16 1.92052895E-16 9.34757828E-18 1.75149934E-18 1.75149934E-18 1.83673512E-18 1.83673512E-18 1.83673512E-18 6.41399313E-20 6.57052577E-17 3.29135116E-19 2.87270244E-20 7.99229719E-19 2.22221879E-17 0.00000000E+00 2.15647357E-16
P-gland    1.39932492E-16 1.04630135E-18 1.04630135E-18 9.16893560E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 5.44099135E-17 5.60088856E-16 5.60088856E-16 5.72842181E-17 3.60457666E-18 3.60457666E-18 1.91748482E-20 1.91748482E-20 1.95209183E-20 1.66049571E-18 9.81637512E-17 1.01866381E-21 9.50859702E-22 4.82142970E-18 6.86067993E-17 0.00000000E+00 2.31601667E-16
Tongue     1.36026386E-13 9.18928324E-17 9.18928324E-17 1.08672427E-19 1.55894977E-19 1.99358820E-20 1.27590927E-21 8.54456742E-22 1.76607914E-21 3.03259965E-16 3.31794729E-15 3.31794729E-15 4.45885716E-15 8.41511156E-17 8.41511156E-17 5.21412316E-18 5.21412316E-18 5.21412316E-18 9.23430440E-17 1.02816472E-16 3.49210387E-19 2.38323752E-20 1.48888659E-16 1.36712117E-15 0.00000000E+00 8.08262342E-17
Tonsils    5.44115157E-15 4.13425621E-17 4.13425621E-17 2.19738505E-21 3.97804400E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.34411392E-16 4.01152949E-15 4.01152949E-15 1.24168678E-15 3.44387836E-17 3.44387836E-17 2.04597937E-18 2.04597937E-18 2.04597937E-18 3.84538379E-17 8.42087940E-17 1.00853806E-19 0.00000000E+00 7.13481233E-17 1.13727294E-15 0.00000000E+00 2.29193398E-16
