  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          UB-cont        C-bone-S       C-bone-V       T-bone-S       T-bone-V       Kidneys        Liver          Pancreas       Muscle         Other          
Bronch-sec 3.54289287E-16 8.90137213E-15 8.90137213E-15 7.07937703E-16 1.48750872E-16 9.68403534E-17 7.73851243E-17 2.90234271E-17 1.86493343E-16 3.85852163E-16 3.85852163E-16 5.56964612E-16 1.43120823E-13 1.21574754E-13 6.25970353E-15 5.27484565E-15 5.26891760E-15 2.82639954E-14 1.38160485E-15 2.03941045E-17 5.02618786E-16 5.02618786E-16 4.06856697E-16 4.06856697E-16 3.55939528E-16 8.47359100E-16 3.40366373E-16 3.29567703E-16 5.31624622E-16
Bchiol-sec 3.38812262E-16 2.81614561E-15 2.81614561E-15 1.03314749E-15 1.98301384E-16 1.15763660E-16 9.82823122E-17 3.23655672E-17 1.92934093E-16 3.58054401E-16 3.58054401E-16 5.11382691E-16 4.17863650E-15 4.17863650E-15 1.81606705E-14 1.55914203E-14 5.83945264E-15 3.63758150E-15 1.38160485E-15 2.79643884E-17 4.76647505E-16 4.76647505E-16 3.84073747E-16 3.84073747E-16 4.45373020E-16 1.24429833E-15 4.29335233E-16 3.75934691E-16 4.69231012E-16
AI         3.38812262E-16 2.81614561E-15 2.81614561E-15 1.03314749E-15 1.98301384E-16 1.15763660E-16 9.82823122E-17 3.23655672E-17 1.92934093E-16 3.58054401E-16 3.58054401E-16 5.11382691E-16 4.17863650E-15 4.17863650E-15 6.25970353E-15 6.25970353E-15 6.99382080E-15 3.63758150E-15 1.76960393E-15 2.79643884E-17 4.76647505E-16 4.76647505E-16 3.84073747E-16 3.84073747E-16 4.45373020E-16 1.24429833E-15 4.29335233E-16 3.75934691E-16 4.56590328E-16
LN-Th      1.33735274E-15 1.43527776E-14 1.43527776E-14 3.92741522E-16 9.56210971E-17 6.97876034E-17 4.74132088E-17 2.11230948E-17 4.17543214E-16 3.03724597E-15 3.03724597E-15 5.34405967E-15 3.82375440E-14 3.82375440E-14 3.54593700E-15 3.54593700E-15 3.54593700E-15 2.07850356E-13 7.94166841E-16 1.91988808E-17 5.43169873E-16 5.43169873E-16 4.88295328E-16 4.88295328E-16 2.22045639E-16 4.96274167E-16 1.99134516E-16 3.77152345E-16 4.81992530E-16
R-marrow   6.87413822E-16 1.59745007E-15 1.59745007E-15 6.41543509E-16 8.64486367E-16 7.58742719E-16 7.34485767E-16 9.92227898E-16 3.54337352E-16 8.99493923E-16 8.99493923E-16 8.09531714E-16 1.22024966E-15 1.22024966E-15 1.03848273E-15 1.03848273E-15 1.03848273E-15 1.20243345E-15 2.76167161E-15 7.79619079E-16 7.79154447E-16 7.72986068E-16 1.94776596E-15 1.26567136E-15 9.09251178E-16 8.17398400E-16 8.52454022E-16 5.08386621E-16 5.40232164E-16
Endost-BS  6.29254815E-16 6.20955541E-16 6.20955541E-16 2.55995759E-16 4.06055609E-16 3.66818307E-16 3.68949201E-16 5.53760259E-16 4.64390855E-16 7.88991811E-16 7.88991811E-16 5.44691940E-16 4.85491519E-16 4.85491519E-16 3.99614859E-16 3.99614859E-16 3.99614859E-16 4.87686501E-16 1.07558914E-15 4.93742728E-16 8.71247552E-16 7.85258740E-16 1.80533247E-14 1.62204348E-15 3.63485780E-16 3.13513895E-16 3.37145998E-16 4.03171691E-16 4.47278169E-16
Brain      1.45935847E-15 2.14323149E-16 2.14323149E-16 2.95617584E-17 9.68179229E-18 7.89216116E-18 6.02578577E-18 2.17928046E-18 1.64511482E-15 2.36833728E-15 2.36833728E-15 1.03314749E-15 2.15909303E-16 2.15909303E-16 1.08465746E-16 1.08465746E-16 1.08465746E-16 2.41399931E-16 2.44716437E-16 2.19770549E-18 7.08178029E-16 7.08178029E-16 1.09840413E-15 1.09840413E-15 1.76303501E-17 3.54145091E-17 1.80917769E-17 9.40990294E-17 6.01916597E-16
Eye-lens   3.50171693E-15 2.62949205E-16 2.62949205E-16 4.98613345E-17 9.41342773E-18 1.79443767E-17 7.58262066E-18 0.00000000E+00 1.39878018E-14 3.20515406E-15 3.20515406E-15 1.30897819E-15 2.15124237E-16 2.15124237E-16 1.48438447E-16 1.48438447E-16 1.48438447E-16 2.98549567E-16 5.00503913E-17 9.30880561E-18 5.82006631E-16 5.82006631E-16 5.47575858E-16 5.47575858E-16 3.49899323E-17 6.50099131E-17 4.33997567E-17 1.15459246E-16 3.68381424E-16
P-gland    4.17190735E-15 3.46855188E-16 3.46855188E-16 4.07113045E-17 1.55082673E-17 8.88102449E-18 9.97515081E-18 5.25113344E-18 2.55386932E-15 1.05041895E-14 1.05041895E-14 2.51669883E-15 4.18087954E-16 4.18087954E-16 1.54743012E-16 1.54743012E-16 1.54743012E-16 4.73427130E-16 1.07922608E-16 1.02113116E-18 1.10532554E-15 1.10532554E-15 1.53860212E-15 1.53860212E-15 2.43995457E-17 5.20803489E-17 2.80124537E-17 1.62140260E-16 6.79308825E-16
Tongue     6.60817692E-14 1.29324482E-15 1.29324482E-15 8.56699789E-17 2.94383908E-17 2.33709484E-17 1.78963114E-17 5.53199497E-18 6.63541392E-15 1.92373331E-14 1.92373331E-14 2.49122422E-14 1.24086967E-15 1.24086967E-15 3.52350653E-16 3.52350653E-16 3.52350653E-16 1.43902686E-15 3.78946783E-16 5.26042606E-18 8.30648400E-16 8.30648400E-16 9.11430138E-16 9.11430138E-16 4.78810443E-17 1.06322034E-16 5.59175616E-17 2.75125746E-16 4.45984592E-16
