  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        C-bone-S       C-bone-V       T-bone-S       T-bone-V       UB-cont        Other          
O-mucosa   3.27789287E-14 1.49867589E-16 1.49867589E-16 9.51724877E-18 3.14651440E-18 3.40606699E-18 4.26114858E-18 2.13137538E-19 1.44040473E-15 3.64943760E-15 3.64943760E-15 2.67210995E-15 6.81293508E-17 6.81293508E-17 4.06295935E-17 4.06295935E-17 4.06231848E-17 1.21555528E-16 1.47981827E-13 1.16173817E-17 3.53472177E-18 1.78049873E-16 1.78049873E-16 1.50566138E-16 1.50566138E-16 1.44876809E-19 3.15829387E-13
Oesophagus 1.50564535E-16 5.28894480E-13 4.07385415E-14 4.63061048E-16 1.10279410E-16 5.82407175E-17 9.47286848E-17 5.26571324E-18 3.27885418E-17 8.41607287E-16 8.41607287E-16 1.27722305E-15 1.42954197E-15 1.42954197E-15 6.47759954E-16 6.47759954E-16 6.47759954E-16 4.01425319E-15 7.52446165E-13 3.52238501E-16 1.38051537E-16 1.64783852E-16 1.64783852E-16 1.11338448E-16 1.11338448E-16 2.76135118E-18 2.43981446E-13
St-stem    1.08175752E-17 5.24728821E-16 5.24728821E-16 1.20999573E-14 7.60296830E-16 2.83136629E-16 1.28590685E-15 3.08803496E-17 8.88951602E-18 1.02643437E-17 1.02643437E-17 1.86605495E-17 2.46222483E-16 2.46222483E-16 2.85812264E-16 2.85812264E-16 2.85812264E-16 1.20751235E-16 7.52414122E-13 5.65472169E-16 3.98733662E-16 5.33316487E-17 5.33316487E-17 6.02162011E-17 6.02162011E-17 1.45246912E-17 2.43862042E-13
SI-stem    2.05879679E-18 5.99422289E-17 5.99422289E-17 3.64831608E-16 2.60465831E-15 6.02129967E-16 6.72177123E-16 5.53824346E-16 1.86108821E-18 1.90659002E-18 1.90659002E-18 3.35639952E-18 3.60473688E-17 3.60473688E-17 4.36929550E-17 4.36929550E-17 4.36929550E-17 2.04902351E-17 8.15027179E-13 1.70471578E-16 4.33901436E-16 7.26202514E-17 7.26202514E-17 8.25585522E-17 8.25585522E-17 4.89977613E-16 2.37835493E-13
RC-stem    2.82960389E-18 4.64839464E-17 4.64839464E-17 1.54483459E-16 6.95232443E-16 4.86052281E-15 3.28686506E-16 7.69685584E-17 2.70046847E-18 2.44700415E-18 2.44700415E-18 4.16629974E-18 3.48649625E-17 3.48649625E-17 4.39557119E-17 4.39557119E-17 4.39557119E-17 2.08507248E-17 8.25585522E-13 4.49602766E-16 5.34646294E-16 5.46390247E-17 5.46390247E-17 6.45404754E-17 6.45404754E-17 9.13352750E-17 2.36971250E-13
LC-stem    4.29110929E-18 8.21163515E-17 8.21163515E-17 9.56323123E-16 1.18016320E-15 3.04333424E-16 5.48104576E-15 2.42184998E-16 3.79267218E-18 3.81157786E-18 3.81157786E-18 6.60881779E-18 7.42432562E-17 7.42432562E-17 8.58141748E-17 8.58141748E-17 8.58141748E-17 3.40831004E-17 8.25569500E-13 1.57801567E-16 4.49234265E-16 4.15588559E-17 4.15588559E-17 6.22349435E-17 6.22349435E-17 4.45485172E-17 2.36968706E-13
RS-stem    2.02162629E-19 3.51533543E-18 3.51533543E-18 1.66418072E-17 1.74012388E-16 5.04397202E-17 4.99334324E-17 6.28726097E-15 1.91203742E-19 1.64751808E-19 1.64751808E-19 3.33396905E-19 2.68172300E-18 2.68172300E-18 3.54097025E-18 3.54097025E-18 3.54097025E-18 1.57574057E-18 8.25505413E-13 1.23088811E-17 3.53135719E-17 1.09271641E-16 1.09271641E-16 1.11676508E-16 1.11676508E-16 1.58972758E-15 2.37071688E-13
ET1-bas    1.41227051E-15 2.99863351E-17 2.99863351E-17 7.21972769E-18 2.37987295E-18 3.07329494E-18 4.24240312E-18 2.13153560E-19 3.99230337E-09 2.93839168E-15 2.93839168E-15 2.24849448E-16 2.65833123E-17 2.65833123E-17 1.75214021E-17 1.75214021E-17 1.75214021E-17 2.87911115E-17 1.47901718E-13 8.62756016E-18 2.28165954E-18 1.50814475E-16 1.50814475E-16 6.29382989E-17 6.29382989E-17 1.61739716E-19 2.67287354E-13
ET2-bas    3.60810145E-15 8.37906259E-16 8.37906259E-16 9.25929835E-18 2.80252711E-18 2.70319217E-18 3.85243336E-18 2.19882701E-19 2.95841888E-15 2.14803802E-11 5.35671687E-09 1.47339354E-14 1.99503016E-16 1.99503016E-16 5.35175012E-17 5.35175012E-17 5.35175012E-17 3.71080096E-16 1.47912933E-13 1.14206344E-17 3.87181970E-18 1.95882097E-16 1.95882097E-16 1.11755014E-16 1.11755014E-16 1.11493860E-19 2.67332930E-13
LN-ET      2.67611539E-15 1.29419010E-15 1.29419010E-15 1.88095520E-17 4.99334324E-18 5.48280816E-18 6.57549252E-18 1.72826778E-19 2.41960693E-16 1.49478260E-14 1.49478260E-14 1.15999180E-09 4.77688920E-16 4.77688920E-16 1.10764869E-16 1.10764869E-16 1.10774482E-16 9.88270522E-16 1.95209183E-13 2.14323149E-17 6.72978212E-18 1.30835334E-16 1.30835334E-16 1.20222517E-16 1.20222517E-16 2.60674114E-19 1.03558822E-16
