  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        C-bone-S       C-bone-V       T-bone-S       T-bone-V       UB-cont        Other          
Bronch-bas 4.73587348E-17 9.71720039E-16 9.71720039E-16 2.96562868E-16 7.01512975E-17 4.80076163E-17 9.17678626E-17 4.34638437E-18 2.40518734E-17 5.86044115E-17 5.86044115E-17 1.15281405E-16 2.34126050E-10 5.92244538E-09 1.11022820E-14 1.87294431E-15 1.53214535E-15 3.84073747E-15 6.04949798E-13 2.71232457E-16 8.69581288E-17 9.58662301E-17 9.58662301E-17 9.06030803E-17 9.06030803E-17 2.33949811E-18 3.18325518E-13
Bronch-sec 4.73587348E-17 9.71720039E-16 9.71720039E-16 2.96562868E-16 7.01512975E-17 4.80076163E-17 9.17678626E-17 4.34638437E-18 2.40518734E-17 5.86044115E-17 5.86044115E-17 1.15281405E-16 4.78169573E-09 1.73371518E-09 1.11022820E-14 1.87294431E-15 1.52804378E-15 3.84073747E-15 6.04949798E-13 2.71232457E-16 8.69581288E-17 9.58662301E-17 9.58662301E-17 9.06030803E-17 9.06030803E-17 2.33949811E-18 2.92557197E-13
Bchiol-sec 4.11342791E-17 6.77432262E-16 6.77432262E-16 3.05935600E-16 7.92821013E-17 5.44083113E-17 9.58806497E-17 4.81101556E-18 1.93286571E-17 5.46934987E-17 5.46934987E-17 1.07938630E-16 1.65793223E-15 1.65793223E-15 2.08619400E-09 1.03981254E-09 1.18352777E-12 9.33700391E-16 6.04949798E-13 3.42929855E-16 1.13033551E-16 1.30719977E-16 1.30719977E-16 1.10442832E-16 1.10442832E-16 2.70687717E-18 1.14612077E-13
AI         4.11342791E-17 6.77432262E-16 6.77432262E-16 3.05935600E-16 7.92821013E-17 5.44083113E-17 9.58806497E-17 4.81101556E-18 1.93286571E-17 5.46934987E-17 5.46934987E-17 1.07938630E-16 1.65793223E-15 1.65793223E-15 1.11022820E-14 1.11022820E-14 1.68212509E-11 9.33700391E-16 1.96170489E-12 3.42929855E-16 1.13033551E-16 1.30719977E-16 1.30719977E-16 1.10442832E-16 1.10442832E-16 2.70687717E-18 1.36626562E-13
LN-Th      1.25974331E-16 4.10125137E-15 4.10125137E-15 1.33863448E-16 3.59368186E-17 2.52647210E-17 3.86685295E-17 2.11327079E-18 3.31650533E-17 3.82679854E-16 3.82679854E-16 9.93237270E-16 6.03844296E-15 6.03844296E-15 9.09139026E-16 9.09139026E-16 9.09139026E-16 1.15992771E-09 1.95465531E-13 1.46732129E-16 5.38171082E-17 1.53919493E-16 1.53919493E-16 1.07943436E-16 1.07943436E-16 1.21121338E-18 1.12213506E-16
R-marrow   1.31830286E-16 3.40238199E-16 3.40238199E-16 1.31694101E-16 1.71849450E-16 1.20656707E-16 1.09784337E-16 2.26067102E-16 5.52093996E-17 1.44763054E-16 1.44763054E-16 1.63870611E-16 2.04133306E-16 2.04133306E-16 2.15140259E-16 2.15140259E-16 2.15140259E-16 2.87831006E-16 5.31265701E-13 1.63582219E-16 1.97259969E-16 3.31410206E-16 2.42938021E-16 2.15636933E-12 3.15164137E-13 2.38067404E-16 2.40184012E-13
Endost-BS  1.56654408E-16 1.50141561E-16 1.50141561E-16 5.89921383E-17 8.24367868E-17 5.91219145E-17 5.25401735E-17 1.32924572E-16 9.31329170E-17 1.66145702E-16 1.66145702E-16 1.14686997E-16 9.13016293E-17 9.13016293E-17 9.49305590E-17 9.49305590E-17 9.49305590E-17 1.27473968E-16 2.02979739E-13 7.24936795E-17 8.99590054E-17 2.37474599E-12 2.44700415E-16 1.59062479E-11 2.26675929E-12 1.52882885E-16 2.09270789E-13
Brain      3.69157484E-16 2.45277198E-17 2.45277198E-17 2.01938324E-18 6.78585829E-19 7.44723675E-19 9.69396883E-19 5.66593693E-20 3.23415346E-16 7.01448888E-16 7.01448888E-16 1.56337177E-16 1.36611180E-17 1.36611180E-17 1.07012572E-17 1.07012572E-17 1.07012572E-17 2.31338263E-17 1.46387661E-13 2.85331611E-18 1.00376357E-18 1.72586451E-16 1.72586451E-16 1.33309095E-16 1.33309095E-16 3.71736989E-20 3.01845081E-13
Eye-lens   7.87053177E-16 2.29479738E-17 2.29479738E-17 2.40598843E-18 8.64390237E-19 2.02899630E-18 1.12427928E-21 0.00000000E+00 3.01753920E-15 1.31162178E-15 1.31162178E-15 1.80100659E-16 1.50085485E-17 1.50085485E-17 1.16292378E-17 1.16292378E-17 1.16292378E-17 1.92613657E-17 1.03543860E-16 2.46687114E-18 2.86677439E-18 1.28758913E-16 1.28758913E-16 8.11806804E-17 8.11806804E-17 0.00000000E+00 3.15774873E-13
P-gland    1.19027293E-15 4.57405365E-17 4.57405365E-17 2.66746363E-18 8.23406562E-19 4.31177736E-19 9.92211877E-19 0.00000000E+00 8.18007227E-16 6.83824946E-15 6.83824946E-15 4.02867278E-16 2.16854588E-17 2.16854588E-17 1.75262086E-17 1.75262086E-17 1.75278108E-17 4.19273565E-17 1.47914535E-13 4.02626951E-18 1.60441953E-18 2.12881190E-16 2.12881190E-16 1.19951749E-16 1.19951749E-16 0.00000000E+00 3.01883888E-13
Tongue     1.51782189E-13 1.78065895E-16 1.78065895E-16 1.09013690E-17 3.30609118E-18 3.53776590E-18 4.70014494E-18 2.67291103E-19 1.15462451E-15 3.30256639E-15 3.30256639E-15 2.92509361E-15 7.83800759E-17 7.83800759E-17 4.53239706E-17 4.53239706E-17 4.53239706E-17 1.43087178E-16 1.47981827E-13 1.24904077E-17 3.95705549E-18 1.75710695E-16 1.75710695E-16 1.55068253E-16 1.55068253E-16 1.65200418E-19 1.72523308E-16
Tonsils    2.83777499E-15 9.36728505E-17 9.36728505E-17 4.98933780E-18 1.65440744E-18 1.23202565E-18 2.11871819E-18 7.49642357E-20 5.73899618E-16 4.53335837E-15 4.53335837E-15 9.71671974E-16 4.38115160E-17 4.38115160E-17 2.68076170E-17 2.68076170E-17 2.68076170E-17 7.99982742E-17 1.47912933E-13 6.21596412E-18 2.66746363E-18 2.70896000E-16 2.70896000E-16 1.42478351E-16 1.42478351E-16 4.63749984E-20 3.01693862E-13
S-glands   1.03293920E-15 1.82167467E-16 1.82167467E-16 9.11478203E-18 2.78698600E-18 2.97940740E-18 4.01681667E-18 2.38163535E-19 2.35263595E-16 1.00044706E-15 1.00044706E-15 1.63373936E-15 7.54577060E-17 7.54577060E-17 4.87414131E-17 4.87414131E-17 4.87414131E-17 1.43543798E-16 1.47911331E-13 1.15182070E-17 4.04341280E-18 1.42585696E-16 1.42585696E-16 9.43697973E-17 9.43697973E-17 1.41880739E-19 3.01462796E-13
Thyroid    2.66618189E-16 2.96162324E-15 2.96162324E-15 4.24961291E-17 1.17473182E-17 9.79090051E-18 1.50170400E-17 1.05392771E-18 5.76687405E-17 7.68964605E-16 7.68964605E-16 1.78610635E-15 1.41816652E-15 1.41816652E-15 3.67555308E-16 3.67555308E-16 3.67555308E-16 4.96434384E-15 4.75477916E-13 4.94383599E-17 1.74172606E-17 1.35127565E-16 1.35127565E-16 8.96353657E-17 8.96353657E-17 5.29198894E-19 2.70627212E-13
Breast     3.13658091E-17 1.09569646E-16 1.09569646E-16 2.48545638E-16 6.00992422E-17 5.51453125E-17 9.44787453E-17 3.97948596E-18 3.17455249E-17 2.36657489E-17 2.36657489E-17 3.94087351E-17 2.84434392E-16 2.84434392E-16 2.68797149E-16 2.68797149E-16 2.68797149E-16 1.02624211E-16 1.47967407E-13 2.16902653E-16 5.32227007E-17 2.39845820E-17 2.39845820E-17 3.86220664E-17 3.86220664E-17 2.13265712E-18 3.01671292E-13
Thymus     1.16066471E-16 1.29361332E-15 1.29361332E-15 8.67162002E-17 2.28934998E-17 1.95625749E-17 2.72562264E-17 1.49048876E-18 4.05430760E-17 2.28085845E-16 2.28085845E-16 4.82383297E-16 1.43918707E-15 1.43918707E-15 7.10549250E-16 7.10549250E-16 7.10549250E-16 2.95825867E-15 1.47957794E-13 9.64269919E-17 3.02490921E-17 1.36846700E-16 1.36846700E-16 1.00696792E-16 1.00696792E-16 9.66512966E-19 3.01708805E-13
Ht-wall    3.40558634E-17 1.62204348E-15 1.62204348E-15 9.14346099E-16 1.40408339E-16 7.45332502E-17 1.63229740E-16 7.16076759E-18 1.84090078E-17 4.23471267E-17 4.23471267E-17 8.25745740E-17 1.26783430E-15 1.26783430E-15 8.48624820E-16 8.48624820E-16 8.48624820E-16 1.50742377E-15 4.80076163E-13 4.02114255E-16 1.44223121E-16 8.69661397E-17 8.69661397E-17 7.87950396E-17 7.87950396E-17 3.77969455E-18 2.69960528E-13
Adrenals   6.27828878E-18 3.00584331E-16 3.00584331E-16 6.40021441E-16 5.21252098E-16 2.52374840E-16 3.43106095E-16 2.62228226E-17 4.09404158E-18 7.34774159E-18 7.34774159E-18 1.31830286E-17 1.47355376E-16 1.47355376E-16 2.15572846E-16 2.15572846E-16 2.15572846E-16 1.08308733E-16 6.39909289E-13 8.43049246E-16 2.99590981E-15 1.03587119E-16 1.03587119E-16 9.86860607E-17 9.86860607E-17 1.53121609E-17 2.54772771E-13
Liver      1.28491350E-17 3.60057122E-16 3.60057122E-16 4.82191036E-16 2.84915045E-16 5.87710379E-16 2.17559545E-16 1.71977624E-17 9.86347911E-18 1.26320401E-17 1.26320401E-17 2.25266014E-17 2.52214623E-16 2.52214623E-16 3.48761778E-16 3.48761778E-16 3.48761778E-16 1.50527685E-16 7.83880868E-13 7.84313456E-12 5.34165641E-16 6.64006023E-17 6.64006023E-17 7.77039574E-17 7.77039574E-17 1.25423182E-17 8.15703347E-17
Pancreas   6.51124524E-18 2.45966134E-16 2.45966134E-16 1.10630286E-15 1.56181766E-15 9.68051055E-16 8.53928024E-16 5.08386621E-17 5.21492425E-18 6.17639036E-18 6.17639036E-18 1.07773606E-17 1.22244464E-16 1.22244464E-16 1.47704650E-16 1.47704650E-16 1.47704650E-16 7.24327968E-17 6.39941332E-13 9.36776570E-16 8.04212488E-16 6.73907474E-17 6.73907474E-17 7.63981836E-17 7.63981836E-17 3.07153254E-17 2.54783684E-13
Kidneys    4.18808934E-18 1.42659397E-16 1.42659397E-16 4.09948898E-16 7.63244835E-16 5.12199801E-16 4.82559536E-16 5.27869087E-17 3.02538986E-18 4.45421085E-18 4.45421085E-18 7.88078570E-18 8.24095498E-17 8.24095498E-17 1.12695492E-16 1.12695492E-16 1.12695492E-16 5.55827067E-17 8.76150212E-13 5.35543513E-16 4.38547748E-11 7.43842478E-17 7.43842478E-17 8.78729716E-17 8.78729716E-17 3.09444367E-17 1.15352936E-16
Spleen     1.01392137E-17 3.35207365E-16 3.35207365E-16 1.04904108E-15 4.08106395E-16 6.43994839E-17 6.61827063E-16 1.95898119E-17 5.90097622E-18 1.17506828E-17 1.17506828E-17 2.19161722E-17 2.74869398E-16 2.74869398E-16 4.41303492E-16 4.41303492E-16 4.41303492E-16 1.61675629E-16 1.13519011E-12 1.63598241E-16 7.29038367E-16 8.65960369E-17 8.65960369E-17 9.69589145E-17 9.69589145E-17 8.24672281E-18 2.07470089E-13
GB-wall    8.35118472E-18 2.15925325E-16 2.15925325E-16 3.85451619E-16 5.78209472E-16 1.69253924E-15 2.95361235E-16 2.89481248E-17 6.69020836E-18 7.65119381E-18 7.65119381E-18 1.38160485E-17 1.34943315E-16 1.34943315E-16 1.67635726E-16 1.67635726E-16 1.67635726E-16 8.05334011E-17 1.47980225E-13 2.09676837E-15 6.81309529E-16 5.28638132E-17 5.28638132E-17 6.66713702E-17 6.66713702E-17 2.13121516E-17 3.01652847E-13
Ureters    1.45328623E-18 4.39268727E-17 4.39268727E-17 1.79555919E-16 9.47991806E-16 4.90634506E-16 3.03996967E-16 4.97443756E-16 1.29502323E-18 1.67507552E-18 1.67507552E-18 2.57774175E-18 2.61090680E-17 2.61090680E-17 3.33076470E-17 3.33076470E-17 3.33108513E-17 1.62108217E-17 1.47951386E-13 1.45088296E-16 6.98981536E-16 1.09654561E-16 1.09654561E-16 1.20156828E-16 1.20156828E-16 7.39740906E-16 3.01799395E-13
UB-wall    1.69590381E-19 2.68620910E-18 2.68620910E-18 1.19086574E-17 1.63678350E-16 5.79475192E-17 2.89385117E-17 1.03388449E-15 1.94824661E-19 1.22425510E-19 1.22425510E-19 2.27236691E-19 2.16325869E-18 2.16325869E-18 2.63429858E-18 2.63429858E-18 2.63445880E-18 1.33522184E-18 7.24664425E-14 1.17899361E-17 2.79003013E-17 1.14256012E-16 1.14256012E-16 1.42701053E-16 1.42701053E-16 1.99983669E-13 3.08938541E-13
Ovaries    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Testes     1.33815382E-20 2.70591587E-19 2.70591587E-19 1.02407917E-18 7.87886309E-18 4.33789284E-18 2.35375748E-18 5.76350948E-17 2.98100957E-20 2.22798662E-20 2.22798662E-20 1.78786874E-20 2.03059848E-19 2.03059848E-19 2.40967344E-19 2.40967344E-19 2.40967344E-19 1.47949783E-19 1.98766015E-13 9.91042288E-19 2.31578589E-18 3.31041706E-17 3.31041706E-17 3.23912020E-17 3.23912020E-17 1.60281736E-16 2.96844676E-13
Prostate   5.95096413E-20 1.31389687E-18 1.31389687E-18 5.55811045E-18 5.85579484E-17 2.66730342E-17 1.31208641E-17 4.87478218E-16 5.92917453E-20 6.81021138E-20 6.81021138E-20 8.94014480E-20 1.03090444E-18 1.03090444E-18 1.49388538E-18 1.49388538E-18 1.49390140E-18 6.56780207E-19 1.47917740E-13 5.54481239E-18 1.38355951E-17 1.13783370E-16 1.13783370E-16 1.32863690E-16 1.32863690E-16 2.72145698E-15 3.01713177E-13
Uterus     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
LN-Sys     5.25129365E-17 6.10204937E-16 6.10204937E-16 5.00167456E-16 4.99286259E-16 2.87158092E-16 3.65120000E-16 4.26355185E-16 1.53781706E-17 7.10196771E-17 7.10196771E-17 1.40655074E-16 3.01978224E-16 3.01978224E-16 2.60081309E-16 2.60081309E-16 2.60081309E-16 3.79940132E-16 1.95401444E-13 2.18985482E-16 2.40438625E-16 9.99085214E-17 9.99085214E-17 9.62635699E-17 9.62635699E-17 4.19273565E-16 2.97276826E-13
Skin       4.11855488E-17 3.71881184E-17 3.71881184E-17 3.95080700E-17 3.84169878E-17 4.06968849E-17 4.63541701E-17 4.27332513E-17 7.64798946E-17 4.23375137E-17 4.23375137E-17 4.95793514E-17 4.32395390E-17 4.32395390E-17 4.39573141E-17 4.39573141E-17 4.39573141E-17 4.09420179E-17 1.60116712E-13 4.23086745E-17 4.45981847E-17 5.20611228E-17 5.20611228E-17 4.93726706E-17 4.93726706E-17 3.80564981E-17 3.00453060E-13
Adipose    4.84962801E-17 9.46197368E-17 9.46197368E-17 1.17492408E-16 1.59708157E-16 1.34429016E-16 1.43931525E-16 1.40829711E-16 5.75037163E-17 7.11013881E-17 7.11013881E-17 7.05197981E-17 8.22669561E-17 8.22669561E-17 8.14065873E-17 8.14065873E-17 8.14065873E-17 1.02220462E-16 5.28926524E-14 8.05782621E-17 1.34972154E-16 6.56267511E-17 6.56267511E-17 6.28021139E-17 6.28021139E-17 1.47233610E-16 3.10779047E-13
Muscle     7.15788367E-17 7.33220048E-17 7.33220048E-17 5.52286257E-17 7.38971861E-17 7.26779298E-17 6.32282929E-17 1.13229017E-16 1.96651142E-17 7.16541390E-17 7.16541390E-17 1.05780498E-16 7.20306505E-17 7.20306505E-17 8.11774761E-17 8.11774761E-17 8.11774761E-17 7.60681352E-17 8.70462485E-14 6.06952519E-17 8.63396887E-17 9.61418045E-17 9.61418045E-17 8.68059221E-17 8.68059221E-17 1.15584216E-16 3.07485169E-13
