  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          C-bone-S       C-bone-V       T-bone-S       T-bone-V       UB-cont        Other          
AI         2.19466135E-16 2.62596726E-15 2.62596726E-15 8.78393259E-16 1.23878684E-16 5.76655361E-17 4.59792608E-17 1.05815746E-17 1.08384035E-16 2.32427743E-16 2.32427743E-16 3.57557727E-16 4.21068003E-15 4.21068003E-15 1.37899330E-14 1.37899330E-14 1.56764958E-14 3.61835538E-15 2.72177742E-15 3.90226105E-16 3.90226105E-16 3.13081307E-16 3.13081307E-16 8.35887517E-18 4.52735314E-16
LN-Th      1.03990867E-15 1.46760968E-14 1.46760968E-14 2.71809241E-16 5.15516306E-17 2.96691042E-17 2.11471275E-17 3.99759055E-18 2.25730645E-16 2.99783242E-15 2.99783242E-15 5.07905968E-15 4.20475197E-14 4.20475197E-14 3.50636324E-15 3.50636324E-15 3.50636324E-15 8.17927118E-13 8.50531410E-16 4.42905668E-16 4.42905668E-16 3.80869394E-16 3.80869394E-16 3.42096724E-18 3.81948592E-16
R-marrow   5.23014492E-16 1.29712208E-15 1.29712208E-15 4.90346114E-16 6.86308320E-16 5.77760863E-16 5.61194358E-16 8.26851241E-16 2.38916558E-16 7.11334317E-16 7.11334317E-16 6.25762071E-16 9.99389627E-16 9.99389627E-16 8.86420163E-16 8.86420163E-16 8.86420163E-16 9.80868467E-16 2.53608516E-15 7.13256928E-16 6.34878455E-16 2.91708273E-15 1.46543072E-15 6.12015396E-16 5.60285379E-16
Endost-BS  5.17583114E-16 5.43330090E-16 5.43330090E-16 2.07738203E-16 3.41423809E-16 2.95265105E-16 2.98453436E-16 4.84546235E-16 3.52462805E-16 6.71103665E-16 6.71103665E-16 4.47776285E-16 4.25201618E-16 4.25201618E-16 3.64847630E-16 3.64847630E-16 3.64847630E-16 4.24480638E-16 1.03694464E-15 2.03812871E-15 6.91707655E-16 2.44171697E-14 3.07281428E-15 4.10910204E-16 4.64191600E-16
Brain      1.03830649E-15 1.16484639E-16 1.16484639E-16 9.40141141E-18 2.23792012E-18 1.44811120E-18 1.04623727E-18 2.37746969E-19 1.16499059E-15 1.83128772E-15 1.83128772E-15 6.98773253E-16 1.14771913E-16 1.14771913E-16 4.95713405E-17 4.95713405E-17 4.95713405E-17 1.28928744E-16 2.70879979E-16 5.63485470E-16 5.63485470E-16 8.85987576E-16 8.85987576E-16 2.25618493E-19 5.03104736E-16
Eye-lens   2.56844913E-15 1.24610878E-16 1.24610878E-16 1.67779922E-17 3.35335539E-18 0.00000000E+00 5.61867272E-18 0.00000000E+00 1.18085214E-14 2.53560451E-15 2.53560451E-15 8.62243320E-16 1.28321519E-16 1.28321519E-16 8.23678932E-17 8.23678932E-17 8.23678932E-17 1.23468527E-16 8.81277177E-17 4.60753914E-16 4.60753914E-16 4.37394181E-16 4.37394181E-16 0.00000000E+00 3.64400544E-16
P-gland    3.43570726E-15 2.52951624E-16 2.52951624E-16 1.37445914E-17 1.24865625E-18 4.53976708E-18 2.55002410E-18 0.00000000E+00 1.98157188E-15 8.37970346E-15 8.37970346E-15 2.01569824E-15 2.41079496E-16 2.41079496E-16 8.11999065E-17 8.11999065E-17 8.12015087E-17 2.92525383E-16 1.58112389E-16 9.87661695E-16 9.87661695E-16 1.12214839E-15 1.12214839E-15 0.00000000E+00 5.26357477E-16
Tongue     1.61579499E-13 1.05230952E-15 1.05230952E-15 3.94327677E-17 1.00432433E-17 5.83112132E-18 4.55594906E-18 9.79843074E-19 5.08402643E-15 1.90258458E-14 1.90258458E-14 2.46783244E-14 1.00401992E-15 1.00401992E-15 2.29736086E-16 2.29736086E-16 2.29736086E-16 1.14536393E-15 3.53648416E-16 6.62612130E-16 6.62612130E-16 7.09619988E-16 7.09619988E-16 8.91643259E-19 3.40088659E-16
Tonsils    3.00744548E-14 6.95889335E-16 6.95889335E-16 2.88888442E-17 6.89256325E-18 4.10701921E-18 5.34998773E-18 1.27251265E-19 3.39581306E-15 2.28374236E-14 2.28374236E-14 9.27692230E-15 6.38355178E-16 6.38355178E-16 1.71032340E-16 1.71032340E-16 1.71032340E-16 7.55041691E-16 1.37159125E-16 7.54881474E-16 7.54881474E-16 7.48584920E-16 7.48584920E-16 1.80340985E-19 5.09524598E-16
S-glands   8.21644168E-15 8.82799244E-16 8.82799244E-16 3.32611839E-17 7.57749370E-18 4.59440129E-18 3.33893580E-18 8.04020226E-19 1.30297003E-15 8.05782621E-15 8.05782621E-15 1.25977535E-14 8.15139331E-16 8.15139331E-16 2.11006643E-16 2.11006643E-16 2.11006643E-16 9.78993921E-16 1.38083581E-16 5.82903850E-16 5.82903850E-16 6.24848830E-16 6.24848830E-16 7.35382986E-19 4.88356501E-16
Thyroid    1.89393283E-15 1.15204500E-14 1.15204500E-14 9.62779895E-17 2.05639352E-17 1.29060123E-17 8.51813151E-18 2.08539292E-18 4.00736383E-16 3.57557727E-15 3.57557727E-15 6.37105480E-15 1.66658398E-14 1.66658398E-14 1.18916743E-15 1.18916743E-15 1.18916743E-15 2.43578891E-14 8.49570104E-16 4.16389647E-16 4.16389647E-16 4.03956758E-16 4.03956758E-16 2.15861238E-18 5.38302645E-16
Breast     2.81214017E-16 6.24576460E-16 6.24576460E-16 4.55899319E-16 8.46077359E-17 4.11567096E-17 3.37145998E-17 6.66889941E-18 2.33164744E-16 2.04854286E-16 2.04854286E-16 3.44275684E-16 7.43634195E-16 7.43634195E-16 1.25753230E-15 1.25753230E-15 1.25753230E-15 7.15868476E-16 3.06704645E-16 1.09971792E-16 1.09971792E-16 1.31194222E-16 1.31194222E-16 6.06407779E-18 4.66843837E-16
Thymus     6.62467934E-16 5.09139644E-15 5.09139644E-15 1.98461601E-16 4.13201316E-17 2.50564381E-17 1.66642376E-17 3.90834932E-18 2.59889048E-16 7.78273250E-16 7.78273250E-16 1.26934034E-15 8.76630865E-15 8.76630865E-15 2.72257850E-15 2.72257850E-15 2.72257850E-15 9.97755407E-15 2.76824053E-16 3.90145996E-16 3.90145996E-16 4.74372414E-16 4.74372414E-16 3.46646905E-18 5.57285656E-16
Ht-wall    1.86060755E-16 5.20066488E-15 5.20066488E-15 2.11727623E-15 1.90835241E-16 6.59263581E-17 6.70462795E-17 1.23127263E-17 1.11383309E-16 1.72362146E-16 1.72362146E-16 2.63253619E-16 5.19153247E-15 5.19153247E-15 3.26283242E-15 3.26283242E-15 3.26283242E-15 4.88535654E-15 2.41079496E-15 2.48785965E-16 2.48785965E-16 2.62756944E-16 2.62756944E-16 1.03646399E-17 5.34541923E-16
Adrenals   3.39501198E-17 1.00855408E-15 1.00855408E-15 3.07361537E-15 1.30305014E-15 4.53688316E-16 2.66409906E-16 6.08538673E-17 2.57117283E-17 3.11334935E-17 3.11334935E-17 4.42585233E-17 3.21765104E-16 3.21765104E-16 6.22685892E-16 6.22685892E-16 6.22685892E-16 2.74292615E-16 1.43298665E-15 4.56796538E-16 4.56796538E-16 5.35559534E-16 5.35559534E-16 4.82912015E-17 6.55588030E-16
Liver      5.73899618E-17 1.10172064E-15 1.10172064E-15 1.97404165E-15 7.61498463E-16 5.08578882E-16 1.82423815E-16 4.29831908E-17 4.36529006E-17 4.71280214E-17 4.71280214E-17 6.84513882E-17 4.63894180E-16 4.63894180E-16 1.09845220E-15 1.09845220E-15 1.09845220E-15 4.06408088E-16 1.58176476E-15 2.08555313E-16 2.08555313E-16 2.46190439E-16 2.46190439E-16 3.81622417E-17 5.86819095E-16
Pancreas   2.44299871E-17 3.67843700E-16 3.67843700E-16 4.76423200E-15 5.00199499E-15 1.38899088E-15 7.32290785E-16 1.09840413E-16 2.14787780E-17 1.86605495E-17 1.86605495E-17 2.73972179E-17 1.51801416E-16 1.51801416E-16 2.95970062E-16 2.95970062E-16 2.95970062E-16 1.31104500E-16 1.33403623E-15 2.24112447E-16 2.24112447E-16 3.63277497E-16 3.63277497E-16 9.94054380E-17 6.46116734E-16
