  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-wall        St-cont        SI-wall        SI-cont        RC-wall        RC-cont        LC-wall        LC-cont        RS-wall        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        Spleen         Pancreas       Muscle         Skin           Adipose        Brain          Ht-wall        Lung-Tis       R-marrow       Cartilage      C-bone-S       T-bone-S       UB-cont        Other          
O-mucosa   2.81246061E-13 3.34358211E-15 3.34358211E-15 1.93350658E-16 2.12384515E-16 5.17999680E-17 6.24223981E-17 4.45965825E-17 4.67226707E-17 3.55603071E-17 3.73899927E-17 9.32883281E-18 1.04622125E-17 2.54794127E-14 5.24216125E-14 5.24216125E-14 8.02850638E-14 3.30336748E-15 3.30336748E-15 9.30367864E-16 9.30367864E-16 9.30367864E-16 3.75758451E-15 1.24101386E-15 2.72946786E-16 1.14068557E-16 2.22958880E-16 1.41611573E-16 8.28789875E-16 6.70478816E-16 7.64110010E-16 4.11919575E-15 7.85018413E-16 1.00954743E-15 1.97932883E-15 2.02947696E-15 2.75670486E-15 2.71008153E-15 9.80115444E-18 7.06599709E-15
Oesophagus 3.34101863E-15 2.25842798E-12 3.76399322E-13 3.59416251E-15 3.95913832E-15 4.50868485E-16 5.66129062E-16 2.67883909E-16 2.61106702E-16 2.19209787E-16 2.27541105E-16 5.03211591E-17 6.16004816E-17 9.51276267E-16 9.23895071E-15 9.23895071E-15 1.07762391E-14 4.37266007E-14 4.37266007E-14 8.17142052E-15 8.17142052E-15 8.17142052E-15 4.43402343E-14 4.89865461E-15 3.69445876E-15 1.31505044E-15 3.34262080E-15 1.38605890E-15 1.10923485E-15 6.28037161E-16 8.12127239E-16 5.57028699E-16 1.64110938E-14 9.35687090E-15 4.58142366E-15 1.81254226E-15 1.99022363E-15 1.65953441E-15 5.17038374E-17 5.19816029E-15
St-stem    2.00608518E-16 3.61098537E-15 3.61098537E-15 1.59155406E-13 8.32138424E-14 5.92869387E-15 8.15123310E-15 1.34448242E-15 1.34563599E-15 2.21773269E-15 2.25298058E-15 2.84097935E-16 3.28814680E-16 1.73131191E-16 1.64078894E-16 1.64078894E-16 2.22350053E-16 1.10144827E-15 1.10144827E-15 2.44476110E-15 2.44476110E-15 2.44476110E-15 9.12952206E-16 4.20699502E-15 6.76599130E-15 7.12616058E-15 1.85884516E-14 2.17239110E-14 8.46686186E-16 6.57389034E-16 1.02375873E-15 6.19769930E-17 5.23334928E-15 2.39990016E-15 1.80965834E-15 1.23144887E-15 6.37522046E-16 7.92564665E-16 2.91900534E-16 7.94544368E-16
SI-stem    5.82471262E-17 4.55675015E-16 4.55675015E-16 5.93285953E-15 4.35038982E-15 4.45180759E-14 2.55755433E-14 8.20025970E-15 7.71656261E-15 1.07498031E-14 1.03226629E-14 6.45308624E-15 8.09002995E-15 5.44643875E-17 4.58110323E-17 4.58110323E-17 6.02947077E-17 2.45277198E-16 2.45277198E-16 4.36400832E-16 4.36400832E-16 4.36400832E-16 2.11006643E-16 3.46326469E-15 2.26740016E-15 5.91523559E-15 2.40086147E-15 1.10165655E-14 1.27316955E-15 5.86909291E-16 1.42648181E-15 1.74973694E-17 6.28517814E-16 4.29944060E-16 2.86116677E-15 1.78370308E-15 8.44459161E-16 1.33216168E-15 7.08033833E-15 1.13145055E-15
RC-stem    5.00023260E-17 2.62692857E-16 2.62692857E-16 1.34034881E-15 9.77776266E-16 8.17927118E-15 6.03684079E-15 1.76319522E-13 5.64895386E-14 4.22558027E-15 3.88383602E-15 1.65953441E-15 1.79876354E-15 4.58110323E-17 3.90258149E-17 3.90258149E-17 5.29054698E-17 1.79459788E-16 1.79459788E-16 2.99366677E-16 2.99366677E-16 2.99366677E-16 1.55752383E-16 3.13978526E-15 1.97804709E-15 5.19169269E-15 5.71047743E-16 4.95825557E-15 1.40240110E-15 6.23855481E-16 1.26940443E-15 1.55044221E-17 3.34726712E-16 2.95393279E-16 2.18072242E-15 1.32681041E-15 7.84361521E-16 1.14424240E-15 2.77833425E-15 8.82498909E-16
LC-stem    3.82727919E-17 2.21308638E-16 2.21308638E-16 2.23135119E-15 1.70263295E-15 1.07349029E-14 7.80788667E-15 4.20731545E-15 3.85707967E-15 1.83208881E-13 6.81469747E-14 3.29375442E-15 4.19177434E-15 4.02146298E-17 2.79483666E-17 2.79483666E-17 3.60281427E-17 1.35246126E-16 1.35246126E-16 2.33100657E-16 2.33100657E-16 2.33100657E-16 1.15758853E-16 3.04461598E-15 7.86844895E-16 2.30793523E-15 1.00049513E-15 2.63910511E-15 1.41324784E-15 6.12576158E-16 1.36580739E-15 1.10564597E-17 3.29359420E-16 2.29832217E-16 2.15140259E-15 1.28930346E-15 7.98973371E-16 1.12346217E-15 3.66353676E-15 9.14688905E-16
RS-stem    9.77055287E-18 5.18688616E-17 5.18688616E-17 2.85603981E-16 2.33805615E-16 6.46478213E-15 7.40686190E-15 1.66786572E-15 1.63950720E-15 3.32435599E-15 2.74805311E-15 3.49130278E-13 7.26522950E-14 1.13653593E-17 7.48921377E-18 7.48921377E-18 9.76142046E-18 3.81237895E-17 3.81237895E-17 6.24800765E-17 6.24800765E-17 6.24800765E-17 3.22213713E-17 2.76038987E-15 2.09084032E-16 4.90650527E-16 1.89361239E-16 4.45725499E-16 1.66353985E-15 5.95432870E-16 1.69702534E-15 3.38059239E-18 7.16717630E-17 6.16741817E-17 2.62660813E-15 1.45112329E-15 9.37369375E-16 1.14284851E-15 1.56843465E-14 1.71779611E-15
ET1-bas    2.54922301E-14 9.26570706E-16 9.26570706E-16 1.62460696E-16 1.96282641E-16 4.94784143E-17 4.96594602E-17 3.97532030E-17 4.35647809E-17 4.63589767E-17 3.05150534E-17 9.22437091E-18 1.16457402E-17 5.09315883E-11 1.64928048E-14 1.64928048E-14 6.06984562E-15 9.83447971E-16 9.83447971E-16 5.59127550E-16 5.59127550E-16 5.59127550E-16 1.06209881E-15 3.65296239E-16 2.05383004E-16 8.77496040E-17 1.49676930E-16 1.22968648E-16 3.42945877E-16 8.36704627E-16 1.00560607E-15 4.65832814E-15 4.95376948E-16 5.73322834E-16 9.57813147E-16 1.01581194E-15 2.33308940E-15 1.76928349E-15 1.52046549E-17 3.14265322E-15
ET2-bas    5.24616669E-14 9.29646885E-15 9.29646885E-15 1.56745732E-16 1.87839171E-16 4.37266007E-17 5.00151434E-17 3.43698900E-17 4.22125439E-17 2.44043522E-17 2.48785965E-17 5.45781420E-18 6.19113038E-18 1.68500901E-14 1.77617285E-12 2.80477016E-12 1.03433310E-13 8.17302270E-15 8.17302270E-15 9.82150208E-16 9.82150208E-16 9.82150208E-16 1.09406224E-14 4.78954639E-16 2.34254224E-16 9.94438902E-17 2.32107308E-16 1.11839930E-16 9.32787151E-16 6.09548044E-16 9.04460670E-16 6.78121198E-15 7.51468838E-16 1.22183581E-15 2.58863655E-15 4.33084326E-15 2.81149930E-15 2.79836145E-15 7.41262973E-18 3.93489934E-15
LN-ET      8.07833407E-14 1.08017137E-14 1.08017137E-14 1.98349449E-16 2.14755736E-16 4.51701617E-17 5.55779002E-17 6.41431357E-17 5.44243331E-17 2.71809241E-17 4.26611533E-17 9.76142046E-18 1.11761423E-17 6.34926520E-15 1.04272850E-13 1.04272850E-13 2.88247572E-12 1.20805709E-14 1.20805709E-14 1.53390775E-15 1.53390775E-15 1.53390775E-15 1.55465593E-14 3.21044124E-16 3.66866372E-16 1.33823393E-16 2.76936206E-16 1.16124150E-16 1.36362843E-15 7.10869686E-16 8.54969439E-16 2.96050171E-15 1.11939265E-15 1.88544129E-15 2.23455555E-15 5.04893876E-15 2.01954346E-15 2.09516619E-15 1.07908189E-17 2.55593691E-15
