  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-wall        St-cont        SI-wall        SI-cont        RC-wall        RC-cont        LC-wall        LC-cont        RS-wall        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        Spleen         Pancreas       Muscle         Skin           Adipose        Brain          Ht-wall        Lung-Tis       R-marrow       Cartilage      C-bone-S       T-bone-S       UB-cont        Other          
Bronch-bas 9.56194949E-16 2.73107004E-14 2.73107004E-14 1.60906585E-15 2.02114564E-15 3.41087352E-16 3.99374533E-16 2.48481551E-16 2.44828589E-16 1.94279921E-16 1.82664141E-16 4.47487893E-17 6.27652639E-17 4.69437711E-16 1.07866532E-15 1.07866532E-15 1.52655376E-15 3.19009360E-12 3.48617582E-12 4.26739707E-14 1.78322243E-14 1.80613355E-14 1.11771036E-13 4.96482450E-15 2.44235784E-15 9.59944042E-16 2.53576473E-15 9.39628444E-16 9.64814659E-16 6.38996048E-16 8.76518713E-16 2.72930765E-16 2.44347936E-14 7.41150821E-14 3.40782939E-15 1.10503714E-15 1.44884820E-15 1.16169011E-15 4.55514797E-17 1.58812814E-15
Bronch-sec 9.56194949E-16 2.73107004E-14 2.73107004E-14 1.60906585E-15 2.02114564E-15 3.41087352E-16 3.99374533E-16 2.48481551E-16 2.44828589E-16 1.94279921E-16 1.82664141E-16 4.47487893E-17 6.27652639E-17 4.69437711E-16 1.07866532E-15 1.07866532E-15 1.52655376E-15 4.19065282E-12 3.05615165E-12 4.26739707E-14 1.78322243E-14 1.80020550E-14 1.11771036E-13 4.96482450E-15 2.44235784E-15 9.59944042E-16 2.53576473E-15 9.39628444E-16 9.64814659E-16 6.38996048E-16 8.76518713E-16 2.72930765E-16 2.44347936E-14 7.35527182E-14 3.40782939E-15 1.10503714E-15 1.44884820E-15 1.16169011E-15 4.55514797E-17 1.58812814E-15
Bchiol-sec 9.32466715E-16 8.25697674E-15 8.25697674E-15 2.47103680E-15 2.97171695E-15 4.39428945E-16 5.34950707E-16 2.97203738E-16 2.94111538E-16 2.37971274E-16 2.43578891E-16 6.21564368E-17 7.11222164E-17 5.08899318E-16 9.84793799E-16 9.84793799E-16 1.42999058E-15 1.33634336E-14 1.33634336E-14 5.99005723E-13 4.60161109E-13 3.51197086E-14 1.10856193E-14 4.96482450E-15 3.62844909E-15 1.24509941E-15 4.20331001E-15 1.19817166E-15 1.07590958E-15 7.20610919E-16 8.72977902E-16 2.66890559E-16 1.02670674E-14 4.64871508E-14 3.04253315E-15 1.18684428E-15 1.39286815E-15 1.10776084E-15 5.96922894E-17 1.47467375E-15
AI         9.32466715E-16 8.25697674E-15 8.25697674E-15 2.47103680E-15 2.97171695E-15 4.39428945E-16 5.34950707E-16 2.97203738E-16 2.94111538E-16 2.37971274E-16 2.43578891E-16 6.21564368E-17 7.11222164E-17 5.08899318E-16 9.84793799E-16 9.84793799E-16 1.42999058E-15 1.33634336E-14 1.33634336E-14 4.26739707E-14 4.26739707E-14 4.40983056E-14 1.10856193E-14 8.00062851E-15 3.62844909E-15 1.24509941E-15 4.20331001E-15 1.19817166E-15 1.07590958E-15 7.20610919E-16 8.72977902E-16 2.66890559E-16 1.02670674E-14 4.30488800E-14 3.04253315E-15 1.18684428E-15 1.39286815E-15 1.10776084E-15 5.96922894E-17 1.47467375E-15
LN-Th      3.85515706E-15 4.46238195E-14 4.46238195E-14 8.76182255E-16 1.05852596E-15 2.11006643E-16 2.48145094E-16 1.56268284E-16 1.66802594E-16 1.02814870E-16 1.12368648E-16 3.22213713E-17 3.62107908E-17 1.15090746E-15 1.07616592E-14 1.07616592E-14 1.53786512E-14 1.67876052E-13 1.67876052E-13 1.08244646E-14 1.08244646E-14 1.08244646E-14 2.09212206E-12 3.04205250E-15 1.50160787E-15 6.29943751E-16 1.36244282E-15 5.30913222E-16 1.08462542E-15 6.69805902E-16 9.69444949E-16 6.45516907E-16 1.52107431E-14 1.60618193E-14 3.38507848E-15 1.71400841E-15 1.59507885E-15 1.41018768E-15 2.31258154E-17 2.03945750E-15
R-marrow   1.98237297E-15 4.61234567E-15 4.61234567E-15 1.80228833E-15 1.83224903E-15 2.85123328E-15 2.49218553E-15 2.19802592E-15 2.17671698E-15 2.15652955E-15 2.10558034E-15 2.60738201E-15 2.87622723E-15 9.87293195E-16 2.59248177E-15 2.59248177E-15 2.31899025E-15 3.52542914E-15 3.52542914E-15 3.06384210E-15 3.06384210E-15 3.06384210E-15 3.46759057E-15 8.77159583E-15 2.35327682E-15 2.60545940E-15 2.37570729E-15 2.44556219E-15 1.46344402E-15 6.42456750E-16 1.04634942E-15 1.44753441E-15 2.76583727E-15 3.07954343E-15 1.88928651E-14 4.79867880E-15 2.79740015E-15 9.46966413E-15 2.24689231E-15 4.14588040E-15
Endost-BS  1.84042013E-15 1.79171397E-15 1.79171397E-15 7.20723071E-16 7.28701910E-16 1.35148393E-15 1.17242469E-15 1.06299603E-15 1.05402385E-15 1.09443074E-15 1.06008007E-15 1.53462873E-15 1.61034759E-15 1.32482372E-15 2.29832217E-15 2.29832217E-15 1.56761754E-15 1.39850781E-15 1.39850781E-15 1.17216834E-15 1.17216834E-15 1.17216834E-15 1.40329832E-15 3.40911113E-15 9.00246946E-16 1.04096611E-15 9.38378747E-16 9.66144465E-16 1.15875812E-15 7.22245139E-16 8.79210369E-16 2.50868794E-15 1.03638388E-15 1.17974663E-15 7.90930445E-15 5.17519027E-15 4.29847930E-15 5.98252700E-14 1.43029499E-15 5.13738385E-15
Brain      4.14579188E-15 5.63485470E-16 5.63485470E-16 5.79699497E-17 6.46237886E-17 1.62765109E-17 1.88752412E-17 1.46833066E-17 1.43945944E-17 1.07895371E-17 1.05288630E-17 2.99863351E-18 3.32131186E-18 4.65336139E-15 6.82543205E-15 6.82543205E-15 2.89913835E-15 5.63773862E-16 5.63773862E-16 2.70399326E-16 2.70399326E-16 2.70399326E-16 6.32955843E-16 8.88326753E-16 8.03795922E-17 3.66770241E-17 8.05237881E-17 3.73034751E-17 2.57549870E-16 5.25722171E-16 3.58679250E-16 4.73443152E-14 1.95561662E-16 2.80108515E-16 1.45347849E-15 1.03303533E-15 2.07978530E-15 3.17246966E-15 3.37754825E-18 1.74662570E-15
Eye-lens   1.00214537E-14 6.72321319E-16 6.72321319E-16 1.42638568E-16 1.21385697E-16 4.30216430E-17 2.44828589E-17 3.33781428E-17 6.80860920E-17 3.24136325E-17 5.29759655E-18 9.19921674E-18 0.00000000E+00 4.05286564E-14 9.02313754E-15 9.02313754E-15 3.43186204E-15 5.95384804E-16 5.95384804E-16 4.04068910E-16 4.04068910E-16 4.04068910E-16 6.80268115E-16 3.10325564E-16 1.55194825E-16 7.94743625E-17 1.51296730E-16 1.06531919E-16 3.14010570E-16 8.30119681E-16 6.06199496E-16 5.82086739E-15 3.85083119E-16 4.10477616E-16 9.96762058E-16 6.75846108E-16 1.76095218E-15 1.65777201E-15 7.89408377E-19 4.92165295E-15
P-gland    1.25572184E-14 9.32194345E-16 9.32194345E-16 8.64822824E-17 8.12015087E-17 2.19049569E-17 2.63782337E-17 2.00896910E-17 2.05062569E-17 1.45516077E-17 1.43032704E-17 4.27508752E-18 6.35278999E-19 7.62555899E-15 3.03580401E-14 3.03580401E-14 7.52942840E-15 1.21323212E-15 1.21323212E-15 3.55458875E-16 3.55458875E-16 3.55474897E-16 1.32637783E-15 5.06303792E-16 1.26134548E-16 5.36504818E-17 1.06073696E-16 4.97587952E-17 4.52662923E-16 5.26154758E-16 5.29887830E-16 2.77256641E-14 3.17246966E-16 3.84073747E-16 2.13874539E-15 1.41348816E-15 3.68420483E-15 4.49234265E-15 5.26635411E-19 6.52077778E-15
Tongue     5.01016609E-13 3.69237593E-15 3.69237593E-15 1.93302593E-16 2.12929255E-16 5.42064371E-17 6.49057717E-17 4.50580093E-17 4.83152341E-17 3.53568307E-17 3.41247570E-17 8.88374819E-18 1.09050540E-17 1.90787176E-14 5.68980936E-14 5.68980936E-14 7.45572828E-14 3.57397509E-15 3.57397509E-15 9.62972156E-16 9.62972156E-16 9.62972156E-16 4.10381485E-15 1.23487753E-15 2.76151139E-16 1.12085063E-16 2.27829496E-16 1.36702504E-16 7.89616660E-16 6.44443448E-16 7.28269322E-16 4.22077374E-15 7.88270832E-16 1.05005045E-15 2.03059848E-15 2.02547151E-15 2.43242434E-15 2.62805009E-15 9.72713389E-18 4.43239413E-15
Tonsils    9.98524452E-14 2.63766315E-15 2.63766315E-15 1.75310151E-16 1.68452836E-16 4.43162016E-17 5.13545629E-17 2.99799264E-17 3.39837655E-17 2.83040498E-17 2.92285057E-17 9.55377839E-18 4.49650831E-18 1.33610304E-14 6.70446773E-14 6.70446773E-14 2.92204948E-14 2.48433486E-15 2.48433486E-15 7.88030505E-16 7.88030505E-16 7.88030505E-16 2.89256943E-15 4.37282029E-16 2.27861540E-16 8.81277177E-17 1.81782944E-16 1.11381707E-16 9.99341562E-16 6.16709773E-16 8.97202811E-16 6.12640245E-15 5.99662616E-16 8.44619379E-16 2.09756946E-15 1.71144492E-15 2.77625142E-15 2.79547753E-15 3.64639347E-18 6.89787381E-15
S-glands   2.66842494E-14 3.20980037E-15 3.20980037E-15 1.60906585E-16 1.82311662E-16 4.28678341E-17 5.18320115E-17 3.66834328E-17 3.89649322E-17 2.58447089E-17 2.72418068E-17 8.78441324E-18 8.60480926E-18 5.54176825E-15 2.56444369E-14 2.56444369E-14 3.96394485E-14 2.99382698E-15 2.99382698E-15 9.10116353E-16 9.10116353E-16 9.10116353E-16 3.58823446E-15 4.36368788E-16 2.30489109E-16 9.59559520E-17 2.23968251E-16 1.04952173E-16 8.48929233E-16 8.17863031E-16 7.54657169E-16 5.26026584E-15 6.54489095E-16 9.79554682E-16 1.83240925E-15 1.52906917E-15 2.21388747E-15 2.36945881E-15 8.32923490E-18 6.81585727E-15
Thyroid    6.88166845E-15 3.32339469E-14 3.32339469E-14 3.84506335E-16 4.38547748E-16 1.02875752E-16 1.16912420E-16 8.53431349E-17 8.35743321E-17 5.58903246E-17 6.06087343E-17 1.51836663E-17 1.64383308E-17 1.87582823E-15 1.12424724E-14 1.12424724E-14 1.97644491E-14 4.67947687E-14 4.67947687E-14 3.95929853E-15 3.95929853E-15 3.95929853E-15 7.35767508E-14 2.59168069E-15 6.02850947E-16 2.32027199E-16 5.16846113E-16 2.43178347E-16 1.33895491E-15 7.92067990E-16 9.11494225E-16 1.07329803E-15 2.71344610E-15 5.38715822E-15 2.68524779E-15 1.85051384E-15 1.55167588E-15 1.50247304E-15 1.60698302E-17 5.81535487E-15
Breast     1.14424240E-15 2.51045034E-15 2.51045034E-15 1.64239112E-15 1.90418675E-15 3.51565587E-16 4.26579490E-16 2.43578891E-16 2.40294430E-16 2.00095821E-16 2.04710090E-16 4.52070118E-17 5.31377854E-17 9.13096402E-16 8.94975786E-16 8.94975786E-16 1.35728381E-15 2.88664138E-15 2.88664138E-15 4.50580093E-15 4.50580093E-15 4.50580093E-15 2.79387536E-15 1.07328201E-15 2.26371516E-15 7.33508439E-16 1.37819221E-15 9.90994223E-16 6.20234562E-16 1.08664416E-15 6.17030209E-16 2.78249990E-16 6.13281116E-15 4.45228824E-15 1.32333369E-15 7.37097315E-16 4.86917456E-16 5.61418663E-16 4.90682571E-17 6.73853399E-15
Thymus     2.62244247E-15 1.57774330E-14 1.57774330E-14 7.37353663E-16 8.35887517E-16 1.81766922E-16 2.10013294E-16 1.43758490E-16 1.47249632E-16 9.88895371E-17 9.96970341E-17 2.84210087E-17 3.23158997E-17 1.21730165E-15 2.97107608E-15 2.97107608E-15 4.69806211E-15 2.60994550E-14 2.60994550E-14 8.65415629E-15 8.65415629E-15 8.65415629E-15 2.96594911E-14 8.71327661E-16 1.21279954E-15 4.36929550E-16 8.70158072E-16 4.89288677E-16 1.03329168E-15 6.96546228E-16 9.34709763E-16 5.14218544E-16 1.14699815E-14 9.23654745E-15 3.91139346E-15 1.56849874E-15 1.45682704E-15 1.67443465E-15 2.73299265E-17 6.38498186E-15
Ht-wall    8.00992113E-16 1.63806524E-14 1.63806524E-14 5.24680756E-15 6.85891754E-15 6.21676520E-16 7.84217325E-16 3.36745454E-16 3.32499686E-16 3.26539590E-16 3.35031125E-16 7.05133894E-17 8.01376635E-17 5.12712498E-16 7.56756020E-16 7.56756020E-16 1.08156526E-15 1.59120158E-14 1.59120158E-14 1.01658098E-14 1.01658098E-14 1.01658098E-14 1.51769372E-14 8.26691024E-15 4.33340674E-15 1.53568616E-15 4.59392064E-15 1.84442557E-15 8.22509343E-16 6.38563461E-16 8.03523552E-16 2.01425628E-16 1.26156979E-13 1.03575903E-14 2.76183183E-15 1.37372214E-15 9.27323729E-16 9.48504502E-16 7.10661403E-17 1.40824768E-15
Adrenals   1.89361239E-16 3.46775079E-15 3.46775079E-15 9.47895675E-15 9.83415928E-15 3.56179855E-15 4.38227313E-15 1.86012690E-15 1.81045943E-15 1.12604168E-15 1.15430407E-15 2.73203135E-16 3.30833423E-16 1.40318617E-16 1.56151325E-16 1.56151325E-16 2.21564986E-16 1.28456102E-15 1.28456102E-15 2.35984575E-15 2.35984575E-15 2.35984575E-15 1.09752294E-15 4.58334628E-15 1.34486694E-14 2.25137840E-14 8.94479111E-15 1.18354379E-14 1.10478080E-15 5.87662314E-16 1.01031647E-15 5.87389944E-17 3.08018430E-15 2.32395699E-15 4.53848533E-15 2.22718553E-15 1.67763900E-15 1.91508155E-15 2.54233365E-16 5.35443364E-15
Liver      2.84754827E-16 3.64431064E-15 3.64431064E-15 6.76679239E-15 6.36528697E-15 2.26820125E-15 2.64118794E-15 1.97852774E-15 1.90386632E-15 7.83272041E-16 7.97659586E-16 2.03155979E-16 2.33196788E-16 2.21853378E-16 2.41560149E-16 2.41560149E-16 3.31041706E-16 1.68564988E-15 1.68564988E-15 3.64751499E-15 3.64751499E-15 3.64751499E-15 1.48898272E-15 4.79964010E-15 3.39997872E-14 6.47391453E-15 2.97059542E-15 8.17927118E-15 8.12816175E-16 6.68379965E-16 8.37617867E-16 8.37025062E-17 4.32699804E-15 3.58278706E-15 2.34734877E-15 1.43566228E-15 7.93974580E-16 9.11590356E-16 2.14291105E-16 9.37684905E-16
Pancreas   1.40767226E-16 1.38575449E-15 1.38575449E-15 2.17527502E-14 1.45314203E-14 1.10160849E-14 1.50502050E-14 4.96274167E-15 4.68908992E-15 2.64214924E-15 2.70703739E-15 4.42200710E-16 5.18015702E-16 1.22734730E-16 1.11448999E-16 1.11448999E-16 1.48997607E-16 6.50051066E-16 6.50051066E-16 1.19914899E-15 1.19914899E-15 1.19914899E-15 5.62395990E-16 4.12576467E-15 8.21596103E-15 1.50047032E-14 4.66922294E-15 2.74853376E-13 9.02073427E-16 5.53023258E-16 1.02412723E-15 4.12832815E-17 1.84762992E-15 1.18091622E-15 2.45245155E-15 1.65008156E-15 8.55145678E-16 1.33576658E-15 4.81197686E-16 1.01980730E-15
Kidneys    1.18836634E-16 1.32008127E-15 1.32008127E-15 7.13545320E-15 7.18031414E-15 5.92020234E-15 7.18367871E-15 5.20258749E-15 4.60978219E-15 2.31129980E-15 2.36945881E-15 4.83520842E-16 5.66161105E-16 9.83191623E-17 1.05309458E-16 1.05309458E-16 1.39504711E-16 6.85971863E-16 6.85971863E-16 1.21999331E-15 1.21999331E-15 1.21999331E-15 5.81558021E-16 4.21917156E-15 6.48528998E-15 1.22145129E-13 9.14490295E-15 1.49699360E-14 1.23422063E-15 6.33933171E-16 1.13568678E-15 3.77568911E-17 1.54151809E-15 1.20211302E-15 2.60786267E-15 1.47651779E-15 9.62667742E-16 1.31226265E-15 4.58895389E-16 1.01233392E-15
Spleen     2.27845518E-16 3.32756035E-15 3.32756035E-15 1.85644190E-14 2.01617889E-14 2.38756340E-15 2.90330401E-15 5.73691335E-16 5.66273258E-16 9.97627233E-16 1.02612995E-15 1.86525387E-16 2.19802592E-16 1.65985484E-16 2.25169883E-16 2.25169883E-16 2.95921997E-16 1.68420792E-15 1.68420792E-15 4.03748475E-15 4.03748475E-15 4.03748475E-15 1.32322154E-15 4.78265703E-15 2.97379978E-15 9.12808010E-15 2.19610331E-13 4.64535051E-15 9.80019314E-16 7.79218534E-16 1.12490413E-15 8.26771133E-17 4.57773866E-15 3.95913832E-15 2.35680161E-15 1.07151961E-15 8.17718835E-16 8.92860913E-16 1.68196488E-16 8.65544175E-16
GB-wall    2.01089171E-16 2.46270548E-15 2.46270548E-15 9.52317682E-15 7.24119685E-15 5.29695568E-15 6.20587040E-15 2.66890559E-15 2.59055916E-15 1.34310455E-15 1.41311966E-15 2.99110328E-16 3.43138138E-16 1.71657189E-16 1.55292558E-16 1.55292558E-16 2.32892374E-16 1.06089718E-15 1.06089718E-15 1.97660513E-15 1.97660513E-15 1.97660513E-15 9.28813753E-16 9.92820704E-16 2.09388445E-14 1.25129984E-14 3.75614256E-15 2.73571635E-14 8.67226089E-16 5.74171988E-16 8.64037758E-16 5.81798348E-17 2.73699809E-15 1.94600356E-15 3.21204342E-15 1.96250598E-15 1.15925480E-15 1.53260998E-15 3.06143883E-16 4.54206680E-15
Ureters    5.20771445E-17 4.19561957E-16 4.19561957E-16 3.11142674E-15 2.37939230E-15 1.32277293E-14 1.01914446E-14 7.64750881E-15 7.51629055E-15 7.79154447E-15 7.57076455E-15 7.19313156E-15 7.91747555E-15 4.82735776E-17 4.38083117E-17 4.38083117E-17 6.13889943E-17 2.35295639E-16 2.35295639E-16 4.29976104E-16 4.29976104E-16 4.29976104E-16 2.13986692E-16 7.56916238E-16 2.24128469E-15 7.85258740E-15 1.44088538E-15 1.13980437E-14 1.53216137E-15 5.34774468E-16 1.50141561E-15 1.57657371E-17 5.66817998E-16 4.23423202E-16 5.01961893E-15 3.24761174E-15 1.51469765E-15 2.62949205E-15 6.81085225E-15 5.47059721E-15
UB-wall    1.17761574E-17 4.84514191E-17 4.84514191E-17 2.71729132E-16 2.21693161E-16 6.09307718E-15 6.07096714E-15 2.44716437E-15 2.30072544E-15 3.29904160E-15 2.84162022E-15 1.75534456E-14 1.43646337E-14 1.30095129E-17 9.29871190E-18 9.29871190E-18 1.08877505E-17 3.04653859E-17 3.04653859E-17 5.68820718E-17 5.68820718E-17 5.68820718E-17 2.83937717E-17 8.23006018E-16 1.94568313E-16 4.19866370E-16 1.60938628E-16 4.42216732E-16 1.47621337E-15 6.84529904E-16 1.36117710E-15 3.80100350E-18 6.80844898E-17 5.60040791E-17 2.45773873E-15 1.51652413E-15 1.18537027E-15 1.27608551E-15 6.64502698E-14 5.64390620E-15
Ovaries    7.87886309E-18 4.76439222E-17 4.76439222E-17 2.51878166E-16 2.06969159E-16 6.72177123E-15 6.92508743E-15 1.86188930E-15 1.81094008E-15 1.98814080E-15 1.83096729E-15 3.70519334E-14 2.36016618E-14 1.08220613E-17 6.47391453E-18 6.47391453E-18 8.62643864E-18 3.51934087E-17 3.51934087E-17 5.83464611E-17 5.83464611E-17 5.83480633E-17 3.01113049E-17 3.22438018E-15 1.93494854E-16 4.44091279E-16 1.59636059E-16 4.06872719E-16 1.80437116E-15 5.69990307E-16 1.74412932E-15 2.22958880E-18 6.27428334E-17 5.75678034E-17 2.79275383E-15 1.58966349E-15 1.19443859E-15 1.37745521E-15 1.50617407E-14 6.24398342E-15
