  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        C-bone-S       C-bone-V       T-bone-S       T-bone-V       UB-cont        Other          
Bchiol-sec 7.80452210E-17 8.70126028E-16 8.70126028E-16 3.05134512E-16 4.48737590E-17 1.94263899E-17 1.52216379E-17 3.07601864E-18 3.59928948E-17 8.25745740E-17 8.25745740E-17 1.27940201E-16 1.50473211E-15 1.50473211E-15 2.17046849E-09 1.08142106E-09 1.23119252E-12 1.20608642E-15 7.37545924E-13 3.77040193E-16 1.15515323E-16 1.35869373E-16 1.35869373E-16 1.07435547E-16 1.07435547E-16 2.37025989E-18 1.36043854E-13
AI         7.80452210E-17 8.70126028E-16 8.70126028E-16 3.05134512E-16 4.48737590E-17 1.94263899E-17 1.52216379E-17 3.07601864E-18 3.59928948E-17 8.25745740E-17 8.25745740E-17 1.27940201E-16 1.50473211E-15 1.50473211E-15 1.39568798E-14 1.39568798E-14 2.05575265E-11 1.20608642E-15 2.53159907E-12 3.77040193E-16 1.15515323E-16 1.35869373E-16 1.35869373E-16 1.07435547E-16 1.07435547E-16 2.37025989E-18 1.65724876E-13
LN-Th      3.54705852E-16 4.85058931E-15 4.85058931E-15 1.04604501E-16 1.82696185E-17 9.59655650E-18 6.56411707E-18 1.24027686E-18 7.78882077E-17 1.28241410E-15 1.28241410E-15 1.55649844E-15 2.26643886E-14 2.26643886E-14 1.18444101E-15 1.18444101E-15 1.18444101E-15 1.45724360E-09 2.45437416E-13 1.48161271E-16 4.66922294E-17 1.55766802E-16 1.55766802E-16 1.28798968E-16 1.28798968E-16 1.05122004E-18 1.38416520E-16
R-marrow   1.80869704E-16 4.38579792E-16 4.38579792E-16 1.76479740E-16 2.47135723E-16 2.10942556E-16 2.04886329E-16 2.94544125E-16 8.17462487E-17 2.43130282E-16 2.43130282E-16 2.15668977E-16 3.41231548E-16 3.41231548E-16 3.05086447E-16 3.05086447E-16 3.05086447E-16 3.35335539E-16 6.96257836E-13 2.27477018E-16 2.50756642E-16 3.75261777E-16 2.58783546E-16 2.82575867E-12 3.15468550E-13 2.22013596E-16 2.63191745E-13
Endost-BS  1.94424117E-16 1.99567103E-16 1.99567103E-16 8.17782922E-17 1.34007644E-16 1.16838720E-16 1.18030740E-16 1.89104891E-16 1.29882039E-16 2.49987597E-16 2.49987597E-16 1.68581010E-16 1.58519342E-16 1.58519342E-16 1.35201265E-16 1.35201265E-16 1.35201265E-16 1.58583429E-16 2.64182881E-13 1.01332856E-16 1.16231495E-16 3.17375140E-12 3.10405673E-16 2.13057429E-11 2.26772060E-12 1.62412630E-16 2.47688219E-13
Brain      3.76447387E-16 3.95769636E-17 3.95769636E-17 2.67467343E-18 5.88158988E-19 3.60441644E-19 2.60129374E-19 5.55971263E-20 4.10237289E-16 6.55915032E-16 6.55915032E-16 2.52038383E-16 3.85035053E-17 3.85035053E-17 1.58900660E-17 1.58900660E-17 1.58900660E-17 4.34894786E-17 1.64623634E-13 3.53520242E-18 1.27227233E-18 1.95753923E-16 1.95753923E-16 2.97059542E-16 2.97059542E-16 5.12776585E-20 3.62945514E-13
Eye-lens   8.49602148E-16 3.96939225E-17 3.96939225E-17 5.28718241E-18 9.53102749E-19 1.53893858E-19 1.00538177E-18 0.00000000E+00 3.57910205E-15 8.40581894E-16 8.40581894E-16 2.89705552E-16 4.04485476E-17 4.04485476E-17 2.51685904E-17 2.51685904E-17 2.51685904E-17 3.98461292E-17 8.74628144E-17 8.63813453E-18 3.68901136E-18 1.48601869E-16 1.48601869E-16 1.38835001E-16 1.38835001E-16 0.00000000E+00 3.76656971E-13
P-gland    1.23776145E-15 8.97234854E-17 8.97234854E-17 3.10325564E-18 4.30905366E-19 5.15131784E-19 6.58959167E-19 0.00000000E+00 7.10196771E-16 2.89449204E-15 2.89449204E-15 7.31169262E-16 8.45244227E-17 8.45244227E-17 2.83184694E-17 2.83184694E-17 2.83216738E-17 1.04942560E-16 1.34759064E-13 6.11614852E-18 2.23263293E-18 3.84554400E-16 3.84554400E-16 4.01777798E-16 4.01777798E-16 0.00000000E+00 3.65732235E-13
Tongue     1.74140562E-13 3.54497570E-16 3.54497570E-16 1.29505528E-17 2.91387838E-18 1.52591289E-18 1.25722789E-18 2.20427441E-19 1.71929559E-15 5.83576764E-15 5.83576764E-15 7.61274158E-15 3.36136627E-16 3.36136627E-16 8.10733346E-17 8.10733346E-17 8.10733346E-17 3.87021752E-16 1.34811936E-13 1.81270248E-17 5.69749981E-18 2.25970972E-16 2.25970972E-16 2.39925929E-16 2.39925929E-16 2.21965531E-19 1.71920492E-16
Tonsils    1.07635819E-14 2.38740318E-16 2.38740318E-16 9.44867561E-18 2.05463113E-18 1.03638388E-18 1.20962723E-18 8.46622099E-20 1.18822215E-15 6.87558018E-15 6.87558018E-15 2.88071332E-15 2.19177743E-16 2.19177743E-16 6.00639943E-17 6.00639943E-17 6.00639943E-17 2.59600656E-16 1.34739838E-13 1.35731585E-17 3.58599141E-18 2.49138444E-16 2.49138444E-16 2.50884816E-16 2.50884816E-16 8.41062547E-20 3.65388140E-13
