  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          C-bone-S       C-bone-V       C-marrow       T-bone-S       T-bone-V       T-marrow       Kidneys        Ovaries        Testes         Ureters        UB-cont        Other          
Bronch-bas 3.54433482E-19 1.46645612E-16 1.46645612E-16 1.03905952E-18 1.57525992E-19 7.31601849E-20 5.83256328E-20 2.09132097E-20 1.54299209E-19 4.65608509E-19 4.65608509E-19 6.76454935E-19 1.20469252E-12 5.18512376E-09 1.52583278E-15 8.11374217E-17 8.16485160E-17 1.17072638E-15 6.35038672E-13 1.57317709E-18 1.20466048E-18 1.20466048E-18 1.32780376E-19 8.52069499E-19 8.52069499E-19 1.50263326E-18 4.10846117E-19 1.79059244E-20 0.00000000E+00 1.32373424E-19 1.62124239E-20 3.27789789E-13
Bronch-sec 3.54433482E-19 1.46645612E-16 1.46645612E-16 1.03905952E-18 1.57525992E-19 7.31601849E-20 5.83256328E-20 2.09132097E-20 1.54299209E-19 4.65608509E-19 4.65608509E-19 6.76454935E-19 2.90106097E-09 7.51677121E-10 1.52583278E-15 8.11374217E-17 8.16116659E-17 1.17072638E-15 6.35038672E-13 1.57317709E-18 1.20466048E-18 1.20466048E-18 1.32780376E-19 8.52069499E-19 8.52069499E-19 1.50263326E-18 4.10846117E-19 1.79059244E-20 0.00000000E+00 1.32373424E-19 1.62124239E-20 3.09755222E-13
Bchiol-sec 3.62444365E-19 1.39714596E-17 1.39714596E-17 2.83985782E-18 2.17735785E-19 9.46966413E-20 7.47287157E-20 2.46318613E-20 1.79571941E-19 3.93414436E-19 3.93414436E-19 6.17975493E-19 6.15732446E-17 6.15732446E-17 2.00864866E-09 9.49866352E-10 3.81301982E-13 4.20218849E-17 6.35038672E-13 5.34774468E-18 1.60313779E-18 1.60313779E-18 1.64607612E-19 1.68164444E-18 1.68164444E-18 2.97924718E-18 5.76479122E-19 2.11054709E-20 0.00000000E+00 1.72346125E-19 1.93975507E-20 1.15209026E-13
AI         5.77632689E-19 1.69750599E-17 1.69750599E-17 3.75149624E-18 3.34967038E-19 1.45681101E-19 1.13355589E-19 3.73771753E-20 2.81534452E-19 6.25714005E-19 6.25714005E-19 9.83095492E-19 6.56043206E-17 6.56043206E-17 1.53331494E-15 1.53331494E-15 1.77088567E-11 4.58430758E-17 2.18056220E-12 6.59984560E-18 2.08667466E-18 2.08667466E-18 2.59873026E-19 2.07017224E-18 2.07017224E-18 3.60025078E-18 8.79691022E-19 3.22101561E-20 0.00000000E+00 2.66265710E-19 2.92941949E-20 1.42743608E-13
LN-Th      2.54649931E-18 3.11110630E-16 3.11110630E-16 5.15820720E-19 9.20963088E-20 4.82719754E-20 3.62620604E-20 1.43513357E-20 4.01729732E-19 6.88599432E-17 6.88599432E-17 7.73755113E-17 1.88576173E-15 1.88576173E-15 3.99694968E-17 3.99694968E-17 3.99694968E-17 1.25538539E-09 2.11198905E-13 8.29046223E-19 1.35523303E-18 1.35523303E-18 9.10420767E-20 1.06565565E-18 1.06565565E-18 1.65120309E-18 2.27300778E-19 1.21456193E-20 0.00000000E+00 7.96746345E-20 1.12492016E-20 4.00885740E-18
R-marrow   1.70359426E-18 4.27060143E-18 4.27060143E-18 1.11240716E-18 1.67411421E-18 1.22845280E-18 1.18689234E-18 2.28310149E-18 6.37490002E-19 2.12608820E-18 2.12608820E-18 1.59155406E-18 2.85764198E-18 2.85764198E-18 5.28894480E-18 5.28894480E-18 5.28894480E-18 2.72866678E-18 5.99165941E-13 2.24769339E-18 1.73932279E-17 4.14242731E-18 3.28750593E-19 2.42889955E-12 2.18424720E-13 4.53255728E-12 1.89713718E-18 1.70135121E-18 0.00000000E+00 5.26907781E-18 1.48826174E-18 2.25715446E-13
Endost-BS  1.97003621E-18 1.64527503E-18 1.64527503E-18 4.26371207E-19 7.76142356E-19 6.08506630E-19 6.20362736E-19 1.23031132E-18 1.08020341E-18 2.05190743E-18 2.05190743E-18 1.08741320E-18 1.11646066E-18 1.11646066E-18 1.96971577E-18 1.96971577E-18 1.96971577E-18 1.08677233E-18 2.27300778E-13 8.34910189E-19 2.74004223E-12 4.71969150E-18 3.74893276E-13 1.82455858E-11 1.57141470E-12 5.22341578E-12 7.34565876E-19 1.20839355E-18 0.00000000E+00 2.27364865E-18 1.00494918E-18 2.19128097E-13
Brain      2.19610331E-18 2.12704950E-19 2.12704950E-19 2.06504527E-20 7.14490604E-21 5.15067697E-21 4.28133601E-21 2.26483668E-21 2.47856703E-18 4.87061652E-18 4.87061652E-18 1.38219766E-18 2.00880888E-19 2.00880888E-19 8.22076755E-20 8.22076755E-20 8.22076755E-20 2.24673209E-19 1.41766984E-13 2.40678952E-20 2.40694974E-18 2.40694974E-18 6.55354270E-21 3.18640860E-18 3.18640860E-18 1.18288690E-18 1.26799452E-20 2.12785059E-21 0.00000000E+00 6.57517208E-21 1.92677744E-21 3.12743648E-13
Eye-lens   5.84602157E-18 2.30681371E-19 2.30681371E-19 3.95256939E-20 1.46144130E-20 1.03250662E-20 8.35663212E-21 3.59624534E-21 5.55250283E-17 7.19104873E-18 7.19104873E-18 1.58921488E-18 2.10525990E-19 2.10525990E-19 1.20381133E-19 1.20381133E-19 1.20381133E-19 2.35103378E-19 9.38250573E-18 4.56588255E-20 1.40507674E-18 1.40507674E-18 9.50010548E-21 1.08975238E-18 1.08975238E-18 4.23022658E-19 1.97131795E-20 4.04052888E-21 0.00000000E+00 1.34198303E-20 3.68612744E-21 3.24605167E-13
P-gland    8.44298943E-18 5.05182268E-19 5.05182268E-19 3.39725502E-20 9.82454622E-21 6.57020534E-21 5.98172591E-21 2.54617887E-21 4.29142972E-18 2.42729738E-17 2.42729738E-17 4.47792306E-18 4.94239403E-19 4.94239403E-19 1.39374935E-19 1.39374935E-19 1.39354106E-19 5.40189824E-19 1.16056858E-13 3.89777496E-20 6.19882083E-18 6.19882083E-18 8.75845798E-21 5.35575556E-18 5.35575556E-18 1.77168676E-18 1.82840381E-20 2.95441344E-21 0.00000000E+00 8.99237575E-21 2.21260573E-21 3.15137656E-13
Tongue     1.94872726E-14 2.95954041E-18 2.95954041E-18 6.73010255E-20 2.01233367E-20 1.34533157E-20 1.07091079E-20 4.97123320E-21 1.31008369E-17 2.32748178E-16 2.32748178E-16 3.30256639E-16 2.52310753E-18 2.52310753E-18 3.87983058E-19 3.87983058E-19 3.87983058E-19 2.67307125E-18 1.16056858E-13 8.80187697E-20 2.65817101E-18 2.65817101E-18 1.84907188E-20 2.38467948E-18 2.38467948E-18 1.25357493E-18 3.57798053E-20 4.64631181E-21 0.00000000E+00 1.74653259E-20 4.31337954E-21 1.01596902E-17
Tonsils    5.84810440E-16 1.51743737E-18 1.51743737E-18 5.46390247E-20 1.68388749E-20 1.11594797E-20 8.99525967E-21 3.86220664E-21 8.09900214E-18 3.46839166E-16 3.46839166E-16 3.94936504E-17 1.33039929E-18 1.33039929E-18 2.96578890E-19 2.96578890E-19 2.96578890E-19 1.48459275E-18 1.16055256E-13 6.67803182E-20 3.14875745E-18 3.14875745E-18 1.56125690E-20 2.22045639E-18 2.22045639E-18 1.13579893E-18 2.85908394E-20 4.19802283E-21 0.00000000E+00 1.39943707E-20 3.53696481E-21 3.14844273E-13
S-glands   9.06479413E-17 2.27220669E-18 2.27220669E-18 5.81606087E-20 1.69478229E-20 1.13841048E-20 9.15259340E-21 4.47071327E-21 2.82335541E-18 4.67082511E-17 4.67082511E-17 1.49787480E-16 2.00336148E-18 2.00336148E-18 3.64222781E-19 3.64222781E-19 3.64222781E-19 2.51589774E-18 1.16055256E-13 7.28333409E-20 2.57549870E-18 2.57549870E-18 1.88015411E-20 1.92805918E-18 1.92805918E-18 1.00986786E-18 3.09492432E-20 4.19513891E-21 0.00000000E+00 1.48311875E-20 3.80468850E-21 3.14944450E-13
Thyroid    3.91395694E-18 1.49306827E-16 1.49306827E-16 1.56191379E-19 3.74076166E-20 2.37795034E-20 1.76880284E-20 7.73354569E-21 6.99061645E-19 1.29989385E-17 1.29989385E-17 2.12080102E-17 3.49642975E-16 3.49642975E-16 3.22822540E-18 3.22822540E-18 3.22822540E-18 5.93958867E-16 4.91419572E-13 2.31450415E-19 1.04852838E-18 1.04852838E-18 4.28261775E-20 9.31441322E-19 9.31441322E-19 1.07105498E-18 8.01841266E-20 7.00743930E-21 0.00000000E+00 3.22534149E-20 6.31690124E-21 2.83592971E-13
Breast     6.64262372E-19 1.27187178E-18 1.27187178E-18 9.00903839E-19 1.55709124E-19 7.44851849E-20 6.08762978E-20 1.95097031E-20 9.99533823E-19 3.77873324E-19 3.77873324E-19 8.37425606E-19 1.62508761E-18 1.62508761E-18 4.27124230E-18 4.27124230E-18 4.27124230E-18 1.53198514E-18 1.16056858E-13 1.21278351E-18 2.24865470E-19 2.24865470E-19 7.96489997E-20 3.68500592E-19 3.68500592E-19 5.78081298E-19 2.82623932E-19 1.72810756E-20 0.00000000E+00 1.18214990E-19 1.65200418E-20 3.14868661E-13
Thymus     1.24106193E-18 2.58126654E-17 2.58126654E-17 3.59079794E-19 7.38475186E-20 4.23551376E-20 3.03163835E-20 1.21408128E-20 4.68316187E-19 1.55443163E-18 1.55443163E-18 2.48465530E-18 7.61033831E-17 7.61033831E-17 1.88880586E-17 1.88880586E-17 1.88880586E-17 8.15555897E-17 1.16058460E-13 5.77424406E-19 1.54933671E-18 1.54933671E-18 7.95608800E-20 2.47344006E-18 2.47344006E-18 4.36977615E-18 1.59025629E-19 1.06725782E-20 0.00000000E+00 6.21932869E-20 9.77968528E-21 3.14941518E-13
Ht-wall    2.98950111E-19 6.33740909E-17 6.33740909E-17 1.03718497E-17 3.39308936E-19 1.06664900E-19 1.05889446E-19 2.78714622E-20 1.79475810E-19 2.71312566E-19 2.71312566E-19 4.23423202E-19 6.89881174E-17 6.89881174E-17 3.08274778E-17 3.08274778E-17 3.08274778E-17 6.72225189E-17 5.47704032E-13 4.92252704E-18 5.85980028E-19 5.85980028E-19 1.10511725E-19 9.51484550E-19 9.51484550E-19 1.82872424E-18 7.18688307E-19 2.34590681E-20 0.00000000E+00 2.28806824E-19 2.24448904E-20 2.78838490E-13
Adrenals   4.86709173E-20 2.81197995E-18 2.81197995E-18 1.07720734E-17 6.83696772E-18 8.48160189E-19 4.61010262E-19 1.11396127E-19 3.42785659E-20 4.23134810E-20 4.23134810E-20 5.91475494E-20 6.02210076E-19 6.02210076E-19 1.30599814E-18 1.30599814E-18 1.30599814E-18 5.02042002E-19 6.18616363E-13 2.61106702E-17 1.93382702E-18 1.93382702E-18 7.06607896E-20 1.69814686E-18 1.69814686E-18 2.13922605E-18 7.91202815E-17 8.85603053E-20 0.00000000E+00 5.33396596E-18 8.38659282E-20 2.72944925E-13
Liver      7.97867869E-20 5.84858505E-18 5.84858505E-18 8.07384797E-18 2.42793825E-18 1.30210485E-18 2.97652348E-19 7.74444049E-20 6.05286255E-20 6.58590667E-20 6.58590667E-20 9.61177718E-20 1.00501327E-18 1.00501327E-18 5.54321021E-18 5.54321021E-18 5.54321021E-18 8.11918957E-19 8.80652328E-13 8.80652328E-12 5.14346718E-19 5.14346718E-19 9.46758130E-20 7.95801061E-19 7.95801061E-19 1.27544464E-18 8.27299851E-18 6.60977910E-20 0.00000000E+00 1.38242196E-18 6.52566483E-20 9.18257707E-19
Pancreas   3.27564983E-20 6.89913217E-19 6.89913217E-19 2.36929859E-17 4.26499381E-17 4.25762380E-18 1.32817226E-18 1.84811058E-19 2.83809543E-20 2.65592796E-20 2.65592796E-20 3.68676831E-20 2.53127863E-19 2.53127863E-19 5.19489704E-19 5.19489704E-19 5.19489704E-19 2.13361843E-19 6.61490606E-13 8.54713091E-18 5.37337950E-19 5.37337950E-19 5.21941034E-20 8.25393261E-19 8.25393261E-19 7.83624520E-19 2.80781429E-17 1.45182825E-19 0.00000000E+00 2.82671998E-17 1.57681403E-19 2.69404075E-13
Kidneys    2.78842796E-20 6.71904753E-19 6.71904753E-19 5.83865155E-18 1.00153654E-17 6.10028697E-18 1.22085848E-18 2.05831613E-19 2.05463113E-20 2.51397513E-20 2.51397513E-20 3.42577376E-20 2.69726412E-19 2.69726412E-19 5.58038070E-19 5.58038070E-19 5.58038070E-19 2.22093705E-19 8.92925000E-13 8.26979416E-18 6.26643268E-19 6.26643268E-19 7.81253299E-20 9.11750573E-19 9.11750573E-19 1.05152445E-18 4.46462500E-11 1.57804771E-19 0.00000000E+00 2.31210089E-17 1.53240170E-19 1.66598276E-18
Spleen     6.15988794E-20 2.39685602E-18 2.39685602E-18 3.25626349E-17 2.48273268E-18 2.00079800E-19 3.91523868E-19 7.16541390E-20 4.02931365E-20 6.03363643E-20 6.03363643E-20 8.28068896E-20 9.17230017E-19 9.17230017E-19 8.43706138E-18 8.43706138E-18 8.43706138E-18 6.56011163E-19 1.19083370E-12 1.59573574E-18 5.09395992E-19 5.09395992E-19 1.33214566E-19 8.90730018E-19 8.90730018E-19 1.47703048E-18 1.31527474E-17 5.46838857E-20 0.00000000E+00 7.12391753E-19 5.15243936E-20 2.25178732E-13
GB-wall    5.17647201E-20 1.39177867E-18 1.39177867E-18 5.56964612E-18 1.07977082E-17 1.32179560E-18 5.88960077E-19 1.17665443E-19 4.18408390E-20 4.21180155E-20 4.21180155E-20 5.92613039E-20 4.72465824E-19 4.72465824E-19 9.97370885E-19 9.97370885E-19 9.97370885E-19 4.04213106E-19 1.16058460E-13 5.98861527E-17 1.12314174E-18 1.12314174E-18 5.81397804E-20 1.09899694E-18 1.09899694E-18 1.25081918E-18 2.26019037E-17 9.58293800E-20 0.00000000E+00 2.05863657E-17 9.87918044E-20 3.14751182E-13
Ureters    1.17657432E-20 1.88608216E-19 1.88608216E-19 1.40139173E-18 1.58743646E-17 6.56571924E-18 6.21275976E-18 1.47573272E-17 9.88126327E-21 1.02353443E-20 1.02353443E-20 1.38269433E-20 8.55770527E-20 8.55770527E-20 1.60826476E-19 1.60826476E-19 1.60842498E-19 7.30464304E-20 1.16056858E-13 1.38605890E-18 1.83385121E-18 1.83385121E-18 7.11863035E-20 2.40807126E-18 2.40807126E-18 3.10309542E-18 2.17575567E-17 5.06928640E-18 0.00000000E+00 1.03095250E-09 9.95864839E-18 3.89005840E-18
UB-wall    2.56412325E-21 1.57976204E-20 1.57976204E-20 6.55242118E-20 9.69973667E-18 1.15101961E-18 1.71480949E-18 3.54529613E-17 2.30937719E-21 2.41464018E-21 2.41464018E-21 2.84786871E-21 1.04513177E-20 1.04513177E-20 1.57213568E-20 1.57213568E-20 1.57189535E-20 9.45892954E-21 7.81045016E-14 5.71111831E-20 1.29763478E-18 1.29763478E-18 1.43809759E-19 1.35497668E-18 1.35497668E-18 1.90755133E-18 1.40623030E-19 3.09316193E-17 0.00000000E+00 3.59496360E-17 1.59368495E-13 3.18119926E-13
Ovaries    2.50420185E-21 1.62220369E-20 1.62220369E-20 6.04949798E-20 1.42640170E-17 8.32202511E-19 8.41238786E-19 3.95977919E-17 1.90450719E-21 2.13281734E-21 2.13281734E-21 2.61266920E-21 1.14557221E-20 1.14557221E-20 1.63422002E-20 1.63422002E-20 1.63454045E-20 9.06703718E-21 5.04493332E-13 5.68692544E-20 8.76422582E-19 8.76422582E-19 1.76111239E-19 9.30784430E-19 9.30784430E-19 1.42327746E-18 1.48624300E-19 1.34738236E-09 0.00000000E+00 5.23671385E-18 1.52846035E-17 3.67312703E-18
Testes     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Prostate   0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Uterus     2.45389351E-21 1.57436270E-20 1.57436270E-20 6.56251489E-20 1.69574359E-17 7.92324338E-19 1.07341018E-18 7.14266300E-17 1.86509365E-21 2.32988505E-21 2.32988505E-21 2.80573146E-21 1.09952566E-20 1.09952566E-20 1.59134577E-20 1.59134577E-20 1.59123362E-20 9.87886000E-21 1.16056858E-13 5.76911709E-20 8.46670165E-19 8.46670165E-19 1.71016318E-19 9.31120887E-19 9.31120887E-19 1.40381102E-18 1.49808308E-19 2.60001200E-16 0.00000000E+00 6.08154151E-18 6.27604573E-17 3.15013183E-13
LN-Sys     2.11150839E-19 2.90811054E-17 2.90811054E-17 4.83104276E-18 1.84074057E-17 2.21036268E-17 2.63542010E-17 1.96298663E-17 4.97876343E-20 1.21087692E-18 1.21087692E-18 1.48145249E-18 2.75157790E-17 2.75157790E-17 5.78866365E-18 5.78866365E-18 5.78866365E-18 2.27541105E-17 2.11198905E-13 2.21885422E-18 9.26666837E-19 9.26666837E-19 1.09576054E-19 1.06828322E-18 1.06828322E-18 1.59871579E-18 9.95207947E-18 2.14723693E-17 0.00000000E+00 3.35127256E-17 5.89264490E-18 3.07136184E-13
Skin       6.39332505E-19 3.03676531E-19 3.03676531E-19 3.09220062E-19 2.63766315E-19 3.36200714E-19 3.19057426E-19 2.60930463E-19 2.86292916E-18 3.51725804E-19 3.51725804E-19 6.46189821E-19 4.33869393E-19 4.33869393E-19 4.22461896E-19 4.22461896E-19 4.22461896E-19 4.27797144E-19 1.97324056E-13 3.66001197E-19 5.74764793E-19 5.74764793E-19 4.17959780E-19 4.47680154E-19 4.47680154E-19 4.25650227E-19 2.82688019E-19 2.29848239E-19 0.00000000E+00 2.11166861E-19 4.17318910E-19 3.08127142E-13
Adipose    1.00786514E-18 1.02013781E-18 1.02013781E-18 7.04749371E-19 1.36005558E-18 1.10897850E-18 1.26982100E-18 1.72842799E-18 3.78017520E-18 2.33965832E-18 2.33965832E-18 1.56936391E-18 1.89233065E-18 1.89233065E-18 1.06919646E-18 1.06919646E-18 1.06919646E-18 2.36801685E-18 6.22766000E-14 6.05526581E-19 6.87974584E-19 6.87974584E-19 4.96498472E-19 6.05013885E-19 6.05013885E-19 7.13753603E-19 1.24014869E-18 3.09284149E-18 0.00000000E+00 3.22421996E-18 1.01709368E-18 3.19420795E-13
Muscle     1.89633609E-18 1.52725871E-18 1.52725871E-18 5.43522351E-19 8.86436185E-19 1.53067135E-18 1.46147335E-18 1.26424542E-18 6.48833412E-19 2.19466135E-18 2.19466135E-18 4.40310142E-18 1.49165835E-18 1.49165835E-18 1.44058097E-18 1.44058097E-18 1.44058097E-18 1.58024269E-18 9.33428021E-14 8.04100335E-19 1.60970672E-18 1.60970672E-18 1.09199543E-18 1.00696792E-18 1.00696792E-18 1.28299089E-18 1.48548997E-18 2.00544431E-18 0.00000000E+00 2.66025384E-18 9.74235456E-19 3.16816719E-13
