  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          C-bone-S       C-bone-V       C-marrow       T-bone-S       T-bone-V       T-marrow       Kidneys        Ovaries        Testes         Ureters        UB-cont        Other          
O-mucosa   3.75966734E-15 4.07465524E-18 4.07465524E-18 1.17250480E-19 3.44339771E-20 2.23375446E-20 1.83929861E-20 8.65800152E-21 4.77160201E-17 2.75269942E-16 2.75269942E-16 5.47223379E-16 3.71224292E-18 3.71224292E-18 6.61266301E-19 6.61266301E-19 6.61266301E-19 4.06183783E-18 1.16056858E-13 1.51939203E-19 5.46518421E-18 5.46518421E-18 3.14795636E-20 4.21180155E-18 4.21180155E-18 2.11951927E-18 6.14466726E-20 8.02241811E-21 0.00000000E+00 3.03115770E-20 7.37674098E-21 3.24587267E-13
Oesophagus 2.60674114E-18 3.42577376E-15 3.29119094E-15 4.79275074E-18 2.64503316E-19 8.71407770E-20 7.33252091E-20 2.11535362E-20 3.52094305E-19 4.91387529E-17 4.91387529E-17 3.13658091E-17 3.09700715E-16 3.09700715E-16 1.36487813E-17 1.36487813E-17 1.36487813E-17 2.86276895E-16 7.38010555E-13 5.61466728E-18 2.34510572E-18 2.34510572E-18 8.55369983E-20 1.45738780E-18 1.45738780E-18 2.36353075E-18 6.75669868E-19 1.78306221E-20 0.00000000E+00 1.93799268E-19 1.66578289E-20 2.63017514E-13
St-stem    5.16445569E-20 9.71784126E-18 9.71784126E-18 2.38435905E-16 1.65296548E-17 5.84810440E-19 1.11423364E-18 1.10944313E-19 4.31722476E-20 4.27092186E-20 4.27092186E-20 6.02802881E-20 5.35607600E-19 5.35607600E-19 3.66866372E-18 3.66866372E-18 3.66866372E-18 4.09275984E-19 7.37994533E-13 1.34611664E-17 3.49546844E-19 3.49546844E-19 7.36456444E-20 4.98453127E-19 4.98453127E-19 6.97203120E-19 6.83840968E-18 8.45324336E-20 0.00000000E+00 2.01970368E-18 9.23286244E-20 2.62996826E-13
SI-stem    1.27977051E-20 2.03284153E-19 2.03284153E-19 6.24400221E-18 1.04833612E-16 1.29638508E-17 2.09356402E-17 1.75598543E-17 1.13397245E-20 1.08935184E-20 1.08935184E-20 1.43801748E-20 8.52021434E-20 8.52021434E-20 1.67731856E-19 1.67731856E-19 1.67731856E-19 7.23895380E-20 8.01440722E-13 2.66570124E-18 5.23254819E-19 5.23254819E-19 7.01609105E-20 9.30480017E-19 9.30480017E-19 1.46543072E-18 1.08842257E-17 1.71112449E-17 0.00000000E+00 4.49682875E-17 1.07341018E-17 2.57678213E-13
RC-stem    1.02696308E-20 9.04845193E-20 9.04845193E-20 3.95689527E-19 7.90417748E-18 3.28958876E-16 4.63477614E-18 8.29126332E-19 8.84705834E-21 9.21924394E-21 9.21924394E-21 1.17280921E-20 5.39645084E-20 5.39645084E-20 9.44995736E-20 9.44995736E-20 9.44995736E-20 4.86244542E-20 7.78962186E-13 1.50897788E-18 4.91083115E-19 4.91083115E-19 6.43418055E-20 6.96498162E-19 6.96498162E-19 8.17366357E-19 1.02279743E-17 8.70718834E-19 0.00000000E+00 7.73402634E-18 1.52341349E-18 2.59582659E-13
LC-stem    7.85515088E-21 7.35527182E-20 7.35527182E-20 7.82615149E-19 1.13015927E-17 4.81438013E-18 4.39669272E-16 8.29046223E-18 7.26971559E-21 6.87365756E-21 6.87365756E-21 8.65591869E-21 4.07753916E-20 4.07753916E-20 7.04156566E-20 7.04156566E-20 7.04156566E-20 3.51325260E-20 7.78962186E-13 2.94688321E-19 5.24552582E-19 5.24552582E-19 6.67514790E-20 6.90746349E-19 6.90746349E-19 8.49313756E-19 1.21196640E-18 9.64510245E-19 0.00000000E+00 7.36600640E-18 2.53207972E-18 2.59582779E-13
RS-stem    2.46558940E-21 1.74621215E-20 1.74621215E-20 7.16717630E-20 1.51493798E-17 7.19585526E-19 2.95633605E-18 4.32347325E-16 2.06584636E-21 2.39429254E-21 2.39429254E-21 2.85475806E-21 1.17822457E-20 1.17822457E-20 1.75822848E-20 1.75822848E-20 1.75822848E-20 1.03575903E-20 7.78962186E-13 6.09403849E-20 5.83945264E-19 5.83945264E-19 1.47382613E-19 8.21948581E-19 8.21948581E-19 1.65905375E-18 1.66402050E-19 1.24269615E-16 0.00000000E+00 2.32059242E-17 3.00376048E-17 2.59489576E-13
ET1-bas    3.33669275E-17 3.58519032E-19 3.58519032E-19 5.69141153E-20 1.81510574E-20 1.25862178E-20 1.08832644E-20 4.71712801E-21 3.34117885E-14 3.96714920E-17 3.96714920E-17 3.13770243E-18 3.73050773E-19 3.73050773E-19 1.93046245E-19 1.93046245E-19 1.93046245E-19 4.07705851E-19 1.16055256E-13 6.75765999E-20 3.79090979E-18 3.79090979E-18 1.30367499E-20 1.42462329E-18 1.42462329E-18 5.39164431E-19 2.85027197E-20 4.44555910E-21 0.00000000E+00 1.55231675E-20 4.62644482E-21 2.98397096E-13
ET2-bas    2.32828287E-16 4.88647807E-17 4.88647807E-17 5.95224587E-20 1.68004226E-20 1.15020250E-20 8.80027479E-21 4.24865161E-21 3.98717641E-17 5.47047140E-15 5.69573741E-09 7.75629659E-16 4.20443154E-17 4.20443154E-17 4.16902344E-19 4.16902344E-19 4.16902344E-19 6.28613945E-17 1.16055256E-13 7.51917447E-20 3.68692853E-18 3.68692853E-18 1.63614263E-20 2.37250294E-18 2.37250294E-18 1.40550932E-18 3.24312564E-20 4.03684388E-21 0.00000000E+00 1.45203653E-20 3.70535356E-21 2.98397336E-13
LN-ET      5.15227915E-16 3.35431669E-17 3.35431669E-17 8.06022947E-20 2.19866679E-20 1.45033822E-20 1.19653744E-20 5.02186198E-21 3.17935902E-18 8.47262970E-16 8.47262970E-16 1.25540141E-09 5.71079787E-17 5.71079787E-17 6.68972770E-19 6.68972770E-19 6.68972770E-19 7.72393263E-17 2.11182883E-13 1.15505709E-19 1.97420187E-18 1.97420187E-18 2.30360935E-20 1.43441259E-18 1.43441259E-18 1.07989900E-18 4.14643275E-20 4.90986984E-21 0.00000000E+00 1.90482763E-20 4.07401437E-21 3.97803898E-18
