  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-wall        St-cont        SI-wall        SI-cont        RC-wall        RC-cont        LC-wall        LC-cont        RS-wall        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        Spleen         Pancreas       Muscle         Skin           Adipose        Brain          Ht-wall        Lung-Tis       R-marrow       Cartilage      C-bone-S       T-bone-S       UB-cont        Other          
O-mucosa   8.29062245E-14 1.71080405E-19 1.71080405E-19 3.71432575E-21 1.10987572E-20 9.31553475E-22 5.49594600E-23 7.89424399E-22 5.00616065E-22 3.27356700E-21 7.91843685E-22 3.52671088E-24 3.12953133E-24 1.84266318E-18 2.19001504E-15 2.19001504E-15 1.00983582E-15 6.33981236E-20 6.33981236E-20 4.06696479E-20 4.06696479E-20 3.62908996E-20 1.16632040E-19 2.46302591E-16 3.64911717E-21 2.50356098E-21 3.18656881E-21 4.28534145E-21 1.90771154E-17 4.39621206E-20 8.62163211E-18 3.70022660E-19 2.71072240E-20 3.72361837E-20 1.25926265E-17 1.82071336E-17 3.95849745E-17 2.04357611E-17 2.36096727E-24 3.35221394E-15
Oesophagus 2.25266014E-19 2.27557126E-12 2.00256039E-13 1.14425843E-16 1.75902957E-18 7.47014787E-20 1.09845220E-19 5.42448893E-20 5.61018119E-20 9.38747247E-20 1.00302657E-19 1.22379047E-21 1.72041711E-21 2.29960391E-20 6.88230932E-16 6.88230932E-16 2.49923510E-17 5.73210682E-16 5.73210682E-16 2.02659304E-17 2.02659304E-17 2.02659304E-17 3.38940436E-15 1.20893829E-15 1.00792923E-17 1.57162298E-19 4.73715522E-19 2.94688321E-19 3.09123931E-18 3.79667762E-20 3.47415949E-17 1.34956132E-20 4.17318910E-16 3.75886626E-17 4.86805304E-18 1.92437418E-17 2.10558034E-17 8.02914725E-19 1.20852172E-21 2.29070907E-15
St-stem    1.15625873E-20 1.14521973E-16 1.14521973E-16 1.13639174E-13 4.53303793E-14 2.17575567E-17 1.41818254E-17 2.83809543E-19 4.29831908E-19 1.10747245E-16 3.65232152E-17 1.36798635E-20 2.44828589E-20 6.62852456E-21 5.82022652E-21 5.82022652E-21 1.48494523E-20 3.36120605E-19 3.36120605E-19 8.12431653E-18 8.12431653E-18 8.12431653E-18 1.41783006E-19 1.16103321E-15 3.56548355E-17 5.45733355E-19 2.48657791E-18 1.16809881E-16 1.08326357E-18 5.06976706E-20 3.52943458E-17 1.16404530E-21 9.25961879E-17 7.88030505E-18 1.87454649E-19 8.02049549E-20 9.84970039E-20 8.30984857E-20 9.70934973E-21 1.27517126E-17
SI-stem    9.34709763E-22 6.89865152E-20 6.89865152E-20 2.16021456E-17 6.15604272E-18 2.74805311E-14 6.83520533E-15 6.97811947E-17 1.85532037E-17 1.08529833E-16 6.36720958E-18 2.16758457E-17 1.49595219E-17 1.40193647E-21 8.86163815E-22 8.86163815E-22 2.57758153E-21 3.42913834E-20 3.42913834E-20 4.74997263E-20 4.74997263E-20 4.74997263E-20 2.02162629E-20 1.25655498E-15 1.53773695E-18 3.62300169E-18 3.89537169E-18 1.28129258E-16 2.98020848E-18 5.08130273E-20 4.95857601E-17 3.57605792E-22 8.41174699E-20 4.70847626E-20 2.84065891E-19 1.30732795E-19 1.83609425E-19 1.11045250E-19 1.25830135E-17 7.16944163E-18
RC-stem    7.94278993E-22 3.88880277E-20 3.88880277E-20 2.73155069E-19 1.85115471E-19 6.99462189E-17 3.07473690E-17 1.32955014E-13 2.97924718E-15 4.54986079E-17 6.84674100E-18 6.56972468E-20 7.52670470E-20 1.38400811E-21 8.04292596E-22 8.04292596E-22 3.52671088E-21 3.05567100E-20 3.05567100E-20 3.99342489E-20 3.99342489E-20 3.99342489E-20 1.71881494E-20 1.26575147E-15 2.14787780E-17 5.91892060E-18 5.44003004E-20 1.80629377E-17 5.59047442E-18 5.05438616E-20 3.99486685E-17 1.57590079E-22 5.07377250E-20 3.96442550E-20 2.24512991E-19 1.00828171E-19 1.05280619E-19 1.04607705E-19 9.53150814E-20 4.23601404E-18
LC-stem    3.27869396E-21 8.89880864E-20 8.89880864E-20 1.11692529E-16 3.49258452E-18 1.08416079E-16 1.40220884E-17 4.54233056E-17 3.29215225E-17 1.33363569E-13 3.78097629E-15 1.01267167E-17 5.60008748E-17 3.00023569E-21 1.76239414E-21 1.76239414E-21 4.37906877E-21 7.47607592E-20 7.47607592E-20 1.02901387E-19 1.02901387E-19 1.02901387E-19 2.75814682E-20 1.28045945E-15 1.85403863E-19 6.93566179E-19 9.61674393E-18 1.49587208E-18 3.19025382E-18 7.07825550E-20 4.27733057E-17 1.62765109E-22 1.57191137E-19 1.02016986E-19 5.76895688E-18 3.46182274E-18 1.01589205E-19 3.97580095E-18 4.12896902E-20 5.12930592E-18
RS-stem    4.34414133E-24 1.41839082E-21 1.41839082E-21 1.29784306E-20 1.00735244E-20 2.17559545E-17 4.62083721E-18 5.06111530E-20 4.24913226E-20 9.81973969E-18 7.33668657E-20 2.86004525E-13 1.04247215E-14 1.63566198E-23 2.75622421E-24 2.75622421E-24 5.52814975E-24 8.27524156E-22 8.27524156E-22 2.03188022E-21 2.03188022E-21 2.03188022E-21 8.94495133E-23 1.24674966E-15 5.67362738E-21 2.43610935E-20 8.52966718E-21 2.92397209E-20 7.74812549E-18 6.37714307E-20 4.65240008E-17 6.79755418E-25 1.74989716E-21 1.99422907E-21 3.41680158E-19 1.69077685E-19 2.29688021E-19 1.28883883E-19 3.66818307E-18 1.17993827E-17
ET1-bas    1.93687116E-18 3.58374837E-20 3.58374837E-20 6.72305297E-21 8.90938301E-22 1.91652351E-23 1.07043013E-22 4.15604581E-22 1.01281587E-22 4.88872111E-22 1.65280526E-21 1.51215019E-24 2.44235784E-24 5.62444056E-11 3.99358511E-15 3.99358511E-15 2.29944369E-19 1.24666955E-20 1.24666955E-20 8.25152934E-21 8.25152934E-21 8.25152934E-21 2.35760270E-20 2.17223088E-16 1.89857914E-21 8.10348824E-22 2.73203135E-22 6.34061345E-22 5.19473682E-20 6.10893873E-17 5.98092483E-17 4.08683178E-19 1.60554106E-20 8.36816779E-21 3.46166252E-18 3.76799866E-16 1.18469736E-16 5.24712799E-18 2.64663534E-24 1.11452780E-15
ET2-bas    2.20763898E-15 6.90297739E-16 6.90297739E-16 2.13554104E-21 1.13413267E-20 5.63934080E-22 9.99886302E-22 3.30480944E-23 3.04253315E-21 1.32126688E-21 3.41872419E-21 2.61763594E-24 3.45317098E-24 3.99662925E-15 1.73419583E-12 2.74709180E-12 4.15171993E-14 2.71600958E-16 2.71600958E-16 4.34414133E-20 4.34414133E-20 4.34414133E-20 4.32155064E-17 2.26243342E-16 4.14947688E-21 1.08843860E-21 6.20506932E-21 5.64014189E-21 1.21832704E-17 2.80044428E-19 6.88375128E-17 5.90770536E-17 5.61226402E-20 8.54889330E-18 7.52061643E-18 2.15957369E-16 4.54072838E-17 1.18809397E-17 1.39118587E-24 1.09155330E-15
LN-ET      9.79314356E-16 2.64295033E-17 2.64295033E-17 1.48375962E-20 2.40534756E-21 2.57758153E-21 7.43105476E-23 3.51565587E-21 2.18408699E-21 4.38723987E-21 6.36720958E-22 5.24953126E-24 2.77128467E-24 8.18856381E-20 4.13842187E-14 4.13842187E-14 1.74140562E-12 5.17278701E-16 5.17278701E-16 7.52125730E-20 7.52125730E-20 1.18697245E-19 1.24365745E-16 1.28299089E-16 1.95545640E-20 7.24504207E-21 1.81654770E-20 4.52743032E-21 3.84474292E-17 8.56411398E-20 6.33003908E-17 7.46854569E-20 8.63989692E-20 1.63181675E-17 1.37434699E-17 2.50596424E-16 3.98525379E-19 4.28117579E-17 4.77192245E-24 4.16437323E-17
Bronch-bas 3.82647810E-20 2.48545638E-16 2.48545638E-16 3.59544425E-19 4.13057120E-19 4.56363951E-20 6.96514184E-20 3.78113651E-20 4.36032331E-20 8.68171373E-20 9.10036245E-20 1.10902656E-21 1.14784730E-21 2.45004828E-20 1.17095069E-19 1.17095069E-19 1.66113658E-19 3.51870000E-12 3.79331305E-12 2.42521455E-14 2.86709482E-15 2.41864562E-15 9.48616654E-15 1.13434095E-15 2.36369097E-18 8.23470649E-20 4.21404460E-19 1.36633611E-19 1.47401839E-19 5.36024165E-20 1.43357946E-17 8.94110610E-21 7.21636312E-17 5.36552884E-14 6.01601249E-19 2.15797151E-19 2.57213413E-19 2.48978226E-19 7.75629659E-22 1.73484201E-18
