  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-wall        St-cont        SI-wall        SI-cont        RC-wall        RC-cont        LC-wall        LC-cont        RS-wall        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        Spleen         Pancreas       Muscle         Skin           Adipose        Brain          Ht-wall        Lung-Tis       R-marrow       Cartilage      C-bone-S       T-bone-S       UB-cont        Other          
Bronch-sec 3.82647810E-20 2.48545638E-16 2.48545638E-16 3.59544425E-19 4.13057120E-19 4.56363951E-20 6.96514184E-20 3.78113651E-20 4.36032331E-20 8.68171373E-20 9.10036245E-20 1.10902656E-21 1.14784730E-21 2.45004828E-20 1.17095069E-19 1.17095069E-19 1.66113658E-19 4.70286864E-12 3.35031125E-12 2.42521455E-14 2.86709482E-15 2.35600052E-15 9.48616654E-15 1.13434095E-15 2.36369097E-18 8.23470649E-20 4.21404460E-19 1.36633611E-19 1.47401839E-19 5.36024165E-20 1.43357946E-17 8.94110610E-21 7.21636312E-17 5.30272352E-14 6.01601249E-19 2.15797151E-19 2.57213413E-19 2.48978226E-19 7.75629659E-22 1.73484201E-18
Bchiol-sec 3.62812865E-20 1.80485181E-17 1.80485181E-17 7.25625731E-18 4.32315281E-18 4.34894786E-20 8.53976089E-20 3.84714618E-20 5.48761469E-20 9.53278988E-20 1.09715444E-19 1.57872062E-21 3.22149626E-21 1.68693162E-20 5.46854879E-20 5.46854879E-20 1.18644373E-19 2.19514200E-15 2.19514200E-15 6.91018719E-13 5.42272654E-13 2.11519340E-14 2.54041104E-16 1.13434095E-15 2.10029316E-17 1.29257190E-19 3.25722480E-17 1.62172304E-19 2.52695276E-18 5.86028094E-20 2.17671698E-17 8.88230623E-21 1.03992469E-16 3.22277800E-14 1.37149512E-17 7.73610917E-18 1.12895764E-17 8.53287153E-18 1.52708248E-21 9.64548021E-18
AI         3.62812865E-20 1.80485181E-17 1.80485181E-17 7.25625731E-18 4.32315281E-18 4.34894786E-20 8.53976089E-20 3.84714618E-20 5.48761469E-20 9.53278988E-20 1.09715444E-19 1.57872062E-21 3.22149626E-21 1.68693162E-20 5.46854879E-20 5.46854879E-20 1.18644373E-19 2.19514200E-15 2.19514200E-15 2.42521455E-14 2.42521455E-14 2.64919882E-14 2.54041104E-16 3.17327075E-15 2.10029316E-17 1.29257190E-19 3.25722480E-17 1.62172304E-19 2.52695276E-18 5.86028094E-20 2.17671698E-17 8.88230623E-21 1.03992469E-16 2.56925021E-14 1.37149512E-17 7.73610917E-18 1.12895764E-17 8.53287153E-18 1.52708248E-21 9.64548021E-18
LN-Th      1.16667287E-19 3.39036566E-15 3.39036566E-15 8.07753298E-20 1.59507885E-19 2.01954346E-20 2.97588261E-20 1.71913537E-20 1.39541561E-20 1.00922699E-20 4.01649624E-20 8.93117261E-23 3.11110630E-23 2.41464018E-20 4.10782030E-17 4.10782030E-17 1.22446338E-16 1.53623090E-14 1.53623090E-14 2.79948298E-16 2.79948298E-16 2.79948298E-16 1.69478229E-12 6.31818298E-16 1.31357644E-19 3.60009057E-20 1.62396609E-19 5.22117274E-20 6.14386617E-18 1.14119827E-18 7.68580083E-17 4.21244242E-21 5.60649618E-16 7.52366057E-16 1.48553804E-18 1.49789082E-17 7.24472164E-18 4.65560444E-19 4.22381787E-22 2.64465607E-17
R-marrow   1.26381283E-17 4.95953732E-18 4.95953732E-18 2.28342193E-19 2.17415349E-19 3.35623930E-19 2.76872119E-19 2.42217041E-19 1.88800477E-19 5.71896897E-18 2.23615772E-19 3.76879975E-19 3.54113047E-19 3.88495755E-18 7.24824643E-18 7.24824643E-18 1.50436361E-17 6.71135709E-19 6.71135709E-19 1.55765200E-17 1.55765200E-17 1.55765200E-17 1.69734577E-18 8.37778085E-16 5.05326464E-18 3.70391160E-19 9.00423186E-19 3.08082517E-19 6.74740606E-18 2.40694974E-19 4.97107299E-18 8.30055594E-18 1.19964567E-18 1.51096458E-17 1.11769434E-14 3.87886928E-15 5.49866970E-16 3.97852465E-15 4.01585536E-19 1.64274745E-15
Endost-BS  2.08795640E-17 2.20507550E-18 2.20507550E-18 7.98428631E-20 7.64670772E-20 1.41055618E-19 1.07262511E-19 9.89071611E-20 7.40926516E-20 1.95337357E-18 8.30632378E-20 1.94183790E-19 1.78514504E-19 7.80115753E-18 1.22045794E-17 1.22045794E-17 7.17422587E-18 2.32652048E-19 2.32652048E-19 5.27452521E-18 5.27452521E-18 5.27452521E-18 5.45284746E-19 3.21973387E-16 1.71977624E-18 1.34560394E-19 3.12632698E-19 1.07257705E-19 4.06167761E-18 5.69846111E-19 2.98998176E-18 1.66898725E-17 3.97323747E-19 5.11606996E-18 4.44475801E-15 4.44043213E-15 1.74685302E-15 9.09571613E-15 2.20235180E-19 2.46775310E-15
Brain      4.23102767E-19 1.83048664E-20 1.83048664E-20 1.16079289E-21 1.33751295E-21 8.37361519E-23 1.93510876E-22 2.19578288E-22 5.10821929E-22 2.52182579E-22 4.37426224E-22 2.11871819E-23 1.99647212E-23 4.42328885E-19 5.89264490E-17 5.89264490E-17 1.44525932E-19 9.03643560E-21 9.03643560E-21 7.63228813E-21 7.63228813E-21 7.63228813E-21 1.60036603E-20 2.39108819E-16 1.39543163E-21 8.41831592E-22 1.99647212E-21 8.58590358E-22 1.58932703E-19 4.11438922E-20 7.21988790E-19 1.97500296E-14 4.58879368E-21 7.67778994E-21 8.34333406E-18 9.49706134E-18 3.83336746E-17 1.09218769E-17 1.85628168E-24 2.30175650E-17
Eye-lens   5.85130875E-19 3.14635419E-22 3.14635419E-22 4.34542307E-23 3.30304705E-23 2.34238202E-23 2.33405071E-23 2.07658094E-23 4.51893878E-23 3.02651138E-23 0.00000000E+00 1.83240925E-24 0.00000000E+00 1.62989414E-17 2.94928648E-18 2.94928648E-18 9.65599725E-20 1.98782037E-22 1.98782037E-22 1.81158095E-22 1.81158095E-22 1.81158095E-22 5.32467334E-22 2.25346123E-16 4.30969453E-21 2.87318309E-23 5.71256026E-23 4.03860627E-23 2.28582519E-22 2.40198299E-17 2.53784756E-17 6.61746954E-19 1.77553198E-22 1.81526596E-22 1.21951265E-19 1.75181977E-20 1.19878049E-19 2.61363050E-20 0.00000000E+00 3.00782548E-15
P-gland    1.64527503E-18 5.27933174E-21 5.27933174E-21 3.73803796E-23 3.52014196E-23 4.70158690E-24 8.92139933E-24 1.38855830E-24 9.13464902E-24 9.21668046E-24 1.51061210E-23 0.00000000E+00 0.00000000E+00 1.55696307E-18 5.69942242E-15 5.69942242E-15 3.42801681E-19 1.27256072E-20 1.27256072E-20 6.45805298E-22 6.45805298E-22 1.19410214E-20 2.56492434E-20 2.23904164E-16 6.32186798E-23 2.42329194E-23 6.63333109E-23 3.23895999E-23 4.76775679E-20 3.14218853E-20 4.57293213E-17 1.30079107E-15 9.46501781E-21 1.17731133E-20 3.66433784E-18 2.76968249E-18 1.24639718E-17 3.43650835E-18 0.00000000E+00 2.99350678E-15
Tongue     3.41055309E-13 2.30505131E-19 2.30505131E-19 6.41783835E-21 6.29783534E-21 3.79411414E-22 2.02979739E-21 1.89809848E-21 5.59159594E-21 2.66602167E-21 1.21380891E-21 2.50692555E-24 4.51749682E-24 1.34781495E-18 1.09002475E-15 1.09002475E-15 4.99302280E-16 8.29046223E-20 8.29046223E-20 5.23831602E-20 5.23831602E-20 5.23831602E-20 1.56760152E-19 2.42938021E-16 7.57701304E-21 3.31938925E-21 6.43466121E-21 4.74949198E-21 7.71335826E-18 4.29142972E-20 2.42761781E-18 3.80661112E-19 3.42625442E-20 5.33140248E-20 6.48737281E-18 9.70294102E-18 2.11262992E-17 1.08283098E-17 2.93310449E-24 1.45561944E-15
Tonsils    5.98717331E-18 4.26883903E-20 4.26883903E-20 2.97043521E-21 7.89360312E-23 1.29793919E-23 2.47760572E-23 7.04108501E-22 2.01089171E-23 3.19570122E-23 3.44179553E-23 1.68564988E-24 8.31097009E-25 4.76999984E-19 1.40368284E-16 1.40368284E-16 1.27746338E-18 1.43415624E-20 1.43415624E-20 9.89568285E-21 9.89568285E-21 9.89568285E-21 7.53824037E-20 2.32668069E-16 4.67002402E-21 1.70647818E-21 5.14587044E-21 6.09932567E-21 1.87310453E-17 3.36088562E-20 4.22782331E-17 1.06001599E-18 1.41201416E-20 1.00281828E-20 3.58663228E-17 1.59395732E-17 3.61691342E-17 1.92950114E-17 4.88968242E-25 3.17711661E-15
S-glands   1.23518194E-20 2.41447997E-19 2.41447997E-19 7.49241812E-21 5.32964008E-21 6.15604272E-22 1.17228049E-21 7.13513277E-22 6.77272045E-22 2.40038081E-21 4.07000893E-21 2.52599145E-24 3.87278100E-24 2.04261480E-19 1.55191621E-18 1.55191621E-18 3.30400835E-18 7.95304386E-20 7.95304386E-20 3.94824352E-20 3.94824352E-20 3.94824352E-20 1.83401142E-19 2.36305010E-16 8.61986972E-21 1.92084939E-21 7.24424099E-21 2.00159909E-21 1.99038385E-17 1.31082069E-17 1.87054105E-17 3.08643278E-19 2.91628164E-20 4.07593698E-20 5.65664431E-19 9.12151118E-19 1.40613417E-17 9.29823124E-19 2.20219158E-24 3.25223734E-15
Thyroid    2.81101865E-19 9.74443739E-16 9.74443739E-16 3.04237293E-20 2.24384817E-20 3.12728828E-21 5.88046836E-21 5.52606692E-21 2.71665045E-21 1.82712207E-21 6.04837646E-21 8.58462183E-24 3.48649625E-22 3.80581003E-20 1.53150448E-18 1.53150448E-18 3.93927133E-18 1.39052897E-16 1.39052897E-16 6.29527185E-19 6.29527185E-19 6.29527185E-19 2.67899930E-15 7.52269926E-16 3.23126954E-20 1.27373031E-20 5.34133597E-20 1.37505195E-20 6.43145685E-18 9.02201602E-20 4.72321628E-17 3.53952830E-20 2.56428347E-19 4.96514493E-18 3.17727619E-19 7.02041693E-18 3.08258756E-19 1.06794676E-19 8.49986670E-24 2.89593087E-15
Breast     2.11967949E-20 8.79194347E-20 8.79194347E-20 2.37859121E-19 2.60145396E-19 2.51974296E-20 4.12560445E-20 3.90722780E-20 3.60025078E-20 6.48160498E-20 9.03595495E-20 2.01201323E-21 2.95056822E-22 9.10821311E-19 9.96553775E-21 9.96553775E-21 3.55555006E-20 3.63533845E-19 3.63533845E-19 3.81590374E-19 3.81590374E-19 3.81590374E-19 9.80339749E-20 2.40855191E-16 2.31418372E-19 2.80717342E-20 1.19522366E-19 8.73746947E-20 1.83849752E-18 1.25593013E-16 4.58959476E-17 3.50812564E-21 3.95016613E-19 3.81061656E-19 1.37955406E-19 4.49458570E-20 4.27556817E-20 5.95240608E-20 3.58615163E-23 3.22831813E-15
Thymus     1.20813720E-19 2.58206763E-18 2.58206763E-18 6.24384199E-20 1.02683491E-19 5.32050768E-21 1.30691138E-20 1.08685244E-20 1.95177140E-20 8.87413513E-21 2.05431069E-20 2.85908394E-22 5.52462496E-22 2.63990620E-20 2.75013594E-19 2.75013594E-19 6.89112129E-19 3.56484268E-18 3.56484268E-18 1.28382402E-16 1.28382402E-16 1.28382402E-16 4.11134508E-17 2.43226412E-16 1.22322970E-19 1.33688810E-20 6.64358502E-20 3.52847328E-20 1.42180346E-18 7.57268717E-20 2.50019641E-17 1.30189657E-20 5.17871506E-17 1.24474693E-16 2.84658696E-17 2.59664743E-18 3.44676228E-17 2.73795940E-18 5.67971565E-22 3.27063220E-15
Ht-wall    2.71360632E-20 4.17495149E-16 4.17495149E-16 9.38635095E-17 1.04950571E-16 8.50499366E-20 1.57719856E-19 5.40590368E-20 6.44331296E-20 1.62893283E-19 1.90162327E-19 3.16173508E-21 4.68941036E-21 1.55896579E-20 3.83673203E-20 3.83673203E-20 8.64518411E-20 6.29190728E-17 6.29190728E-17 1.17788811E-16 1.17788811E-16 1.17788811E-16 5.67667151E-16 1.55324602E-15 2.57245457E-18 1.54073302E-19 6.59455842E-19 3.18769034E-19 7.65359708E-19 4.19257543E-20 1.80485181E-17 5.18640551E-21 7.44659588E-14 1.16069676E-16 1.11505075E-18 1.73387539E-19 1.67539595E-19 1.89201021E-19 2.40294430E-21 7.18350021E-18
Adrenals   5.27116064E-21 4.00223686E-19 4.00223686E-19 9.58534127E-19 1.04396218E-18 2.36353075E-18 8.53431349E-19 3.06256035E-19 3.14459179E-19 3.51982152E-19 4.94864252E-19 8.78217020E-21 3.19473992E-20 3.36521149E-22 3.47351862E-22 3.47351862E-22 1.89761783E-21 1.50804862E-19 1.50804862E-19 2.75398116E-19 2.75398116E-19 2.75398116E-19 1.21390504E-19 9.81445251E-16 8.85330683E-17 1.15648303E-15 5.83256328E-18 1.39443828E-18 1.55524874E-19 4.13858208E-20 8.62227298E-17 6.82366966E-22 2.95008757E-19 2.71536871E-19 3.85499685E-19 1.09061756E-19 2.27477018E-19 1.34046096E-19 9.45989085E-21 2.61465384E-15
Liver      1.13578291E-20 9.82598818E-18 9.82598818E-18 3.58102467E-17 9.38154442E-18 1.50511664E-18 1.49249148E-18 2.15316498E-17 2.79515710E-18 1.88608216E-19 2.79948298E-19 8.82767201E-21 1.19866834E-20 8.46365751E-21 8.50243018E-21 8.50243018E-21 1.95609727E-20 2.09853076E-18 2.09853076E-18 2.36689532E-17 2.36689532E-17 2.36689532E-17 1.87294431E-19 1.27339385E-15 1.26911604E-14 1.20949905E-17 1.82920490E-19 1.73131191E-17 7.90786249E-19 5.20595206E-20 5.95256630E-18 1.74829498E-21 2.55322845E-18 2.29944369E-17 5.07873925E-18 3.03404161E-18 1.42398242E-18 3.51100955E-18 9.49882374E-21 2.92545548E-18
Pancreas   4.29847930E-21 3.12456458E-19 3.12456458E-19 1.16976507E-16 9.25224878E-18 1.27794403E-16 1.76079196E-16 1.78354287E-17 1.62685000E-18 1.45371881E-18 1.36093677E-18 2.80957669E-20 4.20218849E-20 3.20579493E-21 6.02354272E-21 6.02354272E-21 4.52326466E-21 1.37607734E-19 1.37607734E-19 1.58271004E-19 1.58271004E-19 1.58271004E-19 7.57460978E-20 1.03010335E-15 1.72233972E-17 1.28946368E-18 4.23695572E-19 1.70663839E-13 6.34141454E-20 3.90258149E-20 1.25155618E-17 1.09958974E-21 3.50363954E-19 1.57618918E-19 2.60449810E-19 1.01940081E-19 1.16475026E-19 9.52461878E-20 2.44540197E-20 5.19292130E-18
Kidneys    2.51125143E-21 1.47917740E-19 1.47917740E-19 5.81445869E-19 5.78241516E-19 3.66882394E-18 4.40582512E-18 5.92564974E-18 8.37169258E-19 7.34485767E-19 7.78657773E-19 3.14218853E-20 5.26859716E-20 1.96506946E-21 2.80989712E-21 2.80989712E-21 7.25593687E-21 8.06503600E-20 8.06503600E-20 1.34646912E-19 1.34646912E-19 1.34646912E-19 4.64038376E-20 1.40765624E-15 1.21369675E-17 7.02682564E-14 1.33310697E-18 1.29364536E-18 5.76238795E-19 5.37482146E-20 2.15364563E-17 4.70751495E-22 1.63614263E-19 1.32959820E-19 2.97540195E-19 1.37878502E-19 1.37022940E-19 1.38732462E-19 2.07642073E-20 2.06155666E-18
Spleen     7.53551667E-21 4.44748171E-19 4.44748171E-19 2.56380281E-18 1.89489413E-18 3.83929552E-18 6.41383291E-19 4.87221870E-20 5.16573743E-20 9.41214599E-18 1.23265050E-18 8.80203718E-21 1.61499390E-20 2.82896302E-21 5.95737283E-21 5.95737283E-21 1.81847031E-20 3.97083421E-19 3.97083421E-19 3.71544727E-17 3.71544727E-17 3.71544727E-17 2.05110634E-19 1.81318313E-15 1.89793827E-19 1.30313025E-18 1.29713811E-13 4.00079491E-19 2.29223390E-19 5.63661710E-20 2.28278106E-17 1.99999691E-21 6.69004814E-19 3.60089165E-17 7.97098824E-19 4.34446176E-19 3.17102770E-19 5.28990611E-19 7.95015995E-21 3.30504718E-19
GB-wall    4.44091279E-21 2.96162324E-19 2.96162324E-19 6.30504513E-19 4.34045632E-19 1.02851720E-17 1.40699935E-17 1.05319071E-16 1.52987026E-16 2.18232459E-19 3.45653555E-19 1.53759275E-20 2.56107911E-20 3.91652042E-21 3.10758151E-21 3.10758151E-21 1.43628713E-20 1.27546066E-19 1.27546066E-19 1.77232763E-19 1.77232763E-19 1.77232763E-19 7.92404447E-20 2.50147815E-16 9.30544104E-16 9.75917742E-19 2.21661117E-19 1.08390444E-15 2.02483064E-19 2.23856099E-20 1.72266016E-17 2.84802892E-23 1.98733971E-19 1.75694674E-19 1.74829498E-19 7.71031413E-20 9.06543500E-20 1.10244162E-19 8.80764480E-21 2.89377801E-15
Ureters    2.27941649E-22 2.91884512E-20 2.91884512E-20 2.22510271E-19 1.82920490E-19 1.25612239E-16 6.57276882E-17 8.37730020E-19 7.06559831E-19 4.27044121E-19 4.19914435E-19 6.22253304E-19 7.56563759E-19 1.86397212E-23 3.00135721E-22 3.00135721E-22 9.71015082E-23 2.98533545E-20 2.98533545E-20 2.31658698E-20 2.31658698E-20 2.82111236E-20 1.30474844E-20 2.22157792E-16 1.76463718E-19 2.61523268E-17 1.66305919E-19 7.76542900E-19 9.42272036E-18 3.34021754E-20 9.71015082E-17 1.32543254E-22 3.46550774E-20 2.81806822E-20 5.17695266E-19 1.84330405E-19 2.15060150E-19 1.47860061E-19 1.77248785E-18 3.07036185E-15
UB-wall    2.61395094E-24 6.76118478E-22 6.76118478E-22 9.36664418E-21 8.54873308E-21 1.83321034E-17 8.17061943E-18 8.55097613E-20 4.94992426E-20 3.86573143E-20 2.86132699E-20 6.58414427E-17 1.95545640E-18 3.12488502E-24 1.98397514E-24 1.98397514E-24 3.39533241E-24 3.97964618E-22 3.97964618E-22 1.08677233E-21 1.08677233E-21 1.28864657E-21 3.30593096E-22 1.15316653E-16 1.13416471E-20 3.54882092E-20 4.20779611E-21 2.10269642E-20 6.91723676E-19 4.09468245E-20 6.09179544E-17 5.78049255E-25 7.81717930E-22 1.25629863E-21 5.52686801E-19 3.56804704E-19 1.42995854E-18 3.14651440E-19 5.95801370E-15 3.14958125E-15
Ovaries    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
