  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Spleen         UB-cont        Other          
LN-Th      2.72786569E-15 2.98950111E-14 2.98950111E-14 8.01616962E-16 1.97836753E-16 1.43904288E-16 1.00211333E-16 4.57309235E-17 8.55097613E-16 6.83424402E-15 6.83424402E-15 1.08207796E-14 9.40093076E-14 9.40093076E-14 7.38138729E-15 7.38138729E-15 7.38138729E-15 1.52203562E-12 1.97131795E-15 1.00653533E-15 9.92259942E-16 4.07321328E-17 9.33326356E-16
R-marrow   1.40299391E-15 3.24793217E-15 3.24793217E-15 1.30631858E-15 1.75854891E-15 1.54372909E-15 1.49495884E-15 2.01762085E-15 7.23206444E-16 1.82920490E-15 1.82920490E-15 1.64687721E-15 2.48016920E-15 2.48016920E-15 2.12656885E-15 2.12656885E-15 2.12656885E-15 2.44444067E-15 6.19353365E-15 1.66738507E-15 1.68404771E-15 1.58653924E-15 1.41973735E-15
Endost-BS  1.28728472E-15 1.26371670E-15 1.26371670E-15 5.22053187E-16 8.26723067E-16 7.46822526E-16 7.51436794E-16 1.12639416E-15 9.46533825E-16 1.60538084E-15 1.60538084E-15 1.10843376E-15 9.88062240E-16 9.88062240E-16 8.18904446E-16 8.18904446E-16 8.18904446E-16 9.92676508E-16 2.40727017E-15 6.40229724E-16 6.67835225E-16 1.00514144E-15 1.24226688E-15
Brain      2.97139651E-15 4.40053794E-16 4.40053794E-16 6.18071623E-17 2.05431069E-17 1.68004226E-17 1.29237964E-17 4.73667457E-18 3.35063169E-15 4.81630274E-15 4.81630274E-15 2.10638143E-15 4.43626647E-16 4.43626647E-16 2.23904164E-16 2.23904164E-16 2.23904164E-16 4.95761470E-16 6.37473981E-16 7.39500579E-17 7.45941329E-17 4.76567396E-18 1.19019362E-15
Eye-lens   7.08738791E-15 5.41263283E-16 5.41263283E-16 1.02361454E-16 2.47712507E-17 3.72922599E-17 2.13890561E-17 0.00000000E+00 2.83681369E-14 6.52214004E-15 6.52214004E-15 2.69758455E-15 4.50291702E-16 4.50291702E-16 2.98165044E-16 2.98165044E-16 2.98165044E-16 6.20026279E-16 2.10798360E-16 1.35648272E-16 1.05939114E-16 1.60890563E-17 8.85477603E-16
P-gland    8.46349729E-15 7.07745441E-16 7.07745441E-16 8.39892958E-17 3.44804402E-17 1.83673512E-17 2.15300476E-17 1.06833128E-17 5.17006331E-15 2.12785059E-14 2.12785059E-14 5.12039583E-15 8.50947976E-16 8.50947976E-16 3.23126954E-16 3.23126954E-16 3.23142976E-16 9.60248456E-16 3.55346723E-16 1.07581345E-16 1.00169676E-16 5.50700102E-18 1.39803818E-15
Tongue     3.59944970E-13 2.63061357E-15 2.63061357E-15 1.77104589E-16 6.14018117E-17 4.91211289E-17 3.76142974E-17 1.17550087E-17 1.34832764E-14 3.93398415E-14 3.93398415E-14 5.12199801E-14 2.52118492E-15 2.52118492E-15 7.20002091E-16 7.20002091E-16 7.20002091E-16 2.92941949E-15 8.86932860E-16 2.18552895E-16 1.85900538E-16 1.12761181E-17 9.47730373E-16
Tonsils    6.63108804E-14 1.89457370E-15 1.89457370E-15 1.47581283E-16 5.30688918E-17 2.98004827E-17 3.40590678E-17 5.54176825E-18 9.33860609E-15 4.65848835E-14 4.65848835E-14 2.05286873E-14 1.79395701E-15 1.79395701E-15 6.06407779E-16 6.06407779E-16 6.06407779E-16 2.04982460E-15 3.14971876E-16 1.77152654E-16 1.58101174E-16 6.33067995E-18 1.29614299E-15
S-glands   1.86701626E-14 2.31386328E-15 2.31386328E-15 1.54770249E-16 4.98373018E-17 4.17415040E-17 2.95713714E-17 1.14557221E-17 4.03315887E-15 1.78963114E-14 1.78963114E-14 2.74709180E-14 2.16037478E-15 2.16037478E-15 6.81517812E-16 6.81517812E-16 6.81517812E-16 2.58479133E-15 3.12921090E-16 1.91860634E-16 1.77985786E-16 1.07023787E-17 1.20609921E-15
Thyroid    4.83889343E-15 2.29720065E-14 2.29720065E-14 3.35335539E-16 9.85306496E-17 8.12976393E-17 6.02017815E-17 2.29463716E-17 1.43885062E-15 7.82054387E-15 7.82054387E-15 1.37920159E-14 3.26763895E-14 3.26763895E-14 2.78554404E-15 2.78554404E-15 2.78554404E-15 4.89561047E-14 1.83481251E-15 4.63012983E-16 3.94455851E-16 1.86188930E-17 1.24933569E-15
Breast     8.25585522E-16 1.80741529E-15 1.80741529E-15 1.40906616E-15 3.45108815E-16 2.07449812E-16 1.79587962E-16 5.45044419E-17 6.55226096E-16 6.63028696E-16 6.63028696E-16 9.84441321E-16 2.07209485E-15 2.07209485E-15 3.18961295E-15 3.18961295E-15 3.18961295E-15 2.01217345E-15 7.68564061E-16 1.64719765E-15 1.02225269E-15 5.08226403E-17 1.06789681E-15
Thymus     1.90915350E-15 1.10380347E-14 1.10380347E-14 6.31545928E-16 1.68564988E-16 1.24128623E-16 9.53935880E-17 3.44660206E-17 9.24215507E-16 2.12688929E-15 2.12688929E-15 3.38844305E-15 1.82728228E-14 1.82728228E-14 5.96426219E-15 5.96426219E-15 5.96426219E-15 2.08170791E-14 6.11134199E-16 8.87461578E-16 6.49426217E-16 2.68396605E-17 1.29276671E-15
Ht-wall    5.95432870E-16 1.11727777E-14 1.11727777E-14 4.82223079E-15 5.86460681E-16 2.69229737E-16 2.73139048E-16 7.40093385E-17 3.92116673E-16 5.72681964E-16 5.72681964E-16 8.09707953E-16 1.09726659E-14 1.09726659E-14 6.93470049E-15 6.93470049E-15 6.93470049E-15 1.04330528E-14 5.45348833E-15 3.05278708E-15 3.23944064E-15 6.84289578E-17 1.13505801E-15
Adrenals   1.55406313E-16 2.42601564E-15 2.42601564E-15 6.80027788E-15 3.11623327E-15 1.29872426E-15 8.42953115E-16 2.62436509E-16 1.11120552E-16 1.37647789E-16 1.37647789E-16 1.86349147E-16 9.31585518E-16 9.31585518E-16 1.70231252E-15 1.70231252E-15 1.70231252E-15 8.04965511E-16 3.23110932E-15 9.27467925E-15 6.27380269E-15 2.14723693E-16 1.32418365E-15
Liver      2.24721274E-16 2.55515106E-15 2.55515106E-15 4.46782935E-15 1.87951324E-15 1.37982643E-15 6.03828274E-16 1.95657793E-16 1.78530526E-16 1.93991529E-16 1.93991529E-16 2.60481853E-16 1.20619857E-15 1.20619857E-15 2.55002410E-15 2.55002410E-15 2.55002410E-15 1.06926054E-15 3.37963108E-15 2.38900536E-14 2.11487296E-15 1.81126052E-16 7.01151713E-16
Pancreas   1.21233490E-16 1.00541381E-15 1.00541381E-15 1.01273576E-14 1.04349755E-14 3.30593096E-15 1.91988808E-15 3.98717641E-16 1.04082191E-16 9.98732735E-17 9.98732735E-17 1.30018224E-16 4.92973683E-16 4.92973683E-16 8.71664118E-16 8.71664118E-16 8.71664118E-16 4.28502101E-16 2.90170184E-15 5.73306812E-15 3.26827982E-15 3.78882696E-16 1.32103224E-15
Kidneys    1.03601538E-16 9.51340354E-16 9.51340354E-16 5.01208870E-15 5.02618786E-15 3.25594306E-15 1.69285968E-15 4.38659900E-16 8.56106984E-17 9.20850936E-17 9.20850936E-17 1.18341562E-16 5.13817999E-16 5.13817999E-16 8.91979716E-16 8.91979716E-16 8.91979716E-16 4.42232754E-16 2.97155673E-15 4.53383902E-15 6.37730329E-15 3.59384208E-16 1.33951374E-15
Spleen     1.82952533E-16 2.34013898E-15 2.34013898E-15 1.40474028E-14 2.05110634E-15 4.36208570E-16 7.71175608E-16 1.87118192E-16 1.37014929E-16 1.84666862E-16 1.84666862E-16 2.34638747E-16 1.20216108E-15 1.20216108E-15 2.80973691E-15 2.80973691E-15 2.80973691E-15 9.59287150E-16 3.38251500E-15 2.10926535E-15 1.55382280E-13 1.46719312E-16 8.35823049E-16
