  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Skin           UB-cont        Other          
LN-Th      0.00000000E+00 1.81094008E-19 1.81094008E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.56402866E-19 1.56402866E-19 0.00000000E+00 4.67242729E-18 4.67242729E-18 2.50324054E-20 2.50324054E-20 2.50324054E-20 6.99462189E-14 1.20301024E-17 0.00000000E+00 0.00000000E+00 5.09233403E-21
R-marrow   1.12227656E-21 8.44619379E-23 8.44619379E-23 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 9.50314961E-23 1.73307431E-22 1.73307431E-22 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.44283540E-21 4.44283540E-21 4.44283540E-21 8.11213999E-26 3.42561355E-17 0.00000000E+00 1.96362750E-22 1.52062468E-17
Endost-BS  1.97388143E-21 3.35031125E-23 3.35031125E-23 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.94616378E-22 3.53488198E-22 3.53488198E-22 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.56226627E-21 1.56226627E-21 1.56226627E-21 2.52422906E-26 1.29955739E-17 3.46582818E-27 1.10253775E-22 1.36674007E-17
Brain      0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.73115169E-22 1.73115169E-22 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 8.10845498E-18 0.00000000E+00 0.00000000E+00 1.67227405E-17
Eye-lens   0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.82263288E-18 0.00000000E+00 0.00000000E+00 1.73362986E-17
P-gland    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 6.74035648E-18 0.00000000E+00 0.00000000E+00 1.69197317E-17
Tongue     7.17150217E-15 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 8.75156862E-20 8.75156862E-20 1.75630587E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 6.64278393E-18 0.00000000E+00 0.00000000E+00 3.06706666E-18
Tonsils    9.47719436E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 6.65864548E-18 0.00000000E+00 0.00000000E+00 1.68347284E-17
S-glands   0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 6.22766000E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 6.63397196E-18 0.00000000E+00 0.00000000E+00 1.68290182E-17
Thyroid    0.00000000E+00 4.51028703E-20 4.51028703E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.39477010E-21 4.39477010E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.95681362E-19 2.80781429E-17 0.00000000E+00 0.00000000E+00 1.51618958E-17
