  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-wall        St-cont        SI-cont        RC-wall        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        Thyroid        S-glands       T-bone-S       T-bone-V       C-bone-S       C-bone-V       UB-cont        Other          
Bronch-bas 1.92052895E-21 3.12456458E-16 3.12456458E-16 1.76880284E-20 6.53239397E-20 1.75021759E-21 4.92332813E-23 4.80957360E-23 5.08274469E-22 3.11254826E-24 1.16526296E-22 1.82760272E-20 1.82760272E-20 1.86301082E-20 2.86180764E-12 3.44596119E-12 1.68244553E-14 5.90386014E-16 1.88720368E-17 6.33452518E-15 6.73458865E-16 6.08410499E-20 1.38673181E-20 5.87438009E-20 3.69926529E-21 6.31401732E-20 6.31401732E-20 7.19617569E-20 7.19617569E-20 3.88880277E-24 3.15164015E-16
Bronch-sec 1.92052895E-21 3.12456458E-16 3.12456458E-16 1.76880284E-20 6.53239397E-20 1.75021759E-21 4.92332813E-23 4.80957360E-23 5.08274469E-22 3.11254826E-24 1.16526296E-22 1.82760272E-20 1.82760272E-20 1.86301082E-20 4.62612439E-12 2.81422300E-12 1.68244553E-14 5.90386014E-16 1.68981554E-17 6.33452518E-15 6.73458865E-16 6.08410499E-20 1.38673181E-20 5.87438009E-20 3.69926529E-21 6.31401732E-20 6.31401732E-20 7.19617569E-20 7.19617569E-20 3.88880277E-24 3.09022424E-16
Bchiol-sec 1.34837571E-20 1.25123575E-17 1.25123575E-17 4.35055003E-18 1.85756342E-19 9.82614839E-21 2.74548963E-21 1.73291409E-21 2.02723391E-21 1.66081615E-22 6.99462189E-21 1.85035362E-20 1.85035362E-20 3.36344910E-20 2.90955250E-16 2.90955250E-16 7.69060736E-13 5.57621505E-13 8.18888424E-15 1.20510909E-16 6.73458865E-16 8.03090964E-18 2.66233667E-20 1.63470067E-19 1.60409910E-20 2.88616072E-18 2.88616072E-18 4.41431666E-18 4.41431666E-18 2.18825265E-23 1.97701931E-16
AI         1.34837571E-20 1.25123575E-17 1.25123575E-17 4.35055003E-18 1.85756342E-19 9.82614839E-21 2.74548963E-21 1.73291409E-21 2.02723391E-21 1.66081615E-22 6.99462189E-21 1.85035362E-20 1.85035362E-20 3.36344910E-20 2.90955250E-16 2.90955250E-16 1.68244553E-14 1.68244553E-14 1.77152654E-14 1.20510909E-16 2.13361843E-15 8.03090964E-18 2.66233667E-20 1.63470067E-19 1.60409910E-20 2.88616072E-18 2.88616072E-18 4.41431666E-18 4.41431666E-18 2.18825265E-23 1.49797522E-16
LN-Th      9.48985155E-20 6.27844900E-16 6.27844900E-16 1.64303199E-20 2.62068008E-21 6.97683773E-23 1.72089776E-21 3.09989107E-23 2.04982460E-23 2.82031127E-24 5.70807417E-22 4.91643877E-16 4.91643877E-16 2.06600658E-18 1.28866259E-14 1.28866259E-14 1.33831404E-16 1.33831404E-16 1.33831404E-16 1.18855861E-12 2.91660208E-16 1.74044432E-20 4.31353976E-22 1.38588266E-15 6.30280208E-20 3.59191947E-20 3.59191947E-20 2.96434694E-20 2.96434694E-20 3.48521451E-24 1.52632134E-17
R-marrow   2.96066193E-18 6.14562857E-19 6.14562857E-19 1.02210849E-19 7.92997252E-20 1.12993497E-19 9.53903837E-20 8.80636306E-20 8.74548035E-20 1.42430285E-19 3.75085537E-19 6.98789275E-19 6.98789275E-19 1.37072607E-19 1.91492134E-19 1.91492134E-19 1.18607523E-17 1.18607523E-17 1.18607523E-17 1.91460090E-19 6.04453123E-16 2.78442252E-18 1.66530224E-19 1.38001870E-19 5.67715216E-19 2.48898117E-15 1.54936875E-15 2.44091588E-16 7.95256321E-17 4.18200107E-19 2.79247693E-16
Endost-BS  4.77817094E-18 2.24096425E-19 2.24096425E-19 3.68644788E-20 2.88439833E-20 4.92829487E-20 4.35151134E-20 3.98861836E-20 4.15444363E-20 7.15884498E-20 7.61610615E-19 1.26097698E-18 1.26097698E-18 8.63973671E-20 7.14090060E-20 7.14090060E-20 4.12240010E-18 4.12240010E-18 4.12240010E-18 7.21956747E-20 2.29159303E-16 9.70582494E-19 6.14034139E-20 6.37425915E-20 8.17110008E-19 9.50667440E-15 6.12351853E-15 1.93975507E-15 1.16077686E-16 2.36032640E-19 1.97311509E-16
Brain      8.49570104E-20 4.85475497E-21 4.85475497E-21 6.45356689E-23 1.07422729E-22 2.66554102E-23 5.43410199E-25 1.74140562E-24 3.58326771E-25 5.33684988E-26 9.77824332E-20 7.64110010E-19 7.64110010E-19 5.12536258E-20 5.49049860E-21 5.49049860E-21 1.98093101E-21 1.98093101E-21 1.98093101E-21 6.35262977E-21 1.44424995E-16 3.68821027E-22 8.84209160E-24 1.11237511E-20 1.11676508E-19 4.67803491E-18 4.67803491E-18 1.21074875E-17 1.21074875E-17 5.16782026E-26 3.19409827E-16
Eye-lens   1.70904166E-19 1.22061816E-22 1.22061816E-22 2.50388141E-23 1.13366804E-23 1.73852171E-24 2.99334633E-24 0.00000000E+00 1.53110394E-24 0.00000000E+00 1.17630195E-18 2.99815286E-20 2.99815286E-20 1.01925662E-21 1.40257734E-22 1.40257734E-22 7.08001790E-23 7.08001790E-23 7.08001790E-23 1.31061241E-22 1.04814386E-16 1.96058337E-23 1.03130498E-23 1.13749724E-20 7.07425006E-20 8.61217927E-22 8.61217927E-22 4.97187407E-20 4.97187407E-20 0.00000000E+00 3.15151049E-16
P-gland    6.09435892E-19 3.51149021E-22 3.51149021E-22 1.12616985E-23 1.81414444E-24 0.00000000E+00 1.10176870E-24 0.00000000E+00 1.34936906E-24 0.00000000E+00 8.42504506E-20 8.65319499E-19 8.65319499E-19 3.14699506E-20 3.22950714E-22 3.22950714E-22 9.42544406E-23 9.42544406E-23 3.72698294E-21 8.52405956E-22 1.40216077E-16 4.21228220E-22 5.07120902E-24 4.06584327E-20 1.08097245E-20 2.29431673E-17 2.29431673E-17 7.94198885E-17 7.94198885E-17 0.00000000E+00 3.17984653E-16
