  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        C-bone-S       C-bone-V       T-bone-S       T-bone-V       UB-cont        Other          
Bchiol-sec 2.18713112E-18 3.45957969E-17 3.45957969E-17 1.56396458E-17 4.16373625E-18 2.88712203E-18 4.99045932E-18 2.53960995E-19 1.01126176E-18 2.87558636E-18 2.87558636E-18 5.63517514E-18 8.44106682E-17 8.44106682E-17 1.89649631E-09 8.96129353E-10 2.75798660E-13 4.74372414E-17 5.08995448E-13 1.75326173E-17 5.93542301E-18 6.80860920E-18 6.80860920E-18 5.72041093E-18 5.72041093E-18 1.40002988E-19 9.41252452E-14
AI         2.18713112E-18 3.45957969E-17 3.45957969E-17 1.56396458E-17 4.16373625E-18 2.88712203E-18 4.99045932E-18 2.53960995E-19 1.01126176E-18 2.87558636E-18 2.87558636E-18 5.63517514E-18 8.44106682E-17 8.44106682E-17 5.81109412E-16 5.81109412E-16 1.41589143E-11 4.74372414E-17 1.65088265E-12 1.75326173E-17 5.93542301E-18 6.80860920E-18 6.80860920E-18 5.72041093E-18 5.72041093E-18 1.40002988E-19 1.14925817E-13
LN-Th      6.66024766E-18 2.07465833E-16 2.07465833E-16 6.79290787E-18 1.94055616E-18 1.40917831E-18 2.02947696E-18 1.12017771E-19 1.74268736E-18 1.94440138E-17 1.94440138E-17 4.98597323E-17 3.10533847E-16 3.10533847E-16 4.62692548E-17 4.62692548E-17 4.62692548E-17 9.76366351E-10 1.64319221E-13 7.71752392E-18 2.89577378E-18 8.11230021E-18 8.11230021E-18 5.53872412E-18 5.53872412E-18 6.74756628E-20 5.74625449E-18
R-marrow   6.90826458E-18 1.77553198E-17 1.77553198E-17 6.94191028E-18 9.07152327E-18 6.40261768E-18 5.78385712E-18 1.18697245E-17 2.88936508E-18 7.53968233E-18 7.53968233E-18 8.54825243E-18 1.06418164E-17 1.06418164E-17 1.12500026E-17 1.12500026E-17 1.12500026E-17 1.50151174E-17 4.46863044E-13 8.60160491E-18 1.03809821E-17 1.77921699E-17 1.30707160E-17 1.81110030E-12 2.05623330E-13 1.25195673E-17 1.97845940E-13
Endost-BS  7.97034737E-18 7.49994835E-18 7.49994835E-18 3.02795334E-18 4.23054701E-18 3.06400231E-18 2.69373933E-18 6.76535043E-18 4.74933176E-18 8.38739391E-18 8.38739391E-18 5.78065277E-18 4.57132995E-18 4.57132995E-18 4.76423200E-18 4.76423200E-18 4.76423200E-18 6.37345807E-18 1.70711905E-13 3.69157484E-18 4.57902040E-18 2.00288083E-12 1.27746338E-17 1.33536604E-11 1.47246428E-12 7.80035644E-18 1.81910479E-13
Brain      1.94632400E-17 1.31819070E-18 1.31819070E-18 1.03792197E-19 3.35047147E-20 3.53023567E-20 4.77512680E-20 2.23439533E-21 1.68597032E-17 3.61258754E-17 3.61258754E-17 8.30039573E-18 7.31169262E-19 7.31169262E-19 5.67186498E-19 5.67186498E-19 5.67186498E-19 1.23992438E-18 1.23181737E-13 1.46937208E-19 4.96850950E-20 8.96193440E-18 8.96193440E-18 6.88134801E-18 6.88134801E-18 1.38453683E-21 2.54001914E-13
Eye-lens   4.12784750E-17 1.27030165E-18 1.27030165E-18 1.08975238E-19 6.93982745E-21 7.85370892E-20 1.40959487E-27 0.00000000E+00 1.58043495E-16 6.94831899E-17 6.94831899E-17 9.41743317E-18 8.89864843E-19 8.89864843E-19 6.63445262E-19 6.63445262E-19 6.63445262E-19 1.12817257E-18 5.41247261E-18 1.34052504E-19 6.89128151E-20 6.47071018E-18 6.47071018E-18 4.05174412E-18 4.05174412E-18 0.00000000E+00 2.65772938E-13
P-gland    6.27764791E-17 2.45886025E-18 2.45886025E-18 1.14393799E-19 1.01783068E-19 3.94071329E-21 2.23359424E-20 0.00000000E+00 4.22974593E-17 3.42865768E-16 3.42865768E-16 2.14803802E-17 1.24771096E-18 1.24771096E-18 8.72224880E-19 8.72224880E-19 8.72288967E-19 2.28822846E-18 1.24489113E-13 2.37875143E-19 8.34301362E-20 1.11860758E-17 1.11860758E-17 6.43033533E-18 6.43033533E-18 0.00000000E+00 2.54025296E-13
Tongue     7.96153540E-15 9.18896281E-18 9.18896281E-18 5.71977006E-19 1.71849450E-19 1.79155375E-19 2.45084937E-19 1.21376084E-20 6.02802881E-17 1.67892074E-16 1.67892074E-16 1.48417619E-16 4.10974291E-18 4.10974291E-18 2.42345215E-18 2.42345215E-18 2.42345215E-18 7.48104267E-18 1.24492317E-13 6.71007535E-19 2.08715531E-19 9.19841565E-18 9.19841565E-18 8.06936188E-18 8.06936188E-18 6.10204937E-21 9.00827544E-18
Tonsils    1.46216228E-16 5.07457359E-18 5.07457359E-18 2.36192858E-19 7.91875729E-20 6.45773255E-20 1.07696701E-19 1.94776596E-21 3.01465528E-17 2.29143281E-16 2.29143281E-16 5.00968544E-17 2.32956461E-18 2.32956461E-18 1.37344977E-18 1.37344977E-18 1.37344977E-18 4.38243334E-18 1.24489113E-13 3.32515708E-19 1.25881404E-19 1.42734699E-17 1.42734699E-17 7.81301364E-18 7.81301364E-18 6.14707053E-21 2.53869107E-13
S-glands   5.39308627E-17 9.45412301E-18 9.45412301E-18 4.83568907E-19 1.46985273E-19 1.48811754E-19 2.03892980E-19 1.07208037E-20 1.25375117E-17 5.19265399E-17 5.19265399E-17 8.39027783E-17 3.97596117E-18 3.97596117E-18 2.55418976E-18 2.55418976E-18 2.55418976E-18 7.46486069E-18 1.24489113E-13 6.00031116E-19 2.06520549E-19 7.49145682E-18 7.49145682E-18 4.92861531E-18 4.92861531E-18 6.84994535E-21 2.53707535E-13
Thyroid    1.38807764E-17 1.48307069E-16 1.48307069E-16 2.26627864E-18 6.44908080E-19 5.10373320E-19 7.81349429E-19 5.04669572E-20 3.02907487E-18 3.86797447E-17 3.86797447E-17 8.96337636E-17 7.05374220E-17 7.05374220E-17 1.88111541E-17 1.88111541E-17 1.88111541E-17 2.46991527E-16 4.00127556E-13 2.63782337E-18 9.42816776E-19 6.97379359E-18 6.97379359E-18 4.61795329E-18 4.61795329E-18 2.58879677E-20 2.27717739E-13
Breast     1.66962812E-18 5.86188311E-18 5.86188311E-18 1.30245733E-17 3.20355189E-18 2.93262384E-18 4.99430455E-18 2.08411117E-19 1.67908096E-18 1.20534941E-18 1.20534941E-18 2.06808941E-18 1.49840352E-17 1.49840352E-17 1.41012359E-17 1.41012359E-17 1.41012359E-17 5.40718543E-18 1.24492317E-13 1.14403412E-17 2.85043219E-18 1.27167952E-18 1.27167952E-18 2.05302895E-18 2.05302895E-18 1.04189537E-19 2.53886010E-13
Thymus     6.15139640E-18 6.58943146E-17 6.58943146E-17 4.60882088E-18 1.24216743E-18 1.06684126E-18 1.46652020E-18 7.35334920E-20 2.10798360E-18 1.18319131E-17 1.18319131E-17 2.48225203E-17 7.32867569E-17 7.32867569E-17 3.65504522E-17 3.65504522E-17 3.65504522E-17 1.49638477E-16 1.24490715E-13 5.10341276E-18 1.63341893E-18 7.22581596E-18 7.22581596E-18 5.19746052E-18 5.19746052E-18 4.25153553E-20 2.53887534E-13
Ht-wall    1.81462509E-18 8.19208860E-17 8.19208860E-17 4.62404156E-17 7.33107895E-18 3.94632091E-18 8.43593986E-18 3.81686504E-19 9.62090959E-19 2.23071032E-18 2.23071032E-18 4.31978824E-18 6.39028092E-17 6.39028092E-17 4.30120300E-17 4.30120300E-17 4.30120300E-17 7.61706745E-17 4.03572235E-13 2.05671396E-17 7.58085827E-18 4.56043515E-18 4.56043515E-18 4.10333420E-18 4.10333420E-18 2.00127865E-19 2.27159553E-13
Adrenals   3.25466132E-19 1.55963870E-17 1.55963870E-17 3.26058937E-17 2.65945275E-17 1.30543738E-17 1.76367588E-17 1.42463931E-18 2.17207066E-19 3.99566794E-19 3.99566794E-19 7.28733953E-19 7.70566781E-18 7.70566781E-18 1.12596157E-17 1.12596157E-17 1.12596157E-17 5.80821020E-18 5.38427430E-13 4.32651739E-17 1.51365624E-16 5.42913524E-18 5.42913524E-18 5.07249076E-18 5.07249076E-18 8.42921072E-19 2.14362297E-13
Liver      6.85186796E-19 1.84314383E-17 1.84314383E-17 2.45517525E-17 1.46329983E-17 2.97700413E-17 1.11860758E-17 9.25817683E-19 5.10485472E-19 6.72048949E-19 6.72048949E-19 1.20214506E-18 1.29282825E-17 1.29282825E-17 1.78226112E-17 1.78226112E-17 1.78226112E-17 7.83848824E-18 6.59600038E-13 6.60064669E-12 2.72241829E-17 3.48873930E-18 3.48873930E-18 4.03363952E-18 4.03363952E-18 6.76935588E-19 4.20601029E-18
Pancreas   3.50972781E-19 1.26652051E-17 1.26652051E-17 5.60168965E-17 7.88831593E-17 4.89192547E-17 4.31610324E-17 2.73299265E-18 2.69982760E-19 3.25530219E-19 3.25530219E-19 5.81269629E-19 6.43017511E-18 6.43017511E-18 7.76222464E-18 7.76222464E-18 7.76222464E-18 3.88303493E-18 5.38427430E-13 4.76535353E-17 4.10333420E-17 3.55987594E-18 3.55987594E-18 3.99662925E-18 3.99662925E-18 1.68564988E-18 2.14365671E-13
Kidneys    2.21613052E-19 7.45156262E-18 7.45156262E-18 2.09180162E-17 3.85435597E-17 2.59664743E-17 2.44396001E-17 2.82175323E-18 1.54396942E-19 2.35904466E-19 2.35904466E-19 4.20747567E-19 4.35663830E-18 4.35663830E-18 5.93253910E-18 5.93253910E-18 5.93253910E-18 2.97155673E-18 7.37321619E-13 2.72546242E-17 3.69125441E-11 3.89168669E-18 3.89168669E-18 4.55434688E-18 4.55434688E-18 1.68805315E-18 5.88351033E-18
Spleen     5.34950707E-19 1.71849450E-17 1.71849450E-17 5.26891760E-17 2.06792919E-17 3.45397207E-18 3.33861536E-17 1.05399180E-18 3.03548357E-19 6.24288068E-19 6.24288068E-19 1.16316411E-18 1.41167770E-17 1.41167770E-17 2.24833426E-17 2.24833426E-17 2.24833426E-17 8.43690116E-18 9.55361817E-13 8.57933465E-18 3.67811656E-17 4.53896599E-18 4.53896599E-18 4.98308931E-18 4.98308931E-18 4.38756031E-19 1.74538195E-13
GB-wall    4.53415946E-19 1.11873575E-17 1.11873575E-17 1.98974298E-17 2.97812565E-17 8.54216416E-17 1.52855648E-17 1.55526476E-18 3.43314378E-19 4.06744545E-19 4.06744545E-19 7.23751184E-19 7.05165937E-18 7.05165937E-18 8.72481228E-18 8.72481228E-18 8.72481228E-18 4.31754520E-18 1.24492317E-13 1.06414960E-16 3.49018126E-17 2.83969761E-18 2.83969761E-18 3.52158392E-18 3.52158392E-18 1.16784246E-18 2.53843731E-13
