  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-wall        St-cont        SI-cont        RC-wall        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        Thyroid        S-glands       T-bone-S       T-bone-V       C-bone-S       C-bone-V       UB-cont        Other          
Bronch-bas 2.52503014E-21 4.51349138E-17 4.51349138E-17 8.23743019E-20 1.11461816E-19 1.16590383E-20 5.50203427E-21 8.36191930E-21 1.83192860E-20 1.47696639E-23 7.23142357E-21 1.42388629E-20 1.42388629E-20 3.13369699E-20 2.57085239E-12 3.09636628E-12 1.32937390E-14 5.71736679E-16 1.69590381E-17 1.87006040E-15 5.59383899E-16 4.30761170E-19 9.95047729E-21 1.11976115E-19 9.51324333E-21 5.11959475E-20 5.11959475E-20 5.23126645E-20 5.23126645E-20 5.25321627E-24 2.63855679E-16
Bronch-sec 2.52503014E-21 4.51349138E-17 4.51349138E-17 8.23743019E-20 1.11461816E-19 1.16590383E-20 5.50203427E-21 8.36191930E-21 1.83192860E-20 1.47696639E-23 7.23142357E-21 1.42388629E-20 1.42388629E-20 3.13369699E-20 4.15748777E-12 2.52919580E-12 1.32937390E-14 5.71736679E-16 1.51911966E-17 1.87006040E-15 5.59383899E-16 4.30761170E-19 9.95047729E-21 1.11976115E-19 9.51324333E-21 5.11959475E-20 5.11959475E-20 5.23126645E-20 5.23126645E-20 5.25321627E-24 2.58280720E-16
Bchiol-sec 5.63277188E-21 3.62989105E-18 3.62989105E-18 1.38253411E-18 8.48736972E-19 1.92052895E-20 7.31714002E-21 1.20012632E-20 2.39124841E-20 1.91347938E-22 3.37626651E-21 1.12862118E-20 1.12862118E-20 2.56107911E-20 4.34830699E-16 4.34830699E-16 7.39468536E-13 5.36152340E-13 7.87373613E-15 5.11206452E-17 5.59383899E-16 3.94375742E-18 2.65368492E-20 1.34414596E-19 9.05037454E-21 1.60473997E-18 1.60473997E-18 2.10509969E-18 2.10509969E-18 1.38794947E-22 1.74462954E-16
AI         5.63277188E-21 3.62989105E-18 3.62989105E-18 1.38253411E-18 8.48736972E-19 1.92052895E-20 7.31714002E-21 1.20012632E-20 2.39124841E-20 1.91347938E-22 3.37626651E-21 1.12862118E-20 1.12862118E-20 2.56107911E-20 4.34830699E-16 4.34830699E-16 1.32937390E-14 1.32937390E-14 1.45370279E-14 5.11206452E-17 1.72650538E-15 3.94375742E-18 2.65368492E-20 1.34414596E-19 9.05037454E-21 1.60473997E-18 1.60473997E-18 2.10509969E-18 2.10509969E-18 1.38794947E-22 1.22749359E-16
LN-Th      1.83240925E-20 6.43001490E-16 6.43001490E-16 2.14275083E-20 4.57725801E-20 8.22861822E-21 3.12664741E-21 8.90553779E-23 1.69382098E-21 6.18744538E-24 1.12214839E-22 3.79267218E-18 3.79267218E-18 7.70326455E-18 3.01401441E-15 3.01401441E-15 5.74460379E-17 5.74460379E-17 5.74460379E-17 9.76734852E-13 2.24993644E-16 2.98293218E-20 2.22221879E-22 5.06656270E-16 2.31770851E-20 1.02191623E-19 1.02191623E-19 1.21081284E-18 1.21081284E-18 2.28358215E-24 7.27680465E-18
R-marrow   2.32347634E-18 8.57580986E-19 8.57580986E-19 5.94952217E-20 5.42737285E-20 6.97940121E-20 5.70342786E-20 4.66377554E-20 6.36576762E-20 9.05534129E-20 7.32883590E-19 1.37982643E-18 1.37982643E-18 2.83328890E-18 1.27398666E-19 1.27398666E-19 2.94287777E-18 2.94287777E-18 2.94287777E-18 3.48297147E-19 4.58799259E-16 9.65151116E-19 9.65343377E-20 9.69925602E-20 1.05144434E-19 1.95129074E-15 1.23010304E-15 1.99166559E-16 7.41855779E-17 1.02604984E-19 2.56251945E-16
Endost-BS  3.82888137E-18 3.86268729E-19 3.86268729E-19 2.05479134E-20 1.89809848E-20 2.68220366E-20 2.34943160E-20 1.82664141E-20 2.32043221E-20 4.55098231E-20 1.47097425E-18 2.30296848E-18 2.30296848E-18 1.35274965E-18 4.45693455E-20 4.45693455E-20 9.96778080E-19 9.96778080E-19 9.96778080E-19 1.13403654E-19 1.75854891E-16 3.28478223E-19 3.48954039E-20 4.08010264E-20 1.27030165E-19 7.10356989E-15 4.75045328E-15 1.42499179E-15 8.16725486E-17 5.59239703E-20 1.93039105E-16
Brain      9.33075542E-20 3.33621210E-21 3.33621210E-21 8.61458254E-23 1.17029379E-22 1.35279772E-24 9.56931950E-25 3.60922297E-23 1.89697696E-24 4.25810445E-26 9.36664418E-20 1.10902656E-17 1.10902656E-17 2.82720063E-20 1.24368950E-21 1.24368950E-21 8.19337034E-22 8.19337034E-22 8.19337034E-22 1.97404165E-21 1.28608309E-16 6.25794114E-23 1.13805800E-22 5.71560440E-21 6.90986675E-20 1.95850054E-18 1.95850054E-18 7.29326759E-18 7.29326759E-18 2.24464926E-26 2.65553930E-16
Eye-lens   3.42288985E-20 7.38058621E-23 7.38058621E-23 1.29385364E-23 4.45837651E-24 0.00000000E+00 2.83264803E-24 2.36064684E-25 0.00000000E+00 0.00000000E+00 1.66834638E-18 9.44082495E-19 9.44082495E-19 1.81414444E-21 4.83729125E-23 4.83729125E-23 2.72994852E-23 2.72994852E-23 2.72994852E-23 3.77713107E-23 1.23920340E-16 7.34662006E-22 2.17799872E-23 1.91972787E-22 4.49586744E-20 3.20130884E-22 3.20130884E-22 6.29543207E-22 6.29543207E-22 0.00000000E+00 2.63084361E-16
P-gland    3.06191948E-19 1.62412630E-22 1.62412630E-22 5.43762678E-24 8.55353961E-24 7.39837036E-25 0.00000000E+00 0.00000000E+00 1.47541228E-24 0.00000000E+00 5.15852764E-19 9.88879350E-16 9.88879350E-16 9.18768106E-20 6.01040487E-23 6.01040487E-23 7.21700399E-23 7.21700399E-23 1.73531735E-21 3.77040193E-21 1.28957583E-16 6.95184378E-24 3.65776892E-24 6.66825854E-21 2.48081007E-21 1.11495462E-18 1.11495462E-18 1.97708578E-18 1.97708578E-18 0.00000000E+00 2.62349109E-16
Tongue     1.87422605E-13 5.95080391E-20 5.95080391E-20 3.87854884E-22 3.54625744E-23 8.53703719E-24 1.68228531E-22 3.43314378E-22 1.33752897E-23 2.24320730E-25 3.33701319E-19 1.99807430E-16 1.99807430E-16 9.66352748E-17 1.50867347E-20 1.50867347E-20 1.54768646E-20 1.54768646E-20 1.54768646E-20 2.85828285E-20 1.30588599E-16 1.85692255E-22 4.86484869E-22 7.56291389E-20 9.89952808E-18 1.91235785E-18 1.91235785E-18 3.71961293E-18 3.71961293E-18 1.70487600E-25 1.16693296E-16
Tonsils    1.94424117E-18 1.31447366E-21 1.31447366E-21 3.90786867E-22 1.00780105E-23 3.42641464E-24 1.52347758E-24 1.41664445E-24 4.47119392E-24 2.26275385E-25 4.37169876E-20 1.06169827E-17 1.06169827E-17 2.42233063E-19 1.60714323E-22 1.60714323E-22 8.29206441E-23 8.29206441E-23 8.29206441E-23 8.67738785E-21 1.30362692E-16 7.13192841E-22 7.93846406E-23 3.71464619E-20 3.75133603E-19 3.62011777E-18 3.62011777E-18 6.25265396E-18 6.25265396E-18 0.00000000E+00 2.63570135E-16
S-glands   4.95505122E-21 5.68340065E-20 5.68340065E-20 1.09204349E-21 3.33268731E-22 4.47616067E-23 5.39212497E-24 7.58422284E-24 1.97740622E-22 2.75350051E-25 3.33060448E-20 4.44844302E-19 4.44844302E-19 1.01946490E-18 1.82551989E-20 1.82551989E-20 3.28462202E-21 3.28462202E-21 3.28462202E-21 3.97163529E-20 1.29600056E-16 1.58046700E-21 3.11174717E-23 9.99485758E-20 1.79571941E-13 1.37074209E-19 1.37074209E-19 2.51365469E-18 2.51365469E-18 2.19690440E-25 3.14570634E-18
Thyroid    6.99590363E-20 1.83961904E-16 1.83961904E-16 4.54249078E-21 4.02963408E-22 8.66280805E-23 8.19721556E-22 3.29087050E-23 3.59720665E-22 2.85203436E-24 9.52910487E-22 4.52502705E-19 4.52502705E-19 1.19397396E-18 2.19386026E-17 2.19386026E-17 1.72314081E-19 1.72314081E-19 1.72314081E-19 4.96258145E-16 4.10669877E-16 1.16652868E-20 1.91588264E-21 6.81710073E-13 9.15675906E-20 1.26123333E-20 1.26123333E-20 7.13096711E-20 7.13096711E-20 8.02866659E-25 3.98606377E-18
