  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        C-bone-S       C-bone-V       T-bone-S       T-bone-V       UB-cont        Other          
Bchiol-sec 1.09962179E-18 4.61843394E-16 4.61843394E-16 1.18432886E-16 2.00320126E-18 1.34433822E-18 2.48673813E-18 1.34308853E-19 5.16157177E-19 1.38924723E-18 1.38924723E-18 2.80428951E-18 4.28454036E-14 4.28454036E-14 5.37113646E-13 4.85924107E-13 1.32346187E-13 5.42064371E-15 7.69060736E-15 6.10349133E-16 2.87206157E-18 3.92517218E-16 3.92517218E-16 3.02234573E-16 3.02234573E-16 7.66705536E-20 1.36638186E-15
AI         1.09962179E-18 4.61843394E-16 4.61843394E-16 1.18432886E-16 2.00320126E-18 1.34433822E-18 2.48673813E-18 1.34308853E-19 5.16157177E-19 1.38924723E-18 1.38924723E-18 2.80428951E-18 4.28454036E-14 4.28454036E-14 1.04556435E-13 1.04556435E-13 1.14164688E-13 5.42064371E-15 1.44074118E-14 6.10349133E-16 2.87206157E-18 3.92517218E-16 3.92517218E-16 3.02234573E-16 3.02234573E-16 7.66705536E-20 1.16302401E-15
LN-Th      4.12624532E-18 8.09852149E-14 8.09852149E-14 2.86164742E-18 6.91915938E-19 4.88647807E-19 8.86852751E-19 4.61715220E-20 6.82879662E-19 3.04701924E-15 3.04701924E-15 1.11876780E-14 2.84065891E-13 2.84065891E-13 5.54721565E-15 5.54721565E-15 5.54721565E-15 4.78361834E-12 8.54969439E-15 3.20114862E-18 9.66272639E-19 2.94319821E-16 2.94319821E-16 1.57351355E-17 1.57351355E-17 3.67939830E-20 8.65303671E-16
R-marrow   3.78498173E-16 2.62869096E-16 2.62869096E-16 4.09372114E-18 5.25225496E-18 3.88655972E-18 6.07176823E-18 6.82318901E-18 1.06251538E-16 2.02787478E-16 2.02787478E-16 3.95337048E-16 6.62387825E-17 6.62387825E-17 5.37161711E-16 5.37161711E-16 5.37161711E-16 8.25954023E-17 3.68084026E-15 1.44136603E-16 1.34111785E-17 6.19080995E-15 5.86428638E-15 1.83689534E-14 2.06296244E-14 7.84153238E-18 1.91158105E-15
Endost-BS  6.07929846E-16 1.06211484E-16 1.06211484E-16 1.46719312E-18 2.07337659E-18 1.55361452E-18 2.24432882E-18 3.45076772E-18 2.13361843E-16 3.42369094E-16 3.42369094E-16 1.88335846E-16 2.22350053E-17 2.22350053E-17 1.81574661E-16 1.81574661E-16 1.81574661E-16 2.59344308E-17 1.43196126E-15 4.90041700E-17 4.77048049E-18 6.50243327E-15 6.75493629E-15 2.41367888E-14 3.08915648E-14 4.31193758E-18 1.65048271E-15
Brain      1.05535365E-17 6.24127851E-19 6.24127851E-19 5.84778396E-20 2.45421394E-20 2.81358213E-20 2.63253619E-20 3.90594606E-21 1.58271004E-17 1.55164384E-15 1.55164384E-15 3.89729430E-18 3.85547750E-19 3.85547750E-19 3.00295939E-19 3.00295939E-19 3.00295939E-19 6.30264186E-19 1.16574361E-15 8.40389633E-20 2.76119096E-20 9.30047429E-16 9.30047429E-16 3.65953131E-16 3.65953131E-16 1.88447998E-21 2.35705420E-15
Eye-lens   1.76591892E-17 7.36312248E-20 7.36312248E-20 9.85594888E-24 1.00919495E-24 1.40693526E-24 1.27887329E-24 3.59063773E-25 1.95834032E-15 4.53800468E-17 4.53800468E-17 4.16309538E-18 1.50873755E-19 1.50873755E-19 8.16533225E-22 8.16533225E-22 8.16533225E-22 2.46398722E-19 1.01138993E-15 1.52243616E-19 1.08435305E-24 2.44396001E-17 2.44396001E-17 9.65583703E-19 9.65583703E-19 4.88103067E-25 1.31528282E-15
P-gland    1.03601538E-16 9.78128745E-19 9.78128745E-19 2.16790500E-22 6.72850037E-25 4.69117275E-23 8.05862729E-25 0.00000000E+00 9.59479411E-17 2.10878469E-13 2.10878469E-13 9.64878746E-18 1.68468858E-18 1.68468858E-18 2.43723087E-19 2.43723087E-19 4.31353976E-19 1.00911484E-18 7.45508741E-16 2.07529920E-24 1.32080225E-24 5.76110621E-16 5.76110621E-16 1.19900480E-16 1.19900480E-16 1.36343617E-25 2.28193973E-15
Tongue     1.42330950E-12 5.00455847E-18 5.00455847E-18 2.78922905E-19 7.01721258E-20 9.24471855E-20 1.30651084E-19 4.28550167E-21 3.07746060E-17 3.07730038E-14 3.07730038E-14 1.25500086E-14 1.89665653E-18 1.89665653E-18 1.09579259E-18 1.09579259E-18 1.09579259E-18 3.69461898E-18 1.22967045E-15 3.68692853E-19 1.37634971E-19 5.75325555E-16 5.75325555E-16 3.58551076E-16 3.58551076E-16 2.73924114E-21 1.06914989E-15
Tonsils    6.18728516E-16 2.07850356E-18 2.07850356E-18 1.91556221E-20 1.80661421E-20 1.94888748E-21 5.86284442E-20 4.25025378E-25 1.57248816E-17 2.35135421E-14 2.35135421E-14 2.49282640E-17 1.22672245E-18 1.22672245E-18 4.51637530E-19 4.51637530E-19 4.51637530E-19 1.85451928E-18 9.15083101E-16 2.01041106E-19 6.62163520E-20 1.49342075E-15 1.49342075E-15 5.50732146E-16 5.50732146E-16 1.46567105E-25 2.25395109E-15
