  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-wall        St-cont        SI-wall        SI-cont        RC-wall        RC-cont        LC-wall        LC-cont        RS-wall        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        Spleen         Pancreas       Muscle         Skin           Adipose        Brain          Ht-wall        Lung-Tis       R-marrow       Cartilage      C-bone-S       T-bone-S       UB-cont        Other          
Kidneys    8.32619077E-17 1.39908460E-15 1.39908460E-15 3.64463107E-15 3.70551378E-15 4.03123626E-15 6.94559529E-15 4.95809536E-15 4.68732753E-15 4.17078583E-15 4.40742730E-15 4.79579488E-16 6.39124222E-16 6.44074948E-17 8.45388423E-17 8.45388423E-17 1.35744403E-16 8.83071614E-16 8.83071614E-16 1.17247275E-15 1.17247275E-15 1.17247275E-15 6.32843691E-16 3.48024777E-15 4.99718846E-15 1.04362572E-13 6.79483048E-15 7.18303784E-15 9.15035035E-16 5.53920477E-16 1.48584245E-15 3.30464922E-17 1.45402323E-15 1.16342046E-15 2.04950416E-15 9.59559520E-16 7.80484254E-16 8.92700695E-16 4.19113347E-16 7.91260572E-16
Spleen     1.70647818E-16 3.08354887E-15 3.08354887E-15 9.36087634E-15 9.65551660E-15 2.09276293E-15 3.77344606E-15 6.27716726E-16 7.32979721E-16 5.75982447E-15 6.22365456E-15 2.02611239E-16 2.93486689E-16 1.15068315E-16 1.91363960E-16 1.91363960E-16 3.13962504E-16 2.56508456E-15 2.56508456E-15 4.15764798E-15 4.15764798E-15 4.15764798E-15 1.57333731E-15 3.99903251E-15 1.62524783E-15 6.79739396E-15 1.88207672E-13 3.08274778E-15 8.29831290E-16 6.38883896E-16 1.32266078E-15 6.77816785E-17 4.05767217E-15 4.10814073E-15 1.89649631E-15 9.36215808E-16 9.05005410E-16 9.90866048E-16 1.54255950E-16 8.41665610E-16
GB-wall    1.39547970E-16 2.08507248E-15 2.08507248E-15 4.57805909E-15 3.56404160E-15 3.15660811E-15 5.35751795E-15 1.01871188E-14 1.60161573E-14 2.04437720E-15 2.77512989E-15 3.07025080E-16 3.99246359E-16 1.25727595E-16 1.29420612E-16 1.29420612E-16 2.06568614E-16 1.38075570E-15 1.38075570E-15 1.69334033E-15 1.69334033E-15 1.69334033E-15 8.59519620E-16 1.06424573E-15 1.93286571E-14 6.29174706E-15 1.52354167E-15 3.13177438E-14 6.00639943E-16 4.73347021E-16 1.09451085E-15 4.48288981E-17 2.27653257E-15 1.68356705E-15 1.59464626E-15 7.49914727E-16 5.73242725E-16 6.91787764E-16 3.11350957E-16 3.30894245E-15
Ureters    3.76126952E-17 4.90282027E-16 4.90282027E-16 1.84971275E-15 1.71176536E-15 1.06882796E-14 8.82350635E-15 5.25049257E-15 4.54793818E-15 2.91227620E-15 2.87142070E-15 4.11166552E-15 4.67755425E-15 3.36136627E-17 3.76976106E-17 3.76976106E-17 5.22469752E-17 3.41247570E-16 3.41247570E-16 4.18248172E-16 4.18248172E-16 4.18248172E-16 2.25490319E-16 8.17670770E-16 1.46517438E-15 6.68267813E-15 1.35758822E-15 4.85747867E-15 1.12134730E-15 4.59007542E-16 2.15636933E-15 1.24955346E-17 5.71175918E-16 4.15876951E-16 3.52639045E-15 1.61210998E-15 1.10838569E-15 1.19326900E-15 6.89977304E-15 4.14796709E-15
UB-wall    8.52774457E-18 5.84233656E-17 5.84233656E-17 2.13554104E-16 1.96603077E-16 4.05334629E-15 1.64960091E-15 9.33011455E-16 6.81421682E-16 5.27917152E-16 3.88800168E-16 1.69141772E-14 9.51116050E-15 8.00479416E-18 6.69437402E-18 6.69437402E-18 1.04550027E-17 5.00984566E-17 5.00984566E-17 5.93398105E-17 5.93398105E-17 5.93398105E-17 3.39517219E-17 9.58470040E-16 1.94968857E-16 3.84554400E-16 1.44277595E-16 3.69365767E-16 1.27159941E-15 5.16285351E-16 1.79956463E-15 2.28053801E-18 7.51260555E-17 5.90498166E-17 2.44492132E-15 1.54762238E-15 1.14025298E-15 1.39735424E-15 6.46141755E-14 4.58445694E-15
Ovaries    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Testes     1.38009880E-18 9.08946765E-18 9.08946765E-18 3.46086143E-17 3.39276893E-17 2.81726713E-16 1.41915987E-16 1.29310062E-16 9.71928322E-17 8.13713394E-17 6.42536858E-17 1.16031223E-15 7.39596710E-16 2.54537778E-18 6.75894173E-19 6.75894173E-19 1.95930163E-18 9.25945857E-18 9.25945857E-18 1.19871640E-17 1.19871640E-17 1.19871640E-17 6.56027184E-18 8.17286248E-16 3.10533847E-17 5.78674104E-17 2.73123026E-17 5.90097622E-17 1.23907523E-15 1.80469159E-15 1.43099995E-15 1.67924118E-19 1.35766833E-17 1.19017680E-17 4.26307120E-16 3.75614256E-16 3.85035053E-16 3.72650229E-16 1.74573150E-15 4.28655932E-15
Prostate   5.42929546E-18 3.46694970E-17 3.46694970E-17 1.22263690E-16 1.15145220E-16 1.53395581E-15 6.61634802E-16 5.19601856E-16 3.71336444E-16 2.87110026E-16 2.23247272E-16 1.44144614E-14 4.57068908E-15 5.17422896E-18 4.62468243E-18 4.62468243E-18 6.49522348E-18 3.44035357E-17 3.44035357E-17 3.80180459E-17 3.80180459E-17 3.80196480E-17 2.01714020E-17 4.85187106E-16 1.12842892E-16 2.23311359E-16 8.76999365E-17 2.06248179E-16 1.57811180E-15 5.41279304E-16 1.78722787E-15 1.43933127E-18 4.69918364E-17 3.79123022E-17 2.05030525E-15 1.39538357E-15 1.16657674E-15 1.35161211E-15 2.58559241E-14 5.12431005E-15
Uterus     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
LN-Sys     6.30760861E-16 5.60665640E-15 5.60665640E-15 6.02882990E-15 4.77560745E-15 5.02474590E-15 4.70559234E-15 3.07441646E-15 2.75253920E-15 3.70967944E-15 3.47239710E-15 4.96658689E-15 4.11182574E-15 2.35519944E-16 8.04869380E-16 8.04869380E-16 1.51846277E-15 2.95393279E-15 2.95393279E-15 2.45805917E-15 2.45805917E-15 2.45805917E-15 3.77809237E-15 1.95273270E-15 2.09212206E-15 2.26323451E-15 2.52118492E-15 6.06968540E-15 9.98412300E-16 6.53928333E-16 1.49906041E-15 2.20107006E-16 4.40758752E-15 2.47360028E-15 2.20139049E-15 1.13757735E-15 1.05307856E-15 1.00844192E-15 4.00464013E-15 3.76988938E-15
Skin       5.13641760E-16 4.55370601E-16 4.55370601E-16 4.81405969E-16 4.72385715E-16 4.78185594E-16 4.64102463E-16 5.04445267E-16 4.92669270E-16 5.64574950E-16 5.47768119E-16 5.10725799E-16 5.27821022E-16 8.08041689E-16 5.16509656E-16 5.16509656E-16 5.89440730E-16 5.14715218E-16 5.14715218E-16 5.25882388E-16 5.25882388E-16 5.25882388E-16 4.93101857E-16 8.26691024E-16 5.07056815E-16 5.29006632E-16 6.10269024E-16 4.14146600E-16 6.87509952E-16 7.93509949E-15 9.37305288E-16 4.42312863E-16 4.62083721E-16 5.25642062E-16 5.18240006E-16 5.96890850E-16 6.34654150E-16 6.01681358E-16 4.71840975E-16 6.34683379E-16
Adipose    5.96233958E-16 1.05561000E-15 1.05561000E-15 1.42593707E-15 1.30420370E-15 1.94023573E-15 1.73227322E-15 1.63053501E-15 1.48917498E-15 1.64623634E-15 1.58652322E-15 1.82519945E-15 1.58577020E-15 6.47920171E-16 7.75229115E-16 7.75229115E-16 7.87710070E-16 9.28957949E-16 9.28957949E-16 9.23847006E-16 9.23847006E-16 9.23847006E-16 1.10229742E-15 6.34365758E-16 9.32210367E-16 1.48380769E-15 1.32296519E-15 1.45733973E-15 9.53903837E-16 9.76766895E-16 2.88760268E-15 3.78033542E-16 9.62940112E-16 9.24071311E-16 1.07517258E-15 7.94022645E-16 7.94375124E-16 7.63276878E-16 1.63037479E-15 7.90615230E-16
Muscle     7.65824339E-16 7.82935584E-16 7.82935584E-16 6.18584320E-16 5.98493027E-16 9.34405349E-16 7.76751183E-16 9.10036245E-16 7.73787156E-16 7.72249067E-16 6.86981234E-16 1.25463236E-15 1.18586695E-15 2.55563171E-16 7.56932260E-16 7.56932260E-16 1.09018497E-15 7.60617265E-16 7.60617265E-16 8.57564965E-16 8.57564965E-16 8.57564965E-16 8.03651726E-16 8.28725788E-16 6.61346410E-16 9.06895979E-16 8.19769621E-16 6.11678939E-16 2.28822846E-15 7.10789577E-16 9.48985155E-16 2.35568009E-16 6.40069507E-16 8.54520829E-16 1.12519253E-15 9.61418045E-16 1.04689416E-15 9.49690113E-16 1.18210183E-15 9.87970288E-16
