  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-wall        St-cont        SI-wall        SI-cont        RC-wall        RC-cont        LC-wall        LC-cont        RS-wall        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        Spleen         Pancreas       Muscle         Skin           Adipose        Brain          Ht-wall        Lung-Tis       R-marrow       Cartilage      C-bone-S       T-bone-S       UB-cont        Other          
Bronch-bas 6.30776883E-16 9.19473064E-15 9.19473064E-15 2.63702228E-15 2.89016616E-15 4.60369392E-16 7.87886309E-16 4.69293515E-16 5.94038976E-16 9.04380562E-16 1.01443406E-15 6.69982142E-17 9.60280499E-17 3.74476710E-16 7.37401728E-16 7.37401728E-16 1.32323756E-15 2.77561055E-12 3.04237293E-12 3.43218247E-14 1.60714323E-14 1.59281978E-14 3.05214621E-14 3.61947690E-15 2.66153558E-15 9.63068286E-16 2.85027197E-15 1.34380951E-15 7.56884194E-16 5.40141759E-16 9.11734552E-16 1.88912630E-16 1.32096247E-14 6.04340971E-14 1.97452230E-15 9.27804382E-16 9.99469736E-16 9.39932858E-16 5.81301673E-17 9.44733781E-16
Bronch-sec 6.30776883E-16 9.19473064E-15 9.19473064E-15 2.63702228E-15 2.89016616E-15 4.60369392E-16 7.87886309E-16 4.69293515E-16 5.94038976E-16 9.04380562E-16 1.01443406E-15 6.69982142E-17 9.60280499E-17 3.74476710E-16 7.37401728E-16 7.37401728E-16 1.32323756E-15 3.67571330E-12 2.65640862E-12 3.43218247E-14 1.60714323E-14 1.58748453E-14 3.05214621E-14 3.61947690E-15 2.66153558E-15 9.63068286E-16 2.85027197E-15 1.34380951E-15 7.56884194E-16 5.40141759E-16 9.11734552E-16 1.88912630E-16 1.32096247E-14 5.98717331E-14 1.97452230E-15 9.27804382E-16 9.99469736E-16 9.39932858E-16 5.81301673E-17 9.44733781E-16
Bchiol-sec 5.52382387E-16 6.37666242E-15 6.37666242E-15 2.70831913E-15 2.90490619E-15 4.98533236E-16 8.49073429E-16 5.20050466E-16 6.44988188E-16 9.13785338E-16 1.02752385E-15 7.22645683E-17 9.99533823E-17 3.06031731E-16 6.86821016E-16 6.86821016E-16 1.24378563E-15 1.41528260E-14 1.41528260E-14 5.73899618E-13 4.40390251E-13 3.17134814E-14 8.67258132E-15 3.61947690E-15 3.26635720E-15 1.19205135E-15 4.32139042E-15 1.45969493E-15 8.64422280E-16 5.44467636E-16 9.20049848E-16 1.92853984E-16 7.99309828E-15 4.13714012E-14 2.22606401E-15 1.08465746E-15 1.34143829E-15 1.12721127E-15 6.50035044E-17 1.13078611E-15
AI         5.52382387E-16 6.37666242E-15 6.37666242E-15 2.70831913E-15 2.90490619E-15 4.98533236E-16 8.49073429E-16 5.20050466E-16 6.44988188E-16 9.13785338E-16 1.02752385E-15 7.22645683E-17 9.99533823E-17 3.06031731E-16 6.86821016E-16 6.86821016E-16 1.24378563E-15 1.41528260E-14 1.41528260E-14 3.43218247E-14 3.43218247E-14 3.62973083E-14 8.67258132E-15 6.68812553E-15 3.26635720E-15 1.19205135E-15 4.32139042E-15 1.45969493E-15 8.64422280E-16 5.44467636E-16 9.20049848E-16 1.92853984E-16 7.99309828E-15 3.55699202E-14 2.22606401E-15 1.08465746E-15 1.34143829E-15 1.12721127E-15 6.50035044E-17 1.13078611E-15
LN-Th      1.50088689E-15 3.71913228E-14 3.71913228E-14 1.20563781E-15 1.34762269E-15 2.65576774E-16 4.21308329E-16 2.83280825E-16 3.26699807E-16 4.27733057E-16 4.79787771E-16 3.90194062E-17 5.71704636E-17 5.06736379E-16 3.91475803E-15 3.91475803E-15 9.77295614E-15 4.61891459E-14 4.61891459E-14 8.50980019E-15 8.50980019E-15 8.50980019E-15 1.72266016E-12 2.76471575E-15 1.48164475E-15 6.14082204E-16 1.57359366E-15 7.82663214E-16 7.89889030E-16 5.11142365E-16 1.10836967E-15 3.68837049E-16 1.41371247E-14 9.68980318E-15 2.98629675E-15 1.36287541E-15 1.59222697E-15 1.11373696E-15 3.70615465E-17 1.64592244E-15
R-marrow   1.44091742E-15 3.56836747E-15 3.56836747E-15 1.40119947E-15 1.37437903E-15 2.01922303E-15 1.77072545E-15 1.45682704E-15 1.29878835E-15 1.24219947E-15 1.19652142E-15 2.39188928E-15 2.30825566E-15 6.76503000E-16 1.55355043E-15 1.55355043E-15 1.76431675E-15 2.10638143E-15 2.10638143E-15 2.20379376E-15 2.20379376E-15 2.20379376E-15 3.00536265E-15 5.27276282E-15 1.70487600E-15 2.04902351E-15 1.89152956E-15 1.99711299E-15 1.13221006E-15 5.43490308E-16 1.07937028E-15 1.22531253E-15 2.03396305E-15 2.20074962E-15 1.48095581E-14 6.26451006E-15 2.58431067E-15 7.77728510E-15 2.36913837E-15 3.53151247E-15
Endost-BS  1.47512389E-15 1.34175872E-15 1.34175872E-15 5.34902642E-16 5.26683477E-16 8.99125423E-16 7.35575247E-16 6.46237886E-16 5.54016607E-16 5.28285653E-16 4.95697383E-16 1.26495038E-15 1.19201931E-15 9.63196460E-16 1.53046307E-15 1.53046307E-15 1.07204833E-15 8.07384797E-16 8.07384797E-16 8.36095800E-16 8.36095800E-16 8.36095800E-16 1.13533430E-15 2.12304406E-15 6.47199192E-16 8.01392657E-16 7.28974280E-16 7.50203118E-16 9.10468832E-16 6.34958564E-16 7.68051364E-16 2.12672907E-15 7.44307109E-16 8.35214603E-16 6.04933776E-15 6.99958864E-15 3.34069819E-15 4.75429851E-14 1.33006283E-15 4.24392231E-15
Brain      3.91475803E-15 3.70679552E-16 3.70679552E-16 4.89512982E-17 5.04845811E-17 1.35209276E-17 2.06520549E-17 1.98205253E-17 2.38548057E-17 2.57421696E-17 2.83777499E-17 2.59248177E-18 3.56035659E-18 3.65440435E-15 7.02185889E-15 7.02185889E-15 1.87294431E-15 2.34975204E-16 2.34975204E-16 1.92437418E-16 1.92437418E-16 1.92437418E-16 3.76559540E-16 7.56756020E-16 6.55162009E-17 3.05823448E-17 6.55915032E-17 3.20275080E-17 2.37779012E-16 4.62548352E-16 3.80789286E-16 4.29879973E-14 1.30586997E-16 1.93767224E-16 1.22624180E-15 1.27730316E-15 1.84202231E-15 1.42960606E-15 2.21581008E-18 1.45473652E-15
Eye-lens   9.06287152E-15 3.74444667E-16 3.74444667E-16 8.46750273E-17 9.03419256E-17 7.28189213E-18 2.60914441E-17 3.91075259E-17 1.65280526E-17 5.48761469E-17 2.32924418E-17 5.07345206E-18 1.19902082E-18 3.18913230E-14 1.45291773E-14 1.45291773E-14 2.61891769E-15 3.25914741E-16 3.25914741E-16 2.85059241E-16 2.85059241E-16 2.85059241E-16 3.57878162E-16 3.43538682E-16 9.51035941E-17 5.19858205E-17 8.49602148E-17 6.39556810E-17 2.25362145E-16 7.82599127E-16 6.30488491E-16 5.84441939E-15 2.07257550E-16 2.86453134E-16 8.75861820E-16 9.30832495E-16 1.52306101E-15 9.80099422E-16 0.00000000E+00 3.94376097E-15
P-gland    1.17655830E-14 5.36520840E-16 5.36520840E-16 7.83127845E-17 5.51501190E-17 1.85067406E-17 7.54368777E-18 1.97131795E-17 1.43479711E-17 3.49242431E-17 5.24728821E-17 4.84594300E-19 0.00000000E+00 7.72521437E-15 6.01857597E-14 6.01857597E-14 4.22029308E-15 3.44932576E-16 3.44932576E-16 2.44091588E-16 2.44091588E-16 2.44091588E-16 6.45100341E-16 4.81742426E-16 8.25921979E-17 4.14210687E-17 7.59976395E-17 4.53704338E-17 3.68676831E-16 4.62275982E-16 5.62123620E-16 2.55146606E-14 2.22269944E-16 2.47311963E-16 1.26443768E-15 1.17449150E-15 2.19690440E-15 1.36285939E-15 1.53674360E-19 4.55508335E-15
