  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          C-bone-S       C-bone-V       C-marrow       T-bone-S       T-bone-V       T-marrow       Kidneys        Ovaries        Testes         Ureters        UB-cont        Other          
O-mucosa   1.81382400E-15 5.97067090E-19 5.97067090E-19 5.84858505E-21 1.26017589E-21 7.33204026E-22 5.41647805E-22 9.99726084E-23 1.10953926E-17 1.13477354E-16 1.13477354E-16 2.38499992E-16 4.91563768E-19 4.91563768E-19 3.96250289E-20 3.96250289E-20 3.96250289E-20 4.66041097E-19 1.22164355E-13 8.26226393E-21 1.45822093E-18 1.45822093E-18 1.71705254E-21 8.70927117E-19 8.70927117E-19 3.90498475E-19 2.48545638E-21 9.04572823E-23 0.00000000E+00 8.99622097E-22 1.11266350E-22 3.41667937E-13
Oesophagus 5.59143572E-19 1.77376959E-15 1.60938628E-15 1.46680860E-18 3.02795334E-20 7.82374822E-21 6.87750279E-21 1.14350540E-21 3.19073447E-20 2.28246062E-17 2.28246062E-17 1.32147517E-17 1.47060575E-16 1.47060575E-16 4.80220358E-18 4.80220358E-18 4.80220358E-18 1.34884034E-16 7.76847313E-13 1.97740622E-18 6.68684379E-19 6.68684379E-19 8.66713392E-21 3.02234573E-19 3.02234573E-19 5.19649922E-19 7.86444350E-20 7.61386310E-22 0.00000000E+00 1.78995157E-20 8.91755411E-22 2.76857379E-13
St-stem    5.63181057E-21 4.09900832E-18 4.09900832E-18 1.05219736E-16 6.36544718E-18 6.46702517E-20 1.41009155E-19 9.74748153E-21 5.01593393E-21 4.37954943E-21 4.37954943E-21 6.62163520E-21 6.39877245E-20 6.39877245E-20 1.33451688E-18 1.33451688E-18 1.33451688E-18 4.61106393E-20 7.76847313E-13 5.23607298E-18 4.89384808E-20 4.89384808E-20 8.23598823E-21 8.46157468E-20 8.46157468E-20 1.37505195E-19 1.75069825E-18 6.72193145E-21 0.00000000E+00 3.19826470E-19 8.49041386E-21 2.76836801E-13
SI-stem    1.15851780E-21 2.35023269E-20 2.35023269E-20 2.13762387E-18 4.76407178E-17 4.73090673E-18 8.09788062E-18 6.89961282E-18 1.18404047E-21 8.64085823E-22 8.64085823E-22 1.28220582E-21 8.35310733E-21 8.35310733E-21 1.75935000E-20 1.75935000E-20 1.75935000E-20 6.89897195E-21 8.43610007E-13 8.67226089E-19 7.67875125E-20 7.67875125E-20 7.46662308E-21 1.48861422E-19 1.48861422E-19 3.22838562E-19 4.09436201E-18 7.06223374E-18 0.00000000E+00 1.95481553E-17 3.72073446E-18 2.71243787E-13
RC-stem    8.35038363E-22 8.32282620E-21 8.32282620E-21 4.22638136E-20 2.58847633E-18 1.53656736E-16 1.51740533E-18 9.13176511E-20 8.62051059E-22 6.08394477E-22 6.08394477E-22 8.91082497E-22 4.67370903E-21 4.67370903E-21 9.11189812E-21 9.11189812E-21 9.11189812E-21 4.10701921E-21 8.19961883E-13 3.81414134E-19 7.50427423E-20 7.50427423E-20 6.79338852E-21 8.38643260E-20 8.38643260E-20 1.01517107E-19 3.97499986E-18 9.37593680E-20 0.00000000E+00 2.05383004E-18 2.24673209E-19 2.73244868E-13
LC-stem    5.83416546E-22 6.81213399E-21 6.81213399E-21 9.53038662E-20 3.86637230E-18 1.62364565E-18 2.07497877E-16 3.27116373E-18 6.79451005E-22 4.03059539E-22 4.03059539E-22 5.77264188E-22 3.36024475E-21 3.36024475E-21 6.82607292E-21 6.82607292E-21 6.82607292E-21 2.75077681E-21 8.19961883E-13 3.13321634E-20 8.63124517E-20 8.63124517E-20 6.90522044E-21 8.72945859E-20 8.72945859E-20 1.06310819E-19 1.52669795E-19 1.07089476E-19 0.00000000E+00 1.83881795E-18 5.00455847E-19 2.73244912E-13
RS-stem    1.04912119E-22 9.61161696E-22 9.61161696E-22 6.27572530E-21 5.81445869E-18 8.22541387E-20 9.33155651E-19 2.01201323E-16 1.23279470E-22 8.70959160E-23 8.70959160E-23 1.11216683E-22 6.19721865E-22 6.19721865E-22 1.17215232E-21 1.17215232E-21 1.17216834E-21 5.19858205E-22 8.19961883E-13 5.34582207E-21 8.56667746E-20 8.56667746E-20 1.49112963E-20 1.40618224E-19 1.40618224E-19 3.86220664E-19 1.63325871E-20 5.35191034E-17 0.00000000E+00 1.00858612E-17 1.12628201E-17 2.73146210E-13
ET1-bas    1.00198515E-17 3.02234573E-20 3.02234573E-20 4.67867578E-21 1.14478714E-21 7.83768716E-22 5.96890850E-22 4.21100046E-23 1.19536786E-10 1.59640865E-17 1.59640865E-17 2.49522966E-19 3.04942251E-20 3.04942251E-20 1.72730647E-20 1.72730647E-20 1.72730647E-20 3.41519940E-20 1.22162753E-13 5.43105786E-21 1.29925298E-18 1.29925298E-18 1.22813236E-21 3.29407486E-19 3.29407486E-19 1.02186816E-19 1.75197999E-21 8.71215508E-23 0.00000000E+00 7.08498464E-22 1.67331312E-22 3.10915141E-13
ET2-bas    1.04567651E-16 2.26547755E-17 2.26547755E-17 4.43049864E-21 9.33331891E-22 5.86348529E-22 4.15572537E-22 7.82647192E-23 1.60329801E-17 3.01769941E-13 5.93221866E-09 3.67058633E-16 1.95930163E-17 1.95930163E-17 4.13297447E-20 4.13297447E-20 4.13297447E-20 2.98213110E-17 1.22162753E-13 6.44972167E-21 1.10901054E-18 1.10901054E-18 1.56252262E-21 5.05775073E-19 5.05775073E-19 2.84418370E-19 2.08843705E-21 5.13113042E-23 0.00000000E+00 6.81485769E-22 6.96754511E-23 3.10915167E-13
LN-ET      2.41319822E-16 1.43042317E-17 1.43042317E-17 7.57669261E-21 1.48909487E-21 6.80316180E-22 4.23150832E-22 1.28635546E-22 2.65368492E-19 4.03972779E-16 4.03972779E-16 1.32145914E-09 2.59744852E-17 2.59744852E-17 7.78497555E-20 7.78497555E-20 7.78497555E-20 3.54866070E-17 2.22301988E-13 9.90465504E-21 4.94655969E-19 4.94655969E-19 2.03941045E-21 2.49699205E-19 2.49699205E-19 1.92533548E-19 3.17727619E-21 2.18360633E-22 0.00000000E+00 8.88358797E-22 1.02496036E-22 1.75656488E-18
