  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          C-bone-S       C-bone-V       C-marrow       T-bone-S       T-bone-V       T-marrow       Kidneys        Ovaries        Testes         Ureters        UB-cont        Other          
O-mucosa   4.27668970E-15 1.08771762E-18 1.08771762E-18 1.33889082E-21 2.21420791E-22 8.68443743E-23 7.23094292E-23 1.12496822E-23 2.40710995E-17 2.63109423E-16 2.63109423E-16 5.55859110E-16 8.47967928E-19 8.47967928E-19 1.61579499E-20 1.61579499E-20 1.61579499E-20 7.34597919E-19 1.30207281E-13 2.33901745E-21 3.05935600E-18 3.05935600E-18 3.86348838E-22 1.79796245E-18 1.79796245E-18 7.85643262E-19 4.29912017E-22 7.03099130E-24 0.00000000E+00 1.30700751E-22 1.90819220E-23 3.64164315E-13
Oesophagus 9.97050450E-19 3.79747871E-15 3.78017520E-15 3.05406882E-18 2.02418977E-20 1.77457068E-21 1.52687419E-21 1.53496518E-22 8.69661397E-21 5.28686197E-17 5.28686197E-17 3.04029010E-17 3.43346421E-16 3.43346421E-16 1.04963388E-17 1.04963388E-17 1.04963388E-17 3.14923810E-16 8.27988787E-13 4.29399320E-18 1.36832281E-18 1.36832281E-18 2.75750595E-21 5.55730936E-19 5.55730936E-19 9.85226387E-19 5.72762072E-20 8.84882074E-23 0.00000000E+00 6.59423799E-21 1.28252626E-22 2.95084690E-13
St-stem    1.22713901E-21 9.33796522E-18 9.33796522E-18 2.39573450E-16 1.42316531E-17 2.67579495E-20 9.67826751E-20 2.07818312E-21 1.46922788E-21 9.03435277E-22 9.03435277E-22 1.50734366E-21 4.33068304E-20 4.33068304E-20 2.90891163E-18 2.90891163E-18 2.90891163E-18 2.35632096E-20 8.27988787E-13 1.16428563E-17 5.55234262E-20 5.55234262E-20 2.67579495E-21 1.23043950E-19 1.23043950E-19 2.25458275E-19 3.33525079E-18 1.32112269E-21 0.00000000E+00 4.12624532E-19 1.86829800E-21 2.95064089E-13
SI-stem    1.87054105E-22 1.50734366E-20 1.50734366E-20 4.59712499E-18 1.10466864E-16 1.03848273E-17 1.80901747E-17 1.54717377E-17 2.59584634E-22 1.33184125E-22 1.33184125E-22 2.21068312E-22 2.18681069E-21 2.18681069E-21 6.55258140E-21 6.55258140E-21 6.55258140E-21 1.71913537E-21 8.99157466E-13 1.81446487E-18 9.69621188E-20 9.69621188E-20 2.00816801E-21 2.10734273E-19 2.10734273E-19 5.78001189E-19 9.08962786E-18 1.60129529E-17 0.00000000E+00 4.50307723E-17 8.02450094E-18 2.89099362E-13
RC-stem    1.24527565E-22 1.90146305E-21 1.90146305E-21 1.44069312E-20 5.48296837E-18 3.60137231E-16 3.19441948E-18 3.55747267E-20 1.60618193E-22 7.68179538E-23 7.68179538E-23 1.27355407E-22 9.58582192E-22 9.58582192E-22 2.08635422E-21 2.08635422E-21 2.08635422E-21 8.32266598E-22 8.73939208E-13 7.04412914E-19 1.01182252E-19 1.01182252E-19 1.98397514E-21 7.96057409E-20 7.96057409E-20 9.80820402E-20 8.85635097E-18 3.91796238E-20 0.00000000E+00 4.00447991E-18 2.39877864E-19 2.91238578E-13
LC-stem    8.09195257E-23 1.63982763E-21 1.63982763E-21 5.51228820E-20 8.31225183E-18 3.44243640E-18 4.87269935E-16 7.30832805E-18 1.34028472E-22 5.10181059E-23 5.10181059E-23 8.29590963E-23 6.36704936E-22 6.36704936E-22 1.49189868E-21 1.49189868E-21 1.49189868E-21 4.84626344E-22 8.73939208E-13 9.54224272E-21 1.25642680E-19 1.25642680E-19 2.09788989E-21 8.97795616E-20 8.97795616E-20 1.05975964E-19 1.18088418E-19 4.91227311E-20 0.00000000E+00 3.46903253E-18 7.89184072E-19 2.91238673E-13
RS-stem    7.73386612E-24 1.46288326E-22 1.46288326E-22 1.20738418E-21 1.29694584E-17 3.02987595E-20 1.93190441E-18 4.71680758E-16 1.49185061E-23 6.89352455E-24 6.89352455E-24 1.36518254E-23 8.14979114E-23 8.14979114E-23 1.58873423E-22 1.58873423E-22 1.58873423E-22 6.23262675E-23 8.73939208E-13 9.74491805E-22 1.05232554E-19 1.05232554E-19 3.78626347E-21 2.08955857E-19 2.08955857E-19 7.08129964E-19 3.76367279E-21 1.23088811E-16 0.00000000E+00 2.30216739E-17 2.49250596E-17 2.91145545E-13
ET1-bas    2.15460694E-17 7.93782319E-21 7.93782319E-21 1.39458248E-21 2.46030221E-22 1.86301082E-22 1.03644797E-22 6.02033837E-24 1.22912571E-09 3.63437714E-17 3.63437714E-17 9.37321310E-20 8.01713092E-21 8.01713092E-21 6.47856084E-21 6.47856084E-21 6.47856084E-21 8.67258132E-21 1.30205679E-13 1.57681403E-21 2.83633303E-18 2.83633303E-18 3.10501803E-22 6.35999978E-19 6.35999978E-19 1.78722787E-19 4.14979732E-22 2.65128165E-23 0.00000000E+00 2.44283849E-22 1.19826779E-23 3.20411584E-13
ET2-bas    2.41928650E-16 5.24760865E-17 5.24760865E-17 8.59695859E-22 1.48105194E-22 7.74299853E-23 5.81141455E-23 1.05439235E-23 3.64943760E-17 3.26908090E-12 6.10877851E-09 8.58237879E-16 4.50948594E-17 4.50948594E-17 1.62765109E-20 1.62765109E-20 1.62765109E-20 6.82511162E-17 1.30207281E-13 1.38413629E-21 2.35311661E-18 2.35311661E-18 3.15644790E-22 9.32050150E-19 9.32050150E-19 5.09796536E-19 3.54481548E-22 6.03091273E-24 0.00000000E+00 9.10548941E-23 4.97876343E-24 3.20411607E-13
LN-ET      5.62347925E-16 3.29743943E-17 3.29743943E-17 1.79155375E-21 2.11230948E-22 6.00912313E-23 7.76446769E-23 1.46922788E-23 1.06158612E-19 9.46645977E-16 9.46645977E-16 1.40847335E-09 6.07160802E-17 6.07160802E-17 4.75317698E-20 4.75317698E-20 4.75317698E-20 8.30311943E-17 2.36929859E-13 2.09212206E-21 9.82086121E-19 9.82086121E-19 3.04189228E-22 3.89601256E-19 3.89601256E-19 3.13017220E-19 4.15444363E-22 2.87190135E-24 0.00000000E+00 6.49682565E-23 2.90971272E-23 4.00451705E-18
