  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        C-bone-S       C-bone-V       T-bone-S       T-bone-V       UB-cont        Other          
Bchiol-sec 2.11647514E-18 1.46618375E-15 1.46618375E-15 4.18648716E-17 1.13616743E-18 5.20659293E-19 4.08266612E-19 1.01191865E-19 9.36263874E-19 2.10365773E-18 2.10365773E-18 3.32419578E-18 2.33725506E-14 2.33725506E-14 5.58566789E-13 5.05278399E-13 1.37647789E-13 1.06954894E-14 9.54624816E-15 9.62299242E-16 2.94944669E-18 6.15235771E-16 6.15235771E-16 4.23279006E-16 4.23279006E-16 6.52614548E-20 1.47365328E-15
AI         2.11647514E-18 1.46618375E-15 1.46618375E-15 4.18648716E-17 1.13616743E-18 5.20659293E-19 4.08266612E-19 1.01191865E-19 9.36263874E-19 2.10365773E-18 2.10365773E-18 3.32419578E-18 2.33725506E-14 2.33725506E-14 1.34872819E-13 1.34872819E-13 1.41779802E-13 1.06954894E-14 1.79844311E-14 9.62299242E-16 2.94944669E-18 6.15235771E-16 6.15235771E-16 4.23279006E-16 4.23279006E-16 6.52614548E-20 1.44542412E-15
LN-Th      1.20563781E-17 9.07392653E-14 9.07392653E-14 2.59985179E-18 3.28125745E-19 6.54376943E-20 1.26567136E-19 1.11332040E-23 2.00928953E-18 4.11326770E-14 4.11326770E-14 1.25170038E-14 1.28377595E-12 1.28377595E-12 1.09305286E-14 1.09305286E-14 1.09305286E-14 5.41247261E-12 1.34725419E-14 4.05799261E-18 1.18336755E-18 3.88303493E-17 3.88303493E-17 5.40125737E-18 5.40125737E-18 1.29196308E-24 1.51202197E-15
R-marrow   6.23006327E-16 4.63878158E-16 4.63878158E-16 5.68996958E-18 8.78457346E-18 6.56876338E-18 6.33580692E-18 2.10477925E-17 1.05477687E-16 1.50820884E-16 1.50820884E-16 2.23567707E-17 2.18472786E-17 2.18472786E-17 1.67571639E-15 1.67571639E-15 1.67571639E-15 1.80308942E-17 5.20883598E-15 3.82583723E-16 5.51228820E-17 7.03563761E-15 6.44459470E-15 2.33885724E-14 2.68316496E-14 6.95697074E-17 2.14887810E-15
Endost-BS  9.19681347E-16 1.64399329E-16 1.64399329E-16 2.12672907E-18 3.88928342E-18 3.04285358E-18 3.06512384E-18 9.72553171E-18 2.16646305E-16 2.49891467E-16 2.49891467E-16 1.24721429E-17 7.75197071E-18 7.75197071E-18 5.81461891E-16 5.81461891E-16 5.81461891E-16 6.57741513E-18 1.93478833E-15 1.33214566E-16 1.95161118E-17 8.57116355E-15 9.12904141E-15 3.25482153E-14 4.10189224E-14 3.91075259E-17 1.72889512E-15
Brain      1.01127778E-17 1.02518467E-18 1.02518467E-18 7.78321316E-20 2.15652955E-20 1.67315291E-20 1.01206284E-20 3.06111840E-21 1.05218134E-17 1.15433612E-16 1.15433612E-16 6.38082808E-18 9.56755711E-19 9.56755711E-19 4.45549259E-19 4.45549259E-19 4.45549259E-19 1.12447155E-18 1.31537087E-15 1.07749573E-19 3.97884509E-20 1.34940110E-15 1.34940110E-15 9.54208250E-16 9.54208250E-16 1.73003017E-21 2.82328627E-15
Eye-lens   2.37250294E-17 9.10949485E-19 9.10949485E-19 1.31231072E-20 1.72249994E-24 1.51037177E-24 1.42319735E-24 5.13898108E-26 1.26163387E-16 1.87134214E-17 1.87134214E-17 4.75654155E-18 3.15724899E-19 3.15724899E-19 9.10821311E-19 9.10821311E-19 9.10821311E-19 8.89127841E-19 8.65463695E-16 3.64831608E-24 2.07994552E-24 7.66833710E-18 7.66833710E-18 4.02242429E-18 4.02242429E-18 8.25505413E-26 1.47293110E-15
P-gland    3.10565890E-17 2.81726713E-18 2.81726713E-18 1.82327684E-23 8.61426210E-25 7.38875731E-25 7.45845198E-25 8.24480020E-26 1.51040382E-17 8.29062245E-17 8.29062245E-17 2.23279315E-17 1.93815290E-18 1.93815290E-18 9.01608796E-19 9.01608796E-19 8.36480322E-19 2.91708273E-18 7.73146286E-16 1.81798966E-19 1.56857885E-24 7.89408377E-15 7.89408377E-15 3.53472177E-15 3.53472177E-15 8.84305290E-26 2.37799648E-15
Tongue     1.54699753E-12 1.08297517E-17 1.08297517E-17 3.81718548E-19 7.36488488E-20 3.11879675E-20 2.94383908E-20 4.69325558E-21 7.90017204E-17 4.45741520E-14 4.45741520E-14 8.51973369E-14 9.64862724E-18 9.64862724E-18 2.06280223E-18 2.06280223E-18 2.06280223E-18 1.09933340E-17 1.16620824E-15 5.25209474E-19 1.72778712E-19 1.02015383E-15 1.02015383E-15 5.32723682E-16 5.32723682E-16 2.48097029E-21 9.18709046E-16
Tonsils    2.52759363E-13 7.08178029E-18 7.08178029E-18 3.55555006E-19 4.56251798E-21 8.81934069E-24 3.66305610E-24 2.91772360E-25 3.06768732E-17 3.23591585E-14 3.23591585E-14 8.79803174E-17 4.86068303E-18 4.86068303E-18 1.36346821E-18 1.36346821E-18 1.36346821E-18 7.71560131E-18 7.53135101E-16 3.78193760E-19 1.72314081E-20 6.05959169E-16 6.05959169E-16 9.07440719E-17 9.07440719E-17 3.06352166E-25 2.78852540E-15
S-glands   8.27203720E-20 8.50243018E-18 8.50243018E-18 2.86821635E-19 7.31986372E-20 5.68436196E-20 4.35743939E-20 4.22830397E-21 1.10313055E-17 6.32379059E-16 6.32379059E-16 3.18320424E-14 7.08370290E-18 7.08370290E-18 1.76479740E-18 1.76479740E-18 1.76479740E-18 8.98084008E-18 9.47895675E-16 4.05062259E-19 1.36481404E-19 1.41826265E-15 1.41826265E-15 3.58871511E-16 3.58871511E-16 2.41047452E-22 2.79645850E-15
Thyroid    1.85516015E-17 1.96538990E-14 1.96538990E-14 9.74427718E-19 1.18399240E-19 3.94856395E-20 3.35559843E-20 2.95313170E-20 3.75053494E-18 6.81101246E-17 6.81101246E-17 6.57629361E-17 5.15083719E-14 5.15083719E-14 1.11974512E-17 1.11974512E-17 1.11974512E-17 2.11022665E-13 3.82840072E-15 1.42217196E-18 4.38932270E-19 8.36223974E-18 8.36223974E-18 5.01849741E-18 5.01849741E-18 1.23047154E-20 2.65474684E-15
Breast     3.20146906E-18 5.70006329E-18 5.70006329E-18 4.11919575E-18 7.40878451E-19 3.45220968E-19 3.01193158E-19 5.92116364E-20 5.50828276E-17 1.81206161E-18 1.81206161E-18 3.14074657E-18 6.60689518E-18 6.60689518E-18 1.25669917E-17 1.25669917E-17 1.25669917E-17 6.33580692E-18 1.05911877E-15 5.18977008E-18 1.35138780E-18 1.63966742E-18 1.63966742E-18 1.95593706E-18 1.95593706E-18 5.20915641E-20 2.83850747E-15
