  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          C-bone-S       C-bone-V       C-marrow       T-bone-S       T-bone-V       T-marrow       Kidneys        Ovaries        Testes         Ureters        UB-cont        Other          
O-mucosa   3.25802589E-15 3.83769334E-19 3.83769334E-19 1.48872637E-21 4.18568607E-22 4.57052886E-22 5.69573741E-22 5.27051977E-23 4.48945873E-18 1.55870944E-16 1.55870944E-16 1.04093406E-16 2.49827380E-20 2.49827380E-20 7.94359102E-21 7.94359102E-21 7.94375124E-21 6.18680450E-20 1.34312057E-13 1.70359426E-21 8.44939814E-19 8.44939814E-19 2.52374840E-22 1.09758702E-18 1.09758702E-18 6.12464006E-19 5.10116972E-22 0.00000000E+00 8.95776874E-24 2.02354890E-22 4.48753612E-23 2.87001171E-13
Oesophagus 3.66930459E-19 3.20307123E-15 3.19361839E-15 3.46134208E-18 8.26658980E-20 1.20480467E-20 2.50948903E-20 6.57340969E-22 5.21572534E-21 4.82495449E-17 4.82495449E-17 5.23575254E-17 6.64951307E-17 6.64951307E-17 4.82415340E-18 4.82415340E-18 4.82415340E-18 2.36529315E-16 6.83071923E-13 2.41303801E-18 9.02425906E-19 9.02425906E-19 2.91852469E-21 2.57421696E-19 2.57421696E-19 6.20522953E-19 5.14635109E-20 0.00000000E+00 4.32010868E-23 1.05450450E-20 3.75598234E-22 2.21673445E-13
St-stem    1.50369070E-21 1.21318406E-17 1.21318406E-17 2.08266922E-16 6.03219447E-18 1.02398304E-18 1.77120611E-17 5.27981240E-21 1.79796245E-21 1.43027897E-21 1.43027897E-21 2.75301986E-21 4.61282632E-19 4.61282632E-19 2.16742435E-18 2.16742435E-18 2.16742435E-18 4.37474290E-20 6.83071923E-13 6.09548044E-18 3.97291703E-20 3.97291703E-20 3.53968851E-21 9.51340354E-20 9.51340354E-20 9.19008433E-20 4.20010566E-19 0.00000000E+00 1.57151083E-22 8.47503296E-20 2.14787780E-21 2.21762394E-13
SI-stem    2.34654768E-22 5.84586135E-20 5.84586135E-20 2.38724297E-18 8.44202813E-17 6.01136618E-18 6.59071320E-18 7.26811342E-18 2.35503922E-22 2.31690742E-22 2.31690742E-22 3.82840072E-22 9.18992411E-21 9.18992411E-21 1.65264505E-20 1.65264505E-20 1.65264505E-20 3.78514195E-21 7.40029298E-13 2.81758757E-19 7.26074340E-20 7.26074340E-20 1.47211180E-21 5.35767817E-20 5.35767817E-20 1.33400419E-19 3.00071634E-18 0.00000000E+00 3.18897208E-21 3.02731247E-17 4.33420783E-18 2.16021947E-13
RC-stem    3.30224596E-22 9.72232736E-21 9.72232736E-21 1.44588417E-19 9.34629654E-18 2.87142070E-16 4.13649925E-18 1.54924058E-20 3.77120302E-22 2.80493038E-22 2.80493038E-22 4.61619089E-22 6.53784137E-21 6.53784137E-21 8.52165630E-21 8.52165630E-21 8.52165630E-21 3.29984269E-21 7.49610313E-13 3.06175927E-18 4.90298049E-20 4.90298049E-20 1.76607914E-21 1.01449815E-19 1.01449815E-19 8.88278688E-20 4.18184085E-18 0.00000000E+00 8.16340964E-22 2.16021456E-18 2.07898421E-20 2.15293763E-13
LC-stem    5.03804396E-22 2.20251202E-20 2.20251202E-20 6.38659591E-18 1.37727897E-17 4.06792610E-18 3.95192852E-16 5.46037769E-18 6.22157173E-22 4.85843998E-22 4.85843998E-22 8.14097917E-22 3.92917762E-20 3.92917762E-20 9.44691322E-20 9.44691322E-20 9.44691322E-20 6.59824343E-21 7.49610313E-13 7.45636915E-20 4.33821327E-20 4.33821327E-20 3.31490315E-21 4.66041097E-19 4.66041097E-19 3.19698296E-19 1.34481888E-18 0.00000000E+00 4.39412923E-22 2.49635118E-19 8.79130260E-21 2.15293935E-13
RS-stem    2.88087354E-23 4.90810745E-22 4.90810745E-22 2.59937113E-21 1.72185907E-18 9.05822520E-21 2.19898723E-19 4.64919573E-16 2.43194369E-23 3.23703737E-23 3.23703737E-23 3.94407786E-23 3.40446482E-22 3.40446482E-22 4.27028099E-22 4.27028099E-22 4.27028099E-22 2.15636933E-22 7.49610313E-13 1.76127261E-21 2.14323149E-19 2.14323149E-19 1.28138871E-21 7.39949189E-20 7.39949189E-20 1.84266318E-19 5.76815579E-21 0.00000000E+00 2.33020548E-20 1.35121156E-18 1.18327142E-17 2.15361083E-13
ET1-bas    4.26114858E-18 4.66089162E-21 4.66089162E-21 1.46150539E-21 3.53840677E-22 5.02074046E-22 7.65792295E-22 4.76038678E-23 1.15004228E-10 1.55358247E-16 1.55358247E-16 4.62660504E-20 2.22718553E-20 2.22718553E-20 6.23503002E-21 6.23503002E-21 6.23503002E-21 4.59824652E-21 1.34312057E-13 1.63357915E-21 1.93094310E-18 1.93094310E-18 1.95689836E-22 2.55386932E-19 2.55386932E-19 1.92966136E-19 4.04837955E-22 0.00000000E+00 8.74868471E-24 1.75005738E-22 3.82183179E-23 2.56211177E-13
ET2-bas    1.43402806E-16 4.74933176E-17 4.74933176E-17 1.50966682E-21 3.98557423E-22 3.85083119E-22 5.77568602E-22 4.63445571E-23 1.55387087E-16 2.91756338E-13 5.13161107E-09 1.08491381E-15 7.29102454E-18 7.29102454E-18 1.71416862E-20 1.71416862E-20 1.71416862E-20 1.12325389E-17 1.34312057E-13 1.66498181E-21 1.50067861E-18 1.50067861E-18 2.64519338E-22 8.21355776E-19 8.21355776E-19 5.36600949E-19 5.68308022E-22 0.00000000E+00 8.13408981E-24 1.94007551E-22 4.05174412E-23 2.56211961E-13
LN-ET      1.04873666E-16 5.58903246E-17 5.58903246E-17 3.07938321E-21 8.76086125E-22 7.29486976E-22 8.65399608E-22 6.76422891E-23 5.82583414E-20 1.17622185E-15 1.17622185E-15 1.05343104E-09 2.60097331E-17 2.60097331E-17 4.56412016E-20 4.56412016E-20 4.56508146E-20 4.65304095E-17 1.77264807E-13 4.25089466E-21 1.62717044E-19 1.62717044E-19 4.41704036E-22 2.18440742E-18 2.18440742E-18 7.95785039E-19 9.45588541E-22 0.00000000E+00 9.55041382E-24 2.84146000E-22 5.34774468E-23 2.96560656E-18
