  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          C-bone-S       C-bone-V       C-marrow       T-bone-S       T-bone-V       T-marrow       Kidneys        Ovaries        Testes         Ureters        UB-cont        Other          
Bronch-bas 9.02842472E-21 2.81374235E-17 2.81374235E-17 3.72185598E-19 1.85179558E-20 9.26907163E-21 3.72778403E-20 5.75613946E-22 1.31581948E-20 3.98108813E-20 3.98108813E-20 7.90465813E-20 1.54715775E-11 5.19633900E-09 1.40765624E-15 1.02358249E-16 9.86540172E-17 2.61843703E-16 5.49145991E-13 1.19258007E-18 1.75918978E-19 1.75918978E-19 6.59920473E-21 4.65928944E-19 4.65928944E-19 5.42993633E-19 2.03876958E-20 0.00000000E+00 4.41447687E-23 4.89512982E-21 3.23126954E-22 2.90239319E-13
Bronch-sec 9.02842472E-21 2.81374235E-17 2.81374235E-17 3.72185598E-19 1.85179558E-20 9.26907163E-21 3.72778403E-20 5.75613946E-22 1.31581948E-20 3.98108813E-20 3.98108813E-20 7.90465813E-20 3.26844003E-09 9.93974271E-10 1.40765624E-15 1.02358249E-16 9.86540172E-17 2.61843703E-16 5.49145991E-13 1.19258007E-18 1.75918978E-19 1.75918978E-19 6.59920473E-21 4.65928944E-19 4.65928944E-19 5.42993633E-19 2.03876958E-20 0.00000000E+00 4.41447687E-23 4.89512982E-21 3.23126954E-22 2.71631657E-13
Bchiol-sec 7.67122102E-21 4.99013889E-18 4.99013889E-18 1.36391682E-18 2.62692857E-20 1.10066320E-20 7.09379661E-20 6.31049253E-22 9.52333704E-21 1.66866681E-20 1.66866681E-20 4.08138438E-20 9.29406558E-17 9.29406558E-17 2.00031734E-09 9.49049242E-10 5.99630572E-13 2.31322241E-17 5.49145991E-13 3.19105491E-18 6.69629663E-19 6.69629663E-19 7.71944653E-21 9.76077959E-19 9.76077959E-19 8.54681047E-19 3.54032938E-20 0.00000000E+00 4.77528702E-23 6.47567693E-21 3.78562260E-22 1.03407466E-13
AI         7.72201001E-21 4.98917758E-18 4.98917758E-18 1.36391682E-18 2.62484574E-20 1.10436423E-20 7.10004510E-20 6.29783534E-22 9.56146884E-21 1.67379378E-20 1.67379378E-20 4.08955548E-20 9.29422580E-17 9.29422580E-17 1.40765624E-15 1.40765624E-15 1.52762722E-11 2.31306219E-17 1.78113960E-12 3.19137534E-18 6.69517510E-19 6.69517510E-19 7.73402634E-21 9.76093981E-19 9.76093981E-19 8.54632982E-19 3.52975502E-20 0.00000000E+00 4.76807723E-23 6.46061647E-21 3.77841281E-22 1.24098913E-13
LN-Th      4.93758750E-20 2.53896908E-16 2.53896908E-16 3.99326468E-20 7.02233954E-21 4.08170482E-21 7.37577968E-21 2.97812565E-22 4.81293817E-21 1.23547033E-17 1.23547033E-17 4.58542911E-17 4.82543514E-16 4.82543514E-16 2.19241830E-17 2.19241830E-17 2.19241830E-17 1.05341502E-09 1.77280828E-13 1.32328563E-19 6.03475796E-19 6.03475796E-19 3.33220666E-21 2.12865168E-19 2.12865168E-19 4.12912924E-19 1.00550994E-20 0.00000000E+00 2.65304404E-23 2.68268431E-21 1.67539595E-22 2.62468767E-18
R-marrow   6.44042904E-19 1.17189597E-18 1.17189597E-18 8.58590358E-20 1.03026357E-19 8.77992715E-20 3.09540497E-19 3.08851561E-19 2.01521759E-19 6.17430753E-19 6.17430753E-19 7.97034737E-19 1.00240172E-18 1.00240172E-18 1.60874541E-18 1.60874541E-18 1.60874541E-18 7.01240605E-19 4.82094905E-13 4.68957058E-19 1.44487480E-17 2.44908698E-18 9.68788056E-20 1.95401444E-12 2.48625747E-13 3.65696783E-12 3.35768126E-19 0.00000000E+00 7.07729420E-21 6.72817994E-19 1.81061965E-19 2.15497984E-13
Endost-BS  1.00337905E-18 4.78137529E-19 4.78137529E-19 3.48393277E-20 4.41447687E-20 3.70503313E-20 1.18077203E-19 1.36542287E-19 3.78434086E-19 8.43433768E-19 8.43433768E-19 3.82663832E-19 3.62556517E-19 3.62556517E-19 5.82359109E-19 5.82359109E-19 5.82359109E-19 2.61651442E-19 1.84170187E-13 1.75342195E-19 2.16101565E-12 2.35391769E-18 2.92365165E-13 1.43812964E-11 1.79379679E-12 4.06920784E-12 1.29146640E-19 0.00000000E+00 7.81701908E-21 2.60962506E-19 9.81973969E-20 1.93399737E-13
Brain      2.14050779E-19 3.89232756E-21 3.89232756E-21 2.96306520E-22 1.20405165E-22 1.14326508E-22 1.39386150E-22 2.14018735E-23 4.22029308E-19 7.14843083E-18 7.14843083E-18 3.21476712E-20 1.91155677E-21 1.91155677E-21 1.47223997E-21 1.47223997E-21 1.47223997E-21 3.35912322E-21 1.32900540E-13 3.82647810E-22 9.66192530E-19 9.66192530E-19 1.13733702E-22 8.17366357E-19 8.17366357E-19 5.58166245E-19 1.58178078E-22 0.00000000E+00 4.45805608E-24 7.04348827E-23 1.93222484E-23 2.74282905E-13
Eye-lens   4.99334324E-19 3.61418972E-21 3.61418972E-21 3.89232756E-22 1.39270793E-22 1.44652504E-22 1.57378592E-22 3.32387534E-23 4.92012377E-17 1.20653503E-17 1.20653503E-17 3.58422902E-20 2.51862144E-21 2.51862144E-21 1.77937721E-21 1.77937721E-21 1.77937721E-21 3.35159299E-21 1.33102414E-17 4.29223081E-22 5.70390851E-19 5.70390851E-19 5.28910502E-23 3.39613350E-19 3.39613350E-19 2.81646605E-19 6.66986072E-22 0.00000000E+00 4.78329790E-24 7.76719139E-23 3.17823750E-23 2.86996848E-13
P-gland    5.24184081E-18 7.26394776E-21 7.26394776E-21 5.12664432E-22 1.63822546E-22 1.07647034E-22 1.63550176E-22 2.09228227E-23 8.02273854E-18 5.56243633E-16 5.56243633E-16 1.93895398E-19 3.16477921E-21 3.16477921E-21 2.89593400E-21 2.89593400E-21 2.89641465E-21 6.43882687E-21 1.34312057E-13 4.33645088E-22 1.01693346E-18 1.01693346E-18 7.00455538E-23 6.13056811E-19 6.13056811E-19 4.39957663E-19 2.19754527E-22 0.00000000E+00 3.99694968E-24 8.40854264E-23 2.12801081E-23 2.74306850E-13
Tongue     1.96779316E-14 3.68580701E-19 3.68580701E-19 1.63486089E-21 4.69453732E-22 4.50932572E-22 6.74356083E-22 5.23991820E-23 7.42801063E-19 1.13815413E-16 1.13815413E-16 7.44787762E-17 3.01561658E-20 3.01561658E-20 9.64125723E-21 9.64125723E-21 9.64125723E-21 6.68796531E-20 1.34312057E-13 1.98862146E-21 7.51693142E-19 7.51693142E-19 2.91195577E-22 8.10028388E-19 8.10028388E-19 4.19449804E-19 5.52029909E-22 0.00000000E+00 9.26682858E-24 2.18056220E-22 4.52839162E-23 1.27235950E-17
Tonsils    5.06191639E-17 2.87670788E-20 2.87670788E-20 6.66825854E-22 2.25442253E-22 1.69430164E-22 2.41864562E-22 3.50219758E-23 1.09582463E-18 2.15588868E-16 2.15588868E-16 1.24016471E-18 1.00929108E-20 1.00929108E-20 3.68019939E-21 3.68019939E-21 3.68019939E-21 1.75165955E-20 1.34312057E-13 1.05921490E-21 1.90562871E-18 1.90562871E-18 1.71496971E-22 1.19267620E-18 1.19267620E-18 1.53025478E-18 3.95112743E-22 0.00000000E+00 6.09772349E-24 1.28941561E-22 2.55226714E-23 2.74141884E-13
S-glands   4.28405971E-18 3.99182272E-19 3.99182272E-19 1.43896277E-21 4.24512682E-22 4.05943457E-22 5.95224587E-22 5.16285351E-23 5.13048955E-20 5.45396898E-18 5.45396898E-18 1.77777503E-17 3.74444667E-20 3.74444667E-20 1.25210092E-20 1.25210092E-20 1.25210092E-20 8.95472460E-20 1.34312057E-13 1.87246366E-21 7.05774764E-19 7.05774764E-19 3.66049262E-22 3.11126652E-19 3.11126652E-19 1.40631041E-19 5.71977006E-22 0.00000000E+00 8.86051663E-24 2.14707671E-22 4.25249683E-23 2.73952670E-13
Thyroid    1.06054470E-19 1.35649874E-16 1.35649874E-16 7.75581594E-21 1.82487902E-21 1.35021821E-21 2.22974902E-21 1.49566379E-22 8.93742110E-21 7.32531112E-18 7.32531112E-18 2.22958880E-17 7.39869080E-17 7.39869080E-17 1.01326448E-18 1.01326448E-18 1.01326448E-18 3.13401743E-16 4.31690433E-13 1.06145794E-20 2.49218553E-19 2.49218553E-19 1.46738538E-21 1.27776779E-19 1.27776779E-19 2.22558336E-19 2.51253317E-21 0.00000000E+00 1.54294402E-23 7.22629661E-22 9.03259038E-23 2.45896856E-13
Breast     1.03739325E-20 2.54762083E-20 2.54762083E-20 1.29106586E-19 1.29282825E-20 1.03619162E-20 2.50820729E-20 5.20418967E-22 3.77857303E-19 7.40766299E-21 7.40766299E-21 1.49891621E-20 6.35775674E-19 6.35775674E-19 7.60841570E-19 7.60841570E-19 7.60841570E-19 2.70527500E-20 1.34312057E-13 1.65456766E-19 5.75293511E-21 5.75293511E-21 2.33693462E-21 1.34424209E-19 1.34424209E-19 9.54881164E-20 9.61337936E-21 0.00000000E+00 5.15195871E-23 3.87838862E-21 3.20739711E-22 2.74156413E-13
Thymus     3.19826470E-20 1.47767135E-17 1.47767135E-17 1.88496064E-20 3.92661413E-21 2.99623025E-21 4.38980336E-21 2.01345519E-22 8.43305594E-21 3.88832212E-19 3.88832212E-19 8.63460974E-19 3.13193460E-17 3.13193460E-17 1.15254168E-17 1.15254168E-17 1.15254168E-17 9.43521733E-17 1.34313659E-13 2.61763594E-20 9.85226387E-19 9.85226387E-19 2.41287779E-21 4.99606694E-19 4.99606694E-19 2.08715531E-18 4.92733357E-21 0.00000000E+00 2.16037478E-23 1.36886755E-21 1.43921912E-22 2.74156385E-13
Ht-wall    5.97996352E-21 5.03339765E-17 5.03339765E-17 1.47767135E-17 5.22501796E-20 1.55049027E-20 5.63341275E-20 9.44723366E-22 6.80268115E-21 1.07060637E-20 1.07060637E-20 2.11775688E-20 3.45253011E-17 3.45253011E-17 1.64543525E-17 1.64543525E-17 1.64543525E-17 5.48296837E-17 4.35391460E-13 1.34935304E-18 7.63405053E-20 7.63405053E-20 4.51845813E-21 1.60538084E-19 1.60538084E-19 4.26419272E-19 4.00351861E-20 0.00000000E+00 5.85291092E-23 1.06812300E-20 5.06255726E-22 2.45296827E-13
Adrenals   7.52734557E-22 2.25538384E-19 2.25538384E-19 2.01681976E-18 3.05454947E-18 1.07445160E-19 4.59920782E-19 3.73915949E-21 4.87750588E-22 9.28525361E-22 9.28525361E-22 1.60602171E-21 4.72882390E-20 4.72882390E-20 1.57875267E-19 1.57875267E-19 1.57875267E-19 2.81550474E-20 5.80901129E-13 1.13687239E-17 2.21244551E-19 2.21244551E-19 3.33204644E-21 1.66610333E-19 1.66610333E-19 1.85275689E-19 1.31732553E-16 0.00000000E+00 1.60217649E-22 2.37859121E-19 1.87022061E-21 2.31474074E-13
Liver      1.84602775E-21 2.62676835E-18 2.62676835E-18 2.77529011E-18 4.09259962E-19 2.86757548E-18 1.87246366E-19 2.47007549E-21 2.17463415E-21 1.87630888E-21 1.87630888E-21 3.57173204E-21 1.14159881E-18 1.14159881E-18 3.42288985E-18 3.42288985E-18 3.42288985E-18 1.16531102E-19 7.11638730E-13 7.12151427E-12 9.65487573E-20 9.65487573E-20 4.49138135E-21 3.54529613E-19 3.54529613E-19 2.69966738E-19 3.11030521E-18 0.00000000E+00 1.40733580E-22 5.63693753E-20 1.75566499E-21 4.08738866E-19
Pancreas   7.82358800E-22 1.67683791E-19 1.67683791E-19 6.87317691E-18 2.95313170E-17 3.88335537E-18 3.25209783E-18 9.06639630E-21 8.07545015E-22 7.61915028E-22 7.61915028E-22 1.33044735E-21 2.97716435E-20 2.97716435E-20 3.98220966E-20 3.98220966E-20 3.98220966E-20 1.47182341E-20 5.80901129E-13 4.81133599E-18 4.65592487E-20 4.65592487E-20 1.76623936E-21 3.46086143E-20 3.46086143E-20 5.23975798E-20 1.86925931E-18 0.00000000E+00 2.86789591E-22 8.57276573E-19 4.67258751E-21 2.31476854E-13
Kidneys    4.65015704E-22 5.57509352E-20 5.57509352E-20 3.77200410E-19 4.45629368E-18 1.70743948E-18 1.18061181E-18 9.83480015E-21 3.64014498E-22 5.26603368E-22 5.26603368E-22 9.15147188E-22 1.99647212E-20 1.99647212E-20 3.45941947E-20 3.45941947E-20 3.45941947E-20 1.10899452E-20 7.95496648E-13 3.08050473E-18 6.30873014E-20 6.30873014E-20 3.41199505E-21 2.43995457E-19 2.43995457E-19 1.95129074E-19 3.98253009E-11 0.00000000E+00 2.84754827E-22 1.37223212E-17 4.77993333E-21 1.11785384E-18
Spleen     1.27344192E-21 2.94576169E-19 2.94576169E-19 4.86196477E-18 1.27118285E-18 1.20599029E-20 4.97411712E-18 3.03163835E-21 7.87966418E-22 1.67315291E-21 1.67315291E-21 3.15324354E-21 6.81597921E-19 6.81597921E-19 6.79915636E-18 6.79915636E-18 6.79915636E-18 1.17096671E-19 1.03074422E-12 4.72465824E-20 1.68180466E-19 1.68180466E-19 1.00722427E-20 6.72401428E-19 6.72401428E-19 4.97363647E-19 4.16325560E-18 0.00000000E+00 1.07033400E-22 6.23278697E-20 1.14097396E-21 1.88473402E-13
GB-wall    1.07087874E-21 9.35671068E-20 9.35671068E-20 2.19850658E-19 3.00808635E-18 2.62676835E-17 1.55994311E-19 4.31017519E-21 1.00277022E-21 1.05317469E-21 1.05317469E-21 1.82343706E-21 3.76094909E-20 3.76094909E-20 5.06447988E-20 5.06447988E-20 5.06447988E-20 1.69189837E-20 1.34313659E-13 4.93694663E-17 1.66289898E-20 1.66289898E-20 2.16630283E-21 6.28261466E-20 6.28261466E-20 5.52654757E-20 1.24719826E-18 0.00000000E+00 2.07081311E-22 1.51870309E-19 3.21044124E-21 2.74107878E-13
Ureters    1.78129982E-22 1.10125601E-20 1.10125601E-20 7.22950096E-20 1.51633187E-17 9.87902022E-19 2.22285966E-19 1.29540776E-18 1.58918284E-22 1.78626657E-22 1.78626657E-22 2.64503316E-22 4.60097022E-21 4.60097022E-21 6.07337041E-21 6.07337041E-21 6.07513280E-21 2.58366980E-21 1.34312057E-13 5.98364853E-20 2.31690742E-19 2.31690742E-19 1.12975873E-21 1.20897033E-19 1.20897033E-19 3.40142068E-19 1.25540141E-17 0.00000000E+00 3.82407484E-21 1.00334700E-09 6.31305601E-18 3.16076755E-18
UB-wall    2.60449810E-23 3.61835538E-22 3.61835538E-22 1.67892074E-21 1.77328894E-18 1.13160123E-20 4.95745449E-21 8.28741810E-18 1.67571639E-23 2.42649629E-23 2.42649629E-23 3.36360932E-23 2.72482155E-22 2.72482155E-22 3.38075261E-22 3.38075261E-22 3.38059239E-22 1.91396003E-22 6.57373013E-14 1.54004408E-21 2.71248479E-19 2.71248479E-19 1.35377504E-21 2.79243340E-19 2.79243340E-19 3.15068006E-19 4.13185294E-21 0.00000000E+00 3.98717641E-20 7.38298947E-18 1.45871760E-13 2.80690465E-13
Ovaries    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Testes     7.15099431E-24 5.84746352E-23 5.84746352E-23 1.72618495E-22 1.27699875E-21 6.07561346E-22 3.03019639E-22 1.08324754E-20 4.91483659E-24 7.27035646E-24 7.27035646E-24 5.90386014E-24 5.10869995E-23 5.10869995E-23 6.49266000E-23 6.49266000E-23 6.49266000E-23 3.80196480E-23 1.80469159E-13 1.65504831E-22 7.72233045E-21 7.72233045E-21 1.43676779E-20 7.61963094E-21 7.61963094E-21 9.65151116E-21 3.46166252E-22 0.00000000E+00 4.51172899E-10 3.93702828E-21 3.71640858E-20 1.77982155E-18
Prostate   1.70391469E-23 2.15684999E-22 2.15684999E-22 7.79442839E-22 2.14291105E-20 4.17366975E-21 1.81350357E-21 4.15524472E-19 1.08196580E-23 1.40300993E-23 1.40300993E-23 1.48178895E-23 1.47304106E-22 1.47304106E-22 1.76447697E-22 1.76447697E-22 1.76463718E-22 1.09032916E-22 1.34312057E-13 6.92588852E-22 2.85123328E-19 2.85123328E-19 2.65272361E-21 1.94632400E-19 1.94632400E-19 2.14210996E-19 1.66353985E-21 0.00000000E+00 1.70263295E-19 8.18103358E-20 4.59824652E-17 2.74102061E-13
Uterus     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
LN-Sys     3.76078887E-20 2.93550776E-17 2.93550776E-17 9.72793498E-18 1.07512451E-17 4.34189828E-18 6.39604875E-18 1.51346397E-17 4.32427434E-21 2.61347029E-19 2.61347029E-19 1.09757100E-18 8.16613334E-18 8.16613334E-18 6.22541696E-18 6.22541696E-18 6.22541696E-18 9.78128745E-18 1.77280828E-13 1.45375086E-18 4.82383297E-19 4.82383297E-19 1.80148724E-20 3.29824052E-19 3.29824052E-19 5.86380572E-19 8.11518412E-19 0.00000000E+00 1.06397336E-18 3.98204944E-17 7.56387520E-18 2.70110478E-13
Skin       1.44955315E-19 4.32090977E-20 4.32090977E-20 2.60513897E-20 2.33741528E-20 4.63701919E-20 7.99069501E-20 1.31323998E-19 4.00496056E-18 1.90258458E-19 1.90258458E-19 3.93879068E-19 1.18285486E-19 1.18285486E-19 5.83785047E-20 5.83785047E-20 5.83785047E-20 2.25666558E-19 1.45368677E-13 4.39685293E-20 2.27685301E-19 2.27685301E-19 4.93662619E-20 1.28268647E-19 1.28268647E-19 1.20477263E-19 3.17935902E-20 0.00000000E+00 7.83512367E-18 1.18017922E-20 2.11663536E-20 2.73047664E-13
Adipose    4.25890554E-19 1.58897455E-18 1.58897455E-18 7.99854568E-19 1.55063447E-18 1.24239174E-18 1.76351566E-18 1.59426174E-18 1.90194371E-18 1.97644491E-18 1.97644491E-18 1.78690744E-18 1.11819101E-18 1.11819101E-18 8.14530504E-19 8.14530504E-19 8.14530504E-19 2.66073449E-18 4.79915945E-14 3.80805307E-19 2.44059544E-19 2.44059544E-19 2.47632398E-20 1.71064384E-19 1.71064384E-19 1.86589474E-19 1.60698302E-18 0.00000000E+00 2.05623330E-18 4.86052281E-18 9.94502989E-19 2.82406372E-13
Muscle     1.31649240E-18 3.95449201E-19 3.95449201E-19 9.87405347E-20 1.71096427E-19 3.33909602E-19 3.30849445E-19 8.42344288E-19 1.07398696E-19 1.57700629E-18 1.57700629E-18 2.73619700E-18 4.35663830E-19 4.35663830E-19 5.75950404E-19 5.75950404E-19 5.75950404E-19 4.95793514E-19 7.89953117E-14 2.02226716E-19 6.38210982E-19 6.38210982E-19 1.32386241E-19 3.98253009E-19 3.98253009E-19 3.70006638E-19 4.00928644E-19 0.00000000E+00 7.47591571E-21 1.09404621E-18 1.87534758E-19 2.79397944E-13
