  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          C-bone-S       C-bone-V       C-marrow       T-bone-S       T-bone-V       T-marrow       Kidneys        Ovaries        Testes         Ureters        UB-cont        Other          
O-mucosa   3.46342491E-15 3.93734872E-19 3.93734872E-19 8.77335823E-22 1.81814988E-22 2.23327381E-22 2.95473388E-22 1.10546973E-23 4.61619089E-18 1.64992135E-16 1.64992135E-16 1.10216925E-16 2.14851867E-20 2.14851867E-20 5.66609715E-21 5.66609715E-21 5.66593693E-21 5.61610924E-20 1.42939777E-13 1.03125692E-21 8.73234251E-19 8.73234251E-19 1.48013870E-22 1.14836000E-18 1.14836000E-18 6.39140244E-19 2.37490621E-22 0.00000000E+00 5.60585531E-25 7.81045016E-23 8.66489088E-24 3.05433865E-13
Oesophagus 3.76014800E-19 3.41087352E-15 3.39485176E-15 3.62524474E-18 7.84810130E-20 8.65111216E-21 1.94023573E-20 3.69477920E-22 3.40254221E-21 5.11030212E-17 5.11030212E-17 5.54865761E-17 7.04460980E-17 7.04460980E-17 5.05134203E-18 5.05134203E-18 5.05134203E-18 2.50500294E-16 7.26955537E-13 2.52583123E-18 9.39340053E-19 9.39340053E-19 1.99983669E-21 2.62468552E-19 2.62468552E-19 6.40470051E-19 4.36032331E-20 0.00000000E+00 9.28829775E-24 7.98508739E-21 1.70295339E-22 2.35913858E-13
St-stem    1.01890414E-21 1.28169312E-17 1.28169312E-17 2.20635724E-16 6.32090668E-18 1.06051266E-18 1.86557430E-17 3.71672901E-21 1.35874179E-21 9.57444647E-22 9.57444647E-22 2.03252109E-21 4.66649924E-19 4.66649924E-19 2.27316800E-18 2.27316800E-18 2.27316800E-18 3.70951922E-20 7.26955537E-13 6.41110921E-18 3.79523566E-20 3.79523566E-20 2.58254828E-21 9.57684973E-20 9.57684973E-20 9.13016293E-20 4.09131788E-19 0.00000000E+00 6.74003605E-23 7.35527182E-20 1.36686483E-21 2.35812628E-13
SI-stem    1.38106011E-22 5.72089158E-20 5.72089158E-20 2.49651140E-18 8.95328264E-17 6.31610015E-18 6.92252395E-18 7.65680143E-18 1.53036694E-22 1.33749693E-22 1.33749693E-22 2.57982458E-22 7.29743325E-21 7.29743325E-21 1.44367317E-20 1.44367317E-20 1.44367317E-20 2.67130886E-21 7.87565874E-13 2.84306218E-19 7.07489093E-20 7.07489093E-20 1.01819918E-21 4.95505122E-20 4.95505122E-20 1.30814506E-19 3.14138744E-18 0.00000000E+00 2.18296546E-21 3.20146906E-17 4.54793818E-18 2.29895713E-13
RC-stem    1.94792617E-22 7.02233954E-21 7.02233954E-21 1.40555739E-19 9.84409277E-18 3.04637837E-16 4.35840070E-18 1.13637572E-20 2.47952833E-22 1.55258912E-22 1.55258912E-22 2.99542916E-22 4.65512378E-21 4.65512378E-21 6.13585529E-21 6.13585529E-21 6.13585529E-21 2.17992133E-21 7.97771738E-13 3.20403254E-18 4.74997263E-20 4.74997263E-20 1.24274421E-21 1.02090686E-19 1.02090686E-19 8.74548035E-20 4.38387530E-18 0.00000000E+00 4.78105485E-22 2.23343402E-18 1.54589203E-20 2.29122362E-13
LC-stem    3.15308333E-22 1.70631796E-20 1.70631796E-20 6.67210376E-18 1.44854378E-17 4.28662319E-18 4.19497870E-16 5.77071927E-18 4.38964314E-22 3.00744548E-22 3.00744548E-22 5.64751190E-22 3.60281427E-20 3.60281427E-20 9.34581588E-20 9.34581588E-20 9.34581588E-20 4.78073442E-21 7.97771738E-13 6.63893871E-20 4.27845209E-20 4.27845209E-20 2.39845820E-21 4.89016307E-19 4.89016307E-19 3.33396905E-19 1.38219766E-18 0.00000000E+00 2.39188928E-22 2.35728227E-19 6.33404452E-21 2.29122545E-13
RS-stem    9.23430440E-24 2.55098540E-22 2.55098540E-22 1.70984275E-21 1.81142074E-18 6.36272348E-21 2.29976413E-19 4.93550467E-16 9.79859096E-24 1.00442046E-23 1.00442046E-23 1.34622879E-23 1.65857310E-22 1.65857310E-22 2.19738505E-22 2.19738505E-22 2.19738505E-22 8.82382678E-23 7.97755716E-13 1.07978684E-21 2.17046849E-19 2.17046849E-19 8.36704627E-22 6.82655358E-20 6.82655358E-20 1.80308942E-19 3.88928342E-21 0.00000000E+00 1.73868192E-20 1.38889475E-18 1.23768134E-17 2.29191065E-13
ET1-bas    4.37602464E-18 2.86645395E-21 2.86645395E-21 9.42416231E-22 1.52318919E-22 3.00488200E-22 4.89080394E-22 1.04038932E-23 1.06261151E-09 1.64351264E-16 1.64351264E-16 3.36841585E-20 2.16710392E-20 2.16710392E-20 5.22149317E-21 5.22149317E-21 5.22149317E-21 2.90987294E-21 1.42938175E-13 1.02826085E-21 2.02434999E-18 2.02434999E-18 1.28968798E-22 2.65304404E-19 2.65304404E-19 2.01169280E-19 2.00352170E-22 0.00000000E+00 8.82094287E-25 6.10877851E-23 4.82783841E-24 2.63689906E-13
ET2-bas    1.51745339E-16 5.02987286E-17 5.02987286E-17 9.15531710E-22 1.88095520E-22 1.82503924E-22 3.18528707E-22 8.14306200E-24 1.64383308E-16 2.82399628E-12 5.28141457E-09 1.14592469E-15 7.71207652E-18 7.71207652E-18 1.42213992E-20 1.42213992E-20 1.42213992E-20 1.18955195E-17 1.42939777E-13 1.01650087E-21 1.56838658E-18 1.56838658E-18 1.46714505E-22 8.61137818E-19 8.61137818E-19 5.58823137E-19 2.91051381E-22 0.00000000E+00 5.19105182E-25 7.23783228E-23 6.77143870E-24 2.63690734E-13
LN-ET      1.11003594E-16 5.92180451E-17 5.92180451E-17 2.07818312E-21 5.03660200E-22 4.01617580E-22 4.63349440E-22 1.48747667E-23 4.18168063E-20 1.24311271E-15 1.24311271E-15 1.12109095E-09 2.75093703E-17 2.75093703E-17 3.97195573E-20 3.97195573E-20 3.97291703E-20 4.93358206E-17 1.88656281E-13 2.77048358E-21 1.60393888E-19 1.60393888E-19 2.57501805E-22 2.30392979E-18 2.30392979E-18 8.35310733E-19 4.55899319E-22 0.00000000E+00 7.12071318E-25 1.03861091E-22 7.21700399E-24 3.12925432E-18
