  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          C-bone-S       C-bone-V       C-marrow       T-bone-S       T-bone-V       T-marrow       Kidneys        Ovaries        Testes         Ureters        UB-cont        Other          
Bronch-bas 6.45981538E-21 2.97652348E-17 2.97652348E-17 3.67491221E-19 1.42361392E-20 6.48256628E-21 3.26155067E-20 2.97892674E-22 1.22869313E-20 3.80164437E-20 3.80164437E-20 7.61338245E-20 1.08603533E-10 5.73178638E-09 1.43127232E-15 1.08180559E-16 1.04683007E-16 2.76663836E-16 5.84425917E-13 1.23941169E-18 1.77569220E-19 1.77569220E-19 4.85026888E-21 4.85827976E-19 4.85827976E-19 5.66401432E-19 1.53007855E-20 0.00000000E+00 1.11277566E-23 3.31217945E-21 1.33416440E-22 3.08409197E-13
Bronch-sec 6.45981538E-21 2.97652348E-17 2.97652348E-17 3.67491221E-19 1.42361392E-20 6.48256628E-21 3.26155067E-20 2.97892674E-22 1.22869313E-20 3.80164437E-20 3.80164437E-20 7.61338245E-20 4.23359115E-09 1.45963084E-09 1.43127232E-15 1.08180559E-16 1.04683007E-16 2.76663836E-16 5.84425917E-13 1.23941169E-18 1.77569220E-19 1.77569220E-19 4.85026888E-21 4.85827976E-19 4.85827976E-19 5.66401432E-19 1.53007855E-20 0.00000000E+00 1.11277566E-23 3.31217945E-21 1.33416440E-22 2.85026481E-13
Bchiol-sec 5.47976402E-21 5.22325557E-18 5.22325557E-18 1.41758973E-18 2.19241830E-20 7.92420469E-21 6.76999675E-20 3.46983362E-22 8.82590961E-21 1.38184518E-20 1.38184518E-20 3.62476408E-20 9.82983340E-17 9.82983340E-17 2.05639352E-09 9.92388116E-10 9.61113631E-13 2.44331914E-17 5.84425917E-13 3.35191343E-18 6.96466119E-19 6.96466119E-19 5.65392060E-21 1.02441562E-18 1.02441562E-18 8.95039873E-19 2.90426532E-20 0.00000000E+00 1.17250480E-23 4.56235776E-21 1.66530224E-22 1.10791742E-13
AI         5.48152641E-21 5.22325557E-18 5.22325557E-18 1.41758973E-18 2.19225809E-20 7.92548643E-21 6.77015696E-20 3.46951318E-22 8.82719136E-21 1.38200539E-20 1.38200539E-20 3.62508452E-20 9.82983340E-17 9.82983340E-17 1.43127232E-15 1.43127232E-15 1.62572848E-11 2.44331914E-17 1.89553500E-12 3.35191343E-18 6.96466119E-19 6.96466119E-19 5.65440126E-21 1.02441562E-18 1.02441562E-18 8.95039873E-19 2.90378467E-20 0.00000000E+00 1.17228049E-23 4.56171689E-21 1.66514202E-22 1.32070150E-13
LN-Th      4.29591581E-20 2.68941345E-16 2.68941345E-16 3.15116071E-20 4.92268726E-21 2.61058637E-21 5.20210684E-21 1.55683489E-22 3.18064076E-21 1.30860969E-17 1.30860969E-17 4.86260564E-17 5.10293211E-16 5.10293211E-16 2.31578589E-17 2.31578589E-17 2.31578589E-17 1.12109095E-09 1.88672303E-13 1.27946610E-19 6.21740608E-19 6.21740608E-19 2.29960391E-21 2.15044128E-19 2.15044128E-19 4.22205548E-19 7.09027183E-21 0.00000000E+00 4.20731545E-24 1.75454347E-21 4.89032329E-23 2.77433933E-18
R-marrow   6.69982142E-19 1.20848968E-18 1.20848968E-18 7.97355172E-20 9.42896884E-20 8.33820709E-20 3.19201622E-19 3.06848841E-19 2.08795640E-19 6.40854573E-19 6.40854573E-19 8.28934071E-19 1.04370583E-18 1.04370583E-18 1.68484879E-18 1.68484879E-18 1.68484879E-18 7.14650822E-19 5.13064976E-13 4.82303188E-19 1.46480588E-17 2.51669883E-18 1.01594011E-19 2.07962508E-12 2.89449204E-13 3.91331607E-12 3.38411718E-19 0.00000000E+00 5.23286862E-21 6.79531113E-19 1.70679861E-19 2.31131420E-13
Endost-BS  1.04740686E-18 4.91916247E-19 4.91916247E-19 3.21604886E-20 3.99358511E-20 3.47464015E-20 1.21030014E-19 1.32474361E-19 3.92020543E-19 8.77752388E-19 8.77752388E-19 3.94375742E-19 3.75838560E-19 3.75838560E-19 6.08282325E-19 6.08282325E-19 6.08282325E-19 2.64679556E-19 1.95994250E-13 1.79571941E-19 2.29976413E-12 2.39012688E-18 3.06031731E-13 1.54159819E-11 2.08298965E-12 4.28293819E-12 1.29196308E-19 0.00000000E+00 5.95000282E-21 2.60594006E-19 9.02089449E-20 2.04080661E-13
Brain      1.94344008E-19 2.46318613E-21 2.46318613E-21 1.21267136E-22 3.56131790E-23 3.74140253E-23 5.08098229E-23 2.62821031E-24 4.17911715E-19 7.51324642E-18 7.51324642E-18 2.45741830E-20 1.15350298E-21 1.15350298E-21 8.68011155E-22 8.68011155E-22 8.68011155E-22 2.07962508E-21 1.41438538E-13 1.78626657E-22 1.00285033E-18 1.00285033E-18 5.89584925E-23 8.52678326E-19 8.52678326E-19 5.82118783E-19 5.12888737E-23 0.00000000E+00 3.37370303E-25 1.52632945E-23 1.89168978E-24 2.91899984E-13
Eye-lens   4.56428038E-19 2.10285664E-21 2.10285664E-21 1.07677475E-22 1.42375811E-23 2.27525083E-23 1.29302051E-23 1.11465020E-24 5.19025073E-17 1.26616803E-17 1.26616803E-17 2.50900838E-20 1.62284456E-21 1.62284456E-21 1.16769827E-21 1.16769827E-21 1.16769827E-21 1.96603077E-21 1.34526749E-17 1.47382613E-22 5.92709170E-19 5.92709170E-19 6.73843387E-24 3.53151741E-19 3.53151741E-19 2.94175625E-19 5.59287768E-22 0.00000000E+00 1.67090986E-25 7.51725186E-24 1.07590958E-24 3.05429439E-13
P-gland    5.43426221E-18 4.68011774E-21 4.68011774E-21 2.03460392E-22 6.21035650E-23 5.73915639E-24 4.74692850E-23 7.30368173E-25 8.42840963E-18 5.90017513E-16 5.90017513E-16 1.76848241E-19 1.90258458E-21 1.90258458E-21 1.79844311E-21 1.79844311E-21 1.79892376E-21 4.32892065E-21 1.42939777E-13 2.00944975E-22 1.05791713E-18 1.05791713E-18 1.71368797E-23 6.39540788E-19 6.39540788E-19 4.58174410E-19 8.87621796E-23 0.00000000E+00 1.39631283E-25 1.63470067E-23 7.32467025E-25 2.91940490E-13
Tongue     1.99999691E-14 3.74733059E-19 3.74733059E-19 1.01025238E-21 2.23759968E-22 2.27925627E-22 3.86621208E-22 1.05096369E-23 6.73731235E-19 1.20427596E-16 1.20427596E-16 7.87469743E-17 2.60738201E-20 2.60738201E-20 6.99558320E-21 6.99558320E-21 6.99558320E-21 5.95144478E-20 1.42939777E-13 1.24428230E-21 7.76895379E-19 7.76895379E-19 1.76976415E-22 8.43273550E-19 8.43273550E-19 4.35022960E-19 2.67835843E-22 0.00000000E+00 7.28765997E-25 8.41334917E-23 7.84762065E-24 1.29541606E-17
Tonsils    5.34037467E-17 2.24929557E-20 2.24929557E-20 3.72698294E-22 8.35631169E-23 4.76407178E-23 9.99229410E-23 5.62283838E-24 1.10828956E-18 2.28534454E-16 2.28534454E-16 1.23252233E-18 7.71688305E-21 7.71688305E-21 2.15781129E-21 2.15781129E-21 2.15781129E-21 1.26714536E-20 1.42939777E-13 6.01713401E-22 1.99038385E-18 1.99038385E-18 9.91939507E-23 1.25320643E-18 1.25320643E-18 1.61194976E-18 2.33244853E-22 0.00000000E+00 5.00856392E-25 3.89040495E-23 1.27642196E-24 2.91750852E-13
S-glands   4.44139344E-18 4.06071631E-19 4.06071631E-19 8.67754807E-22 2.08699509E-22 2.07321637E-22 3.36921693E-22 1.15468859E-23 3.54113047E-20 5.68275978E-18 5.68275978E-18 1.87054105E-17 3.37194063E-20 3.37194063E-20 9.63484852E-21 9.63484852E-21 9.63484852E-21 8.28757831E-20 1.42939777E-13 1.18114053E-21 7.34069201E-19 7.34069201E-19 2.06120005E-22 3.21092190E-19 3.21092190E-19 1.42838840E-19 2.96434694E-22 0.00000000E+00 5.84586135E-25 8.01408679E-23 6.22958262E-24 2.91560246E-13
Thyroid    9.09843983E-20 1.43628713E-16 1.43628713E-16 5.34229728E-21 1.12653835E-21 8.14402330E-22 1.46525448E-21 6.93550158E-23 5.99550463E-21 7.68916540E-18 7.68916540E-18 2.34831008E-17 7.84409586E-17 7.84409586E-17 1.03857886E-18 1.03857886E-18 1.03857886E-18 3.32131186E-16 4.59424108E-13 7.69909889E-21 2.51653861E-19 2.51653861E-19 1.00312270E-21 1.27091048E-19 1.27091048E-19 2.23920186E-19 1.59467830E-21 0.00000000E+00 1.72346125E-24 4.06840675E-22 2.24464926E-23 2.61691595E-13
Breast     8.65463695E-21 1.82792315E-20 1.82792315E-20 1.14678986E-19 8.96401723E-21 6.92588852E-21 1.91476112E-20 2.27509061E-22 3.98269031E-19 6.27588552E-21 6.27588552E-21 1.36023182E-20 6.45613037E-19 6.45613037E-19 7.79875427E-19 7.79875427E-19 7.79875427E-19 2.02306825E-20 1.42939777E-13 1.55606585E-19 4.19113347E-21 4.19113347E-21 1.59083308E-21 1.39025660E-19 1.39025660E-19 9.82150208E-20 6.26867572E-21 0.00000000E+00 1.39458248E-23 2.53464320E-21 1.03282705E-22 2.91765353E-13
Thymus     2.55675324E-20 1.55363054E-17 1.55363054E-17 1.36787420E-20 2.53544429E-21 1.92613657E-21 2.99110328E-21 8.35935582E-23 6.33164126E-21 3.91828282E-19 3.91828282E-19 8.75829777E-19 3.30897510E-17 3.30897510E-17 1.21472215E-17 1.21472215E-17 1.21472215E-17 9.98652626E-17 1.42939777E-13 2.01057127E-20 1.02784428E-18 1.02784428E-18 1.60890563E-21 5.20627249E-19 5.20627249E-19 2.19690440E-18 3.27981549E-21 0.00000000E+00 2.39685602E-24 8.03843987E-22 4.40037772E-23 2.91765319E-13
Ht-wall    4.23647507E-21 5.32387225E-17 5.32387225E-17 1.55835696E-17 4.41479731E-20 1.12145945E-20 4.69870298E-20 5.65215821E-22 6.01745445E-21 8.55834614E-21 8.55834614E-21 1.74845520E-20 3.65248174E-17 3.65248174E-17 1.73691953E-17 1.73691953E-17 1.73691953E-17 5.80148106E-17 4.63365462E-13 1.39272395E-18 7.32082502E-20 7.32082502E-20 3.25674415E-21 1.63245762E-19 1.63245762E-19 4.42473080E-19 3.12007849E-20 0.00000000E+00 1.65392679E-23 7.73146286E-21 2.45821938E-22 2.61054547E-13
Adrenals   4.69277493E-22 2.12272363E-19 2.12272363E-19 2.07561964E-18 3.18977317E-18 9.18784128E-20 4.57020843E-19 2.46190439E-21 3.08755431E-22 5.92613039E-22 5.92613039E-22 1.13863479E-21 3.84858814E-20 3.84858814E-20 1.49010424E-19 1.49010424E-19 1.49010424E-19 2.15829195E-20 6.18215819E-13 1.19761090E-17 2.25298058E-19 2.25298058E-19 2.36288988E-21 1.67603682E-19 1.67603682E-19 1.84218252E-19 1.39493496E-16 0.00000000E+00 6.90842479E-23 2.27268735E-19 1.09635335E-21 2.46342247E-13
Liver      1.25062692E-21 2.75205855E-18 2.75205855E-18 2.89705552E-18 4.08250591E-19 2.98357305E-18 1.79603984E-19 1.61996065E-21 1.68597032E-21 1.28286271E-21 1.28286271E-21 2.65656883E-21 1.18778956E-18 1.18778956E-18 3.59736687E-18 3.59736687E-18 3.59736687E-18 1.10873817E-19 7.57348825E-13 7.57893565E-12 9.66689205E-20 9.66689205E-20 3.23078889E-21 3.68837049E-19 3.68837049E-19 2.78394186E-19 3.24729130E-18 0.00000000E+00 5.57140852E-23 4.81357904E-20 1.07954652E-21 4.26408704E-19
Pancreas   5.04477310E-22 1.55971881E-19 1.55971881E-19 7.17374522E-18 3.11655370E-17 4.01665645E-18 3.36024475E-18 6.46205843E-21 5.58390549E-22 4.92300769E-22 4.92300769E-22 9.55522035E-22 2.23071032E-20 2.23071032E-20 3.07057124E-20 3.07057124E-20 3.07057124E-20 1.06108944E-20 6.18215819E-13 5.00728217E-18 4.39653250E-20 4.39653250E-20 1.23441290E-21 3.02955552E-20 3.02955552E-20 4.64214615E-20 1.90226414E-18 0.00000000E+00 1.44487480E-22 8.55626331E-19 3.15356398E-21 2.46344964E-13
Kidneys    2.84963110E-22 4.78025377E-20 4.78025377E-20 3.62396300E-19 4.64663225E-18 1.76063174E-18 1.20453230E-18 7.07216723E-21 2.34254224E-22 3.25642371E-22 3.25642371E-22 6.40277789E-22 1.54249541E-20 1.54249541E-20 2.82880281E-20 2.82880281E-20 2.82880281E-20 8.04629054E-21 8.46590056E-13 3.21540799E-18 6.05847017E-20 6.05847017E-20 2.48721878E-21 2.50916860E-19 2.50916860E-19 1.97243947E-19 4.23823746E-11 0.00000000E+00 1.33217771E-22 1.44915261E-17 3.18977317E-21 1.17537413E-18
Spleen     8.16453116E-22 2.81005734E-19 2.81005734E-19 5.04461289E-18 1.30852958E-18 8.62083102E-21 5.20899619E-18 2.06344310E-21 5.22662014E-22 1.12996701E-21 1.12996701E-21 2.32636026E-21 6.96498162E-19 6.96498162E-19 7.16973978E-18 7.16973978E-18 7.16973978E-18 1.10723213E-19 1.09694615E-12 3.71320423E-20 1.70551687E-19 1.70551687E-19 7.45236371E-21 7.04396893E-19 7.04396893E-19 5.18848834E-19 4.33933480E-18 0.00000000E+00 3.73675622E-23 5.46566487E-20 6.44587644E-22 2.00578014E-13
GB-wall    7.19713700E-22 8.04725184E-20 8.04725184E-20 1.99214624E-19 3.13321634E-18 2.76840075E-17 1.40147184E-19 2.95361235E-21 6.44074948E-22 6.54408986E-22 6.54408986E-22 1.27630981E-21 2.90682880E-20 2.90682880E-20 3.95913832E-20 3.95913832E-20 3.95913832E-20 1.21247910E-20 1.42939777E-13 5.20915641E-17 1.35762027E-20 1.35762027E-20 1.46437329E-21 6.11470656E-20 6.11470656E-20 5.18207963E-20 1.25517710E-18 0.00000000E+00 8.25809827E-23 1.35840533E-19 2.11999993E-21 2.91703092E-13
Ureters    1.03731314E-22 8.68684069E-21 8.68684069E-21 6.11710983E-20 1.59938870E-17 1.00039900E-18 2.08619400E-19 1.32578502E-18 8.16084615E-23 1.03281103E-22 1.03281103E-22 1.54512298E-22 3.24184390E-21 3.24184390E-21 4.31994846E-21 4.31994846E-21 4.32219151E-21 1.71545036E-21 1.42939777E-13 5.23126645E-20 2.35664139E-19 2.35664139E-19 7.84457652E-22 1.16954077E-19 1.16954077E-19 3.41744245E-19 1.32548061E-17 0.00000000E+00 2.66746363E-21 1.06778654E-09 6.62067390E-18 3.33887370E-18
UB-wall    7.10677424E-24 1.66193767E-22 1.66193767E-22 1.04461907E-21 1.86621517E-18 8.25553478E-21 3.48281125E-21 8.68219438E-18 4.59087651E-24 5.85899920E-24 5.85899920E-24 1.05309458E-23 1.25097940E-22 1.25097940E-22 1.67747878E-22 1.67747878E-22 1.67747878E-22 8.23662910E-23 6.99590363E-14 9.49770221E-22 2.76920184E-19 2.76920184E-19 8.56699789E-22 2.82575867E-19 2.82575867E-19 3.17567401E-19 2.75446182E-21 0.00000000E+00 2.95921997E-20 7.77327966E-18 1.76944371E-13 2.98709911E-13
Ovaries    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Testes     5.25593997E-25 1.00259398E-23 1.00259398E-23 5.67939521E-23 7.69829780E-22 3.06512384E-22 1.28755709E-22 7.72297132E-21 7.38507230E-25 3.61963712E-25 3.61963712E-25 5.84473982E-25 1.42577686E-23 1.42577686E-23 1.94904770E-23 1.94904770E-23 1.94904770E-23 6.69100945E-24 1.92068917E-13 5.29086741E-23 5.77985168E-21 5.77985168E-21 1.04272850E-20 5.63581601E-21 5.63581601E-21 7.81846104E-21 1.42987843E-22 0.00000000E+00 4.80156271E-10 2.62917162E-21 2.70896000E-20 1.87720709E-18
Prostate   3.58198597E-24 9.46950391E-23 9.46950391E-23 4.05030216E-22 1.80068615E-20 2.84386326E-21 1.18786967E-21 3.94808330E-19 2.73940136E-24 2.47616376E-24 2.47616376E-24 2.06087962E-24 5.28429849E-23 5.28429849E-23 7.34197375E-23 7.34197375E-23 7.34197375E-23 3.15965225E-23 1.42939777E-13 3.60842188E-22 2.91772360E-19 2.91772360E-19 1.71865472E-21 1.94007551E-19 1.94007551E-19 2.13377865E-19 9.79025964E-22 0.00000000E+00 1.44301627E-19 6.86660799E-20 4.84850648E-17 2.91709663E-13
Uterus     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
LN-Sys     3.79924110E-20 3.11062565E-17 3.11062565E-17 1.02773213E-17 1.13440504E-17 4.47103370E-18 6.64134197E-18 1.59645672E-17 4.15620602E-21 2.74164440E-19 2.74164440E-19 1.15814930E-18 8.65704021E-18 8.65704021E-18 6.58462493E-18 6.58462493E-18 6.58462493E-18 1.03657614E-17 1.88672303E-13 1.52059366E-18 5.02474590E-19 5.02474590E-19 1.75310151E-20 3.42144789E-19 3.42144789E-19 6.12031418E-19 8.29975486E-19 0.00000000E+00 1.12145945E-18 4.21292307E-17 7.98524761E-18 2.87458600E-13
Skin       1.50303381E-19 4.28085536E-20 4.28085536E-20 2.43482761E-20 2.16566196E-20 4.56540190E-20 8.06167143E-20 1.35681918E-19 4.24160203E-18 1.98061057E-19 1.98061057E-19 4.14018426E-19 1.21686906E-19 1.21686906E-19 5.80628759E-20 5.80628759E-20 5.80628759E-20 2.36000597E-19 1.54706162E-13 4.30040191E-20 2.36705554E-19 2.36705554E-19 4.68348231E-20 1.31575540E-19 1.31575540E-19 1.23447698E-19 2.99639047E-20 0.00000000E+00 8.29254506E-18 9.82775057E-21 1.94504226E-20 2.90584397E-13
Adipose    4.46542609E-19 1.67459486E-18 1.67459486E-18 8.37201302E-19 1.62973392E-18 1.30502081E-18 1.85708277E-18 1.67844009E-18 2.00752714E-18 2.08475204E-18 2.08475204E-18 1.88480042E-18 1.17687874E-18 1.17687874E-18 8.53799850E-19 8.53799850E-19 8.53799850E-19 2.80717342E-18 5.10741821E-14 3.96298354E-19 2.50708577E-19 2.50708577E-19 2.18969460E-20 1.75246064E-19 1.75246064E-19 1.91123633E-19 1.69077685E-18 0.00000000E+00 2.16710392E-18 5.13048955E-18 1.04095009E-18 3.00544454E-13
Muscle     1.38897486E-18 4.13009055E-19 4.13009055E-19 9.98989083E-20 1.74829498E-19 3.47512080E-19 3.45236989E-19 8.83360006E-19 1.12280528E-19 1.66674420E-18 1.66674420E-18 2.89240921E-18 4.55562862E-19 4.55562862E-19 6.03363643E-19 6.03363643E-19 6.03363643E-19 5.18816790E-19 8.40694046E-14 2.09180162E-19 6.64102154E-19 6.64102154E-19 1.29196308E-19 4.13649925E-19 4.13649925E-19 3.83529007E-19 4.17270844E-19 0.00000000E+00 2.01778107E-21 1.15095552E-18 1.88576173E-19 2.97348352E-13
