  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          UB-cont        C-bone-S       C-bone-V       T-bone-S       T-bone-V       Other          
AI         6.99702515E-21 6.80925007E-18 6.80925007E-18 1.04516381E-19 5.23254819E-21 8.13793503E-22 9.45236062E-22 5.39196475E-23 3.78402043E-21 9.78272941E-21 9.78272941E-21 1.79555919E-20 1.57697425E-16 1.57697425E-16 1.28747698E-14 1.28747698E-14 1.35762027E-14 6.55498466E-17 1.63277806E-15 1.27018950E-24 2.39749690E-18 2.39749690E-18 1.55787631E-18 1.55787631E-18 1.09762258E-16
LN-Th      4.31722476E-20 3.37995152E-16 3.37995152E-16 1.65745158E-22 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.00944975E-23 2.64407186E-16 2.64407186E-16 1.27113478E-18 6.92108199E-15 6.92108199E-15 7.24872708E-17 7.24872708E-17 7.24872708E-17 9.19841565E-13 1.99278711E-16 0.00000000E+00 1.87710997E-20 1.87710997E-20 1.42218798E-20 1.42218798E-20 7.96027984E-18
R-marrow   1.58376748E-18 3.26251198E-19 3.26251198E-19 4.47840372E-20 6.35022651E-20 4.95969753E-20 4.85379367E-20 8.32138424E-20 2.01649933E-19 3.80661112E-19 3.80661112E-19 8.13056502E-20 1.12038600E-19 1.12038600E-19 6.42488793E-18 6.42488793E-18 6.42488793E-18 1.12756375E-19 4.62468243E-16 2.28342193E-19 1.70455556E-16 4.36144483E-17 1.85900538E-15 9.25288965E-16 2.08414226E-16
Endost-BS  2.55739411E-18 1.19027293E-19 1.19027293E-19 1.61034759E-20 2.74564985E-20 2.23295337E-20 2.29543825E-20 4.11839466E-20 4.09035657E-19 6.77928937E-19 6.77928937E-19 5.05182268E-20 4.15700711E-20 4.15700711E-20 2.23295337E-18 2.23295337E-18 2.23295337E-18 4.21708873E-20 1.75422304E-16 1.28710848E-19 1.74332824E-15 6.70078272E-17 8.44923792E-15 4.37009659E-15 1.48985842E-16
Brain      4.40630577E-20 2.24801383E-21 2.24801383E-21 3.99791099E-23 7.27788669E-24 8.92011759E-26 0.00000000E+00 0.00000000E+00 5.21925012E-20 4.09099744E-19 4.09099744E-19 2.58302893E-20 2.90811054E-21 2.90811054E-21 8.81229111E-22 8.81229111E-22 8.81229111E-22 3.07746060E-21 1.10343497E-16 0.00000000E+00 6.51156568E-18 6.51156568E-18 2.49699205E-18 2.49699205E-18 2.34259701E-16
Eye-lens   5.07249076E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.70687408E-19 2.06664745E-21 2.06664745E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 8.00495438E-17 0.00000000E+00 1.70487600E-20 1.70487600E-20 1.67811965E-23 1.67811965E-23 2.34617660E-16
P-gland    2.02659304E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.13393886E-20 5.57893875E-19 5.57893875E-19 6.44651731E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.78450417E-21 3.33829493E-23 1.08579501E-16 0.00000000E+00 4.11022356E-17 4.11022356E-17 1.36449361E-17 1.36449361E-17 2.34272812E-16
Tongue     1.66466137E-13 6.45324645E-20 6.45324645E-20 3.86380882E-22 3.48841887E-24 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.65688927E-19 1.29560002E-16 1.29560002E-16 2.65224296E-16 6.21948890E-20 6.21948890E-20 4.21933178E-21 4.21933178E-21 4.21933178E-21 7.36712792E-20 9.13961577E-17 0.00000000E+00 4.23903855E-18 4.23903855E-18 1.36149754E-18 1.36149754E-18 7.43582441E-17
Tonsils    1.22100268E-15 1.36487813E-20 1.36487813E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.08839053E-19 7.31249370E-18 7.31249370E-18 1.06184247E-18 2.66490015E-20 2.66490015E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.98525689E-20 8.94975786E-17 0.00000000E+00 8.12047131E-19 8.12047131E-19 4.12432271E-20 4.12432271E-20 2.35538184E-16
S-glands   3.20227014E-23 5.78337647E-20 5.78337647E-20 1.57306494E-21 1.41698091E-24 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.48513286E-20 8.48304385E-19 8.48304385E-19 9.94583098E-17 3.41568005E-20 3.41568005E-20 6.76743326E-21 6.76743326E-21 6.76743326E-21 6.83184076E-20 8.93437696E-17 0.00000000E+00 5.87229726E-18 5.87229726E-18 6.04565276E-19 6.04565276E-19 2.35700555E-16
