  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          UB-cont        C-bone-S       C-bone-V       T-bone-S       T-bone-V       Other          
AI         1.90402654E-21 2.05046547E-18 2.05046547E-18 3.50091584E-20 1.26485425E-21 2.35600052E-22 1.76688023E-22 1.43282643E-24 9.77455831E-22 2.48914139E-21 2.48914139E-21 5.17711288E-21 4.68796840E-17 4.68796840E-17 8.25601544E-15 8.25601544E-15 8.73138120E-15 1.96378772E-17 1.04806375E-15 0.00000000E+00 7.22821922E-19 7.22821922E-19 4.64022354E-19 4.64022354E-19 7.01044353E-17
LN-Th      2.71729132E-21 9.98973061E-17 9.98973061E-17 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 7.75613637E-17 7.75613637E-17 5.41535653E-19 2.03604588E-15 2.03604588E-15 2.13185603E-17 2.13185603E-17 2.13185603E-17 5.99037767E-13 1.08499392E-16 0.00000000E+00 1.06493467E-20 1.06493467E-20 5.07120902E-22 5.07120902E-22 2.16333247E-18
R-marrow   4.61266611E-19 9.46998456E-20 9.46998456E-20 1.40461210E-20 1.94792617E-20 1.54751023E-20 1.41608369E-20 2.85972481E-20 5.88719750E-20 1.14989809E-19 1.14989809E-19 2.85812264E-20 3.79026892E-20 3.79026892E-20 1.91107611E-18 1.91107611E-18 1.91107611E-18 3.92453130E-20 2.96803194E-16 6.98757231E-20 9.49401721E-17 1.33113629E-17 1.16628835E-15 3.27116373E-16 1.36993369E-16
Endost-BS  7.46021438E-19 3.47319819E-20 3.47319819E-20 4.99991216E-21 8.27363938E-21 6.89080085E-21 6.72369385E-21 1.38059548E-20 1.19556012E-19 1.99647212E-19 1.99647212E-19 1.74188628E-20 1.40344252E-20 1.40344252E-20 6.64086132E-19 6.64086132E-19 6.64086132E-19 1.45194040E-20 1.12658642E-16 3.93061958E-20 1.43460485E-15 2.31482459E-17 6.95520835E-15 2.16165652E-15 1.03028120E-16
Brain      1.12988690E-20 5.28029305E-22 5.28029305E-22 1.85035362E-24 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.49104953E-20 1.19017680E-19 1.19017680E-19 5.74236075E-21 8.30135703E-22 8.30135703E-22 1.74364867E-22 1.74364867E-22 1.74364867E-22 6.27460378E-22 7.07344897E-17 0.00000000E+00 1.91572243E-18 1.91572243E-18 7.35142659E-19 7.35142659E-19 1.50131382E-16
Eye-lens   0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.98092792E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 5.08130273E-17 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.53271152E-16
P-gland    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.62716735E-19 3.62716735E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.07313472E-22 0.00000000E+00 7.01448888E-17 0.00000000E+00 1.02800450E-17 1.02800450E-17 4.97940430E-18 4.97940430E-18 1.51120471E-16
Tongue     1.07145553E-13 1.70487600E-20 1.70487600E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 6.95632987E-20 3.80629068E-17 3.80629068E-17 7.76526878E-17 1.76447697E-20 1.76447697E-20 6.15043510E-22 6.15043510E-22 6.15043510E-22 2.64999991E-20 5.79427127E-17 0.00000000E+00 1.27265685E-18 1.27265685E-18 3.96186202E-19 3.96186202E-19 4.75806407E-17
Tonsils    3.64062563E-16 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.38170098E-20 2.23311359E-18 2.23311359E-18 3.77761172E-19 8.51620890E-21 8.51620890E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 5.76463100E-17 0.00000000E+00 2.17351262E-19 2.17351262E-19 1.50042226E-20 1.50042226E-20 1.51026834E-16
S-glands   0.00000000E+00 1.74589172E-20 1.74589172E-20 9.18687998E-22 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.32689052E-20 3.14347027E-19 3.14347027E-19 2.92188926E-17 7.81782017E-21 7.81782017E-21 1.27443526E-21 1.27443526E-21 1.27443526E-21 2.59488504E-20 5.73819509E-17 0.00000000E+00 1.68372727E-18 1.68372727E-18 1.67171095E-19 1.67171095E-19 1.51072420E-16
Thyroid    3.88752103E-20 1.81911118E-17 1.81911118E-17 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.55758792E-22 1.49941289E-19 1.49941289E-19 2.25394188E-19 5.85291092E-18 5.85291092E-18 3.41007243E-20 3.41007243E-20 3.41007243E-20 2.14243040E-16 2.39445276E-16 0.00000000E+00 7.25321317E-21 7.25321317E-21 5.80676824E-21 5.80676824E-21 1.36299161E-16
Breast     3.60585840E-21 7.26763276E-21 7.26763276E-21 4.10509659E-21 7.96714302E-22 8.40742112E-24 2.95569518E-23 5.15980938E-25 2.90714924E-20 2.39493341E-21 2.39493341E-21 7.41423191E-21 1.27823242E-20 1.27823242E-20 3.63694063E-20 3.63694063E-20 3.63694063E-20 1.14121429E-20 5.76238795E-17 0.00000000E+00 1.76143283E-21 1.76143283E-21 1.99615169E-21 1.99615169E-21 1.51124675E-16
Thymus     6.41623618E-21 2.07193463E-19 2.07193463E-19 1.97163838E-22 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.18421671E-22 1.24255195E-20 1.24255195E-20 1.30317831E-20 5.64014189E-19 5.64014189E-19 6.64118176E-18 6.64118176E-18 6.64118176E-18 6.13713703E-19 5.86684986E-17 0.00000000E+00 7.93349731E-19 7.93349731E-19 3.92725500E-19 3.92725500E-19 1.51080837E-16
Ht-wall    1.49164233E-21 2.60465831E-17 2.60465831E-17 1.23612723E-18 2.09756946E-21 9.71575843E-22 8.44443139E-22 0.00000000E+00 4.48961895E-22 1.77665351E-21 1.77665351E-21 4.40518425E-21 1.34525147E-17 1.34525147E-17 1.31589959E-17 1.31589959E-17 1.31589959E-17 1.83497273E-17 3.10501803E-16 0.00000000E+00 2.57565892E-20 2.57565892E-20 8.64406258E-20 8.64406258E-20 1.33407677E-16
Adrenals   0.00000000E+00 2.68717040E-20 2.68717040E-20 1.02071460E-19 4.42024471E-20 1.22435123E-21 3.67491221E-23 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.81438013E-23 4.81438013E-23 9.12054987E-22 9.12054987E-22 9.12054987E-22 3.45733664E-22 3.04221271E-16 0.00000000E+00 4.13137229E-19 4.13137229E-19 4.37842790E-20 4.37842790E-20 1.31008469E-16
