  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          C-bone-S       C-bone-V       C-marrow       T-bone-S       T-bone-V       T-marrow       Kidneys        Ovaries        Testes         Ureters        UB-cont        Other          
Bronch-bas 4.93438314E-22 2.61379072E-20 2.61379072E-20 3.49370605E-21 7.94935886E-22 5.21556512E-22 1.02733159E-21 3.49274474E-23 2.31065893E-22 6.17815275E-22 6.17815275E-22 1.27408279E-21 5.24344299E-17 1.14304077E-13 4.01233058E-16 2.31995155E-19 2.65400535E-20 7.15195562E-19 4.02322538E-17 3.26042915E-21 1.09630528E-21 1.09630528E-21 3.13754221E-22 1.07558914E-21 1.07558914E-21 1.19374966E-21 9.76190112E-22 0.00000000E+00 1.26672880E-24 2.96194367E-22 1.72906886E-23 2.12127960E-17
Bronch-sec 4.93438314E-22 2.61379072E-20 2.61379072E-20 3.49370605E-21 7.94935886E-22 5.21556512E-22 1.02733159E-21 3.49274474E-23 2.31065893E-22 6.17815275E-22 6.17815275E-22 1.27408279E-21 6.40582203E-14 1.66466137E-14 4.01233058E-16 2.31995155E-19 2.65400535E-20 7.15195562E-19 4.02322538E-17 3.26042915E-21 1.09630528E-21 1.09630528E-21 3.13754221E-22 1.07558914E-21 1.07558914E-21 1.19374966E-21 9.76190112E-22 0.00000000E+00 1.26672880E-24 2.96194367E-22 1.72906886E-23 2.07202402E-17
Bchiol-sec 4.24833117E-22 9.54128142E-21 9.54128142E-21 3.96634811E-21 9.06287152E-22 6.01681358E-22 1.09577656E-21 4.04773868E-23 1.84811058E-22 5.80388432E-22 5.80388432E-22 1.18445703E-21 1.82616076E-19 1.82616076E-19 4.73667457E-14 2.23952229E-14 9.11478203E-18 3.24072238E-20 4.02322538E-17 5.80100041E-21 2.48353377E-21 2.48353377E-21 3.61114558E-22 1.95337357E-21 1.95337357E-21 2.00576474E-21 1.29281223E-21 0.00000000E+00 1.25737209E-24 3.58695272E-22 2.07866377E-23 1.65872951E-17
AI         4.24833117E-22 9.54128142E-21 9.54128142E-21 3.96634811E-21 9.06287152E-22 6.01681358E-22 1.09577656E-21 4.04773868E-23 1.84811058E-22 5.80388432E-22 5.80388432E-22 1.18445703E-21 1.82616076E-19 1.82616076E-19 4.01233058E-16 4.01233058E-16 1.11926447E-15 3.24072238E-20 1.31618798E-16 5.80100041E-21 2.48353377E-21 2.48353377E-21 3.61114558E-22 1.95337357E-21 1.95337357E-21 2.00576474E-21 1.29281223E-21 0.00000000E+00 1.25737209E-24 3.58695272E-22 2.07866377E-23 9.15394464E-18
LN-Th      1.36290745E-21 3.17583423E-19 3.17583423E-19 1.52645763E-21 4.08715222E-22 2.56764804E-22 4.15460385E-22 1.80164746E-23 3.18785056E-22 5.51725495E-21 5.51725495E-21 1.57572455E-20 1.07957856E-18 1.07957856E-18 2.43867283E-20 2.43867283E-20 2.43867283E-20 7.71496044E-14 1.29484699E-17 1.73900236E-21 1.78434395E-21 1.78434395E-21 1.93607007E-22 1.21198243E-21 1.21198243E-21 1.74829498E-21 5.97387525E-22 0.00000000E+00 4.01473384E-25 1.65248483E-22 6.86164124E-24 3.01400730E-21
R-marrow   2.28854889E-21 4.16037168E-21 4.16037168E-21 1.50811271E-21 1.96923512E-21 1.36822668E-21 1.25942287E-21 2.60289592E-21 7.35366964E-22 2.14483366E-21 2.14483366E-21 2.93646907E-21 2.40646908E-21 2.40646908E-21 3.79972176E-21 3.79972176E-21 3.79972176E-21 3.37482455E-21 3.53215828E-17 2.20731855E-21 3.91860325E-18 3.41151439E-20 2.06840984E-22 1.42502383E-16 6.13024767E-18 2.80845516E-16 2.27284756E-21 0.00000000E+00 3.68805006E-22 4.05302586E-21 2.75862748E-21 1.81541060E-17
Endost-BS  3.18672903E-21 2.00320126E-21 2.00320126E-21 7.35703421E-22 1.02081073E-21 7.25882079E-22 6.51076459E-22 1.63630285E-21 1.38530588E-21 2.85700111E-21 2.85700111E-21 1.91940743E-21 1.16060063E-21 1.16060063E-21 1.63998785E-21 1.63998785E-21 1.63998785E-21 1.61259063E-21 1.34952928E-17 1.01904833E-21 1.23542227E-16 4.92957662E-20 2.28566498E-17 1.05762874E-15 4.51589465E-17 3.19666253E-16 1.12397487E-21 0.00000000E+00 4.03043517E-22 2.07401746E-21 1.89857914E-21 1.65926783E-17
Brain      4.16581908E-21 2.41656280E-22 2.41656280E-22 1.53371549E-23 4.38611835E-24 4.60225196E-24 6.24368177E-24 1.96266620E-25 3.55955550E-21 1.17213630E-20 1.17213630E-20 1.68597032E-21 1.26169796E-22 1.26169796E-22 9.64157766E-23 9.64157766E-23 9.64157766E-23 2.18729134E-22 9.73995130E-18 2.18985482E-23 4.97908387E-21 4.97908387E-21 7.29438911E-24 2.10461903E-21 2.10461903E-21 1.63341893E-21 6.45404754E-24 0.00000000E+00 1.35848544E-26 1.79283549E-24 1.00281828E-25 2.00961554E-17
Eye-lens   8.37505715E-21 2.24464926E-22 2.24464926E-22 1.26602384E-23 1.06934065E-24 2.68524779E-24 0.00000000E+00 0.00000000E+00 3.71688923E-20 1.53701597E-20 1.53701597E-20 1.77104589E-21 1.47397032E-22 1.47397032E-22 8.08426212E-23 8.08426212E-23 8.08426212E-23 1.38432855E-22 3.90770845E-18 1.96090380E-23 1.47196760E-21 1.47196760E-21 0.00000000E+00 7.72088849E-22 7.72088849E-22 5.37033537E-22 8.19977904E-23 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.08920812E-17
P-gland    1.41345612E-20 4.67739404E-22 4.67739404E-22 1.73707975E-23 1.09382191E-23 5.79491214E-28 5.13625738E-24 0.00000000E+00 1.01036454E-20 1.56840261E-19 1.56840261E-19 4.43450408E-21 1.92357309E-22 1.92357309E-22 1.72938930E-22 1.72938930E-22 1.72938930E-22 4.56027493E-22 9.85658975E-18 3.14891767E-23 2.47520245E-21 2.47520245E-21 2.28149932E-24 1.40195249E-21 1.40195249E-21 9.05742412E-22 1.17506828E-23 0.00000000E+00 0.00000000E+00 1.78770852E-24 0.00000000E+00 2.00432174E-17
