  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Ht-wall        Liver          Kidneys        Muscle         St-wall        SI-wall        RC-wall        LC-wall        RS-wall        Spleen         Pancreas       Brain          R-marrow       Skin           Lung-Tis       Adipose        C-bone-S       C-bone-V       T-bone-S       T-bone-V       Cartilage      UB-cont        Other          
Kidneys    4.46558630E-17 5.09251796E-16 5.09251796E-16 2.78938926E-15 2.79788080E-15 1.79299571E-15 9.14153838E-16 2.15957369E-16 3.69013288E-17 3.95849745E-17 3.95849745E-17 5.25850345E-17 2.62869096E-16 2.62869096E-16 4.68780818E-16 4.68780818E-16 4.68780818E-16 2.22382096E-16 1.64575569E-15 5.94647803E-16 2.53944973E-15 4.76134808E-14 4.80284446E-16 2.77336750E-15 2.31466437E-15 2.06632702E-15 8.91483041E-16 1.84009970E-16 3.57061052E-15 5.90241818E-15 1.39812329E-17 1.00821762E-15 2.43995457E-16 4.61875438E-16 4.45260868E-16 3.71592793E-16 3.71592793E-16 5.07024771E-16 5.07024771E-16 5.71448288E-16 1.74749389E-16 3.85451522E-16
Spleen     8.65127238E-17 1.28931948E-15 1.28931948E-15 7.86989090E-15 1.12443950E-15 2.16165652E-16 3.93847024E-16 8.27988787E-17 6.28197379E-17 8.54665025E-17 8.54665025E-17 1.12770794E-16 6.50772045E-16 6.50772045E-16 1.59746609E-15 1.59746609E-15 1.59746609E-15 5.10052885E-16 1.86269038E-15 1.77425024E-15 1.14802354E-15 3.56388138E-15 3.82375440E-16 7.47367266E-15 9.24728203E-16 2.18793221E-16 3.81718548E-16 7.04765393E-17 8.53367262E-14 1.79876354E-15 3.07585842E-17 9.14378143E-16 3.00568309E-16 1.56582310E-15 4.45757542E-16 3.15628768E-16 3.15628768E-16 3.44996663E-16 3.44996663E-16 4.13249381E-16 6.32218842E-17 3.51700137E-16
GB-wall    7.57589152E-17 9.52766292E-16 9.52766292E-16 2.80973691E-15 2.44027501E-15 9.99421671E-16 5.41936197E-16 1.30572577E-16 6.37746351E-17 5.78866365E-17 5.78866365E-17 8.87429534E-17 4.08571026E-16 4.08571026E-16 7.65311643E-16 7.65311643E-16 7.65311643E-16 3.56067702E-16 3.99038076E-16 1.05149241E-15 8.78345194E-15 5.03403852E-15 3.38716131E-16 3.78994848E-15 2.18953439E-15 1.02834096E-15 5.16061046E-16 1.13006314E-16 1.45275751E-15 1.09521580E-14 2.15684999E-17 1.24130226E-15 2.20795942E-16 7.53455537E-16 3.36200714E-16 4.64182572E-16 4.64182572E-16 5.90434079E-16 5.90434079E-16 7.69172888E-16 1.15497699E-16 2.78864684E-15
Ureters    1.96955556E-17 1.60506040E-16 1.60506040E-16 9.19441021E-16 3.98236988E-15 2.91724295E-15 2.93951320E-15 3.08819518E-15 1.79828289E-17 1.59578380E-17 1.59578380E-17 2.31466437E-17 8.83392050E-17 8.83392050E-17 1.64271155E-16 1.64271155E-16 1.64271155E-16 8.17702814E-17 2.89625444E-16 2.17062870E-16 8.67210067E-16 3.20066797E-15 6.06680149E-16 1.20067106E-15 5.25802280E-15 2.96707064E-15 3.02538986E-15 2.96530824E-15 5.53343693E-16 4.44187409E-15 5.60585531E-18 1.94520247E-15 2.03716740E-16 1.61707673E-16 6.21612433E-16 5.99582507E-16 5.99582507E-16 1.01975329E-15 1.01975329E-15 1.28611513E-15 2.66618189E-15 3.74862285E-15
UB-wall    4.22365766E-18 1.79764202E-17 1.79764202E-17 8.35166537E-17 2.38548057E-15 8.87269317E-16 1.10037481E-15 5.70535047E-15 4.79194965E-18 3.34374233E-18 3.34374233E-18 3.98285053E-18 1.09899694E-17 1.09899694E-17 2.12128167E-17 2.12128167E-17 2.12144189E-17 1.02885365E-17 3.31121815E-16 2.53272059E-17 7.28125126E-17 1.59110545E-16 5.77087949E-16 1.02661061E-16 2.44540197E-15 9.42640536E-16 1.27398666E-15 7.38699491E-15 6.04373014E-17 1.68084335E-16 1.33017498E-18 9.61209762E-16 2.64791708E-16 2.08731553E-17 5.44996354E-16 4.75429851E-16 4.75429851E-16 5.00103369E-16 5.00103369E-16 6.14931357E-16 3.02202529E-14 4.19591274E-15
Ovaries    2.53240016E-18 1.78786874E-17 1.78786874E-17 7.85434979E-17 2.71376653E-15 6.94142963E-16 7.05886917E-16 9.22885700E-15 3.98749684E-18 2.33533245E-18 2.33533245E-18 3.22213713E-18 1.31251900E-17 1.31251900E-17 2.17976111E-17 2.17976111E-17 2.17992133E-17 1.10984367E-17 1.25887813E-15 2.23551685E-17 7.27980930E-17 1.69462207E-16 7.01240605E-16 9.43057102E-17 2.68220366E-15 7.19184981E-16 7.67666842E-16 1.47856857E-14 5.83881177E-17 1.55547304E-16 6.43818600E-19 1.08422487E-15 2.20379376E-16 2.15060150E-17 6.98997558E-16 4.61346719E-16 4.61346719E-16 5.33300465E-16 5.33300465E-16 6.18215819E-16 5.87998771E-15 5.09506925E-15
Testes     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Prostate   0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Uterus     3.35896300E-18 1.70247274E-17 1.70247274E-17 8.34157166E-17 3.09860933E-15 6.83071923E-16 8.48528689E-16 1.16338841E-14 3.54353374E-18 2.63157488E-18 2.63157488E-18 3.74941341E-18 1.22822849E-17 1.22822849E-17 2.05286873E-17 2.05286873E-17 2.05302895E-17 1.16431767E-17 2.09148119E-16 2.57277500E-17 7.52398100E-17 1.69061663E-16 6.41399313E-16 1.01794283E-16 2.44123631E-15 6.97347316E-16 9.41775361E-16 1.79860332E-14 6.44972167E-17 1.59801083E-16 9.52077356E-19 1.00092772E-15 2.20010875E-16 2.02547151E-17 6.08218238E-16 4.40454338E-16 4.40454338E-16 4.85251193E-16 4.85251193E-16 5.91459472E-16 1.14829591E-14 5.88980300E-15
LN-Sys     3.66770241E-16 2.72161720E-15 2.72161720E-15 1.47086210E-15 2.27925627E-15 1.53490110E-15 1.82648120E-15 1.66610333E-15 1.51460152E-16 5.15083719E-16 5.15083719E-16 6.80043810E-16 2.26804103E-15 2.26804103E-15 1.10099966E-15 1.10099966E-15 1.10099966E-15 2.05014503E-15 1.15423998E-15 1.66305919E-15 8.94302872E-16 1.61227020E-15 5.34309837E-16 1.95353379E-15 3.01193158E-15 2.01810150E-15 2.17896002E-15 2.21965531E-15 1.03720099E-15 2.77993642E-15 1.31525872E-16 1.01662905E-15 2.80300776E-16 1.13993255E-15 6.12848528E-16 4.58286562E-16 4.58286562E-16 5.20050466E-16 5.20050466E-16 6.11678939E-16 1.27671036E-15 3.03573600E-15
Skin       2.49442857E-16 2.27925627E-16 2.27925627E-16 2.37714925E-16 2.13041407E-16 2.24785361E-16 2.23215228E-16 2.14291105E-16 3.20563472E-16 2.28085845E-16 2.28085845E-16 2.63862446E-16 2.43642978E-16 2.43642978E-16 2.66842494E-16 2.66842494E-16 2.66842494E-16 2.43915348E-16 4.10894182E-16 2.35824357E-16 2.46510874E-16 2.30409001E-16 2.86116677E-16 2.41319822E-16 2.13153560E-16 2.29527804E-16 2.25330101E-16 2.17751806E-16 2.87702832E-16 2.06248179E-16 1.95914141E-16 2.36513293E-16 3.33749384E-15 2.66073449E-16 4.62628461E-16 2.82207366E-16 2.82207366E-16 2.62821031E-16 2.62821031E-16 2.75830704E-16 2.35039291E-16 3.05389938E-16
Adipose    3.03596423E-16 3.23335237E-16 3.23335237E-16 3.56035659E-16 5.03243635E-16 4.67979730E-16 5.02378459E-16 6.18760559E-16 4.60353370E-16 3.92357000E-16 3.92357000E-16 3.48088864E-16 3.79235174E-16 3.79235174E-16 3.45397207E-16 3.45397207E-16 3.45397207E-16 4.27781122E-16 2.87831006E-16 3.14170787E-16 3.21668973E-16 4.44155366E-16 4.42537167E-16 4.02194364E-16 5.66016909E-16 5.06464009E-16 5.36264492E-16 6.71343992E-16 4.40822839E-16 3.89921692E-16 1.38146065E-16 4.03556214E-16 4.80348533E-16 3.46550774E-16 1.01651689E-15 3.37546542E-16 3.37546542E-16 3.15788986E-16 3.15788986E-16 3.69173506E-16 4.84129669E-16 4.15032858E-16
Muscle     3.37033846E-16 4.36769332E-16 4.36769332E-16 3.00376048E-16 4.45517216E-16 5.13850043E-16 5.15500285E-16 5.74348227E-16 1.42212389E-16 3.74044123E-16 3.74044123E-16 5.45172593E-16 4.27588861E-16 4.27588861E-16 4.21212198E-16 4.21212198E-16 4.21212198E-16 4.40902947E-16 3.99839164E-16 3.16317704E-16 3.13882396E-16 4.75798351E-16 1.31517861E-15 3.26539590E-16 4.90506331E-16 5.51997865E-16 5.38587648E-16 6.43337947E-16 3.78882696E-16 3.48104885E-16 9.78657464E-17 5.71656571E-16 2.96642977E-16 4.21484568E-16 4.42312863E-16 5.53119389E-16 5.53119389E-16 4.14739405E-16 4.14739405E-16 5.21668664E-16 5.26923803E-16 4.31328211E-16
