  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Ht-wall        Liver          Kidneys        Muscle         St-wall        SI-wall        RC-wall        LC-wall        RS-wall        Spleen         Pancreas       Brain          R-marrow       Skin           Lung-Tis       Adipose        C-bone-S       C-bone-V       T-bone-S       T-bone-V       Cartilage      UB-cont        Other          
Bronch-bas 3.65953131E-16 1.17458763E-14 1.17458763E-14 7.80964907E-16 1.51961633E-16 9.26490597E-17 6.72946168E-17 2.34590681E-17 1.77537177E-16 4.16678039E-16 4.16678039E-16 5.84714309E-16 5.16029003E-13 5.21220055E-13 1.63886633E-14 8.18808315E-15 1.11924845E-14 6.78169263E-14 2.02451021E-15 1.02133945E-14 9.49049242E-16 3.67491221E-16 3.75133603E-16 6.18776581E-16 1.31016380E-16 9.38891443E-17 7.31922285E-17 1.60361845E-17 9.80820402E-16 3.57589770E-16 1.02978292E-16 1.32386241E-15 2.48657791E-16 2.47632398E-14 3.61499081E-16 5.62780513E-16 5.62780513E-16 4.49090069E-16 4.49090069E-16 4.25922597E-16 1.70215230E-17 7.42605010E-16
Bronch-sec 3.65953131E-16 1.17458763E-14 1.17458763E-14 7.80964907E-16 1.51961633E-16 9.26490597E-17 6.72946168E-17 2.34590681E-17 1.77537177E-16 4.16678039E-16 4.16678039E-16 5.84714309E-16 5.75694055E-13 5.09428036E-13 1.63886633E-14 8.18808315E-15 1.11561151E-14 6.78169263E-14 2.02451021E-15 1.02133945E-14 9.49049242E-16 3.67491221E-16 3.75133603E-16 6.18776581E-16 1.31016380E-16 9.38891443E-17 7.31922285E-17 1.60361845E-17 9.80820402E-16 3.57589770E-16 1.02978292E-16 1.32386241E-15 2.48657791E-16 2.48225203E-14 3.61499081E-16 5.62780513E-16 5.62780513E-16 4.49090069E-16 4.49090069E-16 4.25922597E-16 1.70215230E-17 7.42605010E-16
Bchiol-sec 3.57798053E-16 3.24488804E-15 3.24488804E-15 1.15222124E-15 2.04694068E-16 1.11638055E-16 9.20322218E-17 2.64134816E-17 1.94247877E-16 3.77825259E-16 3.77825259E-16 5.50171384E-16 5.87005421E-15 5.87005421E-15 5.49226100E-14 5.05182268E-14 1.56657613E-14 4.58687106E-15 2.02451021E-15 4.19353674E-15 1.43013478E-15 4.78682269E-16 4.19561957E-16 9.69252688E-16 1.67795943E-16 1.12706707E-16 9.00311033E-17 2.29864261E-17 1.65841288E-15 4.60465522E-16 1.00874634E-16 1.21151779E-15 2.77913533E-16 1.64335242E-14 3.44275684E-16 5.52029909E-16 5.52029909E-16 4.36977615E-16 4.36977615E-16 4.69485776E-16 2.20892072E-17 6.56226706E-16
AI         3.57798053E-16 3.24488804E-15 3.24488804E-15 1.15222124E-15 2.04694068E-16 1.11638055E-16 9.20322218E-17 2.64134816E-17 1.94247877E-16 3.77825259E-16 3.77825259E-16 5.50171384E-16 5.87005421E-15 5.87005421E-15 1.63886633E-14 1.63886633E-14 1.69974904E-14 4.58687106E-15 3.11431066E-15 4.19353674E-15 1.43013478E-15 4.78682269E-16 4.19561957E-16 9.69252688E-16 1.67795943E-16 1.12706707E-16 9.00311033E-17 2.29864261E-17 1.65841288E-15 4.60465522E-16 1.00874634E-16 1.21151779E-15 2.77913533E-16 1.66129680E-14 3.44275684E-16 5.52029909E-16 5.52029909E-16 4.36977615E-16 4.36977615E-16 4.69485776E-16 2.20892072E-17 6.56226706E-16
LN-Th      1.48927111E-15 1.94183790E-14 1.94183790E-14 4.06568305E-16 9.52269617E-17 6.32619386E-17 4.02883299E-17 1.28364778E-17 4.40502403E-16 5.47623923E-15 5.47623923E-15 6.03283534E-15 1.04751901E-13 1.04751901E-13 4.50483963E-15 4.50483963E-15 4.50483963E-15 6.91066784E-13 1.46802625E-15 6.32651429E-15 5.89344599E-16 2.41640258E-16 4.25842488E-16 3.38732153E-16 8.05654446E-17 5.84473982E-17 3.86460990E-17 1.18665202E-17 5.22101252E-16 2.06616680E-16 2.46895397E-16 1.31048424E-15 2.53304103E-16 7.84665935E-15 4.17655367E-16 6.15700402E-16 6.15700402E-16 5.47864250E-16 5.47864250E-16 7.33348222E-16 7.62828269E-18 1.12123525E-15
R-marrow   7.76574943E-16 1.78995157E-15 1.78995157E-15 7.07200701E-16 9.63260548E-16 8.40165328E-16 8.12671980E-16 1.11354470E-15 3.80997569E-16 1.00518951E-15 1.00518951E-15 8.96113331E-16 1.36548695E-15 1.36548695E-15 1.22178775E-15 1.22178775E-15 1.22178775E-15 1.34263992E-15 3.39757546E-15 1.07786423E-15 9.17278082E-16 1.00629501E-15 5.74188009E-16 6.95600944E-16 1.10423606E-15 8.48368472E-16 8.32442837E-16 1.01521913E-15 9.19873608E-16 9.43633886E-16 5.65680452E-16 6.68107595E-15 2.46655070E-16 1.22664234E-15 4.05799261E-16 1.24096580E-15 1.17469978E-15 3.80564981E-15 3.43827074E-15 1.91860634E-15 8.69244831E-16 1.92386136E-15
Endost-BS  7.29294715E-16 6.95921379E-16 6.95921379E-16 2.81246061E-16 4.53223685E-16 4.06936806E-16 4.09243940E-16 6.23663219E-16 5.14074348E-16 8.94511154E-16 8.94511154E-16 6.06263583E-16 5.42000284E-16 5.42000284E-16 4.66649924E-16 4.66649924E-16 4.66649924E-16 5.43666547E-16 1.32056193E-15 4.04036866E-16 3.50764498E-16 4.02114255E-16 4.52358509E-16 2.78137838E-16 5.23543211E-16 4.10365464E-16 4.22654157E-16 5.96426219E-16 3.63565888E-16 3.72810447E-16 9.85082191E-16 3.03692553E-15 2.78089773E-16 4.69149319E-16 3.40526591E-16 1.39392559E-15 1.28041138E-15 2.18985482E-14 4.88055001E-15 2.02771456E-15 5.53584020E-16 2.13965109E-15
Brain      1.59712963E-15 2.14691649E-16 2.14691649E-16 2.40246364E-17 6.87493931E-18 5.16926222E-18 3.75790495E-18 1.15029863E-18 1.79267527E-15 2.63894489E-15 2.63894489E-15 1.11460214E-15 2.14691649E-16 2.14691649E-16 1.02359851E-16 1.02359851E-16 1.02359851E-16 2.41079496E-16 3.46903253E-16 7.37225489E-17 2.99815286E-17 1.35037843E-17 9.88959458E-17 2.15604890E-17 5.92404756E-18 5.32579486E-18 3.85339467E-18 1.02936635E-18 3.00584331E-17 1.37493980E-17 1.85532037E-14 5.68484261E-16 2.02066499E-16 1.06070492E-16 1.37936180E-16 8.38643260E-16 8.38643260E-16 1.24525963E-15 1.24525963E-15 4.04261171E-16 1.16664083E-18 3.73364675E-16
Eye-lens   3.92885718E-15 2.54201321E-16 2.54201321E-16 4.68043817E-17 9.52654139E-18 2.74404767E-17 1.16345250E-18 0.00000000E+00 1.58421609E-14 3.47976711E-15 3.47976711E-15 1.30875389E-15 2.27557126E-16 2.27557126E-16 1.54803894E-16 1.54803894E-16 1.54803894E-16 2.56300173E-16 1.18754923E-16 1.46507825E-16 5.76238795E-17 2.96562868E-17 1.20725600E-16 5.40718543E-17 1.84314383E-17 1.26378079E-17 1.18389627E-17 3.30320726E-18 5.82983958E-17 4.01361232E-17 2.18761178E-15 3.89601256E-16 3.51229129E-16 1.57250418E-16 2.42585542E-16 6.74884802E-16 6.74884802E-16 6.43674404E-16 6.43674404E-16 2.66233667E-16 0.00000000E+00 3.00417269E-15
P-gland    4.87061652E-15 3.55346723E-16 3.55346723E-16 3.10533847E-17 9.34982133E-18 7.74235766E-18 4.83168363E-18 0.00000000E+00 2.95281127E-15 1.17652626E-14 1.17652626E-14 2.93134210E-15 4.65752705E-16 4.65752705E-16 1.29550389E-16 1.29550389E-16 1.29571217E-16 5.08771143E-16 1.89649631E-16 1.24679772E-16 4.83392668E-17 1.99775386E-17 1.73964323E-16 3.22037474E-17 7.14602757E-18 7.23142357E-18 5.29086741E-18 1.54594009E-18 3.85595815E-17 1.75246064E-17 1.15914264E-14 8.40197372E-16 1.97772666E-16 1.40788054E-16 2.10333729E-16 1.62717044E-15 1.62717044E-15 1.83625447E-15 1.83625447E-15 5.53840368E-16 0.00000000E+00 3.46652088E-15
