  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          C-bone-S       C-bone-V       T-bone-S       T-bone-V       UB-cont        Other          
AI         6.81453725E-20 5.72137224E-17 5.72137224E-17 7.68772344E-19 4.14034448E-20 1.13523817E-20 1.03377233E-20 1.57106222E-21 2.97572239E-20 7.61610615E-20 7.61610615E-20 1.40764022E-19 1.33377988E-15 1.33377988E-15 3.20787776E-14 3.20787776E-14 3.37370303E-14 5.44836136E-16 4.08699200E-15 2.08715531E-17 2.08715531E-17 1.37926567E-17 1.37926567E-17 6.23999676E-22 2.81248137E-16
LN-Th      5.11751192E-19 3.05791404E-15 3.05791404E-15 7.50459467E-20 9.83175601E-22 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.13810452E-20 2.32748178E-15 2.32748178E-15 1.08404863E-17 6.28613945E-14 6.28613945E-14 5.95304696E-16 5.95304696E-16 5.95304696E-16 2.15124237E-12 8.88118470E-16 1.85323754E-19 1.85323754E-19 1.53937117E-19 1.53937117E-19 0.00000000E+00 7.16250293E-17
R-marrow   1.48811754E-17 3.31201923E-18 3.31201923E-18 2.96755129E-19 4.24368486E-19 3.39885720E-19 3.35816192E-19 5.08562861E-19 1.87694975E-18 3.25802589E-18 3.25802589E-18 4.61555002E-19 6.53768116E-19 6.53768116E-19 5.56564068E-17 5.56564068E-17 5.56564068E-17 6.55081900E-19 1.15766864E-15 6.48817390E-16 3.55667158E-16 5.23703428E-15 4.79114857E-15 1.95529618E-18 4.90260056E-16
Endost-BS  2.39541407E-17 1.19523968E-18 1.19523968E-18 1.09074573E-19 1.86108821E-19 1.54220702E-19 1.59868374E-19 2.61619399E-19 3.82247266E-18 6.12079483E-18 6.12079483E-18 2.99991525E-19 2.45149024E-19 2.45149024E-19 1.93398724E-17 1.93398724E-17 1.93398724E-17 2.49250596E-19 4.38275378E-16 2.39124841E-15 4.69822233E-16 1.24641320E-14 1.16002384E-14 1.10152838E-18 3.58111152E-16
Brain      3.76703736E-19 2.82944368E-20 2.82944368E-20 9.20562544E-22 1.63598241E-22 1.01924059E-22 3.01161114E-23 0.00000000E+00 4.23855790E-19 3.61595211E-18 3.61595211E-18 2.32860331E-19 2.70863957E-20 2.70863957E-20 1.04878473E-20 1.04878473E-20 1.04878473E-20 3.37722782E-20 2.79051079E-16 5.77921081E-17 5.77921081E-17 2.36305010E-17 2.36305010E-17 0.00000000E+00 5.90956021E-16
Eye-lens   1.30269766E-18 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 6.37233654E-18 5.80933172E-19 5.80933172E-19 3.32163229E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.06231848E-21 2.02146607E-16 1.82071336E-19 1.82071336E-19 1.00792923E-19 1.00792923E-19 0.00000000E+00 5.41842100E-16
P-gland    2.57165348E-18 3.72778403E-21 3.72778403E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 7.78753903E-19 3.71849141E-18 3.71849141E-18 5.58246353E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.88592194E-20 2.63317706E-20 2.50019641E-16 3.79010870E-16 3.79010870E-16 1.05279017E-16 1.05279017E-16 0.00000000E+00 5.76923448E-16
Tongue     4.07337350E-13 4.75942547E-19 4.75942547E-19 4.59840674E-21 2.79595819E-21 2.73619700E-22 0.00000000E+00 0.00000000E+00 2.04325567E-18 1.18878291E-15 1.18878291E-15 2.47327984E-15 4.51156877E-19 4.51156877E-19 6.45613037E-20 6.45613037E-20 6.45613037E-20 5.26891760E-19 2.34398420E-16 3.86140555E-17 3.86140555E-17 1.29112994E-17 1.29112994E-17 0.00000000E+00 1.87303134E-16
Tonsils    1.07799241E-14 1.61467346E-19 1.61467346E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.38362359E-18 9.55810427E-17 9.55810427E-17 5.86540790E-18 1.74220671E-19 1.74220671E-19 5.95641153E-21 5.95641153E-21 5.95641153E-21 2.02354890E-19 2.19337961E-16 9.78417137E-18 9.78417137E-18 1.04144676E-18 1.04144676E-18 0.00000000E+00 5.93074967E-16
S-glands   0.00000000E+00 3.72201620E-19 3.72201620E-19 4.17190735E-21 6.59359711E-22 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.68644788E-19 4.74772958E-18 4.74772958E-18 8.91467019E-16 3.10389651E-19 3.10389651E-19 6.13024767E-20 6.13024767E-20 6.13024767E-20 4.38531726E-19 2.22734575E-16 5.33332509E-17 5.33332509E-17 5.99934986E-18 5.99934986E-18 0.00000000E+00 5.93631452E-16
