  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          UB-cont        C-bone-S       C-bone-V       T-bone-S       T-bone-V       Other          
AI         2.71120305E-22 5.94743934E-19 5.94743934E-19 1.38211755E-19 2.35391769E-21 1.31908792E-21 3.38924414E-21 4.00944666E-25 5.29407177E-22 1.32077021E-21 1.32077021E-21 3.30272661E-21 6.91771742E-17 6.91771742E-17 6.53159288E-15 6.53159288E-15 7.17230326E-15 8.21403841E-18 8.48865146E-16 0.00000000E+00 3.32499686E-19 3.32499686E-19 2.56748782E-19 2.56748782E-19 5.74492866E-17
LN-Th      1.89361239E-21 1.00765686E-16 1.00765686E-16 0.00000000E+00 3.85611837E-22 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.02418668E-19 4.02418668E-19 6.50772045E-19 4.76182874E-16 4.76182874E-16 9.06062847E-18 9.06062847E-18 9.06062847E-18 4.90506331E-13 8.83488180E-17 0.00000000E+00 1.71224601E-19 1.71224601E-19 0.00000000E+00 0.00000000E+00 1.10949831E-18
R-marrow   3.66225501E-19 1.34159850E-19 1.34159850E-19 9.17999062E-21 1.13030347E-20 8.18471858E-21 1.29747456E-20 1.65280526E-20 1.13124875E-19 2.15332520E-19 2.15332520E-19 4.46847022E-19 2.55162627E-20 2.55162627E-20 4.72097324E-19 4.72097324E-19 4.72097324E-19 5.95609109E-20 2.25986993E-16 1.73611844E-20 7.49530204E-17 1.24349724E-17 8.99686185E-16 2.60241527E-16 1.25160567E-16
Endost-BS  6.01809532E-19 6.01376944E-20 6.01376944E-20 3.15805007E-21 4.26499381E-21 3.21300473E-21 4.58462802E-21 8.15427723E-21 2.26964321E-19 3.57061052E-19 3.57061052E-19 2.13265712E-19 8.82382678E-21 8.82382678E-21 1.59850750E-19 1.59850750E-19 1.59850750E-19 1.94600356E-20 8.65207347E-17 9.27243620E-21 1.05514537E-15 1.56478169E-17 5.19681965E-15 1.68869402E-15 9.92756281E-17
Brain      1.46640805E-20 3.48297147E-22 3.48297147E-22 5.09155666E-25 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.44641289E-20 1.70856101E-18 1.70856101E-18 3.61306820E-21 2.26211298E-22 2.26211298E-22 0.00000000E+00 0.00000000E+00 0.00000000E+00 9.81909882E-23 6.29463098E-17 0.00000000E+00 1.14212753E-18 1.14212753E-18 3.09716737E-19 3.09716737E-19 1.24637979E-16
Eye-lens   0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.14472306E-19 3.02266616E-20 3.02266616E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 6.22573739E-17 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.27329059E-16
P-gland    1.41831071E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.97636326E-20 1.41246277E-16 1.41246277E-16 1.45841319E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.30425177E-22 0.00000000E+00 6.44331296E-17 0.00000000E+00 4.96226102E-19 4.96226102E-19 0.00000000E+00 0.00000000E+00 1.23841014E-16
Tongue     9.21027175E-14 8.52454022E-21 8.52454022E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 5.51757539E-20 3.07697994E-17 3.07697994E-17 1.56507008E-17 6.72145080E-22 6.72145080E-22 7.04621197E-22 7.04621197E-22 7.04621197E-22 4.29062863E-21 6.32891756E-17 0.00000000E+00 5.81894478E-19 5.81894478E-19 2.50948903E-19 2.50948903E-19 5.45514774E-17
Tonsils    5.43730634E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.51405369E-21 1.58011452E-18 1.58011452E-18 1.88912630E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 6.46702517E-17 0.00000000E+00 1.02305377E-18 1.02305377E-18 6.22045021E-19 6.22045021E-19 1.23986665E-16
S-glands   0.00000000E+00 9.10725181E-21 9.10725181E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.45285364E-21 9.86700390E-20 9.86700390E-20 2.29031129E-19 1.88720368E-21 1.88720368E-21 3.11447087E-22 3.11447087E-22 3.11447087E-22 4.16469756E-21 6.36833110E-17 0.00000000E+00 4.37266007E-19 4.37266007E-19 1.90194371E-20 1.90194371E-20 1.24529416E-16
