  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-wall        St-cont        SI-wall        SI-cont        RC-wall        RC-cont        LC-wall        LC-cont        RS-wall        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        Spleen         Pancreas       Muscle         Skin           Adipose        Brain          Ht-wall        Lung-Tis       R-marrow       Cartilage      C-bone-S       T-bone-S       UB-cont        Other          
Kidneys    4.11214617E-21 1.48206132E-19 1.48206132E-19 1.33007885E-18 1.20887420E-18 1.77713416E-17 4.40262077E-18 7.75485463E-17 7.80628450E-18 2.84274174E-19 2.88279615E-19 3.08515104E-20 4.22750288E-20 2.89753618E-21 5.25065278E-21 5.25065278E-21 5.75694055E-21 5.83945264E-20 5.83945264E-20 1.30333853E-19 1.30333853E-19 1.30333853E-19 4.27749078E-20 1.67042921E-15 3.93446480E-17 8.30936791E-14 1.80549268E-17 1.17420310E-16 4.64855486E-18 6.11775070E-20 1.19477505E-17 4.73443152E-22 1.65745158E-19 1.27925782E-19 6.97827969E-19 1.47554046E-18 7.22036856E-19 2.79563775E-19 3.11206761E-20 4.47551511E-18
Spleen     8.12591871E-21 5.13064976E-19 5.13064976E-19 3.89328886E-16 4.82415340E-18 3.98541401E-19 4.85331301E-19 3.34454342E-20 2.98389349E-20 8.27395981E-20 9.39243922E-20 3.63726106E-21 6.48817390E-21 4.98917758E-21 1.01529924E-20 1.01529924E-20 1.69686512E-20 1.97340078E-19 1.97340078E-19 4.50195571E-17 4.50195571E-17 4.50195571E-17 1.81174117E-19 2.21388747E-15 3.73130882E-19 1.78770852E-17 1.57758308E-13 7.09459770E-19 4.68780818E-18 9.03547430E-20 1.68164444E-17 1.42531222E-21 7.30063760E-19 4.35279308E-17 1.00728836E-18 2.15188324E-19 1.70071034E-19 3.33893580E-19 5.68756631E-21 2.54121489E-19
GB-wall    3.88880277E-21 2.71424719E-19 2.71424719E-19 1.70055012E-16 1.14566834E-18 2.44011479E-16 4.30857301E-17 2.88039289E-19 2.93791102E-19 1.06437391E-19 8.56683768E-20 1.32339778E-20 3.03099748E-21 2.36801685E-20 2.60465831E-21 2.60465831E-21 2.76119096E-21 6.51669264E-20 6.51669264E-20 1.92741831E-19 1.92741831E-19 1.92741831E-19 9.80612119E-20 2.38035361E-16 1.19801145E-15 2.74725202E-16 3.51725804E-19 5.15852764E-16 1.02563328E-17 5.46774770E-20 1.21233490E-17 1.06192258E-21 2.55290801E-19 1.88480042E-19 2.92829797E-18 2.55114562E-17 3.49883301E-17 8.84673791E-19 3.51132999E-21 3.55683721E-15
Ureters    1.11847941E-22 3.60313470E-20 3.60313470E-20 4.44908389E-19 3.06544427E-19 1.48462480E-16 2.09051988E-18 1.40888992E-18 1.19136241E-18 1.31093285E-18 1.21916018E-18 2.91339772E-16 4.60801979E-18 1.27903351E-21 4.02226407E-23 4.02226407E-23 5.50395689E-22 1.21829500E-20 1.21829500E-20 2.42393281E-20 2.42393281E-20 3.00039591E-20 1.97900840E-20 2.06680767E-16 2.89433182E-19 2.55194671E-16 1.39458248E-19 5.78017211E-18 2.87590679E-17 3.41744245E-20 8.00271133E-17 1.38222970E-22 1.66530224E-20 2.93070123E-20 3.88543820E-18 4.23343093E-17 2.38243644E-17 1.41037994E-18 1.75005738E-17 3.89891301E-15
UB-wall    4.33068304E-24 9.41214599E-23 9.41214599E-23 1.14533188E-20 7.69749671E-21 1.43817770E-16 3.63341584E-17 3.05583121E-19 2.66538080E-19 5.15868785E-19 4.06456153E-19 1.00845795E-15 1.56598332E-16 7.10389033E-23 3.61963712E-24 3.61963712E-24 3.79443457E-24 4.14835536E-23 4.14835536E-23 2.27637235E-22 2.27637235E-22 7.55570410E-22 5.41423500E-23 1.70792014E-16 8.44475183E-21 1.94888748E-20 4.48240916E-21 3.02939530E-20 1.39120189E-17 7.77440119E-20 3.27468852E-17 8.15427723E-25 1.47299300E-21 7.21251789E-22 1.87935302E-17 5.30464613E-17 3.24008151E-17 1.11085305E-17 7.62764182E-15 3.92063670E-15
Ovaries    3.91107302E-24 2.74629072E-23 2.74629072E-23 1.13080014E-20 2.51798057E-21 9.41470947E-17 3.12039893E-17 2.47424115E-19 1.74765411E-19 2.18633003E-19 1.90258458E-19 5.14122413E-16 5.48697382E-18 4.82992124E-24 2.06648723E-24 2.06648723E-24 3.24280521E-24 3.84682575E-23 3.84682575E-23 3.31426228E-23 3.31426228E-23 1.44408973E-21 1.89521457E-23 9.31136909E-16 8.43241507E-21 1.67956161E-20 4.04982151E-21 6.55562553E-20 3.23687716E-18 5.21892969E-20 4.23487289E-17 4.93117879E-25 1.06639265E-21 1.36928411E-21 3.85387532E-19 1.90803198E-19 3.13017220E-19 1.42270068E-19 3.30913532E-18 3.95846486E-15
Testes     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Prostate   0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Uterus     6.13136920E-23 3.01321332E-22 3.01321332E-22 8.65639934E-21 1.42354983E-20 2.41351866E-17 1.07002959E-16 1.95305314E-19 2.09869098E-19 2.66714320E-19 2.23615772E-19 1.00184096E-15 2.62965227E-16 7.24311946E-24 2.31738807E-24 2.31738807E-24 3.80997569E-24 3.63982454E-22 3.63982454E-22 4.33581001E-22 4.33581001E-22 9.78288963E-22 4.62275982E-23 2.16598239E-16 1.18065988E-20 2.27012386E-20 3.52590979E-21 3.00696483E-20 2.90907185E-18 5.37978821E-20 1.54989747E-17 7.28445562E-25 5.45733355E-22 9.46661999E-22 4.51461291E-19 1.02821278E-18 6.14002095E-19 2.53304103E-19 1.26073666E-16 4.22056634E-15
LN-Sys     9.79875118E-20 5.53904455E-16 5.53904455E-16 3.30160509E-16 1.17570915E-17 5.79619388E-16 6.63429240E-17 4.02226407E-16 2.94063472E-17 3.20307123E-16 4.76791701E-17 4.14579188E-16 4.04181062E-17 2.31818916E-20 2.74837355E-19 2.74837355E-19 3.12953133E-19 3.80452829E-16 3.80452829E-16 8.75413211E-17 8.75413211E-17 8.75413211E-17 1.53384366E-16 8.32859403E-16 1.87662932E-17 9.96521731E-17 2.97892674E-18 3.10117281E-16 1.88175628E-17 4.74484567E-19 1.18647578E-16 2.48016920E-20 2.61122724E-16 9.73113933E-17 1.46027172E-17 1.86381191E-17 9.28236970E-18 3.97355791E-18 1.02808461E-17 3.57108897E-15
Skin       3.23271150E-19 5.78001189E-20 5.78001189E-20 7.18207654E-20 6.67338550E-20 5.75742121E-20 5.54529304E-20 6.92861222E-20 6.38259047E-20 6.61827063E-20 6.36528697E-20 5.90257840E-20 5.60249074E-20 1.73948301E-17 6.07304997E-20 6.07304997E-20 8.88775363E-20 7.03627848E-20 7.03627848E-20 8.40101241E-20 8.40101241E-20 8.40101241E-20 7.37289576E-20 3.30673205E-16 7.30496347E-20 6.30152034E-20 9.68083099E-20 5.05983356E-20 3.69189528E-19 1.06706556E-14 9.48232132E-17 4.55995450E-20 6.81021138E-20 8.35535038E-20 1.15305437E-19 2.69998782E-19 5.28029305E-19 2.22958880E-19 7.08402334E-20 8.03615989E-18
Adipose    1.43671972E-17 1.35055467E-17 1.35055467E-17 1.64126959E-17 4.84193756E-19 3.20947994E-17 3.22966736E-18 2.36769641E-17 1.19889264E-18 2.34510572E-17 1.98269340E-18 2.97988805E-17 4.61410806E-18 1.25897426E-16 7.13641451E-17 7.13641451E-17 4.57501496E-17 4.61474894E-17 4.61474894E-17 1.36819463E-17 1.36819463E-17 1.36819463E-17 8.59856077E-17 1.30409155E-16 1.67475508E-18 1.22686664E-17 1.75374238E-17 6.13056811E-18 1.76928349E-17 9.75485154E-17 1.35252535E-15 2.89689531E-19 6.30648709E-18 1.47646972E-17 4.23343093E-18 1.15912662E-17 8.78489390E-18 2.34334333E-18 1.55383882E-18 6.30985247E-17
Muscle     4.11743335E-17 1.51915170E-17 1.51915170E-17 7.15003301E-18 1.08629168E-19 3.45669577E-18 1.59938870E-19 1.96026293E-17 5.88671685E-19 1.05617076E-20 2.39621515E-19 9.18111214E-18 3.13834330E-19 6.44619688E-18 1.10933098E-17 1.10933098E-17 9.73562542E-17 1.25453623E-17 1.25453623E-17 6.84433773E-18 6.84433773E-18 6.84433773E-18 1.64159003E-17 1.79427745E-16 4.02787169E-18 4.80572837E-18 4.65288074E-18 2.83296846E-19 1.64495460E-15 3.67026590E-19 1.72666560E-17 3.17471271E-20 1.77072545E-18 7.03467630E-18 1.46869916E-17 5.78834321E-17 4.31450106E-17 6.25617875E-18 8.99814359E-19 2.34044956E-17
