  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-wall        St-cont        SI-wall        SI-cont        RC-wall        RC-cont        LC-wall        LC-cont        RS-wall        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        Spleen         Pancreas       Muscle         Skin           Adipose        Brain          Ht-wall        Lung-Tis       R-marrow       Cartilage      C-bone-S       T-bone-S       UB-cont        Other          
Bronch-bas 5.51228820E-20 1.72394190E-15 1.72394190E-15 1.30764838E-19 2.38371818E-19 9.76174090E-21 1.96635120E-20 1.20325056E-21 3.81526287E-21 3.12776894E-21 1.10197699E-20 5.36504818E-22 1.96987599E-22 3.04125141E-20 1.55725146E-19 1.55725146E-19 1.19435848E-19 3.91700108E-12 4.22157483E-12 3.07986386E-14 2.74693159E-15 2.69197693E-15 3.61803494E-14 1.37373816E-15 3.11591283E-19 6.03203426E-20 2.90074053E-19 6.53543811E-20 1.04687814E-19 4.75365764E-20 2.20779920E-17 7.39035948E-21 9.77231526E-16 6.33869084E-14 4.77192245E-19 1.26869947E-19 2.60898419E-19 1.74412932E-19 3.86669273E-22 1.07218948E-17
Bronch-sec 5.51228820E-20 1.72394190E-15 1.72394190E-15 1.30764838E-19 2.38371818E-19 9.76174090E-21 1.96635120E-20 1.20325056E-21 3.81526287E-21 3.12776894E-21 1.10197699E-20 5.36504818E-22 1.96987599E-22 3.04125141E-20 1.55725146E-19 1.55725146E-19 1.19435848E-19 5.23334928E-12 3.72794425E-12 3.07986386E-14 2.74693159E-15 2.62180160E-15 3.61803494E-14 1.37373816E-15 3.11591283E-19 6.03203426E-20 2.90074053E-19 6.53543811E-20 1.04687814E-19 4.75365764E-20 2.20779920E-17 7.39035948E-21 9.77231526E-16 6.27636617E-14 4.77192245E-19 1.26869947E-19 2.60898419E-19 1.74412932E-19 3.86669273E-22 1.07218948E-17
Bchiol-sec 7.48264485E-20 6.07753607E-17 6.07753607E-17 2.21581008E-17 8.55289874E-19 3.47864559E-20 4.47487893E-20 1.63213719E-20 1.33357160E-20 1.29414204E-20 1.18237420E-20 1.39919675E-21 1.87662932E-21 3.26459481E-20 8.24688303E-20 8.24688303E-20 1.48864626E-19 1.37856071E-15 1.37856071E-15 7.18672285E-13 5.63982145E-13 2.19994853E-14 5.63661710E-16 1.37373816E-15 4.07930155E-17 1.25250147E-19 4.04549563E-17 1.12879742E-19 6.18776581E-18 8.38386912E-20 1.20925873E-17 1.22395068E-20 3.57974292E-16 3.51357304E-14 5.38427430E-17 1.89905979E-17 2.26643886E-17 1.49708973E-17 9.17438300E-22 1.75849536E-17
AI         7.48264485E-20 6.07753607E-17 6.07753607E-17 2.21581008E-17 8.55289874E-19 3.47864559E-20 4.47487893E-20 1.63213719E-20 1.33357160E-20 1.29414204E-20 1.18237420E-20 1.39919675E-21 1.87662932E-21 3.26459481E-20 8.24688303E-20 8.24688303E-20 1.48864626E-19 1.37856071E-15 1.37856071E-15 3.07986386E-14 3.07986386E-14 3.23944064E-14 5.63661710E-16 3.92869696E-15 4.07930155E-17 1.25250147E-19 4.04549563E-17 1.12879742E-19 6.18776581E-18 8.38386912E-20 1.20925873E-17 1.22395068E-20 3.57974292E-16 3.13337656E-14 5.38427430E-17 1.89905979E-17 2.26643886E-17 1.49708973E-17 9.17438300E-22 1.75849536E-17
LN-Th      5.24985169E-19 3.33284753E-15 3.33284753E-15 8.50339149E-20 8.41719439E-20 6.33276278E-21 4.02658995E-21 8.27299851E-21 1.33434064E-22 8.60961579E-23 9.61386001E-23 1.84843101E-23 1.84154165E-23 3.02090377E-20 2.44700415E-15 2.44700415E-15 3.03708575E-17 6.74756628E-14 6.74756628E-14 6.15075553E-16 6.15075553E-16 6.15075553E-16 2.04373633E-12 8.99846402E-16 1.14893678E-19 2.01746063E-20 1.62188326E-19 3.88479733E-20 1.71753319E-17 7.37658076E-20 8.69821615E-17 3.73547448E-20 6.31818298E-16 2.84450414E-15 4.37650529E-19 8.53223066E-17 2.65080100E-19 1.74348845E-19 1.56832250E-23 4.08415457E-17
R-marrow   1.69285968E-17 4.44619997E-18 4.44619997E-18 4.44636019E-19 3.04958273E-19 1.63678350E-18 4.37185898E-19 3.72073446E-19 3.51613652E-19 3.57653857E-19 3.46262382E-19 1.04803171E-17 5.29999982E-19 2.20187115E-18 3.60633905E-18 3.60633905E-18 4.84129669E-19 6.67931356E-19 6.67931356E-19 6.03732144E-17 6.03732144E-17 6.03732144E-17 6.67851247E-19 1.11301598E-15 1.44588417E-17 7.85867567E-19 1.17165564E-18 4.22221570E-19 1.47134276E-17 1.29845189E-19 4.15844907E-18 9.94871490E-18 1.21837511E-17 5.83817090E-17 1.46544675E-14 1.97532339E-15 6.48817390E-16 5.01128762E-15 2.14419279E-18 1.97451949E-15
Endost-BS  2.70351260E-17 1.59320430E-18 1.59320430E-18 1.61146911E-19 1.12325389E-19 6.68812553E-19 1.92229135E-19 1.69590381E-19 1.60017377E-19 1.72602473E-19 1.65200418E-19 4.17655367E-18 2.73139048E-19 4.49009960E-18 6.80780811E-18 6.80780811E-18 3.13049264E-19 2.50932881E-19 2.50932881E-19 2.09772967E-17 2.09772967E-17 2.09772967E-17 2.54762083E-19 4.21180155E-16 5.03820418E-18 2.87061961E-19 4.18232150E-19 1.56156131E-19 7.03868174E-18 2.05687417E-19 2.31866981E-18 2.04758155E-17 4.13601860E-18 2.02867587E-17 5.95160500E-15 2.31802894E-15 2.37138142E-15 1.21981707E-14 1.20816925E-18 2.98723779E-15
Brain      4.05270542E-19 3.20114862E-20 3.20114862E-20 1.51339989E-21 1.22779591E-21 6.55642662E-22 2.20010875E-22 7.58854871E-23 1.63069523E-22 1.31879953E-22 8.35486973E-23 1.51788598E-24 7.55986975E-24 4.51060746E-19 3.93863046E-18 3.93863046E-18 2.51958274E-19 3.02266616E-20 3.02266616E-20 1.22838871E-20 1.22838871E-20 1.22838871E-20 3.73755731E-20 2.68652953E-16 2.54762083E-21 4.71488497E-22 2.32620004E-21 5.01881785E-22 3.25033544E-19 4.66826163E-20 2.83777499E-19 2.21917465E-14 8.15764180E-21 1.28851840E-20 1.02117923E-17 7.64766903E-18 6.18167754E-17 2.66393884E-17 6.10909894E-24 3.44512649E-17
Eye-lens   1.31032402E-18 6.61106084E-21 6.61106084E-21 1.06387723E-22 7.61402332E-23 1.23785758E-24 1.27920975E-23 2.40374538E-23 0.00000000E+00 1.85948603E-23 1.81029921E-23 3.32756035E-24 0.00000000E+00 6.29943751E-18 6.51573134E-19 6.51573134E-19 1.74813476E-20 1.04703836E-21 1.04703836E-21 5.37193754E-21 5.37193754E-21 5.37193754E-21 1.02268527E-20 1.93735181E-16 1.35470431E-22 5.23703428E-23 1.21238297E-22 7.62523855E-23 7.87357591E-20 4.87622414E-17 3.03340074E-18 2.19129678E-19 2.46767223E-20 5.22950405E-21 1.59302806E-20 4.27268426E-20 2.21036268E-19 1.15597034E-19 0.00000000E+00 3.82339973E-15
P-gland    2.43242434E-18 3.13818309E-20 3.13818309E-20 6.00255421E-23 5.39901433E-23 8.89528386E-24 9.12423488E-24 9.09795918E-24 4.55274471E-24 6.61939216E-24 1.43196126E-23 1.43606283E-24 0.00000000E+00 7.89808921E-19 3.94840373E-18 3.94840373E-18 6.19449495E-19 7.00952213E-21 7.00952213E-21 4.71728823E-22 4.71728823E-22 2.22782641E-20 4.16277495E-20 2.39108819E-16 3.96827072E-21 3.37466433E-23 3.81269939E-21 1.90963415E-23 5.80340367E-21 1.10069525E-21 1.33456495E-17 1.32402263E-15 2.95537475E-22 2.13297756E-20 4.38611835E-17 3.19938623E-17 4.00255730E-16 1.16502263E-16 0.00000000E+00 4.02928735E-15
