  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Ht-wall        Liver          Kidneys        Muscle         St-wall        SI-wall        RC-wall        LC-wall        RS-wall        Spleen         Pancreas       Brain          R-marrow       Skin           Lung-Tis       Adipose        C-bone-S       C-bone-V       T-bone-S       T-bone-V       Cartilage      UB-cont        Other         
Bronch-bas 2.41111540E-16 3.73082817E-15 3.73082817E-15 1.11865564E-15 3.01930159E-16 2.26980343E-16 3.90097931E-16 3.60457666E-17 1.42249239E-16 2.82367584E-16 2.82367584E-16 5.07457359E-16 4.27588861E-13 4.31994846E-13 1.31136543E-14 7.80035644E-15 9.95207947E-15 1.70808035E-14 1.49409366E-15 5.20290792E-15 1.03160940E-15 3.69221571E-16 2.92749688E-16 1.01895220E-15 1.75951022E-16 1.79187418E-16 3.48265103E-16 2.48465530E-17 1.10593436E-15 5.17166548E-16 7.14298343E-17 7.64654750E-16 2.08475204E-16 2.02963717E-14 3.62027799E-16 3.85691946E-16 3.85691946E-16 3.63678041E-16 3.63678041E-16 3.59175925E-16 2.15765108E-17 3.39477889E-16 
Bronch-sec 2.41111540E-16 3.73082817E-15 3.73082817E-15 1.11865564E-15 3.01930159E-16 2.26980343E-16 3.90097931E-16 3.60457666E-17 1.42249239E-16 2.82367584E-16 2.82367584E-16 5.07457359E-16 4.81357904E-13 4.21452525E-13 1.31136543E-14 7.80035644E-15 9.92019615E-15 1.70808035E-14 1.49409366E-15 5.20290792E-15 1.03160940E-15 3.69221571E-16 2.92749688E-16 1.01895220E-15 1.75951022E-16 1.79187418E-16 3.48265103E-16 2.48465530E-17 1.10593436E-15 5.17166548E-16 7.14298343E-17 7.64654750E-16 2.08475204E-16 2.03011783E-14 3.62027799E-16 3.85691946E-16 3.85691946E-16 3.63678041E-16 3.63678041E-16 3.59175925E-16 2.15765108E-17 3.39477889E-16 
Bchiol-sec 2.10926535E-16 2.49058335E-15 2.49058335E-15 1.12847699E-15 3.26123024E-16 2.46799266E-16 3.95128765E-16 3.74316493E-17 1.16281163E-16 2.62869096E-16 2.62869096E-16 4.78425921E-16 6.71199796E-15 6.71199796E-15 5.19970357E-14 4.77576767E-14 1.42526416E-14 3.51677739E-15 1.49409366E-15 3.17343097E-15 1.27983460E-15 4.58687106E-16 3.35688018E-16 1.05371943E-15 1.90867285E-16 1.98782037E-16 3.51533543E-16 2.68604888E-17 1.70103078E-15 5.62219751E-16 7.26891450E-17 8.70526572E-16 2.09388445E-16 1.49386936E-14 3.67074655E-16 5.25786258E-16 5.25786258E-16 4.41639949E-16 4.41639949E-16 4.24544726E-16 2.41447997E-17 3.25128815E-16 
AI         2.10926535E-16 2.49058335E-15 2.49058335E-15 1.12847699E-15 3.26123024E-16 2.46799266E-16 3.95128765E-16 3.74316493E-17 1.16281163E-16 2.62869096E-16 2.62869096E-16 4.78425921E-16 6.71199796E-15 6.71199796E-15 1.31136543E-14 1.31136543E-14 1.39091350E-14 3.51677739E-15 2.59616678E-15 3.17343097E-15 1.27983460E-15 4.58687106E-16 3.35688018E-16 1.05371943E-15 1.90867285E-16 1.98782037E-16 3.51533543E-16 2.68604888E-17 1.70103078E-15 5.62219751E-16 7.26891450E-17 8.70526572E-16 2.09388445E-16 1.36705709E-14 3.67074655E-16 5.25786258E-16 5.25786258E-16 4.41639949E-16 4.41639949E-16 4.24544726E-16 2.41447997E-17 3.25128815E-16 
LN-Th      5.80628759E-16 1.65344613E-14 1.65344613E-14 5.17919571E-16 1.61146911E-16 1.24136634E-16 1.83721578E-16 2.11198905E-17 1.91460090E-16 1.56450932E-15 1.56450932E-15 3.95160809E-15 2.65016013E-14 2.65016013E-14 3.46598839E-15 3.46598839E-15 3.46598839E-15 5.80788977E-13 1.25267771E-15 5.83128154E-15 5.74188009E-16 2.34045941E-16 3.07281428E-16 4.62772657E-16 1.01674120E-16 1.07589355E-16 1.63774481E-16 1.43293858E-17 6.06567996E-16 2.98501501E-16 1.39956525E-16 1.15776477E-15 1.97003621E-16 4.18712803E-15 4.70318908E-16 6.16918056E-16 6.16918056E-16 4.32667760E-16 4.32667760E-16 5.37530211E-16 1.40935455E-17 7.82868484E-16 
R-marrow   5.64046232E-16 1.38355951E-15 1.38355951E-15 5.29631481E-16 6.83023858E-16 4.99847020E-16 4.61234567E-16 8.92187999E-16 2.61955856E-16 6.04212797E-16 6.04212797E-16 6.90441935E-16 8.15828267E-16 8.15828267E-16 8.62563755E-16 8.62563755E-16 8.62563755E-16 1.16359670E-15 2.03460392E-15 7.86925003E-16 6.60737583E-16 7.91202815E-16 4.40550469E-16 5.40189824E-16 7.79442839E-16 5.61306510E-16 4.82094905E-16 9.24616051E-16 7.31730023E-16 7.70646890E-16 4.78650225E-16 5.24905061E-15 2.08443161E-16 8.61121796E-16 4.19033238E-16 1.14425843E-15 1.10005438E-15 3.12600654E-15 2.64311055E-15 2.42377259E-15 9.15772036E-16 1.66684663E-15 
Endost-BS  5.83656872E-16 5.21075859E-16 5.21075859E-16 2.02947696E-16 2.83793521E-16 2.13185603E-16 1.91075568E-16 4.60914132E-16 3.75966734E-16 5.99502398E-16 5.99502398E-16 4.18552585E-16 3.12824959E-16 3.12824959E-16 3.27052286E-16 3.27052286E-16 3.27052286E-16 4.39909598E-16 8.20762971E-16 2.88039289E-16 2.50756642E-16 3.09588563E-16 3.53936808E-16 2.06232157E-16 3.47207666E-16 2.49010270E-16 2.04758155E-16 4.89064373E-16 2.82127258E-16 2.89513291E-16 8.34397493E-16 2.32171395E-15 2.44780524E-16 3.26619699E-16 2.98068914E-16 1.10045492E-15 1.01236726E-15 1.74493041E-14 3.62844909E-15 2.70447391E-15 5.14314674E-16 1.97826552E-15 
Brain      1.50987510E-15 1.40778441E-16 1.40778441E-16 1.87694975E-17 7.53391449E-18 8.71696161E-18 1.03973243E-17 1.24410606E-18 1.40921035E-15 2.75702530E-15 2.75702530E-15 7.19040786E-16 8.87397491E-17 8.87397491E-17 7.26266602E-17 7.26266602E-17 7.26266602E-17 1.42686634E-16 2.95473388E-16 4.90298049E-17 2.44027501E-17 1.12429531E-17 9.11990900E-17 1.81814988E-17 4.90506331E-18 7.19056807E-18 9.42288057E-18 8.86740598E-19 2.43979435E-17 1.18099633E-17 1.68532945E-14 4.79227009E-16 1.77745459E-16 7.31313457E-17 1.47126265E-16 7.34581898E-16 7.34581898E-16 5.59480029E-16 5.59480029E-16 4.99991216E-16 7.58197979E-19 3.53659399E-16 
Eye-lens   3.47464015E-15 1.43364354E-16 1.43364354E-16 3.22630279E-17 9.71143256E-18 5.92068299E-18 2.18168372E-18 0.00000000E+00 1.23710455E-14 5.66625736E-15 5.66625736E-15 1.00501327E-15 1.24380165E-16 1.24380165E-16 1.08824634E-16 1.08824634E-16 1.08824634E-16 1.36901174E-16 1.36739354E-16 7.78978208E-17 3.65488500E-17 2.18120307E-17 9.02618167E-17 3.13818309E-17 2.21084333E-18 1.43998816E-17 2.05559243E-17 1.75774782E-18 3.18881186E-17 2.39589472E-17 2.26723995E-15 3.50796542E-16 3.15356398E-16 1.09395008E-16 2.58575263E-16 5.96073740E-16 5.96073740E-16 3.81542309E-16 3.81542309E-16 3.56564377E-16 0.00000000E+00 2.66495041E-15 
P-gland    4.56027493E-15 2.09164140E-16 2.09164140E-16 1.90819220E-17 2.67595517E-18 5.31874528E-18 1.88111541E-17 0.00000000E+00 3.00552287E-15 2.71136327E-14 2.71136327E-14 1.61227020E-15 1.30942680E-16 1.30942680E-16 1.01244737E-16 1.01244737E-16 1.01255952E-16 2.60610027E-16 1.75902957E-16 8.58029596E-17 2.70735783E-17 1.52413447E-17 1.38998423E-16 2.96018128E-17 6.85459166E-18 6.93838549E-18 1.16881979E-17 2.81390256E-20 2.71665045E-17 1.52272456E-17 1.07304168E-14 4.87910806E-16 1.77312872E-16 1.02214053E-16 2.39973994E-16 8.47295013E-16 8.47295013E-16 5.31778398E-16 5.31778398E-16 4.55290492E-16 0.00000000E+00 3.05405875E-15 
