  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Spleen         UB-cont        Other          
LN-Th      1.08204591E-15 2.47616376E-14 2.47616376E-14 9.74587935E-16 3.32243338E-16 2.64311055E-16 3.52094305E-16 5.40350042E-17 4.06279914E-16 2.77673207E-15 2.77673207E-15 6.76519022E-15 2.71841285E-14 2.71841285E-14 5.84682265E-15 5.84682265E-15 5.84682265E-15 1.25440806E-12 1.84170187E-15 1.08164537E-15 1.12836483E-15 3.18753012E-17 8.08874177E-16
R-marrow   1.02350238E-15 2.51733970E-15 2.51733970E-15 9.84104864E-16 1.25838146E-15 9.39211878E-16 8.66008435E-16 1.62941349E-15 4.98437105E-16 1.10582221E-15 1.10582221E-15 1.25367106E-15 1.48480104E-15 1.48480104E-15 1.54318435E-15 1.54318435E-15 1.54318435E-15 2.11663536E-15 3.74108210E-15 1.21396912E-15 1.34195098E-15 1.66257854E-15 1.26270078E-15
Endost-BS  1.03247457E-15 9.46517803E-16 9.46517803E-16 3.78434086E-16 5.22982449E-16 4.01104884E-16 3.59800774E-16 8.38899609E-16 6.90025369E-16 1.07361846E-15 1.07361846E-15 7.61722767E-16 5.71704636E-16 5.71704636E-16 5.88207054E-16 5.88207054E-16 5.88207054E-16 8.02097615E-16 1.50377081E-15 4.62259960E-16 5.18816790E-16 9.29614841E-16 1.08347945E-15
Brain      2.77737294E-15 2.98645697E-16 2.98645697E-16 4.87334022E-17 2.21212508E-17 2.55787476E-17 2.96787172E-17 4.86885413E-18 2.62612748E-15 4.91772051E-15 4.91772051E-15 1.37644584E-15 1.97612448E-16 1.97612448E-16 1.64303199E-16 1.64303199E-16 1.64303199E-16 3.08210691E-16 5.44179244E-16 6.13649616E-17 6.18536255E-17 3.35431669E-18 1.02479248E-15
Eye-lens   6.51028394E-15 3.02619095E-16 3.02619095E-16 1.06514295E-16 3.45829795E-17 3.01785963E-17 7.41262973E-17 1.25381525E-17 2.29543825E-14 1.04684609E-14 1.04684609E-14 1.82952533E-15 2.82591889E-16 2.82591889E-16 2.14563475E-16 2.14563475E-16 2.14563475E-16 2.82896302E-16 2.53432277E-16 6.74852758E-17 7.70390542E-17 0.00000000E+00 7.27606024E-16
P-gland    7.90369683E-15 3.72009359E-16 3.72009359E-16 5.61963403E-17 1.35231706E-17 9.83544102E-18 5.14763284E-17 0.00000000E+00 5.30544722E-15 4.09772658E-14 4.09772658E-14 2.85155371E-15 2.95809845E-16 2.95809845E-16 1.74380889E-16 1.74380889E-16 1.74380889E-16 4.19994544E-16 3.52863349E-16 9.69204622E-17 7.89985160E-17 1.58335091E-18 1.10677165E-15
Tongue     3.19826470E-13 1.38685999E-15 1.38685999E-15 1.52674602E-16 6.14082204E-17 7.02394172E-17 8.80299849E-17 1.50322607E-17 9.35286546E-15 2.20010875E-14 2.20010875E-14 1.99871517E-14 7.10004510E-16 7.10004510E-16 4.65336139E-16 4.65336139E-16 4.65336139E-16 1.22694675E-15 9.07873306E-16 1.66642376E-16 1.43542196E-16 9.87693739E-18 8.59437910E-16
Tonsils    1.98669884E-14 8.32731229E-16 8.32731229E-16 8.80379958E-17 4.79499379E-17 4.00351861E-17 4.91355485E-17 1.10577415E-17 4.22333722E-15 3.12360328E-14 3.12360328E-14 6.68460074E-15 4.70463104E-16 4.70463104E-16 3.06688623E-16 3.06688623E-16 3.06688623E-16 8.09403539E-16 3.25578284E-16 1.08005921E-16 1.04264839E-16 2.70431369E-18 1.15612159E-15
S-glands   7.99614241E-15 1.49124179E-15 1.49124179E-15 1.36672063E-16 5.59095507E-17 6.05382386E-17 7.98909283E-17 1.25855770E-17 2.31194067E-15 7.57316782E-15 7.57316782E-15 1.21903200E-14 7.11702817E-16 7.11702817E-16 4.98709475E-16 4.98709475E-16 4.98709475E-16 1.28255830E-15 3.11703436E-16 1.59378108E-16 1.54927262E-16 8.35823430E-18 9.83593739E-16
Thyroid    2.16470065E-15 1.91876656E-14 1.91876656E-14 3.89248778E-16 1.50981101E-16 1.41664445E-16 1.91139655E-16 2.55835541E-17 7.18976699E-16 5.44756027E-15 5.44756027E-15 1.23266652E-14 9.31921975E-15 9.31921975E-15 2.52358818E-15 2.52358818E-15 2.52358818E-15 3.05214621E-14 1.49785878E-15 4.50852463E-16 4.66697989E-16 1.89649631E-17 1.06915759E-15
Breast     3.56564377E-16 9.86411998E-16 9.86411998E-16 2.08331009E-15 6.24993026E-16 6.43978817E-16 9.45059823E-16 9.42608493E-17 3.19586144E-16 3.02731247E-16 3.02731247E-16 4.44940432E-16 2.38676231E-15 2.38676231E-15 2.23856099E-15 2.23856099E-15 2.23856099E-15 9.66432857E-16 8.03363334E-16 1.87390562E-15 1.01135789E-15 6.28309531E-17 8.36715809E-16
Thymus     1.10668739E-15 9.02954625E-15 9.02954625E-15 7.09603966E-16 2.47440137E-16 2.39236993E-16 2.90634815E-16 4.12592489E-17 5.23222775E-16 1.89585544E-15 1.89585544E-15 3.72522055E-15 9.92356073E-15 9.92356073E-15 4.72561955E-15 4.72561955E-15 4.72561955E-15 2.07658094E-14 6.26483050E-16 7.63180748E-16 6.34926520E-16 3.05086447E-17 1.07219794E-15
Ht-wall    3.56099746E-16 1.05870220E-14 1.05870220E-14 5.97307416E-15 1.00876236E-15 6.18952820E-16 1.18396036E-15 1.16178624E-16 2.31033849E-16 4.16838257E-16 4.16838257E-16 7.15820411E-16 8.46958556E-15 8.46958556E-15 5.48120598E-15 5.48120598E-15 5.48120598E-15 9.81349120E-15 4.59776586E-15 2.66506037E-15 2.84338261E-15 7.59912308E-17 9.72600472E-16
Adrenals   9.74123304E-17 1.99791408E-15 1.99791408E-15 4.12544424E-15 3.42112745E-15 1.73275387E-15 2.26804103E-15 3.02426834E-16 7.29839455E-17 1.11154198E-16 1.11154198E-16 1.76063174E-16 1.08782977E-15 1.08782977E-15 1.50332220E-15 1.50332220E-15 1.50332220E-15 8.22413213E-16 2.58911720E-15 5.46886922E-15 1.07464386E-14 2.05511178E-16 1.13875461E-15
Liver      1.62813175E-16 2.35872422E-15 2.35872422E-15 3.14715527E-15 1.87454649E-15 3.86140555E-15 1.49431797E-15 2.17335240E-16 1.33230588E-16 1.60698302E-16 1.60698302E-16 2.46190439E-16 1.70119099E-15 1.70119099E-15 2.31162024E-15 2.31162024E-15 2.31162024E-15 1.04740686E-15 2.78153860E-15 1.95417466E-14 1.16716955E-15 1.73371518E-16 6.15032616E-16
Pancreas   1.00840988E-16 1.60081464E-15 1.60081464E-15 7.00327364E-15 9.98668648E-15 6.11150221E-15 5.38379365E-15 4.73122717E-16 8.39123913E-17 9.22164721E-17 9.22164721E-17 1.40466017E-16 8.93341566E-16 8.93341566E-16 1.05067530E-15 1.05067530E-15 1.05067530E-15 5.73098529E-16 2.63157488E-15 5.94695868E-15 2.19594309E-15 3.21268429E-16 1.12538914E-15
Kidneys    7.48568898E-17 9.96105165E-16 9.96105165E-16 2.59568613E-15 4.84097626E-15 3.28013592E-15 3.08739409E-15 4.88888133E-16 6.00095203E-17 7.44819805E-17 7.44819805E-17 1.15896641E-16 6.47968237E-16 6.47968237E-16 8.49826452E-16 8.49826452E-16 8.49826452E-16 4.70847626E-16 2.45966134E-15 3.48569517E-15 4.75686199E-15 3.27548961E-16 1.14570623E-15
Spleen     1.41597154E-16 2.15012085E-15 2.15012085E-15 6.71680449E-15 2.63990620E-15 5.45861529E-16 4.34301980E-15 2.41640258E-16 9.82214295E-17 1.55212449E-16 1.55212449E-16 2.43883305E-16 1.78754831E-15 1.78754831E-15 2.88343702E-15 2.88343702E-15 2.88343702E-15 1.11344857E-15 2.83248781E-15 1.16539113E-15 1.32956616E-13 1.35388720E-16 7.70764167E-16
GB-wall    1.17269706E-16 1.44077323E-15 1.44077323E-15 2.50259967E-15 3.72233663E-15 1.10023062E-14 1.96506946E-15 3.18528707E-16 1.07961060E-16 1.07802445E-16 1.07802445E-16 1.71512993E-16 1.00759277E-15 1.00759277E-15 1.21521882E-15 1.21521882E-15 1.21521882E-15 6.36096109E-16 7.45188306E-16 1.31835092E-14 1.08138902E-15 2.56059846E-16 9.34351332E-16
Ureters    3.22790497E-17 3.64879673E-16 3.64879673E-16 1.24449059E-15 6.14466726E-15 3.17823750E-15 2.00656583E-15 3.26811960E-15 3.42513289E-17 3.31730642E-17 3.31730642E-17 5.22197382E-17 2.63782337E-16 2.63782337E-16 3.20194971E-16 3.20194971E-16 3.20194971E-16 1.79219462E-16 5.81654152E-16 1.07135940E-15 9.74123304E-16 4.81085534E-15 1.37663536E-15
UB-wall    9.59751781E-18 5.44948289E-17 5.44948289E-17 1.66834638E-16 1.17630195E-15 5.23254819E-16 3.07409603E-16 6.61875129E-15 9.92836725E-18 8.51845195E-18 8.51845195E-18 1.18070794E-17 5.06624227E-17 5.06624227E-17 5.95561044E-17 5.95561044E-17 5.95561044E-17 3.45845816E-17 6.83889033E-16 1.61611542E-16 1.26605588E-16 4.29543516E-14 1.30622042E-15
Ovaries    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Testes     2.87077983E-18 1.15766864E-17 1.15766864E-17 3.62989105E-17 1.25939083E-16 8.94815568E-17 6.35423195E-17 5.62267816E-16 3.37386325E-18 1.93639050E-18 1.93639050E-18 3.44323749E-18 1.18250238E-17 1.18250238E-17 1.57468314E-17 1.57468314E-17 1.57468314E-17 9.11189812E-18 5.87069508E-16 3.33220666E-17 3.07681973E-17 1.29023272E-15 1.16877526E-15
Prostate   7.61963094E-18 3.74348536E-17 3.74348536E-17 1.06011212E-16 5.01256936E-16 3.06111840E-16 1.83545338E-16 3.19602166E-15 7.26234558E-18 4.35471569E-18 4.35471569E-18 6.98292600E-18 3.34918973E-17 3.34918973E-17 4.02771147E-17 4.02771147E-17 4.02771147E-17 2.30825566E-17 3.40510569E-16 9.95239990E-17 8.21019319E-17 1.78834939E-14 1.42268957E-15
Uterus     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
LN-Sys     4.57565583E-16 3.78193760E-15 3.78193760E-15 3.32291403E-15 3.28205853E-15 1.93783246E-15 2.43979435E-15 2.88888442E-15 1.85548059E-16 5.82006631E-16 5.82006631E-16 1.08419283E-15 2.06584636E-15 2.06584636E-15 1.70055012E-15 1.70055012E-15 1.70055012E-15 2.65817101E-15 1.24349724E-15 1.47477141E-15 1.77841590E-15 2.79179253E-15 1.14842351E-15
Skin       3.70695574E-16 3.36857606E-16 3.36857606E-16 3.50508150E-16 3.46166252E-16 3.64735477E-16 4.02594908E-16 3.92469152E-16 5.50027188E-16 3.71929250E-16 3.71929250E-16 4.23535354E-16 3.75550169E-16 3.75550169E-16 3.82695876E-16 3.82695876E-16 3.82695876E-16 3.60441644E-16 6.02899012E-16 3.74284449E-16 4.45389042E-16 3.54337352E-16 7.97100786E-16
Adipose    4.31722476E-16 7.50203118E-16 7.50203118E-16 9.36808614E-16 1.23655981E-15 1.06887602E-15 1.13546248E-15 1.13969222E-15 4.51028703E-16 5.35912013E-16 5.35912013E-16 5.51196777E-16 6.62371803E-16 6.62371803E-16 6.59039276E-16 6.59039276E-16 6.59039276E-16 7.66369079E-16 4.54152947E-16 6.78922286E-16 9.45043801E-16 1.16859549E-15 1.05029313E-15
Muscle     5.42897503E-16 5.63709775E-16 5.63709775E-16 4.39829489E-16 5.66225192E-16 5.65552278E-16 5.05246355E-16 8.55001482E-16 1.92485483E-16 5.38555604E-16 5.38555604E-16 7.65856383E-16 5.45989703E-16 5.45989703E-16 6.13681660E-16 6.13681660E-16 6.13681660E-16 5.74844902E-16 5.96570415E-16 4.84241821E-16 5.94759956E-16 8.49297734E-16 1.09541158E-15
