  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          C-bone-S       C-bone-V       C-marrow       T-bone-S       T-bone-V       T-marrow       Kidneys        Ovaries        Testes         Ureters        UB-cont        Other          
Bronch-bas 2.04069219E-20 1.48760485E-16 1.48760485E-16 8.42103962E-20 5.91699798E-21 1.93687116E-21 1.52463115E-21 2.88696181E-22 5.66305301E-21 6.32555299E-20 6.32555299E-20 7.42400519E-20 1.72249994E-11 5.78321625E-09 1.77985786E-15 8.09259344E-17 7.71015391E-17 1.25070703E-15 6.69469445E-13 3.61386928E-19 4.01297145E-19 4.01297145E-19 6.45725190E-21 2.11503318E-19 2.11503318E-19 4.42617276E-19 2.07850356E-20 2.90602771E-22 0.00000000E+00 4.43306212E-21 2.69726412E-22 3.45042836E-13
Bronch-sec 2.04069219E-20 1.48760485E-16 1.48760485E-16 8.42103962E-20 5.91699798E-21 1.93687116E-21 1.52463115E-21 2.88696181E-22 5.66305301E-21 6.32555299E-20 6.32555299E-20 7.42400519E-20 3.63790193E-09 1.10612662E-09 1.77985786E-15 8.09259344E-17 7.70999369E-17 1.25070703E-15 6.69469445E-13 3.61386928E-19 4.01297145E-19 4.01297145E-19 6.45725190E-21 2.11503318E-19 2.11503318E-19 4.42617276E-19 2.07850356E-20 2.90602771E-22 0.00000000E+00 4.43306212E-21 2.69726412E-22 3.22760005E-13
Bchiol-sec 2.00400235E-20 1.03641593E-17 1.03641593E-17 1.45737178E-18 1.12543285E-20 3.07169276E-21 2.31546546E-21 4.31482150E-22 1.36971670E-20 2.28486389E-20 2.28486389E-20 4.58911411E-20 6.15700402E-17 6.15700402E-17 2.08074660E-09 9.87020825E-10 6.23663219E-13 4.07000893E-17 6.69469445E-13 3.85243336E-18 9.05854564E-19 9.05854564E-19 9.45812846E-21 1.20595824E-18 1.20595824E-18 2.25762689E-18 4.13521751E-20 3.29872117E-22 0.00000000E+00 6.81533834E-21 3.25081609E-22 1.22704748E-13
AI         2.22446183E-20 1.03949210E-17 1.03949210E-17 1.46671247E-18 1.24556404E-20 3.59384208E-21 2.71120305E-21 5.62139642E-22 1.47417861E-20 2.52278710E-20 2.52278710E-20 4.96370297E-20 6.16116968E-17 6.16116968E-17 1.78001808E-15 1.78001808E-15 1.86685604E-11 4.07401437E-17 2.29880282E-12 3.86541099E-18 9.10821311E-19 9.10821311E-19 1.04354561E-20 1.20993164E-18 1.20993164E-18 2.26387538E-18 4.44587953E-20 4.43738800E-22 0.00000000E+00 7.77744532E-21 4.26579490E-22 1.50485659E-13
LN-Th      6.96562249E-19 3.25578284E-16 3.25578284E-16 3.74636928E-20 3.15564681E-21 1.41223846E-21 8.73250272E-22 1.82199510E-22 1.49261966E-20 7.16172890E-17 7.16172890E-17 7.83832803E-17 2.03620610E-15 2.03620610E-15 3.82824050E-17 3.82824050E-17 3.82824050E-17 1.32346187E-09 2.22654466E-13 1.24740655E-19 4.89657178E-19 4.89657178E-19 3.94551982E-21 3.09043823E-19 3.09043823E-19 5.69349436E-19 9.15451601E-21 1.68564988E-22 0.00000000E+00 2.24368795E-21 1.83000598E-22 3.76942698E-18
R-marrow   7.40622103E-19 1.71593102E-18 1.71593102E-18 1.99150537E-19 3.81558330E-19 1.15315050E-19 1.14411423E-19 8.17254204E-19 2.18825265E-19 7.57252695E-19 7.57252695E-19 3.86204642E-19 8.97058615E-19 8.97058615E-19 3.96009962E-18 3.96009962E-18 3.96009962E-18 8.12623914E-19 6.31658080E-13 1.11684519E-18 1.85612146E-17 2.94175625E-18 2.21516921E-19 2.56059846E-12 2.48641769E-13 4.79227009E-12 5.42384806E-19 2.25041709E-19 0.00000000E+00 2.58158697E-18 3.76287170E-19 2.38189792E-13
Endost-BS  9.91522941E-19 6.59567994E-19 6.59567994E-19 8.10172584E-20 1.58517739E-19 5.96249980E-20 6.19465517E-20 3.39437111E-19 4.17415040E-19 7.71095500E-19 7.71095500E-19 2.37058033E-19 3.44564075E-19 3.44564075E-19 1.47134276E-18 1.47134276E-18 1.47134276E-18 3.15516616E-19 2.39621515E-13 4.22077374E-19 2.88856399E-12 3.28846724E-18 3.91828282E-13 1.92565592E-11 1.79379679E-12 5.45076463E-12 2.11262992E-19 1.37880104E-19 0.00000000E+00 1.00770492E-18 2.07321637E-19 2.28892067E-13
Brain      1.44351295E-19 6.77848828E-21 6.77848828E-21 3.65696783E-22 9.77920462E-23 6.42328575E-23 5.17102461E-23 2.43178347E-23 2.72642373E-19 1.19421429E-18 1.19421429E-18 6.57469143E-20 6.41094900E-21 6.41094900E-21 2.27220669E-21 2.27220669E-21 2.27220669E-21 7.31858197E-21 1.49452625E-13 4.62628461E-22 1.35191652E-18 1.35191652E-18 1.47135878E-22 1.66209789E-18 1.66209789E-18 5.98925614E-19 1.85628168E-22 2.22782641E-23 0.00000000E+00 8.31593684E-23 2.08987901E-23 3.29697685E-13
Eye-lens   1.05411998E-18 7.13144776E-21 7.13144776E-21 6.51781417E-22 2.16486087E-22 1.07896973E-22 1.22630588E-22 3.63453736E-23 3.75838560E-17 2.80252711E-18 2.80252711E-18 5.77055905E-20 6.94671681E-21 6.94671681E-21 3.62380278E-21 3.62380278E-21 3.62380278E-21 6.20154453E-21 1.05436030E-17 2.08363052E-21 5.68708566E-19 5.68708566E-19 3.07617886E-22 3.10277498E-19 3.10277498E-19 1.13893920E-19 5.01417153E-22 4.61859416E-23 0.00000000E+00 2.46206461E-22 3.69862442E-23 3.42211450E-13
P-gland    5.75181359E-19 1.51416893E-20 1.51416893E-20 4.68572535E-22 1.02909398E-22 6.75749977E-23 9.76798939E-23 2.57597936E-23 2.24048360E-19 4.79851858E-18 4.79851858E-18 2.26804103E-19 1.78770852E-20 1.78770852E-20 3.48136929E-21 3.48136929E-21 3.48217038E-21 1.79043222E-20 1.22348605E-13 6.79434983E-22 4.25233661E-18 4.25233661E-18 1.02133945E-22 3.26844003E-18 3.26844003E-18 8.57340660E-19 2.94640256E-22 3.09043823E-23 0.00000000E+00 9.45812846E-23 2.22654466E-23 3.32228060E-13
