  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          C-bone-S       C-bone-V       C-marrow       T-bone-S       T-bone-V       T-marrow       Kidneys        Ovaries        Testes         Ureters        UB-cont        Other          
Breast     1.81206161E-19 6.18488189E-19 6.18488189E-19 1.53445249E-18 3.38555913E-19 3.05166555E-19 5.15115762E-19 3.06400231E-20 5.35495447E-19 1.24086967E-19 1.24086967E-19 1.56925176E-19 2.36593402E-18 2.36593402E-18 2.39445276E-18 2.39445276E-18 2.39445276E-18 5.86668964E-19 1.27405074E-13 1.43202534E-18 1.45357462E-19 1.45357462E-19 6.49714609E-20 3.55971572E-19 3.55971572E-19 2.97235782E-19 3.01225201E-19 0.00000000E+00 4.16437713E-21 1.36148151E-19 2.32203438E-20 2.60057233E-13
Thymus     5.69557719E-19 2.04069219E-17 2.04069219E-17 4.21965221E-19 1.18035546E-19 9.82550752E-20 1.28688418E-19 1.32722698E-20 2.03973089E-19 1.51357613E-18 1.51357613E-18 2.69213715E-18 3.58358815E-17 3.58358815E-17 1.41279923E-17 1.41279923E-17 1.41279923E-17 9.97947668E-17 1.27406676E-13 4.92685292E-19 1.72121820E-18 1.72121820E-18 6.53271441E-20 1.02268527E-18 1.02268527E-18 2.80669277E-18 1.47481948E-19 0.00000000E+00 2.09708880E-21 5.66609715E-20 1.09601689E-20 2.60057315E-13
Ht-wall    1.47690231E-19 5.30048047E-17 5.30048047E-17 1.78514504E-17 6.86084015E-19 3.31298054E-19 7.63260857E-19 3.88367580E-20 8.90329474E-20 1.90066197E-19 1.90066197E-19 2.90666858E-19 3.72409903E-17 3.72409903E-17 1.90466741E-17 1.90466741E-17 1.90466741E-17 5.61498772E-17 4.13009055E-13 3.22261779E-18 5.29054698E-19 5.29054698E-19 1.03233038E-19 5.47720054E-19 5.47720054E-19 9.47799544E-19 6.75028998E-19 0.00000000E+00 4.59568304E-21 2.35600052E-19 2.74741224E-20 2.32681985E-13
Adrenals   2.86933787E-20 1.68741228E-18 1.68741228E-18 5.04076766E-18 5.36008144E-18 1.26597577E-18 2.01393584E-18 1.19109004E-19 1.84154165E-20 3.26074959E-20 3.26074959E-20 4.62628461E-20 7.27035646E-19 7.27035646E-19 1.18891108E-18 1.18891108E-18 1.18891108E-18 5.18864855E-19 5.51036559E-13 1.44996972E-17 7.64879055E-19 7.64879055E-19 8.52357891E-20 6.77336132E-19 6.77336132E-19 9.05213693E-19 1.32508006E-16 0.00000000E+00 1.04806375E-20 1.59113749E-18 8.18808315E-20 2.19571535E-13
Liver      5.42657176E-20 4.13730034E-18 4.13730034E-18 4.85683780E-18 1.68997576E-18 5.45605181E-18 1.13650389E-18 7.99053479E-20 4.39845511E-20 5.40237890E-20 5.40237890E-20 7.37754207E-20 2.25346123E-18 2.25346123E-18 4.79819814E-18 4.79819814E-18 4.79819814E-18 8.05269924E-19 6.75045019E-13 6.75509650E-12 4.25457966E-19 4.25457966E-19 9.97098515E-20 7.08754813E-19 7.08754813E-19 6.88070714E-19 5.42384806E-18 0.00000000E+00 9.25993922E-21 7.14058017E-19 6.64823133E-20 7.54372337E-19
Pancreas   2.75542312E-20 1.32421489E-18 1.32421489E-18 1.19342922E-17 3.45381185E-17 8.47278992E-18 7.24424099E-18 2.11391166E-19 2.23695881E-20 2.63942554E-20 2.63942554E-20 3.51789891E-20 5.56788373E-19 5.56788373E-19 6.89096107E-19 6.89096107E-19 6.89096107E-19 3.23591585E-19 5.51036559E-13 9.16380864E-18 3.80677133E-19 3.80677133E-19 4.80348533E-20 4.15444363E-19 4.15444363E-19 5.91892060E-19 5.71896897E-18 0.00000000E+00 1.56869100E-20 3.50235780E-18 1.37808006E-19 2.19570553E-13
Kidneys    1.91748482E-20 6.96738489E-19 6.96738489E-19 2.25362145E-18 7.86268111E-18 4.00960688E-18 3.36040496E-18 2.26371516E-19 1.32085032E-20 2.08282943E-20 2.08282943E-20 2.71953437E-20 3.71977315E-19 3.71977315E-19 5.31842485E-19 5.31842485E-19 5.31842485E-19 2.50548359E-19 7.54577060E-13 5.41263283E-18 4.33677132E-19 4.33677132E-19 7.53984255E-20 6.61891150E-19 6.61891150E-19 7.28141148E-19 3.77761172E-11 0.00000000E+00 1.65729136E-20 1.57753501E-17 1.45125146E-19 1.54657433E-18
Spleen     4.35503613E-20 1.90066197E-18 1.90066197E-18 9.74027174E-18 3.08162626E-18 2.75510269E-19 7.70198281E-18 8.81966113E-20 2.63173510E-20 5.10389342E-20 5.10389342E-20 7.14907170E-20 1.97564383E-18 1.97564383E-18 8.28661701E-18 8.28661701E-18 8.28661701E-18 8.64630563E-19 9.77728201E-13 7.70022041E-19 6.10877851E-19 6.10877851E-19 1.91844613E-19 1.09718648E-18 1.09718648E-18 9.45588541E-19 7.42752998E-18 0.00000000E+00 7.75661703E-21 6.78601851E-19 5.03900527E-20 1.78778655E-13
GB-wall    3.53424111E-20 1.13743315E-18 1.13743315E-18 2.03925023E-18 5.62700404E-18 3.24889348E-17 1.49015231E-18 1.26310788E-19 2.96146302E-20 3.37306216E-20 3.37306216E-20 4.54217034E-20 6.55818901E-19 6.55818901E-19 8.41142656E-19 8.41142656E-19 8.41142656E-19 3.75261777E-19 1.27406676E-13 5.48921686E-17 2.77336750E-19 2.77336750E-19 5.82455240E-20 3.90466432E-19 3.90466432E-19 4.60497566E-19 4.61042306E-18 0.00000000E+00 1.29656132E-20 1.49196277E-18 1.03582312E-19 2.60012929E-13
Ureters    7.91074640E-21 2.10926535E-19 2.10926535E-19 8.76759039E-19 1.83913839E-17 3.29808030E-18 1.59693737E-18 3.60409601E-18 6.34638128E-21 8.36416235E-21 8.36416235E-21 1.10942711E-20 1.19272426E-19 1.19272426E-19 1.52440684E-19 1.52440684E-19 1.52434275E-19 7.68483952E-20 1.27405074E-13 7.09539879E-19 8.18968533E-19 8.18968533E-19 3.47464015E-20 7.75549550E-19 7.75549550E-19 1.41289536E-18 1.47952988E-17 0.00000000E+00 1.06075299E-19 9.51740899E-10 9.47270826E-18 3.56693799E-18
UB-wall    2.14739715E-21 2.10189533E-20 2.10189533E-20 6.08058020E-20 2.36881794E-18 2.43851261E-19 1.21605195E-19 1.26461392E-17 1.48681978E-21 2.04870307E-21 2.04870307E-21 2.63301684E-21 1.55476808E-20 1.55476808E-20 1.82167467E-20 1.82167467E-20 1.82151445E-20 1.20623061E-20 6.23567089E-14 5.88447380E-20 8.59295315E-19 8.59295315E-19 4.57725801E-20 1.02712330E-18 1.02712330E-18 1.22106677E-18 1.29564808E-19 0.00000000E+00 7.76078269E-19 9.51084006E-18 1.27576507E-13 2.66242604E-13
Ovaries    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Testes     7.18896590E-22 5.17919571E-21 5.17919571E-21 1.26756193E-20 4.87526283E-20 3.08290800E-20 1.92469461E-20 2.56909000E-19 4.87926827E-22 7.31185283E-22 7.31185283E-22 5.96906872E-22 4.05222477E-21 4.05222477E-21 4.99734868E-21 4.99734868E-21 4.99734868E-21 3.37113955E-21 1.71192558E-13 1.16101719E-20 1.60092679E-19 1.60092679E-19 2.86212808E-19 1.56308338E-19 1.56308338E-19 1.63710393E-19 2.09532641E-20 0.00000000E+00 4.27973383E-10 1.23639960E-19 7.48681051E-19 2.12747537E-18
Prostate   1.49510303E-21 1.32530437E-20 1.32530437E-20 3.57894184E-20 2.97716435E-19 1.23164113E-19 6.36240305E-20 2.77817403E-18 1.00876236E-21 1.32373424E-21 1.32373424E-21 1.45235696E-21 1.01001206E-20 1.01001206E-20 1.12857312E-20 1.12857312E-20 1.12871731E-20 8.48576755E-21 1.27405074E-13 3.45156881E-20 8.90697974E-19 8.90697974E-19 7.79554992E-20 9.13480924E-19 9.13480924E-19 1.01916049E-18 7.26779298E-20 0.00000000E+00 2.07690138E-18 1.06044857E-18 5.60024769E-17 2.60002665E-13
Uterus     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
LN-Sys     6.90778392E-20 2.61250898E-17 2.61250898E-17 1.07318588E-17 1.35204469E-17 1.55324602E-17 1.78594613E-17 2.13922605E-17 2.32507852E-20 2.67467343E-19 2.67467343E-19 1.01507494E-18 7.36168052E-18 7.36168052E-18 5.74300162E-18 5.74300162E-18 5.74300162E-18 8.65864239E-18 1.68164444E-13 2.46783244E-18 7.81028994E-19 7.81028994E-19 7.72072827E-20 6.90409892E-19 6.90409892E-19 1.01685335E-18 2.68204344E-18 0.00000000E+00 1.06632856E-18 3.74460689E-17 8.84769921E-18 2.56218639E-13
Skin       3.69702224E-19 2.30216739E-19 2.30216739E-19 2.18024176E-19 2.07658094E-19 2.42249085E-19 3.02811356E-19 3.33124535E-19 3.92004521E-18 4.09099744E-19 4.09099744E-19 5.53712194E-19 3.30721270E-19 3.30721270E-19 2.83216738E-19 2.83216738E-19 2.83216738E-19 4.09308027E-19 1.37892922E-13 2.53768734E-19 5.06399922E-19 5.06399922E-19 3.83512986E-19 3.94792308E-19 3.94792308E-19 3.79491523E-19 2.48769943E-19 0.00000000E+00 7.78481533E-18 1.81847031E-19 2.07754225E-19 2.59005810E-13
Adipose    7.13016602E-19 1.99182581E-18 1.99182581E-18 1.42677021E-18 2.35087356E-18 1.91572243E-18 2.43498782E-18 2.27188626E-18 2.05366982E-18 2.19193765E-18 2.19193765E-18 1.91187720E-18 1.50348242E-18 1.50348242E-18 1.23173726E-18 1.23173726E-18 1.23173726E-18 2.97572239E-18 4.55242427E-14 8.15603962E-19 6.60865757E-19 6.60865757E-19 3.28109723E-19 5.66946172E-19 5.66946172E-19 6.25377548E-19 2.24144491E-18 0.00000000E+00 2.58831611E-18 5.54449195E-18 1.78530526E-18 2.67880168E-13
Muscle     1.56734517E-18 7.43345803E-19 7.43345803E-19 3.60874232E-19 5.20050466E-19 6.60881779E-19 6.05382386E-19 1.33068768E-18 2.08347030E-19 1.78626657E-18 1.78626657E-18 2.84001804E-18 7.73691026E-19 7.73691026E-19 9.59255106E-19 9.59255106E-19 9.59255106E-19 8.44683466E-19 7.49321921E-14 4.88343393E-19 1.14890474E-18 1.14890474E-18 7.89472464E-19 8.61970950E-19 8.61970950E-19 8.51668955E-19 7.98236369E-19 0.00000000E+00 5.40750586E-19 1.51365624E-18 7.51789273E-19 2.65034612E-13
