  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          C-bone-S       C-bone-V       C-marrow       T-bone-S       T-bone-V       T-marrow       Kidneys        Ovaries        Testes         Ureters        UB-cont        Other          
O-mucosa   2.97572239E-15 1.12823666E-18 1.12823666E-18 5.80324345E-20 2.35151443E-20 2.27525083E-20 2.78169882E-20 4.54329186E-21 1.34430618E-17 1.57271246E-16 1.57271246E-16 1.02052234E-16 3.56772660E-19 3.56772660E-19 2.04453742E-19 2.04453742E-19 2.04453742E-19 6.51428938E-19 1.27405074E-13 6.49169869E-20 1.89072847E-18 1.89072847E-18 1.16100117E-20 1.88800477E-18 1.88800477E-18 1.11048454E-18 2.68717040E-20 0.00000000E+00 8.92107890E-22 1.36382069E-20 3.86316795E-21 2.72245627E-13
Oesophagus 1.11261544E-18 3.08499083E-15 2.96018128E-15 5.53055302E-18 5.95913523E-19 2.66041406E-19 4.39909598E-19 3.00183787E-20 1.63245762E-19 4.68332209E-17 4.68332209E-17 5.13080998E-17 6.60256930E-17 6.60256930E-17 7.88527180E-18 7.88527180E-18 7.88527180E-18 2.28886933E-16 6.47936193E-13 3.97964618E-18 1.80869704E-18 1.80869704E-18 7.91811642E-20 8.78361215E-19 8.78361215E-19 1.64575569E-18 6.95905357E-19 0.00000000E+00 3.62652648E-21 2.14098844E-19 2.19594309E-20 2.10279377E-13
St-stem    4.52727010E-20 1.33464506E-17 1.33464506E-17 2.21356703E-16 9.25673487E-18 2.22782641E-18 2.24272665E-17 1.29858006E-19 3.84634509E-20 4.38836140E-20 4.38836140E-20 6.02530511E-20 1.60079862E-18 1.60079862E-18 3.32691948E-18 3.32691948E-18 3.32691948E-18 5.86684986E-19 6.47936193E-13 8.28437396E-18 2.95921997E-19 2.95921997E-19 7.77696467E-20 3.76992127E-19 3.76992127E-19 4.38099139E-19 2.25762689E-18 0.00000000E+00 1.00220946E-20 9.56867863E-19 7.32370894E-20 2.10438040E-13
SI-stem    1.03156133E-20 3.27500896E-19 3.27500896E-19 3.92340978E-18 8.53175001E-17 8.37153236E-18 9.27515990E-18 9.22853657E-18 8.29158376E-21 1.01755831E-20 1.01755831E-20 1.29739445E-20 1.64847939E-19 1.64847939E-19 2.07433790E-19 2.07433790E-19 2.07433790E-19 9.58101539E-20 7.01977606E-13 1.02316593E-18 4.35359417E-19 4.35359417E-19 3.94119394E-20 4.69341580E-19 4.69341580E-19 7.28541692E-19 4.80989403E-18 0.00000000E+00 8.75717624E-20 3.25962806E-17 6.34718237E-18 2.04958968E-13
RC-stem    1.39466259E-20 2.13586147E-19 2.13586147E-19 8.12527784E-19 1.18636362E-17 2.77609120E-16 5.28974589E-18 3.28077679E-19 1.21784639E-20 1.32615352E-20 1.32615352E-20 1.64719765E-20 1.55609789E-19 1.55609789E-19 1.95882097E-19 1.95882097E-19 1.95882097E-19 9.80083401E-20 7.11061947E-13 4.92284747E-18 3.17182879E-19 3.17182879E-19 4.46927131E-20 4.11791401E-19 4.11791401E-19 4.83296537E-19 6.37874525E-18 0.00000000E+00 3.46406578E-20 4.76663527E-18 4.09484267E-19 2.04219820E-13
LC-stem    1.93270550E-20 3.79699806E-19 3.79699806E-19 1.06876387E-17 1.84891167E-17 5.06560140E-18 3.74252406E-16 5.99454333E-18 1.68949511E-20 1.83945882E-20 1.83945882E-20 2.41383910E-20 3.63902345E-19 3.63902345E-19 4.68844905E-19 4.68844905E-19 4.68844905E-19 1.54147002E-19 7.11061947E-13 7.64158075E-19 2.37891165E-19 2.37891165E-19 7.19954026E-20 7.19152938E-19 7.19152938E-19 5.98380874E-19 3.38139348E-18 0.00000000E+00 2.12801081E-20 1.69750599E-18 2.00928953E-19 2.04219957E-13
RS-stem    2.22878771E-21 2.51445578E-20 2.51445578E-20 8.27636308E-20 2.38467948E-18 2.25794732E-19 4.11374835E-19 4.43258147E-16 1.62652957E-21 2.36305010E-21 2.36305010E-21 2.68861236E-21 1.89922001E-20 1.89922001E-20 2.20860029E-20 2.20860029E-20 2.20860029E-20 1.38993617E-20 7.11061947E-13 6.49842783E-20 7.84826152E-19 7.84826152E-19 4.15428341E-20 6.60801670E-19 6.60801670E-19 1.02435154E-18 1.67459486E-19 0.00000000E+00 4.39188619E-19 3.42160811E-18 1.90739111E-17 2.04289978E-13
ET1-bas    1.33312299E-17 1.73980345E-19 1.73980345E-19 4.72850347E-20 1.93911420E-20 2.11983971E-20 2.52839471E-20 4.09516310E-21 2.24689231E-14 1.52338145E-16 1.52338145E-16 1.03356405E-18 1.60522062E-19 1.60522062E-19 1.10039083E-19 1.10039083E-19 1.10039083E-19 1.62604892E-19 1.27403472E-13 5.15324045E-20 2.74500898E-18 2.74500898E-18 8.81421373E-21 6.25569809E-19 6.25569809E-19 4.30392670E-19 2.03892980E-20 0.00000000E+00 8.45612728E-22 1.19133037E-20 3.58422902E-21 2.45813168E-13
ET2-bas    1.46990080E-16 4.61955546E-17 4.61955546E-17 5.71704636E-20 2.26659908E-20 2.08699509E-20 2.54025082E-20 4.19706153E-21 1.52403834E-16 3.26042915E-15 4.92332813E-09 1.00371550E-15 7.39853058E-18 7.39853058E-18 2.82143279E-19 2.82143279E-19 2.82143279E-19 1.20036665E-17 1.27405074E-13 6.46430147E-20 2.58447089E-18 2.58447089E-18 1.16798666E-20 1.38477716E-18 1.38477716E-18 1.04964990E-18 2.80541103E-20 0.00000000E+00 8.10188606E-22 1.31074058E-20 3.64639347E-21 2.45814109E-13
LN-ET      1.06748213E-16 5.64142363E-17 5.64142363E-17 9.57012059E-20 3.44499988E-20 3.13770243E-20 4.02098233E-20 5.65327973E-21 1.35774844E-18 1.09479924E-15 1.09479924E-15 9.99245431E-10 2.52807428E-17 2.52807428E-17 5.62171686E-19 5.62171686E-19 5.62235773E-19 4.64134507E-17 1.68148422E-13 1.09510365E-19 8.93309522E-19 8.93309522E-19 1.70840079E-20 2.60594006E-18 2.60594006E-18 1.28947970E-18 4.34702524E-20 0.00000000E+00 9.52766292E-22 1.98045036E-20 5.04429245E-21 3.14761562E-18
Bronch-bas 2.20876050E-19 2.99446785E-17 2.99446785E-17 1.82343706E-18 3.43186204E-19 2.24609122E-19 4.48753612E-19 2.74965529E-20 1.29966954E-19 3.03660510E-19 3.03660510E-19 4.82239101E-19 1.07933823E-12 4.65864857E-09 1.20752837E-15 9.92836725E-17 9.84681647E-17 2.47504224E-16 5.20915641E-13 2.46174417E-18 7.04589154E-19 7.04589154E-19 1.39184276E-19 9.12503596E-19 9.12503596E-19 1.05671550E-18 4.14322840E-19 0.00000000E+00 3.67090677E-21 1.40212873E-19 2.05078590E-20 2.75777684E-13
Bronch-sec 2.20876050E-19 2.99446785E-17 2.99446785E-17 1.82343706E-18 3.43186204E-19 2.24609122E-19 4.48753612E-19 2.74965529E-20 1.29966954E-19 3.03660510E-19 3.03660510E-19 4.82239101E-19 2.60626049E-09 6.75429542E-10 1.20752837E-15 9.92836725E-17 9.84361212E-17 2.47504224E-16 5.20915641E-13 2.46174417E-18 7.04589154E-19 7.04589154E-19 1.39184276E-19 9.12503596E-19 9.12503596E-19 1.05671550E-18 4.14322840E-19 0.00000000E+00 3.67090677E-21 1.40212873E-19 2.05078590E-20 2.60631594E-13
Bchiol-sec 1.86685604E-19 8.07256623E-18 8.07256623E-18 2.72546242E-18 3.82872115E-19 2.47231854E-19 4.86484869E-19 2.94864561E-20 9.90625722E-20 2.63253619E-19 2.63253619E-19 4.15171993E-19 8.96129353E-17 8.96129353E-17 1.93174419E-09 9.13304685E-10 3.66610024E-13 2.52695276E-17 5.20915641E-13 4.57100952E-18 1.36721731E-18 1.36721731E-18 1.60938628E-19 1.47949783E-18 1.47949783E-18 1.41414505E-18 5.44659897E-19 0.00000000E+00 3.93158088E-21 1.61771760E-19 2.23904164E-20 9.70935444E-14
AI         1.91668373E-19 7.97226998E-18 7.97226998E-18 2.72546242E-18 3.80757242E-19 2.50996968E-19 4.92557117E-19 2.93646907E-20 1.02704319E-19 2.68108213E-19 2.68108213E-19 4.22974593E-19 8.97843682E-17 8.97843682E-17 1.20760848E-15 1.20760848E-15 1.44905648E-11 2.51301382E-17 1.68965532E-12 4.59664434E-18 1.35571368E-18 1.35571368E-18 1.62332522E-19 1.48071549E-18 1.48071549E-18 1.40929046E-18 5.34309837E-19 0.00000000E+00 3.92645392E-21 1.60233670E-19 2.23199206E-20 1.17716582E-13
LN-Th      6.38563461E-19 2.44171697E-16 2.44171697E-16 6.44603666E-19 1.73483670E-19 1.21694917E-19 1.76191348E-19 1.71609124E-20 1.52306101E-19 1.29856404E-17 1.29856404E-17 4.44363649E-17 4.50083419E-16 4.50083419E-16 2.42505433E-17 2.42505433E-17 2.42505433E-17 9.99245431E-10 1.68164444E-13 8.34061036E-19 1.45384699E-18 1.45384699E-18 8.39428327E-20 8.05285946E-19 8.05285946E-19 1.30143194E-18 2.54601866E-19 0.00000000E+00 2.51749991E-21 8.39556501E-20 1.32916561E-20 2.89385460E-18
R-marrow   1.31762994E-18 3.14427136E-18 3.14427136E-18 7.56435585E-19 1.00716018E-18 6.88535345E-19 8.25729718E-19 1.49731404E-18 4.78586138E-19 1.36869131E-18 1.36869131E-18 1.62781131E-18 2.06712810E-18 2.06712810E-18 2.69277802E-18 2.69277802E-18 2.69277802E-18 2.36913837E-18 4.57309235E-13 1.30505286E-18 1.37968224E-17 3.62364256E-18 1.76351566E-19 1.85355798E-12 2.18408699E-13 3.45893882E-12 1.37203986E-18 0.00000000E+00 1.62492739E-19 2.63413836E-18 1.41494614E-18 2.03175879E-13
Endost-BS  1.74733368E-18 1.20719192E-18 1.20719192E-18 2.80236689E-19 4.10894182E-19 2.86340982E-19 3.24392673E-19 7.88415027E-19 8.51845195E-19 1.62460696E-18 1.62460696E-18 9.14810731E-19 7.66737580E-19 7.66737580E-19 9.88783219E-19 9.88783219E-19 9.88783219E-19 8.84177116E-19 1.74701324E-13 4.80012076E-19 2.04982460E-12 3.51725804E-18 2.79740015E-13 1.36273121E-11 1.57138265E-12 3.90001800E-12 5.20130575E-19 0.00000000E+00 1.53756071E-19 1.07872941E-18 8.48560733E-19 1.85134828E-13
Brain      2.24785361E-18 1.35669101E-19 1.35669101E-19 1.86108821E-20 9.07440719E-21 8.35166537E-21 9.60024151E-21 1.98878167E-21 2.20090984E-18 1.03077626E-17 1.03077626E-17 6.39925311E-19 7.42432562E-20 7.42432562E-20 5.95304696E-20 5.95304696E-20 5.95304696E-20 1.23398031E-19 1.26065655E-13 2.15909303E-20 1.92629679E-18 1.92629679E-18 5.78882387E-21 1.51897546E-18 1.51897546E-18 1.04916925E-18 1.14653352E-20 0.00000000E+00 4.37858812E-22 5.88799859E-21 1.82119401E-21 2.60177513E-13
Eye-lens   5.32499377E-18 1.47496367E-19 1.47496367E-19 3.02763291E-20 1.34132613E-20 1.28097214E-20 1.56497395E-20 3.33877558E-21 6.24352155E-17 1.88464020E-17 1.88464020E-17 8.35967626E-19 9.05069498E-20 9.05069498E-20 7.03659891E-20 7.03659891E-20 7.03659891E-20 1.15568194E-19 1.19471096E-17 3.05535056E-20 1.33235394E-18 1.33235394E-18 5.18512376E-21 7.27115755E-19 7.27115755E-19 5.35255121E-19 1.34486694E-20 0.00000000E+00 4.66457662E-22 7.70598825E-21 3.16974596E-21 2.72231268E-13
P-gland    1.21747789E-17 2.49362748E-19 2.49362748E-19 2.26884212E-20 1.11787058E-20 1.05754863E-20 1.29933309E-20 2.04101263E-21 1.20450026E-17 5.25337648E-16 5.25337648E-16 1.83593404E-18 1.19471096E-19 1.19471096E-19 8.34525667E-20 8.34525667E-20 8.34573732E-20 2.22157792E-19 1.27405074E-13 2.71761176E-20 2.22157792E-18 2.22157792E-18 6.13905965E-21 1.25017831E-18 1.25017831E-18 9.12647792E-19 1.40648665E-20 0.00000000E+00 3.89777496E-22 7.21956747E-21 2.09821033E-21 2.60203685E-13
Tongue     1.68548966E-14 1.24750268E-18 1.24750268E-18 6.12271745E-20 2.46767223E-20 2.33373027E-20 2.88407789E-20 4.54217034E-21 8.03908074E-18 1.18617136E-16 1.18617136E-16 7.76959466E-17 4.01938015E-19 4.01938015E-19 2.22318009E-19 2.22318009E-19 2.22318009E-19 7.49049551E-19 1.27405074E-13 6.79050460E-20 1.76880284E-18 1.76880284E-18 1.21941652E-20 1.64415351E-18 1.64415351E-18 9.34966111E-19 2.78842796E-20 0.00000000E+00 9.16717321E-22 1.41866319E-20 3.99054098E-21 1.13849965E-17
Tonsils    6.20859410E-17 5.55025979E-19 5.55025979E-19 3.49498779E-20 1.57920128E-20 1.35339052E-20 1.64847939E-20 3.19393883E-21 4.29831908E-18 2.15524781E-16 2.15524781E-16 5.31538071E-18 2.27893584E-19 2.27893584E-19 1.39208308E-19 1.39208308E-19 1.39208308E-19 4.38451617E-19 1.27405074E-13 4.21452525E-20 3.49883301E-18 3.49883301E-18 8.54857286E-21 1.92645701E-18 1.92645701E-18 2.22350053E-18 1.96571033E-20 0.00000000E+00 6.05222168E-22 9.73850934E-21 2.49538988E-21 2.60038782E-13
S-glands   1.01129380E-17 1.36800237E-18 1.36800237E-18 5.50155362E-20 2.27781431E-20 2.04613959E-20 2.62132095E-20 4.27845209E-21 1.46107280E-18 1.08356798E-17 1.08356798E-17 2.32267525E-17 4.11310748E-19 4.11310748E-19 2.50035663E-19 2.50035663E-19 2.50035663E-19 8.15940420E-19 1.27405074E-13 6.40790486E-20 1.54610031E-18 1.54610031E-18 1.46155346E-20 8.47999971E-19 8.47999971E-19 5.32964008E-19 2.87494549E-20 0.00000000E+00 8.84305290E-22 1.36521458E-20 3.89665343E-21 2.59857617E-13
Thyroid    1.32916561E-18 1.34760666E-16 1.34760666E-16 2.02082520E-19 6.54889639E-20 5.35559534E-20 7.44307109E-20 8.87894166E-21 2.70287173E-19 1.06219495E-17 1.06219495E-17 2.71056218E-17 7.20931354E-17 7.20931354E-17 2.80012385E-18 2.80012385E-18 2.80012385E-18 3.00231852E-16 4.09484267E-13 2.34462507E-19 9.68403534E-19 9.68403534E-19 4.03428039E-20 5.95160500E-19 5.95160500E-19 8.98228204E-19 8.71391748E-20 0.00000000E+00 1.47842438E-21 3.47239710E-20 7.37898403E-21 2.33249378E-13
