  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          C-bone-S       C-bone-V       C-marrow       T-bone-S       T-bone-V       T-marrow       Kidneys        Ovaries        Testes         Ureters        UB-cont        Other          
Bronch-bas 8.47967928E-22 1.52158701E-19 1.52158701E-19 2.28902955E-21 3.32563773E-22 1.39080134E-22 1.02361454E-22 1.32536846E-23 3.25706458E-22 9.99373606E-22 9.99373606E-22 1.51750146E-21 5.88879968E-17 1.27224028E-13 5.06415944E-16 2.34013898E-19 2.61314985E-20 2.39445276E-18 4.89929548E-17 2.86228829E-21 1.62797153E-21 1.62797153E-21 2.88263594E-22 1.26421338E-21 1.26421338E-21 2.08154769E-21 9.22645374E-22 9.82262361E-24 0.00000000E+00 2.57822240E-22 1.37386634E-23 2.51856937E-17
Bronch-sec 8.47967928E-22 1.52158701E-19 1.52158701E-19 2.28902955E-21 3.32563773E-22 1.39080134E-22 1.02361454E-22 1.32536846E-23 3.25706458E-22 9.99373606E-22 9.99373606E-22 1.51750146E-21 7.13048646E-14 1.85259667E-14 5.06415944E-16 2.34013898E-19 2.61314985E-20 2.39445276E-18 4.89929548E-17 2.86228829E-21 1.62797153E-21 1.62797153E-21 2.88263594E-22 1.26421338E-21 1.26421338E-21 2.08154769E-21 9.22645374E-22 9.82262361E-24 0.00000000E+00 2.57822240E-22 1.37386634E-23 2.46128633E-17
Bchiol-sec 8.46541990E-22 1.52581676E-20 1.52581676E-20 3.74300471E-21 4.94688012E-22 1.93590985E-22 1.48233369E-22 2.42954042E-23 3.62908996E-22 8.96626027E-22 8.96626027E-22 1.42222002E-21 1.27315352E-19 1.27315352E-19 4.92509052E-14 2.32924418E-14 9.48616654E-18 6.29575251E-20 4.89929548E-17 7.95336430E-21 3.30384813E-21 3.30384813E-21 3.61467037E-22 2.42905977E-21 2.42905977E-21 4.28662319E-21 1.31344826E-21 1.67267225E-23 0.00000000E+00 3.63325562E-22 1.76271457E-23 1.96935809E-17
AI         8.46541990E-22 1.52581676E-20 1.52581676E-20 3.74300471E-21 4.94688012E-22 1.93590985E-22 1.48233369E-22 2.42954042E-23 3.62908996E-22 8.96626027E-22 8.96626027E-22 1.42222002E-21 1.27315352E-19 1.27315352E-19 5.06415944E-16 5.06415944E-16 1.36399693E-15 6.29575251E-20 1.65168374E-16 7.95336430E-21 3.30384813E-21 3.30384813E-21 3.61467037E-22 2.42905977E-21 2.42905977E-21 4.28662319E-21 1.31344826E-21 1.67267225E-23 0.00000000E+00 3.63325562E-22 1.76271457E-23 1.11157872E-17
LN-Th      4.06824654E-21 2.72241829E-19 2.72241829E-19 1.22710697E-21 1.87855193E-22 8.60753296E-23 5.79234865E-23 7.20066179E-24 8.06711883E-22 1.77937721E-19 1.77937721E-19 2.55979737E-20 5.03964614E-18 5.03964614E-18 4.33725197E-20 4.33725197E-20 4.33725197E-20 9.52814357E-14 1.62556826E-17 1.72666560E-21 1.81158095E-21 1.81158095E-21 2.14595519E-22 1.47076597E-21 1.47076597E-21 2.18552895E-21 5.08691035E-22 1.89489413E-24 0.00000000E+00 1.45573756E-22 1.21396912E-23 7.25783925E-21
R-marrow   3.15388441E-21 5.15211893E-21 5.15211893E-21 2.02915652E-21 2.87142070E-21 2.41255735E-21 2.34782942E-21 3.49546844E-21 9.89632372E-22 2.95297148E-21 2.95297148E-21 2.43691044E-21 3.93174110E-21 3.93174110E-21 8.22605474E-21 8.22605474E-21 8.22605474E-21 3.85611837E-21 4.62868787E-17 3.77632998E-21 5.08210382E-18 3.69878464E-20 3.26555612E-22 1.86669583E-16 6.33548648E-18 3.63581910E-16 2.89497269E-21 3.27853375E-21 0.00000000E+00 5.92052277E-21 2.76071030E-21 2.05005527E-17
Endost-BS  4.32940130E-21 2.53175928E-21 2.53175928E-21 1.02167590E-21 1.67107008E-21 1.43736059E-21 1.45352655E-21 2.38275687E-21 1.76415653E-21 3.44499988E-21 3.44499988E-21 2.06328288E-21 1.98109123E-21 1.98109123E-21 3.34502407E-21 3.34502407E-21 3.34502407E-21 1.97884818E-21 1.75598543E-17 1.67523573E-21 1.66530224E-16 7.15035344E-20 3.06191948E-17 1.41670854E-15 4.70831604E-17 4.28245753E-16 1.45012994E-21 2.60113353E-21 0.00000000E+00 3.21893278E-21 2.12320428E-21 1.86971879E-17
Brain      4.18087954E-21 4.00399926E-22 4.00399926E-22 2.02787478E-23 3.66129371E-24 1.87550780E-24 1.29798726E-24 2.45453438E-25 4.49346418E-21 7.68067386E-21 7.68067386E-21 2.75814682E-21 3.81285960E-22 3.81285960E-22 1.47640563E-22 1.47640563E-22 1.47640563E-22 4.34253915E-22 1.09540806E-17 2.75814682E-23 6.70847317E-21 6.70847317E-21 1.01475450E-23 5.27885109E-21 5.27885109E-21 2.07914443E-21 8.27540177E-24 1.13129682E-25 0.00000000E+00 2.74276593E-24 1.66770551E-25 2.41562516E-17
Eye-lens   8.84113029E-21 3.44243640E-22 3.44243640E-22 3.66449806E-23 1.26578351E-23 0.00000000E+00 6.22445565E-24 0.00000000E+00 4.21019937E-20 9.53038662E-21 9.53038662E-21 2.93422602E-21 3.81526287E-22 3.81526287E-22 2.21741226E-22 2.21741226E-22 2.21741226E-22 3.84362139E-22 3.43170182E-18 7.35655356E-23 1.61387238E-21 1.61387238E-21 3.72682273E-23 1.43199330E-21 1.43199330E-21 5.21236077E-22 3.08723387E-23 8.02305898E-25 0.00000000E+00 1.12479198E-23 0.00000000E+00 2.50504859E-17
P-gland    1.40635848E-20 9.66993619E-22 9.66993619E-22 1.16277959E-23 7.39436492E-25 2.08843705E-25 5.69333415E-24 0.00000000E+00 7.84810130E-21 3.24600956E-20 3.24600956E-20 8.21996647E-21 9.02409885E-22 9.02409885E-22 2.85748176E-22 2.85748176E-22 2.85764198E-22 1.15968738E-21 9.09715809E-18 4.98901736E-23 4.48929852E-21 4.48929852E-21 2.83713412E-24 2.31642676E-20 2.31642676E-20 1.84827080E-21 1.63854589E-23 3.54801983E-25 0.00000000E+00 1.83192860E-25 0.00000000E+00 2.44081100E-17
Tongue     6.52774766E-15 4.10477616E-21 4.10477616E-21 1.24920099E-22 2.18969460E-23 1.00011061E-23 8.68860309E-24 8.11470347E-25 1.87775084E-20 1.73804105E-19 1.73804105E-19 2.90426532E-19 3.81141764E-21 3.81141764E-21 8.72737576E-22 8.72737576E-22 8.72737576E-22 4.38195269E-21 8.97298942E-18 1.75983065E-22 4.41511775E-21 4.41511775E-21 3.73659600E-23 3.81654461E-21 3.81654461E-21 1.56202594E-21 5.00247565E-23 9.92740595E-25 0.00000000E+00 1.58802927E-23 1.24163871E-24 2.98612955E-18
Tonsils    1.09431858E-18 2.64887839E-21 2.64887839E-21 9.12727901E-23 2.85507850E-23 7.49610313E-24 5.43426221E-24 6.51316785E-25 1.29600056E-20 1.12519253E-19 1.12519253E-19 3.49370605E-20 2.40871213E-21 2.40871213E-21 6.33917149E-22 6.33917149E-22 6.33917149E-22 2.78938926E-21 8.99141445E-18 1.17143134E-22 2.84834936E-21 2.84834936E-21 2.95841888E-23 2.83473086E-21 2.83473086E-21 1.59828320E-21 3.70711596E-23 1.08848666E-24 0.00000000E+00 7.49514182E-24 1.08164537E-24 2.43178299E-17
S-glands   3.73098839E-20 3.29743943E-21 3.29743943E-21 1.01702959E-22 1.74605194E-23 8.64037758E-24 6.21308020E-24 8.01761158E-25 4.71424410E-21 3.12071936E-20 3.12071936E-20 1.19251598E-19 2.99302590E-21 2.99302590E-21 7.73082199E-22 7.73082199E-22 7.73082199E-22 3.63998476E-21 8.96241505E-18 1.38761301E-22 4.50387832E-21 4.50387832E-21 3.80100350E-23 2.34574659E-21 2.34574659E-21 1.29654530E-21 3.94744243E-23 1.47214384E-24 0.00000000E+00 1.15568194E-23 6.05254211E-25 2.43153939E-17
Thyroid    7.62748160E-21 9.87148999E-20 9.87148999E-20 3.73114860E-22 5.97916243E-23 3.04221271E-23 2.05559243E-23 2.58254828E-24 1.45716349E-21 1.39336483E-20 1.39336483E-20 2.39733668E-20 9.97659277E-20 9.97659277E-20 4.83488798E-21 4.83488798E-21 4.83488798E-21 6.42376641E-19 3.79331305E-17 5.61466728E-22 1.68116379E-21 1.68116379E-21 1.16558339E-22 1.54163024E-21 1.54163024E-21 1.76143283E-21 1.60409910E-22 1.32620159E-24 0.00000000E+00 4.66217336E-23 3.40847026E-24 2.19030536E-17
Breast     9.75068588E-22 2.39108819E-21 2.39108819E-21 1.68420792E-21 2.72866678E-22 1.13427687E-22 8.63669257E-23 1.20494887E-23 9.08530199E-22 6.80091875E-22 6.80091875E-22 1.18732493E-21 2.78506339E-21 2.78506339E-21 4.59648412E-21 4.59648412E-21 4.59648412E-21 2.66377863E-21 8.96449788E-18 2.08539292E-21 3.84954945E-22 3.84954945E-22 1.52656978E-22 4.58302584E-22 4.58302584E-22 6.71840666E-22 5.24152038E-22 8.95424395E-24 0.00000000E+00 1.86172908E-22 1.02539295E-23 2.43209482E-17
Thymus     2.57245457E-21 1.97372121E-20 1.97372121E-20 8.42200092E-22 1.35034639E-22 5.97323438E-23 4.31081606E-23 7.30864848E-24 8.64822824E-22 2.96851260E-21 2.96851260E-21 4.93390249E-21 3.63678041E-20 3.63678041E-20 2.42345215E-20 2.42345215E-20 2.42345215E-20 4.03636322E-20 8.97475181E-18 1.27220824E-21 2.30953741E-21 2.30953741E-21 1.80869704E-22 2.27941649E-21 2.27941649E-21 2.79451623E-21 3.53712503E-22 5.93350040E-24 0.00000000E+00 1.08731707E-22 6.23150523E-24 2.43272623E-17
Ht-wall    7.29727303E-22 8.41895679E-20 8.41895679E-20 1.18086816E-20 7.93974580E-22 2.25089775E-22 2.32652048E-22 2.92317100E-23 3.82199201E-22 6.68460074E-22 6.68460074E-22 1.06797880E-21 5.16365460E-20 5.16365460E-20 4.56187711E-20 4.56187711E-20 4.56187711E-20 6.67787160E-20 4.23262984E-17 7.40461885E-21 1.03886726E-21 1.03886726E-21 2.61026593E-22 1.19078563E-21 1.19078563E-21 2.53047754E-21 1.70471578E-21 2.02258760E-23 0.00000000E+00 5.08082208E-22 2.24032338E-23 2.15344246E-17
Adrenals   1.07698303E-22 4.11583118E-21 4.11583118E-21 1.24391380E-20 5.60889945E-21 1.91027503E-21 1.06197064E-21 1.84025991E-22 6.65464004E-23 8.83279897E-23 8.83279897E-23 1.33640745E-22 1.33118436E-21 1.33118436E-21 2.63141466E-21 2.63141466E-21 2.63141466E-21 1.13554259E-21 4.77304397E-17 3.06368188E-20 1.92116983E-21 1.92116983E-21 1.67427443E-22 2.13393886E-21 2.13393886E-21 2.63734272E-21 9.50923789E-20 1.32040171E-22 0.00000000E+00 5.80612737E-21 1.29979772E-22 2.10762471E-17
Liver      1.93590985E-22 7.93317688E-21 7.93317688E-21 8.95119982E-21 3.51181064E-21 2.32668069E-21 7.30256021E-22 1.32786785E-22 1.36954046E-22 1.54666107E-22 1.54666107E-22 2.46286570E-22 1.99951626E-21 1.99951626E-21 8.19337034E-21 8.19337034E-21 8.19337034E-21 1.75230042E-21 6.80300158E-17 6.80220049E-16 1.00313872E-21 1.00313872E-21 2.33661419E-22 1.25432795E-21 1.25432795E-21 2.09917163E-21 1.13052777E-20 1.02662663E-22 0.00000000E+00 2.68348540E-21 1.14719041E-22 1.43939903E-21
Pancreas   6.94960073E-23 1.60746367E-21 1.60746367E-21 1.98461601E-20 4.10749986E-20 5.84954635E-21 3.20483363E-21 3.93542611E-22 6.42088249E-23 5.32114855E-23 5.32114855E-23 7.67362428E-23 6.14691031E-22 6.14691031E-22 1.25125177E-21 1.25125177E-21 1.25125177E-21 5.17663223E-22 5.10597625E-17 1.18472940E-20 9.41406860E-22 9.41406860E-22 1.28566652E-22 1.52599300E-21 1.52599300E-21 1.52572063E-21 2.95281127E-20 2.83777499E-22 0.00000000E+00 1.60586149E-20 3.51533543E-22 2.08079135E-17
Kidneys    5.66946172E-23 1.49734608E-21 1.49734608E-21 9.30447973E-21 9.73033824E-21 6.26835529E-21 2.81967040E-21 4.59263890E-22 4.13746056E-23 4.71232148E-23 4.71232148E-23 7.35302877E-23 6.47872106E-22 6.47872106E-22 1.29486302E-21 1.29486302E-21 1.29486302E-21 5.30096112E-22 6.89592782E-17 1.09061756E-20 1.06185849E-21 1.06185849E-21 1.94520247E-22 1.52245219E-21 1.52245219E-21 1.67187116E-21 3.44836445E-15 3.25530219E-22 0.00000000E+00 2.68204344E-20 3.39437111E-22 2.23214715E-21
Spleen     1.47272063E-22 4.23759659E-21 4.23759659E-21 2.68108213E-20 3.63998476E-21 4.55226405E-22 1.02941441E-21 1.25947094E-22 8.81853960E-23 1.35587390E-22 1.35587390E-22 2.06696789E-22 2.01169280E-21 2.01169280E-21 8.45420467E-21 8.45420467E-21 8.45420467E-21 1.53087963E-21 9.19953717E-17 3.58022358E-21 8.99173488E-22 8.99173488E-22 3.17407184E-22 1.02962270E-21 1.02962270E-21 1.58226143E-21 1.43995612E-20 7.60633287E-23 0.00000000E+00 1.62108217E-21 8.29126332E-23 1.73935299E-17
GB-wall    1.12131526E-22 2.86965831E-21 2.86965831E-21 9.11830682E-21 1.31359246E-20 2.97988805E-21 1.41403290E-21 2.02434999E-22 9.61418045E-23 8.97330985E-23 8.97330985E-23 1.36160969E-22 1.09781133E-21 1.09781133E-21 2.19193765E-21 2.19193765E-21 2.19193765E-21 9.43425603E-22 8.97443137E-18 1.13301115E-19 1.85948603E-21 1.85948603E-21 1.35579379E-22 1.68564988E-21 1.68564988E-21 1.90338567E-21 3.73947992E-20 1.59482250E-22 0.00000000E+00 1.52910122E-20 1.86605495E-22 2.42973063E-17
Ureters    1.81142074E-23 3.91443759E-22 3.91443759E-22 2.74997572E-21 1.34843980E-20 9.36728505E-21 9.36295917E-21 1.08219011E-20 1.34696579E-23 9.11125725E-24 9.11125725E-24 1.96907490E-23 1.66305919E-22 1.66305919E-22 3.44099444E-22 3.44099444E-22 3.44131488E-22 1.37346579E-22 8.96161396E-18 2.55499084E-21 2.63461902E-21 2.63461902E-21 1.52165110E-22 2.92941949E-21 2.92941949E-21 3.48313168E-21 2.89096725E-20 7.02105780E-21 0.00000000E+00 7.95993322E-14 9.66400813E-21 6.46351024E-21
UB-wall    1.28903109E-24 1.37434699E-23 1.37434699E-23 1.23484548E-22 9.87597608E-21 2.60321636E-21 3.28958876E-21 2.67002712E-20 3.47720363E-24 2.87911115E-25 2.87911115E-25 9.25593378E-25 6.72032927E-24 6.72032927E-24 1.65232461E-23 1.65232461E-23 1.65232461E-23 7.93061339E-24 6.03427730E-18 1.01470643E-22 3.98172901E-21 3.98172901E-21 3.32163229E-22 2.17367284E-21 2.17367284E-21 2.77625142E-21 3.11399022E-22 2.49891467E-20 0.00000000E+00 7.71752392E-20 4.57197082E-18 2.45662075E-17
Ovaries    1.00014265E-24 1.83849752E-23 1.83849752E-23 1.11932856E-22 9.92804682E-21 2.09516619E-21 2.16598239E-21 3.25994850E-20 3.94231546E-24 3.77921390E-25 3.77921390E-25 9.05005410E-25 1.10745643E-23 1.10745643E-23 1.63229740E-23 1.63229740E-23 1.63229740E-23 1.00929108E-23 3.89168669E-17 1.09255619E-22 1.41081253E-21 1.41081253E-21 4.33516914E-22 1.66834638E-21 1.66834638E-21 2.65032034E-21 3.49050169E-22 1.04080589E-13 0.00000000E+00 7.39660797E-21 1.99887539E-20 2.91814820E-21
Testes     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Prostate   0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Uterus     7.89376333E-25 1.37226416E-23 1.37226416E-23 1.15071520E-22 1.66049571E-20 1.92549570E-21 2.51125143E-21 6.18263885E-20 1.65216439E-24 7.53231232E-25 7.53231232E-25 7.91443141E-25 7.13272950E-24 7.13272950E-24 1.64783852E-23 1.64783852E-23 1.64783852E-23 6.97811947E-24 8.96882376E-18 9.81252989E-23 1.27906555E-21 1.27906555E-21 3.82327375E-22 1.48702806E-21 1.48702806E-21 2.33004527E-21 3.20483363E-22 2.35407791E-19 0.00000000E+00 7.98765088E-21 4.52358509E-20 2.43322482E-17
LN-Sys     9.64141745E-22 4.16005125E-20 4.16005125E-20 5.75453729E-21 1.49015231E-20 7.39772949E-21 1.01680529E-20 7.20835223E-21 2.97908696E-22 1.53989989E-21 1.53989989E-21 2.02451021E-21 3.06416253E-20 3.06416253E-20 7.23735163E-21 7.23735163E-21 7.23735163E-21 1.89729740E-20 1.63325871E-17 5.38940127E-21 2.14803802E-21 2.14803802E-21 4.76999984E-22 1.52378199E-21 1.52378199E-21 3.05695274E-21 1.43319493E-20 1.48093979E-20 0.00000000E+00 3.94375742E-20 4.83360624E-21 2.37284027E-17
Skin       5.93013583E-22 5.46374226E-22 5.46374226E-22 5.76126643E-22 5.00712196E-22 5.28542001E-22 5.21892969E-22 5.10116972E-22 2.30665349E-21 5.22774166E-22 5.22774166E-22 6.51348829E-22 6.01681358E-22 6.01681358E-22 6.58863037E-22 6.58863037E-22 6.58863037E-22 5.99678637E-22 1.52402232E-17 5.97852156E-22 6.73715213E-22 6.73715213E-22 6.83039880E-22 6.01056509E-22 6.01056509E-22 6.07337041E-22 5.53119389E-22 4.97844300E-22 0.00000000E+00 4.42857603E-22 5.67474890E-22 2.37893308E-17
Adipose    1.84987297E-21 1.76127261E-21 1.76127261E-21 8.90137213E-22 1.54388931E-21 1.24243980E-21 1.41587541E-21 1.96026293E-21 1.04091804E-20 6.11326460E-21 6.11326460E-21 4.41639949E-21 4.18184085E-21 4.18184085E-21 1.93430767E-21 1.93430767E-21 1.93430767E-21 7.52109708E-21 4.81149621E-18 8.77592171E-22 1.37019735E-21 1.37019735E-21 7.22565574E-22 8.66569197E-22 8.66569197E-22 9.99581888E-22 2.09372423E-21 5.17166548E-21 0.00000000E+00 7.66545318E-21 1.31833490E-21 2.47945878E-17
Muscle     4.12223988E-21 2.45517525E-21 2.45517525E-21 8.47262970E-22 1.33020703E-21 1.58261391E-21 1.55576143E-21 1.79587962E-21 7.88991811E-22 1.75246064E-21 1.75246064E-21 8.82815266E-21 2.23535663E-21 2.23535663E-21 1.78690744E-21 1.78690744E-21 1.78690744E-21 2.54714018E-21 7.21059528E-18 1.18126870E-21 4.64519029E-21 4.64519029E-21 1.62620913E-21 1.53961150E-21 1.53961150E-21 1.97644491E-21 1.80517225E-21 2.40646908E-21 0.00000000E+00 1.96394794E-21 1.60570128E-21 2.44713032E-17
