  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          C-bone-S       C-bone-V       C-marrow       T-bone-S       T-bone-V       T-marrow       Kidneys        Ovaries        Testes         Ureters        UB-cont        Other          
O-mucosa   7.19265090E-19 3.58679250E-21 3.58679250E-21 1.25387934E-22 2.24176534E-23 9.88639023E-24 7.27932865E-24 1.06438993E-24 2.69870607E-20 3.02635117E-19 3.02635117E-19 6.05750886E-19 3.39869698E-21 3.39869698E-21 8.12543805E-22 8.12543805E-22 8.12543805E-22 3.92405065E-21 9.02826450E-18 1.71657189E-22 1.16425359E-20 1.16425359E-20 3.80613046E-23 5.66657780E-21 5.66657780E-21 1.54489868E-21 4.82495449E-23 5.63597623E-25 0.00000000E+00 1.57979408E-23 1.94135725E-24 2.50671545E-17
Oesophagus 3.58038380E-21 2.87366375E-18 6.32026581E-19 4.98725497E-21 5.66289279E-22 1.72169885E-22 1.52863659E-22 2.09500597E-23 6.84417752E-22 7.11991209E-20 7.11991209E-20 1.49000811E-20 3.71769032E-19 3.71769032E-19 1.71112449E-20 1.71112449E-20 1.71112449E-20 2.77352772E-19 5.69958263E-17 8.08298038E-21 4.91980334E-21 4.91980334E-21 1.94151747E-22 1.75774782E-21 1.75774782E-21 2.69598237E-21 1.42950993E-21 1.19831586E-23 0.00000000E+00 3.89729430E-22 1.54461029E-23 2.03929705E-17
St-stem    1.17766381E-22 8.98981227E-21 8.98981227E-21 1.10091955E-19 1.30992347E-20 1.39299632E-21 2.58062567E-21 2.19273874E-22 9.95768708E-23 9.54432555E-23 9.54432555E-23 1.44051688E-22 1.22162753E-21 1.22162753E-21 3.56195877E-21 3.56195877E-21 3.56195877E-21 9.65231225E-22 5.69717937E-17 1.97852774E-20 6.73699191E-22 6.73699191E-22 1.82119401E-22 8.73554686E-22 8.73554686E-22 1.13861876E-21 9.18351541E-21 1.46124904E-22 0.00000000E+00 3.78033542E-21 1.84634818E-22 2.06990960E-17
SI-stem    2.14627562E-23 4.50291702E-22 4.50291702E-22 6.50019023E-21 3.59384208E-20 1.18154107E-20 1.86188930E-20 1.58713205E-20 2.12288385E-23 1.61675629E-23 1.61675629E-23 2.45613655E-23 1.87743041E-22 1.87743041E-22 3.81766613E-22 3.81766613E-22 3.81766613E-22 1.56527836E-22 6.18984864E-17 3.69606094E-21 9.55041382E-22 9.55041382E-22 1.66834638E-22 1.59072093E-21 1.59072093E-21 2.13778409E-21 8.64790781E-21 1.67940139E-20 0.00000000E+00 2.96995455E-20 1.16418950E-20 2.01970252E-17
RC-stem    1.35385515E-23 1.88608216E-22 1.88608216E-22 9.55842470E-22 7.90978510E-21 9.73370281E-20 4.86180455E-21 2.03364261E-21 1.39280406E-23 9.62555590E-24 9.62555590E-24 1.51426506E-23 1.00515746E-22 1.00515746E-22 1.99438929E-22 1.99438929E-22 1.99438929E-22 8.53479415E-23 6.01697380E-17 2.71793219E-21 8.49650213E-22 8.49650213E-22 1.44904046E-22 1.32218012E-21 1.32218012E-21 1.57995430E-21 1.14986604E-20 2.05975809E-21 0.00000000E+00 9.83047427E-21 3.19089469E-21 2.00797576E-17
LC-stem    9.81861817E-24 1.51522637E-22 1.51522637E-22 1.86685604E-21 1.12110698E-20 5.79363039E-21 1.22683460E-19 9.70005711E-21 1.19841199E-23 6.66473375E-24 6.66473375E-24 9.17310126E-24 6.92492721E-23 6.92492721E-23 1.45644251E-22 1.45644251E-22 1.45644251E-22 5.68372109E-23 6.01985771E-17 7.02954934E-22 8.76454625E-22 8.76454625E-22 1.46438931E-22 1.30292196E-21 1.30292196E-21 1.61627564E-21 2.70351260E-21 2.30056522E-21 0.00000000E+00 9.99325540E-21 4.33372718E-21 1.99045534E-17
RS-stem    7.21652333E-25 1.84362448E-23 1.84362448E-23 1.39222728E-22 1.41891954E-20 1.87198301E-21 3.42545333E-21 1.19235576E-19 1.38418435E-24 7.97259042E-25 7.97259042E-25 1.70455556E-24 1.07510849E-23 1.07510849E-23 2.08250900E-23 2.08250900E-23 2.08250900E-23 8.45244227E-24 6.01953728E-17 1.14944948E-22 1.10234549E-21 1.10234549E-21 3.58470967E-22 1.39227535E-21 1.39227535E-21 2.55739411E-21 3.75598234E-22 9.27660186E-20 0.00000000E+00 3.15035963E-20 2.89048660E-20 1.99552821E-17
ET1-bas    2.60706158E-20 6.14626944E-22 6.14626944E-22 8.33964905E-23 1.81991227E-23 1.59660091E-23 7.85306805E-24 3.94343699E-25 5.25770236E-16 3.19858514E-20 3.19858514E-20 5.05534747E-21 6.56075250E-22 6.56075250E-22 3.30128465E-22 3.30128465E-22 3.30128465E-22 7.01657171E-22 8.96305592E-18 1.04956979E-22 2.92701622E-21 2.92701622E-21 1.83481251E-23 1.50700720E-21 1.50700720E-21 6.70639034E-22 2.67098842E-23 3.66321632E-24 0.00000000E+00 2.00544431E-23 1.74028410E-24 2.45452694E-17
ET2-bas    2.88295637E-19 6.97747860E-20 6.97747860E-20 9.73658673E-23 1.83401142E-23 7.89937095E-24 8.29334615E-24 1.37716682E-24 2.98709784E-20 1.36088871E-17 1.39695370E-13 8.75252993E-19 5.05727008E-20 5.05727008E-20 8.54200394E-22 8.54200394E-22 8.54200394E-22 2.25217949E-19 8.97571312E-18 1.32115473E-22 5.48088554E-21 5.48088554E-21 3.14122722E-23 2.90122118E-21 2.90122118E-21 1.73307431E-21 4.17799563E-23 6.98725188E-25 0.00000000E+00 1.20400359E-23 4.07129067E-25 2.45468234E-17
LN-ET      6.55338248E-19 1.55379076E-20 1.55379076E-20 1.83705556E-22 3.28542310E-23 8.27139633E-24 5.75694055E-24 2.53288081E-24 5.33460683E-21 8.55434070E-19 8.55434070E-19 9.52862422E-14 1.93526898E-20 1.93526898E-20 1.47292891E-21 1.47292891E-21 1.47292891E-21 2.54633909E-20 1.43313085E-17 1.90835241E-22 2.09356402E-21 2.09356402E-21 2.70879979E-23 2.15877260E-21 2.15877260E-21 1.47645370E-21 4.80236380E-23 0.00000000E+00 0.00000000E+00 9.53583402E-24 3.79123022E-24 3.34784714E-21
