  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          C-bone-S       C-bone-V       T-bone-S       T-bone-V       UB-cont        Other          
AI         1.19217952E-16 2.00704649E-15 2.00704649E-15 8.66745436E-16 2.14323149E-16 1.48694795E-16 2.63782337E-16 1.60105496E-17 6.04260862E-17 1.57365775E-16 1.57365775E-16 3.04782033E-16 4.36064374E-15 4.36064374E-15 1.11351266E-14 1.11351266E-14 1.29231555E-14 2.83937717E-15 2.26675929E-15 3.74140253E-16 3.74140253E-16 3.23351259E-16 3.23351259E-16 9.43810125E-18 3.82678858E-16
LN-Th      3.60874232E-16 1.20568587E-14 1.20568587E-14 3.54097025E-16 9.67121793E-17 7.40846408E-17 1.08283098E-16 6.64310437E-18 1.00728836E-16 1.21137360E-15 1.21137360E-15 3.18785056E-15 1.23114446E-14 1.23114446E-14 2.74020245E-15 2.74020245E-15 2.74020245E-15 6.60833714E-13 8.15315571E-16 4.32267216E-16 4.32267216E-16 3.12200110E-16 3.12200110E-16 4.27492730E-18 3.22658760E-16
R-marrow   3.79587653E-16 9.91554984E-16 9.91554984E-16 3.60810145E-16 4.68844905E-16 3.30945575E-16 3.13257547E-16 6.33035952E-16 1.62140260E-16 4.16549865E-16 4.16549865E-16 4.70639343E-16 5.95448891E-16 5.95448891E-16 6.23182566E-16 6.23182566E-16 6.23182566E-16 8.37233345E-16 1.52352564E-15 6.53335528E-16 5.93574345E-16 2.35103378E-15 1.10705589E-15 6.49810740E-16 4.83593498E-16
Endost-BS  4.18552585E-16 4.02626951E-16 4.02626951E-16 1.47523604E-16 2.06504527E-16 1.49136996E-16 1.37675026E-16 3.43186204E-16 2.53688625E-16 4.41752101E-16 4.41752101E-16 3.03404161E-16 2.44235784E-16 2.44235784E-16 2.53336146E-16 2.53336146E-16 2.53336146E-16 3.39485176E-16 6.44972167E-16 1.54875992E-15 5.56820416E-16 1.91540199E-14 2.30985784E-15 3.83945573E-16 4.01538089E-16
Brain      1.01526720E-15 7.36071922E-17 7.36071922E-17 7.09892358E-18 2.48946183E-18 2.79996363E-18 3.59720665E-18 2.48097029E-19 9.28877840E-16 2.04774177E-15 2.04774177E-15 4.37634507E-16 4.29030820E-17 4.29030820E-17 3.41183483E-17 3.41183483E-17 3.41183483E-17 7.14762974E-17 2.34094007E-16 4.97203429E-16 4.97203429E-16 3.95961897E-16 3.95961897E-16 1.71016318E-19 4.34741747E-16
Eye-lens   2.32523874E-15 6.88711585E-17 6.88711585E-17 9.64109701E-18 2.73459483E-18 9.22773548E-18 0.00000000E+00 0.00000000E+00 9.92916834E-15 4.23279006E-15 4.23279006E-15 5.31874528E-16 4.56796538E-17 4.56796538E-17 3.86220664E-17 3.86220664E-17 3.86220664E-17 6.82463096E-17 1.04399422E-16 3.99310446E-16 3.99310446E-16 2.74597028E-16 2.74597028E-16 0.00000000E+00 2.92945682E-16
P-gland    3.46374535E-15 1.37372214E-16 1.37372214E-16 8.67081893E-18 2.42457368E-18 1.49433399E-18 4.82767819E-18 0.00000000E+00 2.50292011E-15 1.90530828E-14 1.90530828E-14 1.14145462E-15 7.01833410E-17 7.01833410E-17 5.11302582E-17 5.11302582E-17 5.11302582E-17 1.22882130E-16 1.44894433E-16 6.00351551E-16 6.00351551E-16 3.47736385E-16 3.47736385E-16 0.00000000E+00 4.60278234E-16
Tongue     1.43252202E-13 5.24712799E-16 5.24712799E-16 3.39100653E-17 1.12359035E-17 1.22699482E-17 1.55952655E-17 1.13519011E-18 3.38459783E-15 1.02845311E-14 1.02845311E-14 9.47543196E-15 2.28406280E-16 2.28406280E-16 1.32201991E-16 1.32201991E-16 1.32201991E-16 4.11422900E-16 3.48393277E-16 5.11254517E-16 5.11254517E-16 4.64166550E-16 4.64166550E-16 7.45092175E-19 3.14409406E-16
Tonsils    9.16284733E-15 2.60145396E-16 2.60145396E-16 1.77713416E-17 6.19705843E-18 4.60193152E-18 7.99518111E-18 2.57549870E-19 1.66177745E-15 1.48307069E-14 1.48307069E-14 2.82800172E-15 1.28492952E-16 1.28492952E-16 8.40357589E-17 8.40357589E-17 8.40357589E-17 2.29495760E-16 1.39696972E-16 7.94359102E-16 7.94359102E-16 4.12816794E-16 4.12816794E-16 2.23055011E-19 4.50070071E-16
S-glands   3.09876954E-15 5.49081904E-16 5.49081904E-16 2.83248781E-17 9.18399606E-18 1.01952899E-17 1.33535001E-17 9.86123606E-19 6.93502092E-16 3.06191948E-15 3.06191948E-15 5.36825254E-15 2.21436812E-16 2.21436812E-16 1.43015080E-16 1.43015080E-16 1.43015080E-16 4.22269635E-16 1.36917196E-16 4.21003915E-16 4.21003915E-16 2.83985782E-16 2.83985782E-16 5.32547443E-19 3.98131783E-16
Thyroid    7.45204328E-16 9.47527174E-15 9.47527174E-15 1.15513720E-16 3.46614861E-17 3.00696483E-17 4.43081907E-17 3.72586142E-18 1.73211300E-16 2.43306521E-15 2.43306521E-15 5.75806208E-15 4.55642971E-15 4.55642971E-15 1.06011212E-15 1.06011212E-15 1.06011212E-15 1.53366742E-14 6.82623314E-16 3.84570422E-16 3.84570422E-16 2.54986388E-16 2.54986388E-16 2.04245459E-18 4.49461323E-16
Breast     9.77263570E-17 3.12232154E-16 3.12232154E-16 7.33139939E-16 1.75951022E-16 1.64479438E-16 2.80525081E-16 1.38240594E-17 1.05429622E-16 7.65744230E-17 7.65744230E-17 1.23953986E-16 8.70174094E-16 8.70174094E-16 8.25954023E-16 8.25954023E-16 8.25954023E-16 2.98357305E-16 3.02250594E-16 7.20146287E-17 7.20146287E-17 1.18756526E-16 1.18756526E-16 8.03171073E-18 3.65957989E-16
Thymus     3.33765406E-16 4.15027797E-15 4.15027797E-15 2.31931068E-16 6.47022953E-17 5.90177731E-17 7.84730022E-17 5.41022956E-18 1.26126537E-16 6.81950400E-16 6.81950400E-16 1.44577202E-15 4.72161411E-15 4.72161411E-15 2.12929255E-15 2.12929255E-15 2.12929255E-15 9.92532312E-15 2.79115166E-16 3.92789588E-16 3.92789588E-16 2.97043521E-16 2.97043521E-16 3.68692853E-18 4.51823411E-16
Ht-wall    9.82839144E-17 5.01561349E-15 5.01561349E-15 2.72434090E-15 3.70791704E-16 1.98958276E-16 4.31850650E-16 2.28951020E-17 5.66705845E-17 1.20704772E-16 1.20704772E-16 2.28838868E-16 4.02851256E-15 4.02851256E-15 2.56476412E-15 2.56476412E-15 2.56476412E-15 4.61474894E-15 2.06296244E-15 2.36000597E-16 2.36000597E-16 2.18056220E-16 2.18056220E-16 1.27914566E-17 4.56480622E-16
Adrenals   2.10429860E-17 8.12896284E-16 8.12896284E-16 1.83625447E-15 1.50984306E-15 6.71712492E-16 9.46197368E-16 7.80724580E-17 1.32294917E-17 2.28614563E-17 2.28614563E-17 4.02066189E-17 3.92084630E-16 3.92084630E-16 5.87341878E-16 5.87341878E-16 5.87341878E-16 2.94383908E-16 1.18993648E-15 2.92925927E-16 2.92925927E-16 2.79371514E-16 2.79371514E-16 4.79114857E-17 5.76048444E-16
Liver      3.90995150E-17 1.02739567E-15 1.02739567E-15 1.37282492E-15 7.63789575E-16 1.69077685E-15 5.84586135E-16 5.14490914E-17 3.09684693E-17 3.80805307E-17 3.80805307E-17 6.51621199E-17 7.10228815E-16 7.10228815E-16 1.00302657E-15 1.00302657E-15 1.00302657E-15 4.02194364E-16 1.30096731E-15 1.81927140E-16 1.81927140E-16 2.19353983E-16 2.19353983E-16 3.84938923E-17 5.13564165E-16
Pancreas   2.06087962E-17 6.62403847E-16 6.62403847E-16 3.24969457E-15 4.80380576E-15 2.81470365E-15 2.46222483E-15 1.40951476E-16 1.67427443E-17 1.93767224E-17 1.93767224E-17 3.21845213E-17 3.19345817E-16 3.19345817E-16 3.87278100E-16 3.87278100E-16 3.87278100E-16 1.91155677E-16 1.22630588E-15 1.82439837E-16 1.82439837E-16 2.05559243E-16 2.05559243E-16 8.79963392E-17 5.79807263E-16
Kidneys    1.38859034E-17 3.77777194E-16 3.77777194E-16 1.10734428E-15 2.25618493E-15 1.44980950E-15 1.36351628E-15 1.45855739E-16 1.01949694E-17 1.42930164E-17 1.42930164E-17 2.48000898E-17 2.19402048E-16 2.19402048E-16 3.01048962E-16 3.01048962E-16 3.01048962E-16 1.50321005E-16 1.15707584E-15 2.02835543E-16 2.02835543E-16 2.46574961E-16 2.46574961E-16 8.86580381E-17 5.57113998E-16
Spleen     3.18224294E-17 9.12904141E-16 9.12904141E-16 3.11094608E-15 1.15239748E-15 1.72442255E-16 1.98429558E-15 5.72473681E-17 1.93286571E-17 3.62941040E-17 3.62941040E-17 6.39845202E-17 7.67506624E-16 7.67506624E-16 1.32120280E-15 1.32120280E-15 1.32120280E-15 4.34269937E-16 1.34988176E-15 2.41752410E-16 2.41752410E-16 2.85620002E-16 2.85620002E-16 2.60930463E-17 4.81550170E-16
GB-wall    2.60033244E-17 5.81638130E-16 5.81638130E-16 1.02193225E-15 1.64527503E-15 5.24520538E-15 7.89344290E-16 8.30920770E-17 2.20411419E-17 2.45421394E-17 2.45421394E-17 4.22413831E-17 3.58599141E-16 3.58599141E-16 4.43947083E-16 4.43947083E-16 4.43947083E-16 2.12993342E-16 3.39965829E-16 1.43438054E-16 1.43438054E-16 1.82616076E-16 1.82616076E-16 6.26963703E-17 5.78657491E-16
Ureters    4.83232450E-18 1.18516199E-16 1.18516199E-16 4.78281725E-16 2.90154162E-15 1.38782129E-15 8.28789875E-16 1.42000902E-15 4.67963708E-18 5.62123620E-18 5.62123620E-18 8.50194953E-18 7.46325851E-17 7.46325851E-17 9.25737574E-17 9.25737574E-17 9.25737574E-17 4.84145691E-17 2.66297754E-16 3.04749990E-16 3.04749990E-16 3.29343399E-16 3.29343399E-16 2.25089775E-15 6.15719495E-16
UB-wall    7.14650822E-19 9.01929232E-18 9.01929232E-18 3.67907787E-17 4.84738496E-16 1.58677957E-16 8.35567082E-17 3.13642069E-15 7.98813153E-19 5.14138435E-19 5.14138435E-19 8.47551362E-19 7.64110010E-18 7.64110010E-18 9.02922581E-18 9.02922581E-18 9.02938603E-18 4.36561049E-18 2.86901744E-16 3.16926531E-16 3.16926531E-16 3.90194062E-16 3.90194062E-16 2.13361843E-14 5.67384304E-16
Ovaries    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Testes     7.00936191E-20 1.14086181E-18 1.14086181E-18 3.83801377E-18 2.45453438E-17 1.48768496E-17 8.39989089E-18 1.63934698E-16 1.06951689E-19 1.57441077E-19 1.57441077E-19 1.06426175E-19 7.83015693E-19 7.83015693E-19 9.28973971E-19 9.28973971E-19 9.28973971E-19 5.81221564E-19 2.58463111E-16 9.16412907E-17 9.16412907E-17 8.85202509E-17 8.85202509E-17 4.27444665E-16 5.29497938E-16
Prostate   2.90378467E-19 4.53271750E-18 4.53271750E-18 1.80533247E-17 1.63806524E-16 7.82230626E-17 4.03636322E-17 1.34834367E-15 2.18152350E-19 2.55226714E-19 2.55226714E-19 4.68380274E-19 3.80532937E-18 3.80532937E-18 5.48649316E-18 5.48649316E-18 5.48649316E-18 2.39012688E-18 1.57761512E-16 3.20146906E-16 3.20146906E-16 3.69990616E-16 3.69990616E-16 8.58830684E-15 6.19795750E-16
Uterus     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
LN-Sys     1.53079952E-16 1.73900236E-15 1.73900236E-15 1.54387328E-15 1.54257552E-15 8.59727903E-16 1.11573968E-15 1.34544373E-15 4.70110625E-17 2.16261782E-16 2.16261782E-16 4.41463709E-16 9.41807404E-16 9.41807404E-16 7.43634195E-16 7.43634195E-16 7.43634195E-16 1.21454591E-15 5.15916851E-16 2.79227318E-16 2.79227318E-16 2.73395396E-16 2.73395396E-16 1.30309820E-15 5.20632855E-16
Skin       1.23646368E-16 1.08778170E-16 1.08778170E-16 1.14956163E-16 1.11561151E-16 1.21175812E-16 1.40160001E-16 1.29704198E-16 2.22205857E-16 1.30005407E-16 1.30005407E-16 1.57809577E-16 1.30168829E-16 1.30168829E-16 1.30311422E-16 1.30311422E-16 1.30311422E-16 1.22105074E-16 2.42633607E-16 1.57465109E-16 1.57465109E-16 1.49218707E-16 1.49218707E-16 1.10558188E-16 3.48511337E-16
Adipose    1.44014838E-16 2.69982760E-16 2.69982760E-16 3.49739105E-16 4.79178944E-16 4.04229128E-16 4.35856092E-16 4.26098837E-16 1.56108066E-16 1.90130284E-16 1.90130284E-16 1.92549570E-16 2.38435905E-16 2.38435905E-16 2.33805615E-16 2.33805615E-16 2.33805615E-16 2.78394186E-16 1.71096427E-16 1.90322545E-16 1.90322545E-16 1.85355798E-16 1.85355798E-16 4.40069816E-16 4.34089614E-16
Muscle     2.11567405E-16 2.06664745E-16 2.06664745E-16 1.56516621E-16 2.09965229E-16 2.14178953E-16 1.87775084E-16 3.33877558E-16 6.02738794E-17 2.17175023E-16 2.17175023E-16 3.16974596E-16 2.11182883E-16 2.11182883E-16 2.37106098E-16 2.37106098E-16 2.37106098E-16 2.15941347E-16 2.41640258E-16 2.74148419E-16 2.74148419E-16 2.52567101E-16 2.52567101E-16 3.21540799E-16 4.78950003E-16
