  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          C-bone-S       C-bone-V       C-marrow       T-bone-S       T-bone-V       T-marrow       Kidneys        Ovaries        Testes         Ureters        UB-cont        Other          
Bronch-bas 1.01698153E-15 1.30665503E-14 1.30665503E-14 4.26964012E-15 1.22414294E-15 9.52461878E-16 1.57979408E-15 1.85387841E-16 6.27027790E-16 1.16718557E-15 1.16718557E-15 2.05463113E-15 2.41928650E-12 2.98309240E-12 3.13417764E-14 1.97452230E-14 1.92709788E-14 3.27388743E-14 4.33132391E-15 3.92773566E-15 1.49918858E-15 1.49918858E-15 4.83360624E-16 1.39467861E-15 1.39467861E-15 1.55699511E-15 1.47944977E-15 0.00000000E+00 2.90378467E-17 5.97659895E-16 1.21116532E-16 1.73829705E-15
Bronch-sec 1.01698153E-15 1.30665503E-14 1.30665503E-14 4.26964012E-15 1.22414294E-15 9.52461878E-16 1.57979408E-15 1.85387841E-16 6.27027790E-16 1.16718557E-15 1.16718557E-15 2.05463113E-15 3.96090071E-12 2.40054103E-12 3.13417764E-14 1.97452230E-14 1.92677744E-14 3.27388743E-14 4.33132391E-15 3.92773566E-15 1.49918858E-15 1.49918858E-15 4.83360624E-16 1.39467861E-15 1.39467861E-15 1.55699511E-15 1.47944977E-15 0.00000000E+00 2.90378467E-17 5.97659895E-16 1.21116532E-16 1.73278317E-15
Bchiol-sec 8.94078567E-16 9.20578566E-15 9.20578566E-15 4.25858510E-15 1.30841743E-15 1.02154773E-15 1.57425055E-15 1.93526898E-16 5.21941034E-16 1.09103412E-15 1.09103412E-15 1.90931372E-15 1.79091288E-14 1.79091288E-14 7.35895682E-13 5.30656874E-13 2.60561962E-14 1.22704288E-14 4.33132391E-15 4.76871810E-15 1.97051686E-15 1.97051686E-15 5.60537466E-16 1.66434093E-15 1.66434093E-15 1.72009668E-15 1.80949812E-15 0.00000000E+00 3.15372420E-17 6.64262372E-16 1.32363810E-16 1.69171120E-15
AI         8.94078567E-16 9.20578566E-15 9.20578566E-15 4.25858510E-15 1.30841743E-15 1.02154773E-15 1.57425055E-15 1.93526898E-16 5.21941034E-16 1.09103412E-15 1.09103412E-15 1.90931372E-15 1.79091288E-14 1.79091288E-14 3.13417764E-14 3.13417764E-14 3.25386023E-14 1.22704288E-14 7.30832805E-15 4.76871810E-15 1.97051686E-15 1.97051686E-15 5.60537466E-16 1.66434093E-15 1.66434093E-15 1.72009668E-15 1.80949812E-15 0.00000000E+00 3.15372420E-17 6.64262372E-16 1.32363810E-16 1.64122424E-15
LN-Th      2.26467646E-15 4.98597323E-14 4.98597323E-14 2.04085241E-15 7.00663821E-16 5.61963403E-16 7.41743626E-16 1.15448031E-16 8.60256621E-16 5.79074648E-15 5.79074648E-15 1.40698333E-14 4.83889343E-14 4.83889343E-14 1.20549361E-14 1.20549361E-14 1.20549361E-14 1.21574754E-12 3.42673507E-15 2.25842798E-15 2.41095518E-15 2.41095518E-15 3.37498477E-16 1.67844009E-15 1.67844009E-15 2.23599751E-15 1.04351357E-15 0.00000000E+00 1.99070429E-17 3.61819516E-16 6.78601851E-17 1.62327915E-15
R-marrow   2.13393886E-15 5.25593997E-15 5.25593997E-15 2.05895700E-15 2.63013292E-15 1.96619098E-15 1.81366378E-15 3.40366373E-15 1.04399422E-15 2.30873632E-15 2.30873632E-15 2.61347029E-15 3.10085237E-15 3.10085237E-15 3.21396603E-15 3.21396603E-15 3.21396603E-15 4.42072536E-15 7.14266300E-15 2.53560451E-15 3.28574354E-15 3.16654161E-15 3.92389043E-16 7.97371194E-15 4.95392970E-15 6.91339154E-15 3.04237293E-15 0.00000000E+00 6.82543205E-16 5.13737891E-15 3.47047449E-15 2.13027314E-15
Endost-BS  2.14419279E-15 1.97500296E-15 1.97500296E-15 7.91411098E-16 1.09249210E-15 8.39396283E-16 7.53375428E-16 1.75085846E-15 1.43934729E-15 2.23423511E-15 2.23423511E-15 1.58774088E-15 1.19365353E-15 1.19365353E-15 1.22491199E-15 1.22491199E-15 1.22491199E-15 1.67459486E-15 2.88167463E-15 9.65375420E-16 4.08522961E-15 2.78394186E-15 9.58694345E-16 6.28998467E-14 8.91499063E-15 7.01561040E-15 1.18982432E-15 0.00000000E+00 5.91876038E-16 2.13441952E-15 1.93847333E-15 1.67824953E-15
Brain      5.80468541E-15 6.31978515E-16 6.31978515E-16 1.04703836E-16 4.78506030E-17 5.53551976E-17 6.41831901E-17 1.07699906E-17 5.49450404E-15 1.02351841E-14 1.02351841E-14 2.88664138E-15 4.19786261E-16 4.19786261E-16 3.49258452E-16 3.49258452E-16 3.49258452E-16 6.52774766E-16 9.48328263E-16 1.31440957E-16 2.68877258E-15 2.68877258E-15 4.42697385E-17 2.12144189E-15 2.12144189E-15 1.50162389E-15 6.86276276E-17 0.00000000E+00 2.25682580E-18 2.90458575E-17 7.48424702E-18 1.71642899E-15
Eye-lens   1.36185001E-14 6.23839459E-16 6.23839459E-16 2.31178045E-16 7.46806504E-17 6.47840063E-17 1.34643708E-16 3.97628161E-17 4.80140250E-14 2.19017526E-14 2.19017526E-14 3.85291402E-15 5.83096111E-16 5.83096111E-16 4.50884507E-16 4.50884507E-16 4.50884507E-16 5.87165639E-16 3.53904764E-16 1.47954590E-16 2.32555917E-15 2.32555917E-15 5.13080998E-17 1.47494765E-15 1.47494765E-15 9.65551660E-16 6.68988792E-17 0.00000000E+00 0.00000000E+00 8.65047129E-17 4.03363952E-22 1.09507841E-15
P-gland    1.65136331E-14 7.79378752E-16 7.79378752E-16 1.24652535E-16 2.96739107E-17 2.38323752E-17 1.08600329E-16 0.00000000E+00 1.10910667E-14 8.26466719E-14 8.26466719E-14 5.95833414E-15 6.28053183E-16 6.28053183E-16 3.65232152E-16 3.65232152E-16 3.65232152E-16 8.69533223E-16 5.56435894E-16 1.99791408E-16 3.24200412E-15 3.24200412E-15 4.04645694E-17 2.13105495E-15 2.13105495E-15 1.24003654E-15 8.98228204E-17 0.00000000E+00 0.00000000E+00 4.28213710E-17 5.04973985E-18 1.86687195E-15
Tongue     3.93077979E-13 2.90330401E-15 2.90330401E-15 3.24296543E-16 1.31972879E-16 1.50114324E-16 1.87662932E-16 3.28109723E-17 1.95545640E-14 4.53431968E-14 4.53431968E-14 4.14434992E-14 1.48736452E-15 1.48736452E-15 9.79746944E-16 9.79746944E-16 9.79746944E-16 2.57021152E-15 1.70824057E-15 3.53055611E-16 2.81246061E-15 2.81246061E-15 8.34285340E-17 2.49250596E-15 2.49250596E-15 1.56819432E-15 1.58307854E-16 0.00000000E+00 4.97027190E-18 7.62491812E-17 2.17142979E-17 1.54075374E-15
Tonsils    4.14290796E-14 1.74589172E-15 1.74589172E-15 1.92629679E-16 1.05331889E-16 8.72529293E-17 1.05194102E-16 2.41159605E-17 8.82318591E-15 6.50996350E-14 6.50996350E-14 1.39709790E-14 9.92067681E-16 9.92067681E-16 6.41495444E-16 6.41495444E-16 6.41495444E-16 1.68308640E-15 4.93053792E-16 2.33036570E-16 4.21516612E-15 4.21516612E-15 6.42953424E-17 2.14739715E-15 2.14739715E-15 2.22734575E-15 1.03955619E-16 0.00000000E+00 4.23070723E-18 4.64422898E-17 6.39925311E-18 1.90389987E-15
S-glands   1.67107008E-14 3.12520546E-15 3.12520546E-15 2.90891163E-16 1.19983793E-16 1.29393375E-16 1.70904166E-16 2.75878769E-17 4.85347323E-15 1.58170067E-14 1.58170067E-14 2.54553800E-14 1.49771458E-15 1.49771458E-15 1.04852838E-15 1.04852838E-15 1.04852838E-15 2.69165650E-15 4.62051677E-16 3.37915043E-16 2.48016920E-15 2.48016920E-15 9.17582496E-17 1.68564988E-15 1.68564988E-15 1.17860909E-15 1.72634516E-16 0.00000000E+00 5.66193149E-18 7.47319201E-17 1.83465230E-17 1.64847568E-15
